ac_id,name_ru,profession_ids,prev_ref,next_ref,season_scope,duration_estimate,observable_text_ru,source_refs,confidence
ac_act00139,Скорняк: сшить или собрать изделие,"[""PRO0028""]","[""ACT00138""]","[""ACT00140""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Скорняк прокалывает отверстия, сшивает либо закрепляет детали. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00139,B
ac_act00140,"Скорняк: сушить, отделывать или ремонтировать","[""PRO0028""]","[""ACT00139""]",[],"[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Скорняк формует, сушит, смазывает и устраняет повреждения. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00140,B
ac_act00196,Токарь по дереву: выбрать и разметить дерево,"[""PRO0040""]",[],"[""ACT00197""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Токарь по дереву оценивает бревно, доску или заготовку и наносит разметку. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00196,B
ac_act00197,Токарь по дереву: обтесать или расколоть заготовку,"[""PRO0040""]","[""ACT00196""]","[""ACT00198""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}","Токарь по дереву работает топором, теслом, клиньями и колотушкой. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00197,B
ac_act00198,Токарь по дереву: вырезать соединения и форму,"[""PRO0040""]","[""ACT00197""]","[""ACT00199""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}","Токарь по дереву применяет долото, пилу, сверло или резец. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00198,B
ac_act00199,Токарь по дереву: собрать и подогнать,"[""PRO0040""]","[""ACT00198""]","[""ACT00200""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}","Токарь по дереву соединяет детали нагелями, врубками, обручами или крепежом. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00199,B
ac_act00200,Токарь по дереву: довести и убрать рабочее место,"[""PRO0040""]","[""ACT00199""]",[],"[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Токарь по дереву зачищает поверхность, проверяет посадку и сортирует щепу. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00200,B
ac_act00251,Косторез: отобрать кость или рог,"[""PRO0051""]",[],"[""ACT00252""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":5,""max_minutes"":45,""basis"":""gameplay_estimate""}","Косторез выбирает очищенную заготовку и намечает изделие. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00251,A
ac_act00252,Косторез: распилить заготовку,"[""PRO0051""]","[""ACT00251""]","[""ACT00253""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Косторез разделяет кость пилой или ножовкой. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00252,A
ac_act00253,Косторез: вырезать и сверлить,"[""PRO0051""]","[""ACT00252""]","[""ACT00254""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Косторез формует изделие ножом, резцом и сверлом. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00253,A
ac_act00254,Косторез: шлифовать и полировать,"[""PRO0051""]","[""ACT00253""]","[""ACT00255""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Косторез сглаживает поверхность абразивом. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00254,A
ac_act00255,Косторез: сортировать изделие и отходы,"[""PRO0051""]","[""ACT00254""]",[],"[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":5,""max_minutes"":45,""basis"":""gameplay_estimate""}","Косторез передаёт готовую вещь и убирает костяные обрезки. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00255,A
ac_act00256,Изготовитель костяных гребней: отобрать кость или рог,"[""PRO0052""]",[],"[""ACT00257""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":5,""max_minutes"":45,""basis"":""gameplay_estimate""}","Изготовитель костяных гребней выбирает очищенную заготовку и намечает изделие. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00256,B
ac_act00257,Изготовитель костяных гребней: распилить заготовку,"[""PRO0052""]","[""ACT00256""]","[""ACT00258""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Изготовитель костяных гребней разделяет кость пилой или ножовкой. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00257,B
ac_act00258,Изготовитель костяных гребней: вырезать и сверлить,"[""PRO0052""]","[""ACT00257""]","[""ACT00259""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Изготовитель костяных гребней формует изделие ножом, резцом и сверлом. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00258,B
ac_act00259,Изготовитель костяных гребней: шлифовать и полировать,"[""PRO0052""]","[""ACT00258""]","[""ACT00260""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Изготовитель костяных гребней сглаживает поверхность абразивом. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00259,B
ac_act00260,Изготовитель костяных гребней: сортировать изделие и отходы,"[""PRO0052""]","[""ACT00259""]",[],"[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":5,""max_minutes"":45,""basis"":""gameplay_estimate""}","Изготовитель костяных гребней передаёт готовую вещь и убирает костяные обрезки. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00260,B
ac_act00261,Изготовитель костяных игл и мелких орудий: отобрать кость или рог,"[""PRO0053""]",[],"[""ACT00262""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":5,""max_minutes"":45,""basis"":""gameplay_estimate""}","Изготовитель костяных игл и мелких орудий выбирает очищенную заготовку и намечает изделие. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00261,B
ac_act00262,Изготовитель костяных игл и мелких орудий: распилить заготовку,"[""PRO0053""]","[""ACT00261""]","[""ACT00263""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Изготовитель костяных игл и мелких орудий разделяет кость пилой или ножовкой. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00262,B
ac_act00263,Изготовитель костяных игл и мелких орудий: вырезать и сверлить,"[""PRO0053""]","[""ACT00262""]","[""ACT00264""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Изготовитель костяных игл и мелких орудий формует изделие ножом, резцом и сверлом. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00263,B
ac_act00264,Изготовитель костяных игл и мелких орудий: шлифовать и полировать,"[""PRO0053""]","[""ACT00263""]","[""ACT00265""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Изготовитель костяных игл и мелких орудий сглаживает поверхность абразивом. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00264,B
ac_act00265,Изготовитель костяных игл и мелких орудий: сортировать изделие и отходы,"[""PRO0053""]","[""ACT00264""]",[],"[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":5,""max_minutes"":45,""basis"":""gameplay_estimate""}","Изготовитель костяных игл и мелких орудий передаёт готовую вещь и убирает костяные обрезки. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00265,B
ac_act00326,Верёвочник / канатчик: подготовить волокно и нить,"[""PRO0066""]",[],"[""ACT00327""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":5,""max_minutes"":45,""basis"":""gameplay_estimate""}","Верёвочник / канатчик сортирует волокно, нити и ремонтируемую снасть. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00326,B
ac_act00327,Верёвочник / канатчик: скрутить верёвку или набрать сеть,"[""PRO0066""]","[""ACT00326""]","[""ACT00328""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Верёвочник / канатчик формирует канат либо ряды ячей. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00327,B
ac_act00328,Верёвочник / канатчик: мерить шаг и натяжение,"[""PRO0066""]","[""ACT00327""]","[""ACT00329""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Верёвочник / канатчик проверяет толщину, узлы и размер ячеи. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00328,B
ac_act00329,Верёвочник / канатчик: связать или починить повреждение,"[""PRO0066""]","[""ACT00328""]","[""ACT00330""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Верёвочник / канатчик добавляет нить, заменяет оборванный участок и крепит грузила/поплавки. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00329,B
ac_act00330,Верёвочник / канатчик: свернуть и высушить,"[""PRO0066""]","[""ACT00329""]",[],"[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":5,""max_minutes"":45,""basis"":""gameplay_estimate""}","Верёвочник / канатчик сворачивает готовое изделие, развешивает его и убирает инструменты. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00330,B
ac_act00331,Сетевязальщик: подготовить волокно и нить,"[""PRO0067""]",[],"[""ACT00332""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":5,""max_minutes"":45,""basis"":""gameplay_estimate""}","Сетевязальщик сортирует волокно, нити и ремонтируемую снасть. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00331,A
ac_act00332,Сетевязальщик: скрутить верёвку или набрать сеть,"[""PRO0067""]","[""ACT00331""]","[""ACT00333""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Сетевязальщик формирует канат либо ряды ячей. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00332,A
ac_act00333,Сетевязальщик: мерить шаг и натяжение,"[""PRO0067""]","[""ACT00332""]","[""ACT00334""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Сетевязальщик проверяет толщину, узлы и размер ячеи. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00333,A
ac_act00334,Сетевязальщик: связать или починить повреждение,"[""PRO0067""]","[""ACT00333""]","[""ACT00335""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Сетевязальщик добавляет нить, заменяет оборванный участок и крепит грузила/поплавки. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00334,A
ac_act00335,Сетевязальщик: свернуть и высушить,"[""PRO0067""]","[""ACT00334""]",[],"[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":5,""max_minutes"":45,""basis"":""gameplay_estimate""}","Сетевязальщик сворачивает готовое изделие, развешивает его и убирает инструменты. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00335,A
ac_act00356,Известник: найти и подготовить сырьё,"[""PRO0072""]",[],"[""ACT00357""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":20,""max_minutes"":120,""basis"":""gameplay_estimate""}","Известник выбирает подходящее дерево, кору, камень, глину или иное сырьё. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00356,B
ac_act00357,Известник: добыть или собрать,"[""PRO0072""]","[""ACT00356""]","[""ACT00358""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}","Известник снимает, рубит, копает либо собирает материал. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00357,B
ac_act00358,Известник: переработать сырьё,"[""PRO0072""]","[""ACT00357""]","[""ACT00359""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}","Известник обжигает, варит, сушит или сортирует материал по назначению. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00358,B
ac_act00359,Известник: упаковать и погрузить,"[""PRO0072""]","[""ACT00358""]","[""ACT00360""]","[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}","Известник складывает продукт в тару, связки или на транспорт. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00359,B
ac_act00360,Известник: доставить потребителю,"[""PRO0072""]","[""ACT00359""]",[],"[""spring"",""summer"",""autumn"",""winter""]","{""min_minutes"":45,""max_minutes"":300,""basis"":""gameplay_estimate""}","Известник передаёт ремесленнику, строителю или торговцу. Действие ограничено доступом, сезоном, физикой, навыком и committed-состоянием мира.",gb:sources/master-archive-v1/data/normalized_source_tables/occupations/activities.csv#ACT00360,B
