ap_id,title,why_wrong,use_instead,risk_level,applies_to,source_refs
AP024,Полумаска позднего XIII–XIV как норма,Новгородская полумаска датируется позднее и является элитной редкостью.,Для 1230 использовать более ранний шлем; полумаску хранить только D/сравнительно.,critical,helmets,matcult:anti_patterns.json
AP025,Рогатый шлем,Рога на боевом шлеме — популярный фэнтезийный/романтический образ.,Простой боевой силуэт без рогов и лишней скульптуры.,critical,helmets,matcult:anti_patterns.json
AP026,Одинаковые щиты у всех,"Унификация формы, размера, окраски и сохранности превращает снаряжение в форму.",Разные допустимые ранние формы с индивидуальным износом; не добавлять гербы автоматически.,high,shields,matcult:anti_patterns.json
AP027,Поздняя геральдика,Развитые гербы и турнирные композиции не являются автоматической нормой Новгорода 1230.,Простая окраска/геометрия только по источнику.,high,shields|trade,matcult:anti_patterns.json
AP028,Современный тяжеловоз,Массивный бельгийский/советский тяжеловоз не соответствует средневековым малорослым лошадям региона.,"Небольшая, крепкая, непородная рабочая/верховая лошадь.",critical,livestock|transport,matcult:anti_patterns.json
AP029,Современная спортивная лошадь,Высокая тонконогая породная лошадь и современная выездковая посадка искажают эпоху.,Компактная лошадь с исторической уздой/седлом и иной посадкой.,high,livestock|horse_equipment,matcult:anti_patterns.json
AP030,Современная молочная корова,Голштинская чёрно-пёстрая высокопродуктивная корова анахронична.,Небольшой разномастный средневековый скот без породной стандартизации.,critical,livestock,matcult:anti_patterns.json
AP031,Современная мясная свинья,Крупная розовая заводская порода не соответствует историческому поголовью.,"Меньшая, более длиннорылая, вариативно окрашенная свинья.",high,livestock,matcult:anti_patterns.json
AP032,Индейка,Индейка появилась в Европе после контакта с Америкой.,"Куры, гуси и утки при подтверждённом контексте.",critical,livestock|food,matcult:anti_patterns.json
AP033,Телега XIX века,Этнографическая телега с поздней фурнитурой и стандартизованными колёсами не является точной реконструкцией XIII века.,"Составлять транспорт из археологических деталей: колесо, ступица, ось, кузов, оглобли.",high,land_transport,matcult:anti_patterns.json
AP034,Поздние расписные сани,Декоративные пассажирские сани нового времени не являются обычным транспортом 1230.,Простые грузовые/хозяйственные полозья и кузов по деревянным находкам.,high,land_transport,matcult:anti_patterns.json
AP035,Современный хомут,Поздняя стандартизованная упряжь может быть неверно перенесена назад.,"Конкретные удила, псалии, стремена, ремни и седельные детали; спорные узлы — C.",high,horse_equipment,matcult:anti_patterns.json
AP036,Корабль Великих географических открытий,"Высокие надстройки, несколько мачт и пушечные порты анахроничны.",Низкобортное клинкерное/речное судно соответствующей традиции.,critical,water_transport,matcult:anti_patterns.json
AP037,Драккар эпохи викингов как универсальная ладья,Раннескандинавский военный образ не должен подменять разнообразие XIII века.,"Речная лодка, ладья или балтийское торговое судно по функции и датировке.",high,water_transport|foreign,matcult:anti_patterns.json
AP038,Большой когг в каждом новгородском причале,Морской когг не обязан физически доходить до каждого внутреннего причала; маршрут и перегрузка важны.,Когг только на балтийско-ладожском маршруте с C и референсом; местные суда отдельно.,high,water_transport|foreign,matcult:anti_patterns.json
AP039,Современный рыболовный инвентарь,"Нейлон, фабричные поплавки, катушки и стальные тросы недопустимы.","Растительная сеть, деревянные/берестяные поплавки, каменные/глиняные грузила и кованые крючки.",critical,fishing,matcult:anti_patterns.json
AP040,Стальной пружинный капкан,Поздний металлический капкан нельзя подменять органическими ловушками.,"Силки, сети и осторожные деревянные самоловы; конкретная схема C.",high,hunting,matcult:anti_patterns.json
AP041,Индустриальная кузница,"Кирпичная печь, стальная наковальня современного силуэта и фабричные инструменты искажают ремесло.","Малый горн, меха, вставная/ранняя наковальня, кованые клещи и шлак.",critical,crafts,matcult:anti_patterns.json
AP042,Современный гончарный круг,Электрический или высокий ножной круг нового типа не доказан.,Ручной/ножной круг только конкретной ранней конструкции и с археологическим основанием.,high,crafts,matcult:anti_patterns.json
AP043,Печатная книга,Книгопечатание и печатный шрифт анахроничны.,Рукописная книга; береста и писало для повседневной записи.,critical,writing,matcult:anti_patterns.json
AP044,Бумажная массовая канцелярия,"Стопки белой бумаги, конверты и современные перья не соответствуют бытовой письменности Новгорода.","Береста, писало, редкие рукописные книги и печати по контексту.",critical,writing,matcult:anti_patterns.json
AP045,Игральные карты,Карты не являются нормой Новгорода 1230.,"Кости, шашки, шахматные фигурки, волчки и мячи.",critical,music_and_games,matcult:anti_patterns.json
AP046,Современная скрипка/балалайка,Поздние формы музыкальных инструментов нельзя переносить назад.,"Новгородские гусли, свирель, варган, рожок; волынка только по находке.",critical,music_and_games,matcult:anti_patterns.json
AP047,Церковное барокко,"Поздний высокий иконостас, золочёная резьба и барочные паникадила не относятся к домонгольскому интерьеру.","Ранние фрески, преграда и утварь только по близким источникам.",critical,religious_items|architecture,matcult:anti_patterns.json
AP048,Этнографическая икона нового времени,Поздняя доска и стиль не являются нейтральным знаком средневековой церкви.,Конкретная иконография XII–начала XIII века; при отсутствии — не додумывать.,high,religious_items,matcult:anti_patterns.json
AP049,Карикатурный «иностранец»,"Национальные клише смешивают готландцев, немцев, балтийские и финно-угорские группы.","Показывать конкретные транспорт, тару, гири, керамику и предметы контакта; отличия умеренные.",critical,foreign_material_culture,matcult:anti_patterns.json
AP050,Массовые монеты в каждой сцене,Денежное обращение не означает россыпь круглых монет современного типа.,"Серебро, слитки, весы, пломбы и конкретные монеты только в экономическом контексте.",high,trade,matcult:anti_patterns.json
AP051,Стерильный средневековый город,"Идеально чистые мостовые, дворы и мастерские скрывают реальные органические отходы и ремонт.","Функциональная грязь, щепа, зола, навоз и производственные отходы локально, без карикатуры.",high,miscellaneous|streets,matcult:anti_patterns.json
AP052,Сплошная живописная разруха,"Обратное клише — каждая вещь сломана, весь город тонет в мусоре.",Разный износ по функции и уходу; зажиточные и общественные пространства могут быть содержаны.,high,all,matcult:anti_patterns.json
AP053,Чрезмерная декоративность,"Резьба, орнамент, металл и яркая краска на каждом объекте создают лубок/фэнтези.",Большинство ordinary-вещей утилитарны; декор локален и социально обусловлен.,critical,all,matcult:anti_patterns.json
