sc_id,source_scene_id,name_ru,scene_type,scene_kind,pf_ids,bt_ids,location_scope,required_items,allowed_items,forbidden_items,furniture,quantity_rules,placement_rules,condition,season_variants,light,smoke,smell,sound,ambience_refs,source_refs,confidence,status
sc_scn011,SCN011,Кузница,workshop,interior,smithy,bt_smithy,ремесленный двор,CRF0121|CRF0123|CRF0079|CRF0082|CRF0001|MSC0005|MSC0001,CON0001|CON0002|HOU0031,AP001|AP003|AP052,,1 горн; 1 мех; 1–2 наковальни; 4–12 ручных инструментов; шлак/уголь локально,"Горн, меха и наковальня образуют рабочий треугольник; горючие запасы отнесены от искр.","Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",свет от двери и проёма к рабочему месту; у огневых ремёсел — отсвет огня,у огневых ремёсел дым и гарь,"по ремеслу: уголь и окалина, кожа, глина, костяная пыль","стук, скрежет, шипение закалки",wk:claim:ordinary-life-smith-fire-needs-managed-space|wk:claim:reconstructed-place-work-hot-heavy-or-moving-work-benefits-from-clearance,matcult_scene:SCN011|matcult_src:SRC032|matcult_src:SRC033|matcult_src:SRC005|matcult_src:SRC061|matcult_src:SRC089|matcult_src:SRC067|matcult_src:SRC001|matcult_src:SRC003|matcult_src:SRC025|matcult_src:SRC017,B,candidate
sc_scn012,SCN012,Плотницкая площадка,workshop,exterior,town_courtyard|ordinary_workshop,bt_building_site_timber,двор или стройка,CRF0020|CRF0102|CRF0098|CRF0030|CON0012|CON0035|MSC0035|MSC0001,CRF0049|CRF0001|LTR0007,AP001|AP003|AP052,,3–12 брёвен; 4–10 инструментов; 1 рубочная колода,Брёвна уложены на подкладках; зона рубки окружена щепой; инструменты не фабрично одинаковы.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",свет от двери и проёма к рабочему месту; у огневых ремёсел — отсвет огня,у огневых ремёсел дым и гарь,"по ремеслу: уголь и окалина, кожа, глина, костяная пыль","стук, скрежет, шипение закалки",wk:claim:ordinary-life-smith-fire-needs-managed-space|wk:claim:reconstructed-place-work-hot-heavy-or-moving-work-benefits-from-clearance,matcult_scene:SCN012|matcult_src:SRC032|matcult_src:SRC033|matcult_src:SRC005|matcult_src:SRC061|matcult_src:SRC089|matcult_src:SRC001|matcult_src:SRC003|matcult_src:SRC017|matcult_src:SRC078|matcult_src:SRC025,B,candidate
sc_scn013,SCN013,Гончарная мастерская,workshop,interior,ordinary_workshop,bt_pottery_workshop,ремесленный двор,CRF0096|CRF0093|POT0019|POT0001|POT0002|MSC0007,CRF0001|CRF0002|CRF0003|MSC0001,AP001|AP003|AP052,,1 круг; 1 печь; 5–30 сосудов разных стадий; 1 запас глины,"Сырая глина, формовка, сушка и обжиг расположены последовательно; готовые сосуды не стоят в огне.","Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",свет от двери и проёма к рабочему месту; у огневых ремёсел — отсвет огня,у огневых ремёсел дым и гарь,"по ремеслу: уголь и окалина, кожа, глина, костяная пыль","стук, скрежет, шипение закалки",wk:claim:ordinary-life-smith-fire-needs-managed-space|wk:claim:reconstructed-place-work-hot-heavy-or-moving-work-benefits-from-clearance,matcult_scene:SCN013|matcult_src:SRC032|matcult_src:SRC033|matcult_src:SRC005|matcult_src:SRC061|matcult_src:SRC089|matcult_src:SRC024|matcult_src:SRC080|matcult_src:SRC008|matcult_src:SRC066|matcult_src:SRC001,B,candidate
sc_scn014,SCN014,Ювелирная мастерская,workshop,interior,ordinary_workshop,bt_workshop_yard,городская усадьба,CRF0152|CRF0022|CRF0153|CRF0147,TRD0016|TRD0001|MSC0005,AP001|AP003|AP052,,1 очаг; 3–10 малых инструментов; 1–4 тигля/формы,Малое рабочее место с контролируемым огнём; драгоценный металл количественно ограничен и не рассыпан.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",свет от двери и проёма к рабочему месту; у огневых ремёсел — отсвет огня,у огневых ремёсел дым и гарь,"по ремеслу: уголь и окалина, кожа, глина, костяная пыль","стук, скрежет, шипение закалки",wk:claim:ordinary-life-smith-fire-needs-managed-space|wk:claim:reconstructed-place-work-hot-heavy-or-moving-work-benefits-from-clearance,matcult_scene:SCN014|matcult_src:SRC032|matcult_src:SRC033|matcult_src:SRC005|matcult_src:SRC061|matcult_src:SRC089|matcult_src:SRC024|matcult_src:SRC062|matcult_src:SRC053|matcult_src:SRC009|matcult_src:SRC027,A,candidate
sc_scn015,SCN015,Ткацкое помещение,workshop,interior,ordinary_workshop|dwelling_interior,bt_izba_heated_single|bt_workshop_yard,дом/мастерская,CRF0132|CRF0133|CRF0127|CRF0001,TRD0053|TRD0001|HOU0016,AP001|AP003|AP052,,1 станок; 3–12 пряслиц/веретён; 1–4 запаса волокна,Станок занимает стену/часть помещения; пряжа хранится сухо; не добавлять механический ткацкий станок.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",свет от двери и проёма к рабочему месту; у огневых ремёсел — отсвет огня,у огневых ремёсел дым и гарь,"по ремеслу: уголь и окалина, кожа, глина, костяная пыль","стук, скрежет, шипение закалки",wk:claim:ordinary-life-smith-fire-needs-managed-space|wk:claim:reconstructed-place-work-hot-heavy-or-moving-work-benefits-from-clearance,matcult_scene:SCN015|matcult_src:SRC032|matcult_src:SRC033|matcult_src:SRC005|matcult_src:SRC061|matcult_src:SRC089|matcult_src:SRC024|matcult_src:SRC008|matcult_src:SRC045|matcult_src:SRC009|matcult_src:SRC027,B,candidate
sc_scn016,SCN016,Кожевенный двор,workshop,exterior,ordinary_workshop|riverbank,bt_tannery_edge,периферия двора/воды,CRF0112|CRF0002|CRF0001|MSC0003|MSC0001,POT0001|POT0002|HOU0031,AP001|AP003|AP052,,1–4 чана/кадки; 2–6 инструментов; несколько шкур,Мокрая и пахучая зона отделена от жилья; чаны/шкуры следуют технологической последовательности.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",свет от двери и проёма к рабочему месту; у огневых ремёсел — отсвет огня,у огневых ремёсел дым и гарь,"по ремеслу: уголь и окалина, кожа, глина, костяная пыль","стук, скрежет, шипение закалки",wk:claim:ordinary-life-smith-fire-needs-managed-space|wk:claim:reconstructed-place-work-hot-heavy-or-moving-work-benefits-from-clearance,matcult_scene:SCN016|matcult_src:SRC032|matcult_src:SRC033|matcult_src:SRC005|matcult_src:SRC061|matcult_src:SRC089|matcult_src:SRC001|matcult_src:SRC003|matcult_src:SRC025|matcult_src:SRC067|matcult_src:SRC024,B,candidate
sc_scn017,SCN017,Косторезная мастерская,workshop,interior,ordinary_workshop,bt_workshop_yard,ремесленная усадьба,CRF0114|CRF0015|CRF0030|MSC0001,CRF0001|CRF0002|CRF0003|FUR0001,AP001|AP003|AP052,FUR0001,1 рабочее место; 4–10 инструментов; 10–50 фрагментов сырья/отходов,Мелкие отходы сосредоточены у рабочего места; не делать стоматологически чистую кость.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",свет от двери и проёма к рабочему месту; у огневых ремёсел — отсвет огня,у огневых ремёсел дым и гарь,"по ремеслу: уголь и окалина, кожа, глина, костяная пыль","стук, скрежет, шипение закалки",wk:claim:ordinary-life-smith-fire-needs-managed-space|wk:claim:reconstructed-place-work-hot-heavy-or-moving-work-benefits-from-clearance,matcult_scene:SCN017|matcult_src:SRC032|matcult_src:SRC033|matcult_src:SRC005|matcult_src:SRC061|matcult_src:SRC089|matcult_src:SRC001|matcult_src:SRC003|matcult_src:SRC025|matcult_src:SRC067|matcult_src:SRC008,B,candidate
sc_scn018,SCN018,Пивоваренный двор,workshop_food,interior,ordinary_workshop|outbuildings,bt_malt_dryer|bt_workshop_yard,домохозяйство/производство,CRF0017|CRF0130|CRF0001|POT0001|POT0002,FOD0025|FOD0051|MSC0046,AP001|AP003|AP052,,1 котёл; 2–6 бочек/кадок; 1 запас топлива и зерна,"Нагрев, затор, охлаждение и хранение не смешиваются; масштаб домашний/малый производственный.","Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",полумрак у печи,дым и жар печи или котла,"хлеб, солод, брага","бульканье котла, стук лопаты",matcult_scene:SCN018|matcult_scene:SCN019,matcult_scene:SCN018|matcult_src:SRC032|matcult_src:SRC033|matcult_src:SRC005|matcult_src:SRC061|matcult_src:SRC089|matcult_src:SRC008|matcult_src:SRC024|matcult_src:SRC080|matcult_src:SRC001|matcult_src:SRC028,C,candidate
sc_scn019,SCN019,Пекарня/хлебное производство,workshop_food,interior,ordinary_workshop|monastery_yard|dwelling_interior,bt_izba_heated_single|bt_workshop_yard,городской или монастырский двор,INT0007|CRF0001|CRF0002|FOD0051|FOD0050,POT0015|POT0001|MSC0046,AP001|AP003|AP052,INT0007,1 печь; 1 корыто; 1–3 хлебных инструмента; несколько хлебов/заготовок,"Месильная зона отдельно от топлива и золы; хлеб небольших ручных форм, без современной витрины.","Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",полумрак у печи,дым и жар печи или котла,"хлеб, солод, брага","бульканье котла, стук лопаты",matcult_scene:SCN018|matcult_scene:SCN019,matcult_scene:SCN019|matcult_src:SRC001|matcult_src:SRC005|matcult_src:SRC008|matcult_src:SRC067|matcult_src:SRC089|matcult_src:SRC003|matcult_src:SRC032|matcult_src:SRC033|matcult_src:SRC061|matcult_src:SRC028,B,candidate
sc_scn020,SCN020,Мельничное хозяйство,workshop_food,interior,mill,bt_watermill,сельская/речная зона,AGR0017|AGR0001|FOD0051|FOD0050,CON0001|CON0002|LTR0017|LTR0001,AP001|AP003|AP052,,1–2 жерновных комплекта; 3–15 мешков/ёмкостей зерна,Ручная мельница безопаснее; водяная конструкция только C и с отдельным референсом.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",полумрак у печи,дым и жар печи или котла,"хлеб, солод, брага","бульканье котла, стук лопаты",matcult_scene:SCN018|matcult_scene:SCN019,matcult_scene:SCN020|matcult_src:SRC044|matcult_src:SRC045|matcult_src:SRC046|matcult_src:SRC005|matcult_src:SRC008|matcult_src:SRC040|matcult_src:SRC028|matcult_src:SRC041|matcult_src:SRC075|matcult_src:SRC001,B,candidate
sc_scn021,SCN021,Торговая лавка,trade,exterior,market_square,bt_market_stall,Торг,TRD0017|TRD0037|TRD0001|POT0001|POT0002,TRD0052|TRD0028|TRD0019|FOD0061|FOD0051|FOD0025,AP001|AP003|AP052,,1 прилавок; 1 весовой комплект; 3–20 единиц тары/товара,Товар сгруппирован по продавцу; весы доступны торговцу; дорогой товар контролируется.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",открытый ряд под навесом,,"по товару: рыба, дёготь, воск, кожа, хлеб","торг, выкрики, звон весов",nov1230db:B012,matcult_scene:SCN021|matcult_src:SRC009|matcult_src:SRC027|matcult_src:SRC028|matcult_src:SRC049|matcult_src:SRC053|matcult_src:SRC089|matcult_src:SRC087|matcult_src:SRC024|matcult_src:SRC005|matcult_src:SRC008,C,candidate
sc_scn022,SCN022,Новгородский Торг,trade_square,exterior,market_square,bt_market_stall,Ярославово дворище/Торг,TRD0017|TRD0037|TRD0047|TRD0052|STR0007|STR0001,LTR0017|LTR0028|WTR0038|FRN0042|FRN0001,AP001|AP003|AP052,,6–20 торговых точек в кадре; 1–4 транспортных средства; людской поток,Несколько раздельных продавцов и потоков; не единый крытый рынок нового времени; храмовые доминанты только по реальному месту.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов","открытая площадь, тень навесов",дымки из соседних дворов,"рыба, навоз, дёготь, хлеб","гул толпы, скрип телег, крики",nov1230db:B012|wk:claim:civic-public-market,matcult_scene:SCN022|matcult_src:SRC009|matcult_src:SRC027|matcult_src:SRC028|matcult_src:SRC049|matcult_src:SRC053|matcult_src:SRC089|matcult_src:SRC001|matcult_src:SRC003|matcult_src:SRC013|matcult_src:SRC083,B,candidate
sc_scn023,SCN023,Купеческий склад,storage,interior,cellar_granary,bt_klet_ambar|bt_riverside_warehouse,торговая усадьба,ARC0001|TRD0047|TRD0052|TRD0009|TRD0030,WRT0014|WRT0001|TRD0037|TRD0001,AP001|AP003|AP052,,10–50 единиц тары; 1–3 сундука; 0–1 весовой комплект,Проходы между штабелями сохраняются; тяжёлая тара внизу; contents не угадываются по внешнему виду.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",темно; свет только из открытой двери или от огонька,,"зерно, пыль, воск, мех","скрип двери, мыши",wk:claim:reconstructed-place-work-spilled-dry-goods-can-increase-floor-level-pest-access,matcult_scene:SCN023|matcult_src:SRC001|matcult_src:SRC003|matcult_src:SRC005|matcult_src:SRC012|matcult_src:SRC089|matcult_src:SRC009|matcult_src:SRC027|matcult_src:SRC028|matcult_src:SRC049|matcult_src:SRC053,B,candidate
sc_scn024,SCN024,Немецкий/готландский торговый двор,foreign_trade,exterior,town_courtyard|cellar_granary,bt_klet_ambar|bt_palisade_fence,иноземный торговый двор Новгорода,FRN0042|FRN0028|FRN0019|FRN0001|TRD0037|TRD0028|TRD0001,WTR0039|REL0001|WRT0001,AP001|AP003|AP052|AP050,,1 двор; 1–3 складских/жилых пространства; 10–40 единиц тары и товаров,"Различия выражены предметами и логистикой, не карикатурным национальным декором; местные вещи также присутствуют.","Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",огороженный двор,,"сукно, воск, смола",чужая речь,nov1230db:B013|nov1230db:B014,matcult_scene:SCN024|matcult_src:SRC048|matcult_src:SRC050|matcult_src:SRC049|matcult_src:SRC051|matcult_src:SRC075|matcult_src:SRC024|matcult_src:SRC080|matcult_src:SRC076|matcult_src:SRC009|matcult_src:SRC027,C,candidate
sc_scn025,SCN025,Причал на Волхове,waterfront,exterior,river_wharf,bt_wharf_vymol,городской берег Волхова,STR0011|STR0001|WTR0038|WTR0032|TRD0047|TRD0052,MSC0017|MSC0015|FSH0027,AP001|AP003|AP052|AP036|AP037|AP038,,1–3 лодки; 1 причальная зона; 3–15 грузовых единиц,Сходни связывают настил и изменяющийся уровень воды; грузы не лежат в воде; берег рабочий и мокрый.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов","открытый берег, блики воды",,"мокрое дерево, рыба, смола","плеск, крики грузчиков, скрип сходней",wk:claim:place-outdoors-shore-working-edge-composition,matcult_scene:SCN025|matcult_src:SRC001|matcult_src:SRC003|matcult_src:SRC013|matcult_src:SRC083|matcult_src:SRC089|matcult_src:SRC011|matcult_src:SRC031|matcult_src:SRC039|matcult_src:SRC005|matcult_src:SRC029,B,candidate
