item_id,name_ru,category,subcategory,materials,dimensions,historical_confidence,generation_policy,who_used,where_used,dating_note,source_refs,status
FUR0023,Ларь или зерновой короб,furniture,хранение,"сосна, ель, берёза, дуб реже; железная фурнитура локально",крупнее сундука; точный размер по помещению,B,safe_with_constraints,"домохозяйства, мастерские, церковь",интерьеры,,matcult:FUR0023,candidate
FUR0024,Малый ларец,furniture,хранение,"сосна, ель, берёза, дуб реже; железная фурнитура локально",20–50 см,A,safe_with_record_specific_reference,"домохозяйства, мастерские, церковь",интерьеры,,matcult:FUR0024,candidate
FUR0025,Открытый стеллаж,furniture,хранение,"сосна, ель, берёза, дуб реже; железная фурнитура локально",по стене мастерской/склада,C,reference_required,"домохозяйства, мастерские, церковь",интерьеры,,matcult:FUR0025,candidate
FUR0026,Сундук дощатый с плоской крышкой,furniture,хранение,"сосна, ель, берёза, дуб реже; железная фурнитура локально",от малого 40–60 см до крупного более 1 м,A,safe_with_record_specific_reference,"домохозяйства, мастерские, церковь",интерьеры,,matcult:FUR0026,candidate
INT0001,Глинобитная печь на деревянном/грунтовом основании,interiors,внутреннее устройство дома,"глина, камень, песок, дерево основания",по конкретной находке/плану; универсальный размер не задаётся,B,safe_with_constraints,домохозяйства и учреждения,жилой дом или хозяйственное помещение,,matcult:INT0001,candidate
INT0002,Глиняная подпечная площадка,interiors,внутреннее устройство дома,"глина, песок, камни",по конкретной находке/плану; универсальный размер не задаётся,B,safe_with_constraints,домохозяйства и учреждения,жилой дом или хозяйственное помещение,,matcult:INT0002,candidate
INT0003,Деревянный крюк или колышек в стене,interiors,внутреннее устройство дома,дерево или железо,по конкретной находке/плану; универсальный размер не задаётся,A,safe_with_record_specific_reference,домохозяйства и учреждения,жилой дом или хозяйственное помещение,,matcult:INT0003,candidate
INT0004,Детский угол с игрушками и учебной берестой,interiors,внутреннее устройство дома,"дерево, береста, кожа/ткань",по конкретной находке/плану; универсальный размер не задаётся,B,safe_with_constraints,дети,жилой дом или хозяйственное помещение,,matcult:INT0004,candidate
INT0005,Домашняя молельная зона,interiors,внутреннее устройство дома,"дерево, металл, краска/эмаль, свеча или лампада",по конкретной находке/плану; универсальный размер не задаётся,C,reference_required,домохозяйства и учреждения,жилой дом или хозяйственное помещение,"«красный угол» как термин и диагональная планировка печь/угол — поздняя этнография; для 1230 г. допустима лишь домашняя молельная зона (икона/крест на полке у стены), C. Не ставить киот и божницу XIX в.",matcult:INT0005,candidate
INT0006,Дымный интерьер без развитого кирпичного дымохода,interiors,внутреннее устройство дома,"дерево, глина, отверстия в кровле/стене",по конкретной находке/плану; универсальный размер не задаётся,C,reference_required,домохозяйства и учреждения,жилой дом или хозяйственное помещение,курная топка без кирпичного дымохода — норма; трубы нет,matcult:INT0006,candidate
INT0007,Каменно-глиняная печь,interiors,внутреннее устройство дома,"камень, глина, песок",по конкретной находке/плану; универсальный размер не задаётся,B,safe_with_constraints,домохозяйства и учреждения,жилой дом или хозяйственное помещение,,matcult:INT0007,candidate
INT0008,Место хранения дров у печи,interiors,внутреннее устройство дома,"поленья, короб/настил",по конкретной находке/плану; универсальный размер не задаётся,A,safe_with_record_specific_reference,домохозяйства и учреждения,жилой дом или хозяйственное помещение,,matcult:INT0008,candidate
INT0009,Низкий деревянный настил для сна,interiors,внутреннее устройство дома,"доски, ткань, солома/шерсть",по конкретной находке/плану; универсальный размер не задаётся,C,reference_required,домохозяйства и учреждения,жилой дом или хозяйственное помещение,,matcult:INT0009,candidate
INT0010,Открытый очаг хозяйственной постройки,interiors,внутреннее устройство дома,"глина, камни, зола, топливо",по конкретной находке/плану; универсальный размер не задаётся,B,safe_with_constraints,домохозяйства и учреждения,жилой дом или хозяйственное помещение,,matcult:INT0010,candidate
INT0011,Подвесная деревянная сушильная жердь,interiors,внутреннее устройство дома,"жердь, веревки",по конкретной находке/плану; универсальный размер не задаётся,B,safe_with_constraints,домохозяйства и учреждения,жилой дом или хозяйственное помещение,,matcult:INT0011,candidate
INT0012,Подвесной котел над очагом,interiors,внутреннее устройство дома,"железо/медный сплав, цепь или крюк",по конкретной находке/плану; универсальный размер не задаётся,B,safe_with_constraints,домохозяйства и учреждения,жилой дом или хозяйственное помещение,,matcult:INT0012,candidate
INT0013,Полка на стене,interiors,внутреннее устройство дома,"доски, деревянные крепления",по конкретной находке/плану; универсальный размер не задаётся,A,safe_with_record_specific_reference,домохозяйства и учреждения,жилой дом или хозяйственное помещение,,matcult:INT0013,candidate
INT0014,Потолочная балка,interiors,внутреннее устройство дома,бревно/брус,по конкретной находке/плану; универсальный размер не задаётся,A,safe_with_record_specific_reference,домохозяйства и учреждения,жилой дом или хозяйственное помещение,,matcult:INT0014,candidate
INT0015,Припечная рабочая зона,interiors,внутреннее устройство дома,"дерево пола, глина, зола, утварь",по конкретной находке/плану; универсальный размер не задаётся,B,safe_with_constraints,домохозяйства и учреждения,жилой дом или хозяйственное помещение,,matcult:INT0015,candidate
INT0016,Соломенный или травяной мат,interiors,внутреннее устройство дома,"солома, камыш, трава, лыко",по конкретной находке/плану; универсальный размер не задаётся,C,reference_required,домохозяйства и учреждения,жилой дом или хозяйственное помещение,,matcult:INT0016,candidate
INT0017,Спальное место на широкой лавке,interiors,внутреннее устройство дома,"дерево, ткань, шкуры, солома",по конкретной находке/плану; универсальный размер не задаётся,B,safe_with_constraints,домохозяйства и учреждения,жилой дом или хозяйственное помещение,,matcult:INT0017,candidate
INT0018,Тканевая или войлочная завеса,interiors,внутреннее устройство дома,"шерстяная ткань, войлок, льняная ткань",по конкретной находке/плану; универсальный размер не задаётся,C,reference_required,домохозяйства и учреждения,жилой дом или хозяйственное помещение,,matcult:INT0018,candidate
INT0019,Угол ремесленной работы в жилом доме,interiors,внутреннее устройство дома,по ремеслу,по конкретной находке/плану; универсальный размер не задаётся,A,safe_with_record_specific_reference,домохозяйства и учреждения,жилой дом или хозяйственное помещение,,matcult:INT0019,candidate
INT0020,Угол хранения рыболовных снастей,interiors,внутреннее устройство дома,"лен/конопля, дерево, кора, камень, железо",по конкретной находке/плану; универсальный размер не задаётся,A,safe_with_record_specific_reference,домохозяйства и учреждения,жилой дом или хозяйственное помещение,,matcult:INT0020,candidate
INT0021,Шерстяное покрывало,interiors,внутреннее устройство дома,шерсть,по конкретной находке/плану; универсальный размер не задаётся,B,safe_with_constraints,домохозяйства и учреждения,жилой дом или хозяйственное помещение,,matcult:INT0021,candidate
INT0022,Деревянная дверь на петлях или пятах,interiors,дверь,"дерево, глина, камень, железо локально","человеческий проём, часто низкий по современным меркам",B,safe_with_constraints,домохозяйства и учреждения,жилые и рабочие помещения,,matcult:INT0022,candidate
INT0023,Дверной деревянный засов,interiors,запор,"дерево, глина, камень, железо локально",по ширине полотна,A,safe_with_record_specific_reference,домохозяйства и учреждения,жилые и рабочие помещения,,matcult:INT0023,candidate
INT0024,Малая оконная проёмина со ставней,interiors,окно,"дерево, глина, камень, железо локально","малый проём, значительно меньше современного окна",B,safe_with_constraints,домохозяйства и учреждения,жилые и рабочие помещения,,matcult:INT0024,candidate
INT0025,Светопрозрачная вставка элитного/церковного окна,interiors,окно,"дерево, глина, камень, железо локально",небольшие фрагменты,C,reference_required,домохозяйства и учреждения,жилые и рабочие помещения,стекло только в элитном/церковном окне; не в рядовой избе,matcult:INT0025,candidate
INT0026,Восковая свеча,interiors,освещение и отопительные принадлежности,"пчелиный воск, льняной/растительный фитиль",по конкретной находке/плану; универсальный размер не задаётся,B,safe_with_constraints,домохозяйства и учреждения,"жилой дом, мастерская, церковь и походный быт",,matcult:INT0026,candidate
INT0027,Деревянная лопата для печи,interiors,освещение и отопительные принадлежности,дерево,по конкретной находке/плану; универсальный размер не задаётся,B,safe_with_constraints,домохозяйства и учреждения,"жилой дом, мастерская, церковь и походный быт",,matcult:INT0027,candidate
INT0028,Деревянный светец,interiors,освещение и отопительные принадлежности,"дерево, возможна железная вставка",по конкретной находке/плану; универсальный размер не задаётся,C,reference_required,домохозяйства и учреждения,"жилой дом, мастерская, церковь и походный быт",,matcult:INT0028,candidate
INT0029,Железный светец,interiors,освещение и отопительные принадлежности,кованое железо,по конкретной находке/плану; универсальный размер не задаётся,B,safe_with_constraints,домохозяйства и учреждения,"жилой дом, мастерская, церковь и походный быт",,matcult:INT0029,candidate
INT0030,Зольный совок деревянный,interiors,освещение и отопительные принадлежности,дерево,по конкретной находке/плану; универсальный размер не задаётся,A,safe_with_record_specific_reference,домохозяйства и учреждения,"жилой дом, мастерская, церковь и походный быт",,matcult:INT0030,candidate
INT0031,Керамический масляный светильник,interiors,освещение и отопительные принадлежности,"обожженная глина, жир/масло, фитиль",по конкретной находке/плану; универсальный размер не задаётся,C,reference_required,домохозяйства и учреждения,"жилой дом, мастерская, церковь и походный быт",,matcult:INT0031,candidate
INT0032,Кочерга железная,interiors,освещение и отопительные принадлежности,железо,по конкретной находке/плану; универсальный размер не задаётся,B,safe_with_constraints,домохозяйства и учреждения,"жилой дом, мастерская, церковь и походный быт",,matcult:INT0032,candidate
INT0033,Кремневый огниво-комплект,interiors,освещение и отопительные принадлежности,"кремень, железо, трут, кожа/береста",по конкретной находке/плану; универсальный размер не задаётся,B,safe_with_constraints,домохозяйства и учреждения,"жилой дом, мастерская, церковь и походный быт",,matcult:INT0033,candidate
INT0034,Кресало,interiors,освещение и отопительные принадлежности,железо/сталь,по конкретной находке/плану; универсальный размер не задаётся,A,safe_with_record_specific_reference,домохозяйства и учреждения,"жилой дом, мастерская, церковь и походный быт",,matcult:INT0034,candidate
INT0035,Лучина,interiors,освещение и отопительные принадлежности,сухая древесина,по конкретной находке/плану; универсальный размер не задаётся,B,safe_with_constraints,домохозяйства и учреждения,"жилой дом, мастерская, церковь и походный быт",,matcult:INT0035,candidate
INT0036,Металлическая лампада церковная,interiors,освещение и отопительные принадлежности,"медный сплав, железные цепочки, масло",по конкретной находке/плану; универсальный размер не задаётся,C,reference_required,домохозяйства и учреждения,"жилой дом, мастерская, церковь и походный быт",,matcult:INT0036,candidate
INT0037,Подсвечник из медного сплава,interiors,освещение и отопительные принадлежности,бронза/латунь,по конкретной находке/плану; универсальный размер не задаётся,C,reference_required,домохозяйства и учреждения,"жилой дом, мастерская, церковь и походный быт",,matcult:INT0037,candidate
INT0038,Простой железный подсвечник-штырь,interiors,освещение и отопительные принадлежности,железо,по конкретной находке/плану; универсальный размер не задаётся,B,safe_with_constraints,домохозяйства и учреждения,"жилой дом, мастерская, церковь и походный быт",,matcult:INT0038,candidate
INT0039,Сальная свеча,interiors,освещение и отопительные принадлежности,"животный жир, фитиль",по конкретной находке/плану; универсальный размер не задаётся,C,reference_required,домохозяйства и учреждения,"жилой дом, мастерская, церковь и походный быт",,matcult:INT0039,candidate
INT0040,Трут,interiors,освещение и отопительные принадлежности,"органическое волокно, гриб, кора",по конкретной находке/плану; универсальный размер не задаётся,B,safe_with_constraints,домохозяйства и учреждения,"жилой дом, мастерская, церковь и походный быт",,matcult:INT0040,candidate
INT0041,Щипцы для углей,interiors,освещение и отопительные принадлежности,железо или твердое дерево,по конкретной находке/плану; универсальный размер не задаётся,C,reference_required,домохозяйства и учреждения,"жилой дом, мастерская, церковь и походный быт",,matcult:INT0041,candidate
INT0042,Печь-каменка бани,interiors,отопление бани,"дерево, глина, камень, железо локально",малый/средний очаг,C,reference_required,домохозяйства и учреждения,жилые и рабочие помещения,,matcult:INT0042,candidate
INT0043,Глинобитная или глиняная печь в жилом доме,interiors,отопление и готовка,"дерево, глина, камень, железо локально",занимает угол или значительную часть помещения; точный размер по раскопу,B,safe_with_constraints,домохозяйства и учреждения,жилые и рабочие помещения,развитая русская печь позднего типа недопустима,matcult:INT0043,candidate
INT0044,Открытый очаг хозяйственного помещения,interiors,отопление/производство,"дерево, глина, камень, железо локально",малый очаг,B,safe_with_constraints,домохозяйства и учреждения,жилые и рабочие помещения,,matcult:INT0044,candidate
INT0045,Дощатый пол,interiors,пол,"дерево, глина, камень, железо локально",по площади помещения,A,safe_with_record_specific_reference,домохозяйства и учреждения,жилые и рабочие помещения,,matcult:INT0045,candidate
INT0046,Пол из плах или тёсаных брёвен,interiors,пол,"дерево, глина, камень, железо локально",по площади помещения,A,safe_with_record_specific_reference,домохозяйства и учреждения,жилые и рабочие помещения,,matcult:INT0046,candidate
INT0047,Утрамбованный земляной пол,interiors,пол,"дерево, глина, камень, железо локально",по площади помещения,B,safe_with_constraints,домохозяйства и учреждения,жилые и рабочие помещения,,matcult:INT0047,candidate
INT0048,Настенная полка,interiors,хранение,"дерево, глина, камень, железо локально",длина 0.5–2 м ориентировочно,B,safe_with_constraints,домохозяйства и учреждения,жилые и рабочие помещения,,matcult:INT0048,candidate
INT0049,Настенный колышек или крюк,interiors,хранение,"дерево, глина, камень, железо локально",малый предмет,A,safe_with_record_specific_reference,домохозяйства и учреждения,жилые и рабочие помещения,,matcult:INT0049,candidate
