pp_id,entity_kind,name_ru,endonym,languages,faith,typical_occupations,pf_ids,presence_note,clothing_profile_ref,name_pool_ref,legal_status_ref,source_refs,confidence
pp_ladoga_izhoria_land,neighbor_land,Ладожско-Ижорская земля,,,,купцы|лодочники|рыбаки|военные люди|монахи|гости на торгу,,direction:north; Волховский путь|северные речные пристани|лодочные и ледовые подходы,unassigned,unassigned,unassigned,game-base:sources.rus13/novgorod_neighbor_regions_v1.json#ladoga_izhoria_land,C
pp_karelian_land,neighbor_land,Карельская земля,,,,охотники|проводники|купцы-посредники|промысловики|беглецы|люди с оружием,,direction:northwest; северо-западные лесные тропы|озёрные и речные цепочки|промысловые зимние пути,unassigned,unassigned,unassigned,game-base:sources.rus13/novgorod_neighbor_regions_v1.json#karelian_land,C
pp_zavolochye_land,neighbor_land,Заволочье,,,,промысловики|охотники|проводники|купцы-посредники|сборщики|люди погостов,,direction:northeast; северо-восточная промысловая периферия|лесные тропы|зимние следы|волоковые цепочки,unassigned,unassigned,unassigned,game-base:sources.rus13/novgorod_neighbor_regions_v1.json#zavolochye_land,C
pp_belozero_land,neighbor_land,Белозерье,,,,купцы|лодочники|проводники|монастырские люди|возчики|посыльные,,direction:east; Мстинское восточное направление|водно-волоковые связи|зимние пути,unassigned,unassigned,unassigned,game-base:sources.rus13/novgorod_neighbor_regions_v1.json#belozero_land,C
pp_vladimir_suzdal_land,neighbor_land,Владимиро-Суздальская земля,,,,купцы|возчики|княжьи люди|послы|дружинники|боярские люди|священники,,direction:southeast; Торжокское направление|юго-восточный сухопутный коридор|водно-переправочные участки,unassigned,unassigned,unassigned,game-base:sources.rus13/novgorod_neighbor_regions_v1.json#vladimir_suzdal_land,C
pp_novgorod_rus,people,Новгородцы (Новгородская Русь),,,,,,"Основное (автохтонное) население Новгородской земли. Западные (славянские) корни первонасельников Новгорода и Пскова подтверждены курганной археологией, антропологией и сходством дохристианских личных имён с польскими (концепция В.Л. Янина).",unassigned,unassigned,unassigned,book:624953 §Глава 7 Новгородские берестяные грамоты В.Л. Янин ¶1396,B
pp_vod,people,Водь,Vatjalaiset,водский (прибалтийско-финский),,,,"Занимала обширную территорию на Ижорском плато и в Причудье в раннем средневековье; от этнонима — название Водской пятины. В XIII–XIV вв. собственно водской оставалась лишь прибрежная полоса Финского залива; на Ижорское плато расселяются славяне, и водь постепенно славянизируется.",unassigned,unassigned,unassigned,book:681281 §Часть первая Финно-угры > Глава первая Прибалтийские финны ¶315; book:681281 §Часть первая Финно-угры > Глава первая Прибалтийские финны ¶316; book:681281 §Часть первая Финно-угры > Глава первая Прибалтийские финны ¶387,B
pp_izhora,people,Ижора,,прибалтийско-финский (карельская ветвь; ижора до сих пор называет себя карелами),"В основном язычники (1240 г.); отмечен как минимум один крещёный старейшина, соблюдавший постные дни.","Несла «стражу морскую» на Неве, платила дань Новгороду и давала отряды в новгородскую рать.",,"Молодое этнообразование: отпочковавшаяся от корелы группа на Неве (конец I тыс. н. э.), жила в бассейне Невы и на части южного побережья Финского залива; первое летописное упоминание — 1228 г.; шведы и немцы звали землю Ингрией.",unassigned,unassigned,unassigned,book:681281 §Часть первая Финно-угры > Глава первая Прибалтийские финны ¶399; book:681281 §Часть первая Финно-угры > Глава первая Прибалтийские финны ¶414; book:681281 §Часть первая Финно-угры > Глава первая Прибалтийские финны ¶419; book:641352 §ЖИТИЕ АЛЕКСАНДРА НЕВСКОГО > ПЕРЕВОД ¶1931,B
pp_korela,people,Корела,,карельский (прибалтийско-финский),,"Купцы-посредники в торговле Новгорода с Лапландией (пушнина); засвидетельствованы на Неревском раскопе в Новгороде, включая одну грамоту на корельском языке.",,"В XII–XIV вв. основной регион — западное и северо-западное Приладожье и бассейн Вуоксы, к западу от Ладожского озера; западный сосед — емь, к северу — саамы (лопь).",unassigned,unassigned,unassigned,book:681281 §Часть первая Финно-угры > Глава первая Прибалтийские финны ¶424; book:681281 §Часть первая Финно-угры > Глава первая Прибалтийские финны ¶458; book:681281 §Часть первая Финно-угры > Глава первая Прибалтийские финны ¶457; book:681281 §Часть первая Финно-угры > Глава первая Прибалтийские финны ¶477,B
pp_ves,people,Весь,,весьский/вепсский (прибалтийско-финский); предки вепсов,,,,"По летописи сидит на Белоозере; новгородцами также причислялась к «чуди». Западная граница памятников — р. Волхов, южная — соседство с мерей у верхнего Поволжья; на северо-западе граничит с корелой. Отличается от карел, води и ижоры по материальной культуре.",unassigned,unassigned,unassigned,book:681281 §Часть первая Финно-угры > Глава первая Прибалтийские финны ¶538; book:681281 §Часть первая Финно-угры > Глава первая Прибалтийские финны ¶553; book:681281 §Часть первая Финно-угры > Глава первая Прибалтийские финны ¶547; book:751267 §А.В. Куза. Новгородская земля ¶558,B
pp_chud_est,people,Чудь / эсты,,"эстонский (прибалтийско-финский); «чудь» — новгородский общий термин для западнофинских племён, не самоназвание",,"Эстонская чудь (земли Очела, Торма, Ерева, Уганди с Медвежьей Головой) платила дань Новгороду через местную знать; поступления дани стали прерываться в начале XIII в. из-за действий Ордена. Чудь заволочская — отдельная, географически удалённая группа в бассейне Ваги, сохранявшая самостоятельность в XI–XIII вв.",,"Бандл двух брифовых значений одного термина «чудь/эсты», а не разных брифовых народов: прибалтийская эстонская чудь и заволочская чудь — обе названы новгородцами «чудью».",unassigned,unassigned,unassigned,book:751267 §А.В. Куза. Новгородская земля ¶555; book:751267 §А.В. Куза. Новгородская земля ¶649; book:681281 §Часть первая Финно-угры > Глава первая Прибалтийские финны ¶655,B
pp_yem_sum,people,Емь / сумь,,"прибалтийско-финский (собственно финская ветвь; овально-выпуклые фибулы типов J,G,I,E,C1 — «емские», в землях еми и суми)",,"Данническая/вассальная зависимость от Новгорода до середины XIII в., с перерывами; военные набеги на Ладожскую волость (1142, 1228) и походы новгородцев (иногда с корелой) на емь (1143, 1191, 1227, 1228).",,,unassigned,unassigned,unassigned,book:220871 §Новгородские бояре и князья в первой трети XIII века ¶330; book:751267 §А.В. Куза. Новгородская земля ¶669; book:751267 §А.В. Куза. Новгородская земля ¶683; book:751267 §А.В. Куза. Новгородская земля ¶695,B
