pc_id,name_ru,name_en,craft_group,master_family_ref,workplace_pf_id,inputs,tools,fuel_heat,outputs,waste_traces,skill_level,total_duration_band,step_count,season_constraints,failure_modes,defect_signs,player_feasibility_ru,authenticity_owner,region_id,wk_claim_refs,source_refs,confidence,status,note
pc_shoemaking,Шитьё кожаной обуви по колодке (выворотный способ),turnshoe making on a last,shoemaking,footwear_repair,ordinary_workshop,mt_leather_veg;mt_flax;mt_beeswax;mt_birch_bark,tl_last;tl_shoe_knife;tl_awl;tl_leather_needle;tl_wax_block;tl_stamp_leather,нет,pr:leather_footwear,обрезки кожи;изношенные подошвы (при починке),trained,day,4,круглый год,детали скроены не по мерке;шов разошёлся;кожа лопнула при выворачивании,обувь давит или болтается;рвутся проколы;перекошенный задник,"При наличии выделанной кожи, колодки и навыка — дни работы. Сапоги с жёстким задником и многослойной подошвой сложнее мягких туфель и поршней.",,,claim:population-shoe-input;claim:population-shoe-output;claim:population-shoe-form;claim:practical-leather-cut;claim:practical-leather-stitch;claim:research-failure-of-stitched-leather-join-can-separate-components,src:izumova1959-leather,A,candidate,"Швы: выворотный, тачной, наружный; задник подкреплён кожей, берестой или лубом (Изюмова через конспект)."
pc_shoe_repair,Починка обуви,shoe repair,shoemaking,footwear_repair,ordinary_workshop,pr:worn_footwear;mt_leather_veg;mt_flax,tl_awl;tl_leather_needle;tl_shoe_knife;tl_last,нет,pr:leather_footwear,старые подошвы и заплаты,trained,hours,2,круглый год,гнилая кожа не держит шов,заплата отходит,Обычный заказ сапожника; изношенные подошвы и заплатки — массовая находка.,,,claim:practical-leather-patch;claim:practical-leather-shoe;claim:ordinary-life-shoes-protect-feet,src:izumova1959-leather,A,candidate,
pc_flax_fibre,Подготовка льняного (конопляного) волокна,flax and hemp fibre preparation,textile_fibre,fiber_preparation,peasant_homestead,pr:flax_stems;mt_water,tl_flax_brake;tl_scutcher;tl_hackle,сушка снопов в овине или на солнце,mt_flax,кострика;очёсы (пакля);гнилая вода мочила,household,weeks,5,теребление — конец лета; мочка — конец лета или осень (стлище — росяная мочка на лугу); мятьё и трепание — осень и зима,перемочка — волокно слабое;недомочка — кострика не отделяется,волокно рвётся в руках;в кудели много кострики,"Домашняя работа всей семьи; сроки задаёт сезон и погода, а не навык. Конопля идёт тем же путём и даёт пеньку и паклю.",,,claim:fibre-flax-breaker-shive;claim:fibre-hackle-removes-shive;claim:macro-b19-flax-retting-is-a-progressive-separation-process-that-needs-condition-assessment;claim:agriculture-fauna-hemp-stem-fibre;claim:agriculture-fauna-hemp-processing-tow,src:izumova1959-leather;src:ethno-analogy,B,candidate,Сезонность — севернорусская этнография (C); орудия — WK (B).
pc_spinning,Прядение на веретене,spindle spinning,spinning,spinning,dwelling_interior,mt_flax;mt_wool;mt_hemp,tl_distaff;tl_spindle;tl_spindle_whorl;tl_reel,нет,pr:yarn,обрывки нити,household,weeks,3,"основная пора — осень и зима, долгие вечера","нить неровная, рвётся;перекрут",утолщения и слабины на нити;нить закручивается петлями,Женская домашняя работа; навык массовый. Скорость низкая: на полотно нужны недели прядения.,,,claim:practical-textile-spin;claim:household-spindle-whorl,src:matcult-catalog-v1;src:ethno-analogy,B,candidate,Колёсная прялка не используется (denylist dl_spinning_wheel).
pc_weaving,Ткачество полотна и сукна,weaving cloth,weaving,weaving,dwelling_interior,pr:yarn,tl_loom;tl_shuttle;tl_weaving_sword;tl_reed_comb;tl_loom_weight;tl_shears,нет,pr:woven_cloth,концы основы;обрывки нитей,trained,weeks,4,зима и весна до полевых работ,неравное натяжение основы;обрыв нитей;перекос полотна,волнистая кромка;пропуски переплетения;рыхлые и плотные полосы,"Нужен стан, место и запас пряжи; работу можно прерывать, оставляя основу на стане. Узорное и тонкое сукно — работа мастерицы или привоз.",,,claim:population-processes-weaving-thread;claim:population-processes-weaving-device;claim:population-processes-weaving-textile;claim:population-weaving-practice;claim:macro-b19-uneven-warp-tension-is-a-condition-to-diagnose-before-controlled-adjustment;claim:practical-textile-weave;claim:ordinary-life-weaver-needs-yarn-and-loom-space,src:matcult-catalog-v1,A,candidate,Тип стана (горизонтальный/вертикальный) задаётся контекстом; WK — реконструкция горизонтального по деталям.
pc_textile_dyeing,Крашение пряжи или ткани,dyeing yarn or cloth,dyeing,textile_finish_dye,town_courtyard,pr:woven_cloth;mt_textile_dyes;mt_water;mt_firewood;mt_wood_ash_lye,tl_dye_pot;tl_bucket,нагрев красильной ванны на костре или очаге,pr:dyed_cloth,отработанная ванна;окрашенная вода,trained,days,4,растительное сырьё — по сезону сбора; работа в тёплое время на дворе,пятнистая окраска;краска смывается;шерсть испорчена щёлоком,пятна и полосы;линяет при стирке;свалявшаяся ломкая шерсть,"Простые растительные цвета — домашняя работа; синий индиго и красный лак-дай — привозные и дорогие, в 1230 г. это элитный цвет.",,,claim:textile-dye-application;claim:textile-dye-mordant-fixation;claim:place-dye-bath-to-fibre-transfer-can-change-with-process-conditions;claim:place-dye-textile-preparation-can-affect-uptake-evenness;claim:place-dye-moving-submerged-textile-can-support-even-contact;claim:static-wool-is-sensitive-to-alkaline-cleaning-conditions;claim:textile-indigo-yellow-analysis;claim:textile-lac-dye-analysis,src:kyy1985-applied,B,candidate,Протравы и рецептуры не задаются.
pc_felting,Валяние войлока,felting wool,textile_fibre,textile_finish_dye,dwelling_interior,mt_wool;mt_water,tl_bucket;tl_mallet,горячая вода,mt_felt,клочья шерсти,household,days,2,после стрижки овец; работа в тепле,"войлок рыхлый, рвётся;неравная толщина",просвечивающие тонкие места,Домашняя работа при наличии шерсти и горячей воды.,,,claim:static-wool-moisture-heat-mechanical-action-can-felt;claim:population-felt-lining,src:ethno-analogy,C,candidate,Способ — аналогия; войлочные стельки засвидетельствованы (WK).
pc_pottery_wheel,Гончарное дело: круговая посуда и обжиг,wheel-thrown pottery and firing,pottery,pottery_forming,ordinary_workshop,mt_clay;mt_temper;mt_water;mt_firewood,tl_spade;tl_clay_trough;tl_potter_wheel;tl_potter_paddle;tl_pottery_stamp;tl_drying_shelf;tl_kiln,дровяной обжиг в горне (или в яме/очаге для простых сосудов) с постепенным подъёмом жара,pr:ceramic_pot,черепки брака;пережжённые и деформированные сосуды;зола,master,weeks,6,копка глины — в талую пору; сушка и обжиг — в тёплое сухое время; зимой глина мёрзнет,сосуд треснул при сушке;разрыв паром при быстром обжиге;недожог — сосуд размокает;деформация на круге,"трещины от края или дна;вздутия и отколы;мягкий, пачкающий черепок;кривые стенки","Нужны пригодная глина (проверяется руками), отощитель, круг, сушка и горн с топливом. Сосуды сушат постепенно и обжигают этапами. Простой лепной горшок — доступен и неумелому, но с большим браком.",,,claim:ceramic-novgorod-wheel;claim:pottery-handmade-local-clay;claim:pottery-handmade-temper;claim:macro-b19-wet-surface-mud-is-not-by-itself-evidence-of-workable-pottery-clay;claim:population-material-clay-plasticity;claim:population-material-clay-steam;claim:population-material-clay-quartz;claim:mb14-practical-clay-firing-needs-gradual-observation;claim:clay-firing-structural-transformation;claim:clay-fired-no-replasticization;claim:clay-dried-replasticization,src:novgorod-museum-ceramics;src:matcult-catalog-v1,B,candidate,Устройство горна для Новгорода XIII в. не выписано.
pc_bone_comb,Косторезное дело: составной гребень из рога и кости,composite antler comb making,bone,bone_antler_horn,ordinary_workshop,mt_antler;mt_bone;mt_water;mt_bronze;mt_iron,tl_saw_bone;tl_bone_knife;tl_file;tl_bow_drill;tl_compass_divider;tl_bone_rivets;tl_whetstone,распаривание в горячей воде,pr:bone_comb,отпиленные основания рога;опилки;пластины-заготовки;брак,master,days,4,сброшенный лосиный рог — зима и весна; работа круглый год,пластина треснула;зубья сломаны при нарезке,трещины вдоль волокна;неровные зубья,"Нужны рог или кость, пилки, напильники, сверло и заклёпки. Простые изделия (проколки, пряслица, рукояти) — проще гребня.",,,claim:foundations-physical-material3-01-antler-osseous-not-horn;claim:foundations-physical-material3-03-antler-water-workability;claim:foundations-physical-material3-04-osseous-shaping-operations;claim:work-waste-context,src:smirnova1998-bone;src:kyy1985-applied,C,candidate,Отходы костереза — A (Смирнова); последовательность операций — реконструкция.
pc_bone_skate,Костяной конёк,bone skate,bone,bone_antler_horn,town_courtyard,mt_bone;mt_leather_veg,tl_axe_household;tl_bone_knife;tl_bow_drill,нет,pr:bone_skate,костные обрубки,household,hours,2,делают к зиме,кость раскололась,трещина вдоль кости,Простая домашняя работа из лошадиной или коровьей кости.,,,claim:population-processes-bone-skate-input;claim:population-processes-bone-skate-output;claim:settlement-skate-bone;claim:settlement-skate-footwear,src:matcult-catalog-v1,A,candidate,
pc_glass_bracelet,Стеклянные браслеты и бусы из готового стекла,glass bracelets and beads from glass stock,glass,glass_bead_reworking,ordinary_workshop,mt_glass;mt_charcoal,tl_glass_crucible;tl_glass_tongs;tl_bellows,горн с углём и дутьём до размягчения стекла,pr:glass_bracelet,капли и нити стекла;битые браслеты,specialist,day,3,круглый год,браслет лопнул при остывании;стекло не спаялось в кольцо,трещина по спаю;пузыри,Редкая специальность; первичную варку стекла в каждом дворе не предполагать. Браслеты носили городские женщины с 1130-х до начала XIV в.,,,claim:population-glass-cooling;claim:foundations-mat-09-glass-brittle-thermal-stress,src:shchapova1972-glass;src:kyy1985-applied,C,candidate,Техника навивки и спайки — реконструкция.
pc_birch_tar,Дёготь: сухая перегонка бересты,birch-bark tar by dry distillation,tar_charcoal,fuel_charcoal_fire,forest_edge,mt_birch_bark;mt_firewood;mt_clay,tl_tar_pots;tl_knife_utility;tl_basket_bark;tl_spade,костёр вокруг закрытой корчаги; нагрев бересты без доступа воздуха,mt_birch_tar,уголь бересты;разбитые корчаги;зола;запах дёгтя на месте,trained,days,4,бересту снимают в пору сокодвижения (конец весны — начало лета); гонят в сухую погоду,в корчагу попал воздух — береста сгорела;корчага лопнула;дёготь пригорел,пустой сборник и пепел вместо угля бересты;густой пригорелый продукт с сажей,Реалистично для обученного крестьянина при корчагах и бересте; горшки с дёгтем найдены в Новгороде. Главный риск — пожар и ожоги.,,,claim:place-thermal-birch-tar-can-link-heated-bark-and-a-separate-collection-path;claim:place-thermal-birch-tar-method-choice-can-change-oxygen-and-collection-conditions;claim:household-tar-pot;claim:population-material-wood-pyrolysis,src:talanin-degot,C,candidate,Способ (две корчаги или корчага над ямой) — аналогия XIX–XX вв.; выход не переносится.
pc_pine_pitch,Смолокурение и варка пека,pine tar and pitch boiling,tar_charcoal,fuel_charcoal_fire,conifer_woodland,mt_pine_resin;mt_wood_pine;mt_firewood,tl_axe_household;tl_knife_utility;tl_pitch_pot;tl_charcoal_pit,медленный нагрев смолистой древесины в яме или котле,mt_pine_pitch,смольё-уголь;копоть,trained,weeks,3,подсочка — лето; курение — сухая пора,смола загорелась;пек пережжён и ломок,пламя из котла;крошащийся пек,Смола сосны определена на новгородских лодках; способ промышленного смолокурения для 1230 г. не засвидетельствован — только аналогия.,,,claim:construction-pine-resin-surfaces;claim:macro-b20-heated-pitch-is-a-burn-and-fume-exposure-hazard-that-needs-cautious-handling;claim:pine-pitch-severe-oxidation,src:ethno-analogy;src:dubrovin2000-transport,C,candidate,
pc_charcoal_pit,Ямное углежжение,pit charcoal burning,tar_charcoal,fuel_charcoal_fire,forest_edge,mt_firewood;mt_wood_generic,tl_axe_household;tl_spade;tl_charcoal_pit,"частичное горение при ограниченном воздухе, затем закрытие отверстий",mt_charcoal,зола;недожог (головни);выжженная земля,trained,days,4,сухое время года; зимой заготовка дров,дрова сгорели дотла;недожог,много золы и мало угля;бурые недожжённые головни,"Колчин реконструирует ямное углежжение как вероятную форму. Нужны лес, яма, земля для укрытия и надзор.",,,claim:fuel-pit-charcoal-burning-form;claim:fuel-pit-charcoal-burning-wood-input;claim:fuel-pit-charcoal-burning-air-sequence;claim:fuel-pit-charcoal-burning-air-control;claim:fuel-pit-charcoal-burning-charcoal-output;claim:population-material-wood-pyrolysis,src:kolchin1953-metallurgy,A,candidate,
pc_log_building,Рубка сруба (плотницкое дело),log-house construction,carpentry,log_building,town_courtyard,mt_wood_pine;mt_wood_spruce;mt_hemp;mt_moss;mt_birch_bark,tl_axe_carpenter;tl_adze;tl_chisel;tl_auger_spoon;tl_wedge;tl_mallet;tl_marking_cord;tl_plumb_line;tl_saw,нет,pr:log_frame,щепа;обрубки;кора;стружка,master,weeks,4,"лес рубят зимой (меньше сока, по снегу вывозят); рубка сруба — с весны до осени",венцы не прилегают — щели;перекос сруба;гнилое бревно в нижнем венце,свет в пазах;сруб «повело»;мягкая труха в нижних венцах,"Артель плотников за недели; одиночке — только малая постройка. Нужны брёвна, топоры, разметка. Подробности постройки — у buildings_structures.",,,claim:ordinary-life-carpenter-works-wood-with-tools;claim:agriculture-fauna-tow-log-gaps;claim:population-material-wood-loading;claim:reality-batch-01-wooden-joinery-can-be-unloaded-before-adjustment;claim:urban-wooden-coverings,src:kolchin1957-city;src:kolchin1959-iron,B,candidate,Мох в пазах — кандидат (master); пакля — WK.
pc_board_hewing,Раскол бревна и тёска досок и плах,splitting and hewing boards,carpentry,wood_splitting_hewing,town_courtyard,mt_wood_pine;mt_wood_oak,tl_wedge;tl_mallet;tl_axe_carpenter;tl_adze;tl_workhorse,нет,pr:hewn_board,щепа;горбыль,trained,day,3,свежесрубленный лес колется легче,трещина ушла в сторону — плаха короткая или кривая,винтовой раскол;сучковатая плаха,Основной способ получать доски (механической распиловки нет); выход зависит от прямослойности бревна.,,,claim:mb14-practical-wet-wood-splitting-needs-grain-and-restraint;claim:foundations-mat-01-wood-knot-strength-bonding;claim:population-material-wood-loading,src:master-technology-v1;src:kolchin1957-city,B,candidate,
