step_id,pc_id,step_no,action_ru,in_state,extra_inputs,tools,out_state,waste,duration_band,skill_level,checks_and_defects_ru,confidence,source_refs,status
pc_welded_steel_edge__s04,pc_welded_steel_edge,4,"Отковать форму лезвия, оттянуть кромку",st:welded_blank,,tl_anvil;tl_smith_hammer,st:forged_tool,окалина,hours,master,,A,src:kolchin1959-iron;src:kolchin1957-city,candidate
pc_welded_steel_edge__s05,pc_welded_steel_edge,5,Закалить рабочую часть в воде,st:forged_tool,mt_water,tl_quench_tub;tl_smith_tongs,st:hardened_tool,пар,minutes,master,"трещина закалки, поводка",A,src:kolchin1959-iron;src:kolchin1957-city,candidate
pc_welded_steel_edge__s06,pc_welded_steel_edge,6,Отпустить нагревом до нужного цвета,st:hardened_tool,,tl_forge_hearth,st:tempered_tool,,minutes,master,перегрев снимает закалку,B,src:kolchin1959-iron;src:kolchin1957-city,candidate
pc_welded_steel_edge__s07,pc_welded_steel_edge,7,"Заточить на круге и оселке, насадить рукоять",st:tempered_tool,mt_wood_birch,tl_grinding_wheel;tl_whetstone;tl_file,pr:edge_tool,"точильный шлам, стружка рукояти",hours,trained,,A,src:kolchin1959-iron;src:kolchin1957-city,candidate
pc_carburizing__s01,pc_carburizing,1,"Уложить железные полосы в глиняный сосуд с толчёным углём и солью, замазать",mt_iron,mt_charcoal;mt_salt;mt_clay_refractory,tl_carburizing_pot,st:sealed_pot,,hour,master,щели в обмазке,B,src:kolchin1959-iron,candidate
pc_carburizing__s02,pc_carburizing,2,Держать сосуд в жару горна долгое время,st:sealed_pot,mt_charcoal,tl_forge_hearth;tl_bellows,st:carburized_pot,зола,hours,master,трещина сосуда,C,src:kolchin1959-iron,candidate
pc_carburizing__s03,pc_carburizing,3,Разбить сосуд и извлечь полосы,st:carburized_pot,,tl_smith_tongs,mt_steel,черепки сосуда,minutes,master,светлая поверхность без окалины,C,src:kolchin1959-iron,candidate
pc_nail_forging__s01,pc_nail_forging,1,Оттянуть железный пруток,mt_iron,mt_charcoal,tl_forge_hearth;tl_anvil;tl_smith_hammer,st:nail_rod,окалина,hour,trained,,A,src:kolchin1959-iron;src:kolchin1957-city,candidate
pc_nail_forging__s02,pc_nail_forging,2,Заострить конец и надрубить стержень на длину гвоздя,st:nail_rod,,tl_smith_hammer;tl_smith_chisel,st:nail_blank,,minutes,trained,,B,src:kolchin1959-iron;src:kolchin1957-city,candidate
pc_nail_forging__s03,pc_nail_forging,3,"Вставить в гвоздильню, отломить и расклепать шляпку",st:nail_blank,,tl_nail_header;tl_smith_hammer,pr:forged_nail,обсечки,minutes,trained,кривая шляпка,B,src:kolchin1959-iron;src:kolchin1957-city,candidate
pc_iron_repair__s01,pc_iron_repair,1,"Осмотреть вещь и решить: сварить, наварить, перековать или разобрать на лом",pr:worn_iron_object,,tl_file,st:assessed_object,,minutes,trained,скрытую трещину по внешнему виду не установить,B,src:kolchin1959-iron;src:master-technology-v1,candidate
pc_iron_repair__s02,pc_iron_repair,2,Нагреть и наварить или выправить повреждённую часть,st:assessed_object,mt_iron;mt_charcoal,tl_forge_hearth;tl_bellows;tl_anvil;tl_smith_hammer;tl_smith_tongs,st:reforged_object,окалина,hours,trained,,B,src:kolchin1959-iron;src:master-technology-v1,candidate
pc_iron_repair__s03,pc_iron_repair,3,Заточить или зачистить,st:reforged_object,,tl_grinding_wheel;tl_file,pr:repaired_iron_object,точильный шлам,hour,trained,,B,src:kolchin1959-iron;src:master-technology-v1,candidate
pc_nonferrous_casting__s01,pc_nonferrous_casting,1,"Вырезать форму в сланцевой створке (или слепить глиняную по модели), сделать литник и штифты",mt_slate_ovruch,mt_limestone;mt_clay_refractory,tl_graver;tl_carving_knife;tl_compass_divider,st:mould_ready,каменная крошка,days,master,ошибку резьбы в камне не исправить,A,src:iaran-desyatinny;src:sedova1981-jewelry,candidate
pc_nonferrous_casting__s02,pc_nonferrous_casting,2,"Отвесить металл и лом, загрузить в тигель",st:mould_ready,mt_copper;mt_tin;mt_lead;mt_brass,tl_jeweler_scales;tl_crucible,st:charged_crucible,,minutes,master,,B,src:iaran-desyatinny;src:sedova1981-jewelry,candidate
pc_nonferrous_casting__s03,pc_nonferrous_casting,3,Расплавить металл в тигле в угле при дутье,st:charged_crucible,mt_charcoal,tl_bellows;tl_blowpipe;tl_crucible_tongs,st:molten_metal,шлак на поверхности,hour,master,тигель треснул — металл в угле,A,src:iaran-desyatinny;src:sedova1981-jewelry,candidate
pc_nonferrous_casting__s04,pc_nonferrous_casting,4,"Связать и прогреть форму, залить металл",st:molten_metal,,tl_mould_stone;tl_ladle_pouring;tl_crucible_tongs,st:raw_casting,брызги,minutes,master,"недолив, пузыри",A,src:iaran-desyatinny;src:sedova1981-jewelry,candidate
pc_nonferrous_casting__s05,pc_nonferrous_casting,5,"Раскрыть форму, отломить литник, опилить и заполировать",st:raw_casting,,tl_file;tl_burnisher,pr:cast_ornament,"литник, опилки металла, брак",hours,trained,"облой, раковины",A,src:iaran-desyatinny;src:sedova1981-jewelry,candidate
pc_lost_wax_casting__s01,pc_lost_wax_casting,1,Вылепить или вырезать модель из воска с восковым литником,mt_beeswax,,tl_carving_knife,st:wax_model,восковые обрезки,hours,master,,B,src:sedova1981-jewelry;src:matcult-catalog-v1,candidate
pc_lost_wax_casting__s02,pc_lost_wax_casting,2,Облепить модель слоями глины и просушить,st:wax_model,mt_clay_refractory,,st:invested_model,,days,master,слишком быстрая сушка — трещины,C,src:sedova1981-jewelry;src:matcult-catalog-v1,candidate
pc_lost_wax_casting__s03,pc_lost_wax_casting,3,Прогреть форму и вытопить воск,st:invested_model,mt_charcoal,,st:empty_mould,дым воска,hours,master,остаток воска даёт пустоты,C,src:sedova1981-jewelry;src:matcult-catalog-v1,candidate
pc_lost_wax_casting__s04,pc_lost_wax_casting,4,Залить расплавленный металл в горячую форму,st:empty_mould,mt_bronze,tl_crucible;tl_crucible_tongs;tl_bellows,st:filled_mould,,minutes,master,,B,src:sedova1981-jewelry;src:matcult-catalog-v1,candidate
pc_lost_wax_casting__s05,pc_lost_wax_casting,5,"Разбить форму, отделить литник, отделать",st:filled_mould,,tl_file;tl_burnisher,pr:cast_ornament,"черепки формы, литник",hours,trained,,B,src:sedova1981-jewelry;src:matcult-catalog-v1,candidate
pc_wire_filigree__s01,pc_wire_filigree,1,Отлить и отковать пруток,mt_silver,mt_charcoal,tl_crucible;tl_jeweler_hammer;tl_jeweler_anvil,st:metal_rod,,hour,specialist,,C,src:sedova1981-jewelry;src:matcult-catalog-v1;src:master-technology-v1,candidate
pc_wire_filigree__s02,pc_wire_filigree,2,Протянуть пруток через волочильную доску до тонкой проволоки,st:metal_rod,,tl_draw_plate;tl_jeweler_pliers,st:wire,обрывки проволоки,hours,specialist,"разрывы, неровная толщина",C,src:sedova1981-jewelry;src:matcult-catalog-v1;src:master-technology-v1,candidate
pc_wire_filigree__s03,pc_wire_filigree,3,"Свить и выложить узор, приготовить зерно",st:wire,,tl_jeweler_pliers,st:laid_filigree,,hours,specialist,,C,src:sedova1981-jewelry;src:matcult-catalog-v1;src:master-technology-v1,candidate
pc_wire_filigree__s04,pc_wire_filigree,4,Напаять узор и зерно на основу,st:laid_filigree,,tl_blowpipe,pr:filigree_ornament,,hours,specialist,залитые припоем ячейки,C,src:sedova1981-jewelry;src:matcult-catalog-v1;src:master-technology-v1,candidate
pc_sheet_embossing__s01,pc_sheet_embossing,1,Отковать и отжечь тонкий лист,mt_copper,,tl_jeweler_hammer;tl_jeweler_anvil,st:metal_sheet,,hour,master,,B,src:matcult-catalog-v1;src:sedova1981-jewelry,candidate
pc_sheet_embossing__s02,pc_sheet_embossing,2,Выбить рельеф по матрице через прокладку,st:metal_sheet,mt_lead,tl_embossing_die;tl_jeweler_hammer;tl_chasing_punch,st:embossed_sheet,,hour,master,разрывы,B,src:matcult-catalog-v1;src:sedova1981-jewelry,candidate
pc_sheet_embossing__s03,pc_sheet_embossing,3,"Вырезать накладку, пробить отверстия, опилить",st:embossed_sheet,,tl_jeweler_pliers;tl_file,pr:embossed_mount,обрезки,hour,trained,,B,src:matcult-catalog-v1;src:sedova1981-jewelry,candidate
pc_lead_seal__s01,pc_lead_seal,1,Отлить свинцовую заготовку со сквозным каналом (вокруг стержня),mt_lead,mt_charcoal,tl_seal_blank_mould;tl_crucible;tl_ladle_pouring,st:seal_blank,брызги свинца,minutes,trained,канал перекрыт,B,src:iaran-bullotirion;src:kyy1985-applied,candidate
pc_lead_seal__s02,pc_lead_seal,2,"Продеть через канал шнур, привязанный к документу",st:seal_blank,mt_cordage,,st:blank_on_cord,,minutes,household,,A,src:iaran-bullotirion;src:kyy1985-applied,candidate
pc_lead_seal__s03,pc_lead_seal,3,Зажать заготовку между матрицами буллотирия и ударить молотом,st:blank_on_cord,,tl_bullotirion;tl_smith_hammer;tl_anvil,pr:sealed_document,,minutes,trained,смещённый или двойной оттиск,A,src:iaran-bullotirion;src:kyy1985-applied,candidate
pc_seal_matrix__s01,pc_seal_matrix,1,Отковать заготовку щипцов или пластины,mt_iron,mt_steel,tl_forge_hearth;tl_anvil;tl_smith_hammer,st:matrix_blank,окалина,hours,master,,B,src:kyy1985-applied;src:iaran-bullotirion,candidate
pc_seal_matrix__s02,pc_seal_matrix,2,Разметить поле и зеркальную надпись,st:matrix_blank,,tl_compass_divider,st:marked_matrix,,hours,specialist,ошибка зеркальности,C,src:kyy1985-applied;src:iaran-bullotirion,candidate
pc_seal_matrix__s03,pc_seal_matrix,3,Вырезать изображение и надпись вглубь,st:marked_matrix,,tl_graver;tl_chasing_punch;tl_file,pr:seal_matrix,металлическая стружка,days,specialist,сорвавшийся штрих,C,src:kyy1985-applied;src:iaran-bullotirion,candidate
pc_tanning_bark__s01,pc_tanning_bark,1,Отмочить и промыть сырую шкуру от грязи и крови,mt_hide_raw,mt_water,tl_liming_vat,st:soaked_hide,грязная вода,days,trained,перемочка — ослизлость и запах гнили,B,src:izumova1959-leather,candidate
pc_tanning_bark__s02,pc_tanning_bark,2,Мездрить шкуру на колоде скребком,st:soaked_hide,,tl_beam;tl_fleshing_knife,st:fleshed_hide,мездра,hours,trained,подрезы и дыры,A,src:izumova1959-leather,candidate
pc_tanning_bark__s03,pc_tanning_bark,3,Золить в растворе извести с золой до отставания волоса,st:fleshed_hide,mt_lime;mt_wood_ash_lye,tl_liming_vat,st:limed_hide,отработанная золка,weeks,master,волос не сходит — недозолено; зола раздражает кожу рук,A,src:izumova1959-leather,candidate
pc_tanning_bark__s04,pc_tanning_bark,4,"Счистить волос и остатки на колоде, промыть",st:limed_hide,mt_water,tl_beam;tl_fleshing_knife,st:pelt,шерсть и волос с золой (слои 5–15 см в раскопах),hours,trained,,A,src:izumova1959-leather,candidate
pc_tanning_bark__s05,pc_tanning_bark,5,Мягчить в кислом хлебном растворе (для мягких кож),st:pelt,mt_sour_bread_kvas,tl_liming_vat,st:bated_pelt,,days,master,,C,src:izumova1959-leather,candidate
pc_tanning_bark__s06,pc_tanning_bark,6,"Дубить в чане с настоем толчёной коры ивы, дуба, ольхи, подсыпая кору",st:bated_pelt,mt_bark_tanning;mt_water,tl_liming_vat,st:tanned_hide,отработанная кора,months,master,серая недубленая середина на срезе,B,src:izumova1959-leather,candidate
pc_tanning_bark__s07,pc_tanning_bark,7,"Высушить на раме, промять, прожировать жиром или дёгтем",st:tanned_hide,mt_tallow;mt_birch_tar,tl_drying_frame;tl_leather_press,st:finished_leather,,days,trained,пересушка у огня — ломкость,B,src:izumova1959-leather,candidate
pc_tanning_bark__s08,pc_tanning_bark,8,"При надобности окрасить в чёрный или бурый солями железа, обрезать края",st:finished_leather,mt_iron_black_dye,tl_knife_utility,mt_leather_veg,обрезки кожи,hours,trained,пятнистое прокрашивание,B,src:izumova1959-leather,candidate
pc_rawhide__s01,pc_rawhide,1,"Отмочить, мездрить и очистить от волоса",mt_hide_raw,mt_water,tl_beam;tl_fleshing_knife,st:clean_hide,"волос, мездра",days,trained,,B,src:izumova1959-leather,candidate
pc_rawhide__s02,pc_rawhide,2,Растянуть и подсушить,st:clean_hide,,tl_drying_frame,st:dried_hide,,days,trained,,B,src:izumova1959-leather,candidate
pc_rawhide__s03,pc_rawhide,3,Мять с жиром до мягкости,st:dried_hide,mt_tallow,tl_leather_press,mt_rawhide,,days,trained,пересохшие жёсткие участки,B,src:izumova1959-leather,candidate
pc_shoemaking__s01,pc_shoemaking,1,"Снять мерку, подобрать колодку, раскроить верх, подошву и задник",mt_leather_veg,,tl_last;tl_shoe_knife,st:cut_parts,обрезки кожи,hours,trained,детали не по мерке,A,src:izumova1959-leather,candidate
pc_shoemaking__s02,pc_shoemaking,2,"Навощить нить, сшить детали верха потайным (тачным) швом",st:cut_parts,mt_flax;mt_beeswax,tl_awl;tl_leather_needle;tl_wax_block,st:upper,,hours,trained,,A,src:izumova1959-leather,candidate
pc_shoemaking__s03,pc_shoemaking,3,"Пришить подошву к верху наизнанку на колодке, вставить подкрепление задника",st:upper,mt_birch_bark,tl_last;tl_awl;tl_leather_needle,st:inside_out_shoe,,hours,trained,разошедшийся шов,A,src:izumova1959-leather,candidate
pc_shoemaking__s04,pc_shoemaking,4,"Вывернуть, выправить на колодке, при желании оттиснуть узор",st:inside_out_shoe,,tl_last;tl_stamp_leather,pr:leather_footwear,,hour,trained,кожа лопнула при выворачивании,B,src:izumova1959-leather,candidate
pc_shoe_repair__s01,pc_shoe_repair,1,"Осмотреть обувь, распороть изношенную подошву или место прорыва",pr:worn_footwear,,tl_shoe_knife,st:opened_shoe,старая подошва,minutes,trained,,A,src:izumova1959-leather,candidate
pc_shoe_repair__s02,pc_shoe_repair,2,Выкроить и пришить новую подошву или заплату,st:opened_shoe,mt_leather_veg;mt_flax,tl_awl;tl_leather_needle;tl_last,pr:leather_footwear,обрезки,hours,trained,,A,src:izumova1959-leather,candidate
pc_flax_fibre__s01,pc_flax_fibre,1,Вымочить стебли в воде или расстелить на росу,pr:flax_stems,mt_water,,st:retted_stems,"гнилая вода, запах",weeks,household,проверять отделение волокна руками,B,src:izumova1959-leather;src:ethno-analogy,candidate
pc_flax_fibre__s02,pc_flax_fibre,2,Высушить стебли,st:retted_stems,,,st:dry_stems,,days,household,,C,src:izumova1959-leather;src:ethno-analogy,candidate
pc_flax_fibre__s03,pc_flax_fibre,3,"Промять мялкой, ломая кострику",st:dry_stems,,tl_flax_brake,st:broken_stems,кострика,hours,household,,B,src:izumova1959-leather;src:ethno-analogy,candidate
pc_flax_fibre__s04,pc_flax_fibre,4,"Трепать трепалом, выбивая кострику",st:broken_stems,,tl_scutcher,st:scutched_fibre,"кострика, пыль",hours,household,,B,src:izumova1959-leather;src:ethno-analogy,candidate
pc_flax_fibre__s05,pc_flax_fibre,5,"Чесать чесалом, отделяя длинное волокно от очёсов",st:scutched_fibre,,tl_hackle,mt_flax,очёсы (пакля),hours,household,кострика в кудели,B,src:izumova1959-leather;src:ethno-analogy,candidate
pc_spinning__s01,pc_spinning,1,Привязать кудель к прялке,mt_flax,,tl_distaff,st:dressed_distaff,,minutes,household,,B,src:matcult-catalog-v1;src:ethno-analogy,candidate
pc_spinning__s02,pc_spinning,2,Вытягивать и скручивать нить веретеном с пряслицем,st:dressed_distaff,,tl_spindle;tl_spindle_whorl,st:spun_cop,обрывки,weeks,household,неровная нить,A,src:matcult-catalog-v1;src:ethno-analogy,candidate
pc_spinning__s03,pc_spinning,3,Смотать нить на мотовило в пасмы,st:spun_cop,,tl_reel,pr:yarn,,hours,household,,B,src:matcult-catalog-v1;src:ethno-analogy,candidate
pc_weaving__s01,pc_weaving,1,Снуть основу нужной длины и числа нитей,pr:yarn,,,st:warp,,hours,trained,ошибка в счёте нитей,B,src:matcult-catalog-v1,candidate
pc_weaving__s02,pc_weaving,2,"Заправить основу в стан через ремиз и бёрдо, натянуть",st:warp,,tl_loom;tl_reed_comb;tl_loom_weight,st:dressed_loom,,day,trained,неравное натяжение,B,src:matcult-catalog-v1,candidate
pc_weaving__s03,pc_weaving,3,"Ткать: зев, прокидка утка челноком, прибой",st:dressed_loom,,tl_shuttle;tl_weaving_sword,st:cloth_on_loom,обрывки,weeks,trained,"пропуски, перекос",A,src:matcult-catalog-v1,candidate
pc_weaving__s04,pc_weaving,4,"Снять полотно, закрепить концы",st:cloth_on_loom,,tl_shears,pr:woven_cloth,концы основы,hour,trained,,B,src:matcult-catalog-v1,candidate
pc_textile_dyeing__s01,pc_textile_dyeing,1,Промыть ткань или пряжу,pr:woven_cloth,mt_water;mt_wood_ash_lye,tl_bucket,st:scoured_textile,грязная вода,hours,household,недостаточная очистка — пятна,B,src:kyy1985-applied,candidate
pc_textile_dyeing__s02,pc_textile_dyeing,2,Приготовить и нагреть красильную ванну,st:scoured_textile,mt_textile_dyes;mt_firewood,tl_dye_pot,st:dyebath_with_textile,,hours,trained,,C,src:kyy1985-applied,candidate
pc_textile_dyeing__s03,pc_textile_dyeing,3,"Выдерживать ткань в ванне, переворачивая",st:dyebath_with_textile,,tl_dye_pot,st:dyed_wet,отработанная ванна,hours,trained,пятнистость,B,src:kyy1985-applied,candidate
pc_textile_dyeing__s04,pc_textile_dyeing,4,Прополоскать и высушить,st:dyed_wet,mt_water,,pr:dyed_cloth,окрашенная вода,days,household,линяет,B,src:kyy1985-applied,candidate
pc_felting__s01,pc_felting,1,Разложить расчёсанную шерсть слоями,mt_wool,,,st:laid_wool,клочья,hours,household,,C,src:ethno-analogy,candidate
pc_felting__s02,pc_felting,2,"Мочить горячей водой, катать и бить до сваливания",st:laid_wool,mt_water,tl_bucket;tl_mallet,mt_felt,мутная вода,hours,household,рыхлые места,C,src:ethno-analogy,candidate
pc_pottery_wheel__s01,pc_pottery_wheel,1,"Накопать глину, проверить пластичность в руках",mt_clay,,tl_spade,st:dug_clay,пустая порода,hours,trained,мокрая грязь — не глина; проверять жгутом,A,src:novgorod-museum-ceramics;src:matcult-catalog-v1,candidate
pc_pottery_wheel__s02,pc_pottery_wheel,2,"Выдержать, очистить, замесить с отощителем",st:dug_clay,mt_temper;mt_water,tl_clay_trough,st:prepared_clay,камешки и корни,days,trained,,A,src:novgorod-museum-ceramics;src:matcult-catalog-v1,candidate
pc_pottery_wheel__s03,pc_pottery_wheel,3,Налепить заготовку жгутами и вытянуть на ручном круге,st:prepared_clay,,tl_potter_wheel;tl_potter_paddle,st:green_vessel,обрезки глины,hours,master,кривые стенки,A,src:novgorod-museum-ceramics;src:matcult-catalog-v1,candidate
pc_pottery_wheel__s04,pc_pottery_wheel,4,Оттиснуть или прочертить орнамент,st:green_vessel,,tl_pottery_stamp,st:decorated_vessel,,minutes,trained,,B,src:novgorod-museum-ceramics;src:matcult-catalog-v1,candidate
pc_pottery_wheel__s05,pc_pottery_wheel,5,Медленно высушить в тени,st:decorated_vessel,,tl_drying_shelf,st:dry_vessel,,days,trained,трещины от быстрой сушки,A,src:novgorod-museum-ceramics;src:matcult-catalog-v1,candidate
pc_pottery_wheel__s06,pc_pottery_wheel,6,Обжечь с постепенным подъёмом жара и медленно остудить,st:dry_vessel,mt_firewood,tl_kiln,pr:ceramic_pot,"брак, зола",day,master,"разрыв паром, недожог",A,src:novgorod-museum-ceramics;src:matcult-catalog-v1,candidate
pc_bone_comb__s01,pc_bone_comb,1,"Распилить рог на отрезки, отделив губчатую сердцевину",mt_antler,,tl_saw_bone,st:antler_billets,"основания рога, опилки",hours,master,,B,src:smirnova1998-bone;src:kyy1985-applied,candidate
pc_bone_comb__s02,pc_bone_comb,2,"Распарить и расколоть на пластины, выровнять ножом и напильником",st:antler_billets,mt_water,tl_bone_knife;tl_file,st:comb_plates,"стружка, брак",hours,master,трещины,C,src:smirnova1998-bone;src:kyy1985-applied,candidate
pc_bone_comb__s03,pc_bone_comb,3,"Собрать пластины между накладками, просверлить и склепать",st:comb_plates,mt_bronze;mt_iron,tl_bow_drill;tl_bone_rivets,st:comb_blank,,hours,master,,C,src:smirnova1998-bone;src:kyy1985-applied,candidate
pc_bone_comb__s04,pc_bone_comb,4,"Нарезать зубья, разметить и нанести циркульный орнамент, отполировать",st:comb_blank,,tl_saw_bone;tl_compass_divider;tl_whetstone,pr:bone_comb,опилки,hours,master,сломанные зубья,C,src:smirnova1998-bone;src:kyy1985-applied,candidate
pc_bone_skate__s01,pc_bone_skate,1,"Выбрать и очистить трубчатую кость, стесать скользящую плоскость",mt_bone,,tl_axe_household;tl_bone_knife,st:skate_blank,обрубки,hours,household,,A,src:matcult-catalog-v1,candidate
pc_bone_skate__s02,pc_bone_skate,2,Просверлить отверстия и привязать ремнями к обуви,st:skate_blank,mt_leather_veg,tl_bow_drill,pr:bone_skate,,hour,household,,B,src:matcult-catalog-v1,candidate
pc_glass_bracelet__s01,pc_glass_bracelet,1,Расплавить стекло в тигле,mt_glass,mt_charcoal,tl_glass_crucible;tl_bellows,st:soft_glass,,hours,specialist,,C,src:shchapova1972-glass;src:kyy1985-applied,candidate
pc_glass_bracelet__s02,pc_glass_bracelet,2,"Вытянуть и свить стеклянный прут, согнуть в кольцо и спаять",st:soft_glass,,tl_glass_tongs,st:hot_ring,капли стекла,minutes,specialist,несплавленный спай,C,src:shchapova1972-glass;src:kyy1985-applied,candidate
pc_glass_bracelet__s03,pc_glass_bracelet,3,Медленно остудить,st:hot_ring,,,pr:glass_bracelet,битый брак,hours,specialist,трещина при быстром остывании,C,src:shchapova1972-glass;src:kyy1985-applied,candidate
pc_birch_tar__s01,pc_birch_tar,1,"Надрать бересты с живых или поваленных берёз, свернуть",mt_birch_bark,,tl_knife_utility;tl_basket_bark,st:bark_rolls,,hours,household,,B,src:talanin-degot,candidate
pc_birch_tar__s02,pc_birch_tar,2,"Плотно набить корчагу берестой, закрыть, поставить над сборником, обмазать глиной стыки",st:bark_rolls,mt_clay,tl_tar_pots;tl_spade,st:sealed_retort,,hours,trained,щели дают доступ воздуха,C,src:talanin-degot,candidate
pc_birch_tar__s03,pc_birch_tar,3,"Жечь костёр вокруг корчаги, не давая огню внутрь",st:sealed_retort,mt_firewood,tl_tar_pots,st:tar_collected,зола,day,trained,,C,src:talanin-degot,candidate
pc_birch_tar__s04,pc_birch_tar,4,"Остудить, вскрыть, слить дёготь из сборника",st:tar_collected,,tl_tar_pots,mt_birch_tar,берестяной уголь,hours,trained,,C,src:talanin-degot,candidate
pc_pine_pitch__s01,pc_pine_pitch,1,Сделать надрезы на соснах и собрать живицу или нарубить смолистые пни,mt_pine_resin,mt_wood_pine,tl_axe_household;tl_knife_utility,st:resin_stock,щепа,weeks,household,,C,src:ethno-analogy;src:dubrovin2000-transport,candidate
pc_pine_pitch__s02,pc_pine_pitch,2,Медленно курить или вытапливать в яме или котле,st:resin_stock,mt_firewood,tl_charcoal_pit;tl_pitch_pot,st:crude_tar,смольё-уголь,days,trained,возгорание,C,src:ethno-analogy;src:dubrovin2000-transport,candidate
pc_pine_pitch__s03,pc_pine_pitch,3,Уварить в котле до густого пека,st:crude_tar,mt_firewood,tl_pitch_pot,mt_pine_pitch,копоть,hours,trained,пережог,C,src:ethno-analogy;src:dubrovin2000-transport,candidate
pc_charcoal_pit__s01,pc_charcoal_pit,1,"Нарубить поленья и сучья, выкопать яму",mt_firewood,mt_wood_generic,tl_axe_household;tl_spade,st:stacked_pit,щепа,days,household,,A,src:kolchin1953-metallurgy,candidate
pc_charcoal_pit__s02,pc_charcoal_pit,2,Зажечь и дать частично сгореть при слабом доступе воздуха,st:stacked_pit,,tl_charcoal_pit,st:charring_pit,дым,hours,trained,сильный огонь — выгорание,A,src:kolchin1953-metallurgy,candidate
