nm_id,name_ru,name_en,material_kind,category_code,scope,soil_ground_type,texture_ru,parent_material,perceptual_cues,moisture_regime,winter_ground_state,wet_trafficability,dig_difficulty,landscape_template_ids,source_refs,confidence,status
nm_ground_firm_grass_soil,Сухой дерновый грунт луга,dry turfed meadow soil,ground,natural_ground.firm_grass_soil,universal,firm_grass_soil,супесь под плотным дёрном,fluvioglacial / moraine,"цвет: тёмный дёрн, ниже бурая супесь; запах: трава, сухая земля; на ощупь/под ногой: твёрдый, пружинит дёрном",dry,промерзает глубже лесных грунтов (нет подстилки),проходим почти всегда,medium_turf,lt_dry_meadow,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)",C,candidate
nm_ground_clay_sand_loam,Песчано-глинистый грунт сухого оврага,sandy clay loam of a dry gully,ground,natural_ground.clay_sand_loam,universal,clay_sand_loam,"суглинок, прослои песка и глины",moraine / lacustrine-glacial,"цвет: рыжий, жёлтый и серый в стенках; запах: сухая глина; на ощупь/под ногой: осыпается со склонов, глина мажется",dry,промерзает; весной склоны оплывают,склоны скользкие,medium,lt_dry_ravine_gully,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)|wk:claim:foundations-haz-05-slope-water-triggers",C,candidate
nm_ground_minerotrophic_peat,Низинный (осоковый) торф,fen (minerotrophic) peat,ground,natural_ground.minerotrophic_peat,universal,minerotrophic_peat,"разложившийся торф, осоковые остатки",organic,"цвет: бурый до чёрного; запах: торф, болотная вода; на ощупь/под ногой: мокрый, волокнистый, выжимается водой",waterlogged,"промерзает медленно, зыбкие места держат воду",топь; ходят по кочкам,easy_waterlogged,lt_fen,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)",B,candidate
nm_ground_alluvial_wet_soil,Сырой аллювиальный грунт заливного луга,wet alluvial meadow soil,ground,natural_ground.alluvial_wet_soil,universal,alluvial_wet_soil,"суглинок, супесь, ил",alluvial,"цвет: тёмно-серый под травой; запах: сырой луг, ил после разлива; на ощупь/под ногой: мягкий, вода выступает под ногой",seasonally_wet,промерзает; весной заливается,вязко после разлива,easy,lt_floodplain_wet_grassland,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)",B,candidate
nm_ground_mud_peat_silt,Иловато-торфяной грунт заболоченного берега озера,peaty silt of a marshy lake margin,ground,natural_ground.mud_peat_silt,universal,mud_peat_silt,"ил, торф, растительный детрит",lacustrine / organic,"цвет: чёрный и тёмно-бурый; запах: тина, гниющие стебли; на ощупь/под ногой: зыбкий, засасывает",waterlogged,корка льда поверх мокрого грунта,непроходимо без настила,easy_waterlogged,lt_marsh_lake_margin,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)",C,candidate
nm_ground_loam_grass_soil,Суглинистый дерновый грунт луга,turfed loam meadow soil,ground,natural_ground.loam_grass_soil,universal,loam_grass_soil,суглинок под дёрном,moraine,"цвет: тёмный дёрн, бурый суглинок; запах: трава, земля; на ощупь/под ногой: плотный, в дождь мажется",normal,промерзает до полуметра,в дождь скользко,medium_turf,lt_mesic_meadow,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)|Климат Новгородской области — trasa.ru (макс. глубина промерзания почв до 50 см; безморозный период 143 дня; распутица с начала апреля 20–30 дней). http://trasa.ru/region/novgorodskaya_clim.html",C,candidate
nm_ground_deep_peat_roots,Глубокий торф болотного леса,deep peat of a swamp forest,ground,natural_ground.deep_peat_roots,universal,deep_peat_roots,торф с корнями и пнями,organic,"цвет: бурый, тёмный; запах: торф, прель; на ощупь/под ногой: мягкий, пружинящий, мокрый",waterlogged,промерзает неравномерно,топко между корнями,hard_roots,lt_peat_swamp_forest,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)",C,candidate
nm_ground_sphagnum_peat,Сфагновый верховой торф,sphagnum (raised-bog) peat,ground,natural_ground.sphagnum_peat,universal,sphagnum_peat,слаборазложившийся моховой торф,organic,"цвет: рыжий, бурый, сверху зелёный и красноватый мох; запах: кисловатый мох, болотная вода; на ощупь/под ногой: губчатый, выжимается как мокрая шерсть",waterlogged,промерзает поздно; зыбь опасна до крепкого мороза,"зыбко, без троп опасно",easy_waterlogged,lt_raised_bog,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)",B,candidate
nm_ground_mud_silt,Ил тростникового болота,reedbed mud and silt,ground,natural_ground.mud_silt,universal,mud_silt,"ил, растительный детрит",lacustrine / alluvial,"цвет: чёрный; запах: тина, болотный газ; на ощупь/под ногой: засасывает, холодный",waterlogged,лёд поверх ила,непроходимо в тёплое время,easy_waterlogged,lt_reedbed_marsh,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)",C,candidate
nm_ground_mud_silt_reeds,Иловатый берег с корневищами тростника,silty reed-rhizome shore,ground,natural_ground.mud_silt_reeds,universal,mud_silt_reeds,"ил, песок, сплетение корневищ",lacustrine,"цвет: серо-чёрный; запах: тина; на ощупь/под ногой: корневища держат, между ними топко",wet,промерзает вместе с прибрежным льдом,топко у воды,hard_roots,lt_reed_lake_shore,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)|wk:claim:common-reed-rhizome-produces-stems-in-wetland-habitat",C,candidate
nm_ground_mud_roots_brush,Корнистый ил прибрежного кустарника,root-bound mud of riparian scrub,ground,natural_ground.mud_roots_brush,universal,mud_roots_brush,"ил, супесь, корни ивы и ольхи",alluvial,"цвет: серо-бурый; запах: ил, сырая кора; на ощупь/под ногой: мягкий, корни как верёвки",wet_or_normal,промерзает; в ледоход подмывается,грязно у воды,hard_roots,lt_riparian_scrub_bank,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)",C,candidate
nm_ground_stone_boulder_gravel,Валунно-галечный берег,boulder and gravel shore,ground,natural_ground.stone_boulder_gravel,universal,stone_boulder_gravel,"валуны, галька, гравий, песок",moraine / fluvioglacial,"цвет: серые и розоватые валуны, мох на камнях; запах: мокрый камень; на ощупь/под ногой: твёрдо, скользко на мокрых камнях",normal_or_wet,"камни обмерзают, лёд между ними","скользко, но не вязко",hard_stone,lt_rocky_lake_shore,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)",B,candidate
nm_ground_sand,Песчаный берег,sandy shore,ground,natural_ground.sand,universal,sand,"песок, местами гравий",fluvioglacial / lacustrine,"цвет: жёлтый и серый; запах: сухой песок, вода; на ощупь/под ногой: рассыпается, ноги вязнут в сухом",normal_or_wet,"мокрый песок смерзается, сухой остаётся сыпучим",мокрый песок держит лучше сухого,easy,lt_sandy_lake_shore,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)",B,candidate
nm_ground_grass_brush_soil,Дерновый грунт закустаренного луга,turfed soil of scrubby meadow,ground,natural_ground.grass_brush_soil,universal,grass_brush_soil,супесь и суглинок под дёрном,moraine / fluvioglacial,"цвет: тёмный дёрн; запах: трава, кустарник; на ощупь/под ногой: плотный, с корнями кустов",normal,промерзает,проходим,medium_roots,lt_scrub_meadow,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)",C,candidate
nm_ground_alluvial_roots_mud,Корнистый наилок пойменного леса,root-bound alluvium of flooded forest,ground,natural_ground.alluvial_roots_mud,universal,alluvial_roots_mud,"наилок, суглинок, корни",alluvial,"цвет: бурый, следы разлива на стволах; запах: ил, прель; на ощупь/под ногой: мягкий, неровный",seasonally_wet,промерзает; заливается весной,"грязно, лужи в западинах",hard_roots,lt_seasonally_flooded_forest,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)",B,candidate
nm_ground_silt_mud_seasonal,Сезонно мокрый ил осокового болота,seasonally wet sedge-marsh silt,ground,natural_ground.silt_mud_seasonal,universal,silt_mud_seasonal,"ил, суглинок, осоковый детрит",alluvial / lacustrine,"цвет: серо-бурый; запах: болотная трава; на ощупь/под ногой: летом подсыхает коркой, весной топкий",seasonally_wet,промерзает,топко весной и осенью,easy,lt_seasonal_sedge_marsh,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)",C,candidate
nm_ground_mud_roots_silt,Корнистый ил кустарникового болота,root-bound silt of shrub swamp,ground,natural_ground.mud_roots_silt,universal,mud_roots_silt,"ил, торф, корни ивняка",organic / alluvial,"цвет: чёрно-бурый; запах: болотная прель; на ощупь/под ногой: зыбкий, корни держат",waterlogged,промерзает неравномерно,топко,hard_roots,lt_shrub_swamp,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)",C,candidate
nm_ground_clay_silt_roots,Глинисто-иловатый подмытый берег,undercut clay-silt bank,ground,natural_ground.clay_silt_roots,universal,clay_silt_roots,"глина, суглинок, песчаные прослои, корни",alluvial / lacustrine-glacial,"цвет: обнажение в полосах: серое, бурое, рыжее; запах: сырая глина; на ощупь/под ногой: глина скользкая, с обрыва сыплется песок",normal_or_wet,обрыв смерзается; после оттаивания обваливается,скользко по кромке,medium,lt_steep_eroding_riverbank,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)|wk:claim:final-nature-freeze-thaw-can-break-bank-soil-and-increase-erosion-vulnerability",B,candidate
nm_ground_clay_stony_soil,Глинисто-каменистый грунт крутого холма,stony clay soil of steep hills,ground,natural_ground.clay_stony_soil,universal,clay_stony_soil,моренный суглинок с валунами,moraine,"цвет: бурый с серыми камнями; запах: сухая земля; на ощупь/под ногой: плотный, камни выступают",normal,промерзает; камни выпирают,склоны скользкие,hard_stone,lt_steep_hills,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)",B,candidate
