ad_id,source_item_id,kind,name_ru,target_table,slot,material,material_ids,sex,age,marital_status,status_band,origin_refs,appearance_facet,vocabulary_value,needs_vocabulary_extension,frequency_class,weight,weight_rule,weight_basis,wear_states,source_refs,confidence,status,notes
ap_facial_hair_full_beard_male,,appearance,Полная борода,region_appearance_profile_entries,,,,male,adult|middle_aged|old,any,low|middle|high|elite,local,facial_hair,full_beard,false,common,4,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,"борода охраняется штрафом 12 гривен (РП, Пространная ред., ст. «О бороде»); за вырванный ус — отдельно, по Краткой ред.; бородатые мужи в иконографии Нередицы",,web:WEB06|costume:SRC025|risovalka §2,C,candidate,частота — вывод; сам факт ношения бород A
ap_facial_hair_short_beard_male,,appearance,Короткая/средняя борода,region_appearance_profile_entries,,,,male,adult|middle_aged|old,any,low|middle|high|elite,local,facial_hair,short_beard,false,common,4,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,inference: risovalka §2 — художественный дизайн одного персонажа; базовая борода короткая/средняя (не популяционная статистика),,web:WEB06|risovalka §2,C,candidate,
ap_facial_hair_moustache_male,,appearance,Усы без бороды,region_appearance_profile_entries,,,,male,adult|middle_aged|old,any,low|middle|high|elite,local,facial_hair,moustache,false,rare,1,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,"inference: усы без бороды не описаны в собранных источниках — частотный класс rare не выведен из данных, а принят по умолчанию",,web:WEB06,C,candidate,
ap_facial_hair_none_male,,appearance,Без бороды и усов,region_appearance_profile_entries,,,,male,adult|middle_aged|old,any,low|middle|high|elite,local,facial_hair,none,false,rare,1,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,"inference: бритьё не описано как норма; исключение — юноши. Частотный класс rare не выведен из данных, а принят по умолчанию",,web:WEB06,C,candidate,young_adult в одобренном v3 допускает только none — нужен пересмотр applicability владельцем
ap_hair_length_medium_male,,appearance,Волосы средней длины (муж.),region_appearance_profile_entries,,,,male,young_adult|adult|middle_aged|old,any,low|middle|high|elite,local,hair_length,medium,false,common,4,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,inference: risovalka §2 — художественный дизайн одного персонажа (до ушей/шеи); культура.ру (C): у пожилых до плеч. Не популяционная статистика,,risovalka §2|web:WEB07,C,candidate,
ap_hair_length_short_male,,appearance,Короткие волосы (муж.),region_appearance_profile_entries,,,,male,young_adult|adult|middle_aged|old,any,low|middle|high|elite,local,hair_length,short,false,contextual,2,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,"inference: risovalka items.json — короткие волосы как один из вариантов дизайна, не популяционная статистика",,risovalka §2,C,candidate,
ap_hair_length_long_female,,appearance,Длинные волосы (жен.),region_appearance_profile_entries,,,,female,young_adult|adult|middle_aged|old,any,low|middle|high|elite,local,hair_length,long,false,ubiquitous,8,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,коса девушки; волосы замужних убраны под повой,,web:WEB07|claim:clothing-povoi-headcover,C,candidate,
ap_hair_style_braided_female,,appearance,Заплетённые волосы (жен.),region_appearance_profile_entries,,,,female,young_adult|adult|middle_aged|old,any,low|middle|high|elite,local,hair_style,braided,false,common,4,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,девичья коса; две косы у замужних под убором (этнографическая ретроекция),,web:WEB07,C,candidate,
ap_hair_style_single_braid_maiden_female,,appearance,Девичья коса,owner:@rus/actors (vocabulary extension),,,,female,young_adult|adult,unmarried,low|middle|high|elite,local,hair_style,single_braid_maiden,true,common,4,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,девичья коса,,web:WEB07|costume:CMB028,C,candidate,значения нет в словаре
ap_hair_style_hair_covered_by_headwear_female,,appearance,Волосы покрыты убором (замужняя),owner:@rus/actors (vocabulary extension),,,,female,young_adult|adult|middle_aged|old,married,low|middle|high|elite,local,hair_style,hair_covered_by_headwear,true,ubiquitous,8,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,повой покрывает волосы,,claim:clothing-povoi-headcover|costume:HW006|costume:HW007,B,candidate,значения нет в словаре; сейчас выражается только слотом head_under
ap_build_slim_male_female,,appearance,Худощавое телосложение,region_appearance_profile_entries,,,,male|female,young_adult|adult|middle_aged|old,any,low,local,build,slim,false,common,4,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,голод 1230: истощение бедных (осень–зима 1230),,sqlite:S01|sqlite:social_groups#нищие|risovalka §1 Б,B,candidate,нужен селектор фазы famine_1230 и status_band
ap_build_emaciated_male_female,,appearance,Истощение (голод 1230),owner:@rus/actors (vocabulary extension),,,,male|female,young_adult|adult|middle_aged|old,any,low,local,build,emaciated,true,contextual,2,frequency_class ubiquitous/common/contextual/rare -> 8/4/2/1,"голод 1230: «запавшие щёки», истощение",,sqlite:S01|risovalka §1 Б,B,candidate,значения нет в словаре
