ingredient_id,slug,name_ru,historical_name,ingredient_type,item_id,item_source_catalog,description_ru,period_from,period_to,valid_for_1230,region_scope,local_or_imported,historical_confidence,recipe_evidence_type,evidence_basis,source_ids,season_profile,social_scope,fasting_status,rarity,relative_cost,storage_container_ids,storage_location_ids,estimated_shelf_life,shelf_life_basis,spoilage_signs,anachronism_risk,notes
ING0013,millet_groats,Пшённая крупа,unknown,processed_product,OMI01293,other_material_entities_v1,Продукт помола или дробления зерна (millet_grain); технологическая форма подтверждена находками и хозяйственным контекстом.,1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,A,ingredient_based_reconstruction,Продукт помола или дробления зерна (millet_grain); технологическая форма подтверждена находками и хозяйственным контекстом.,"[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]",stored_year_round,"[""common""]",fasting_allowed,common,low,"[""HOU0015"",""HOU0021"",""AGR0009""]","[""ARC0018"",""ARC0026""]",weeks to months if dry,reconstruction_estimate,"[""damp"",""moldy"",""pest_damaged""]",low,
ING0014,wheat_groats,Пшеничная крупа грубого дробления,unknown,processed_product,OMI01289,other_material_entities_v1,Продукт помола или дробления зерна (wheat_grain); технологическая форма подтверждена находками и хозяйственным контекстом.,1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,B,ingredient_based_reconstruction,Продукт помола или дробления зерна (wheat_grain); технологическая форма подтверждена находками и хозяйственным контекстом.,"[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]",stored_year_round,"[""common""]",fasting_allowed,common,low,"[""HOU0015"",""HOU0021"",""AGR0009""]","[""ARC0018"",""ARC0026""]",weeks to months if dry,reconstruction_estimate,"[""damp"",""moldy"",""pest_damaged""]",low,
ING0015,rye_flour_coarse,Грубая ржаная мука,unknown,processed_product,OMI01294,other_material_entities_v1,Продукт помола или дробления зерна (rye_grain); технологическая форма подтверждена находками и хозяйственным контекстом.,1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,A,ingredient_based_reconstruction,Продукт помола или дробления зерна (rye_grain); технологическая форма подтверждена находками и хозяйственным контекстом.,"[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]",stored_year_round,"[""common""]",fasting_allowed,common,low,"[""HOU0015"",""HOU0021"",""AGR0009""]","[""ARC0018"",""ARC0026""]",weeks to months if dry,reconstruction_estimate,"[""damp"",""moldy"",""pest_damaged""]",low,
ING0016,rye_flour_fine,Более тонко просеянная ржаная мука,unknown,processed_product,OMI01295,other_material_entities_v1,Продукт помола или дробления зерна (rye_grain); технологическая форма подтверждена находками и хозяйственным контекстом.,1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,B,ingredient_based_reconstruction,Продукт помола или дробления зерна (rye_grain); технологическая форма подтверждена находками и хозяйственным контекстом.,"[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]",stored_year_round,"[""common""]",fasting_allowed,common,low,"[""HOU0015"",""HOU0021"",""AGR0009""]","[""ARC0018"",""ARC0026""]",weeks to months if dry,reconstruction_estimate,"[""damp"",""moldy"",""pest_damaged""]",low,
ING0017,wheat_flour,Пшеничная мука,unknown,processed_product,OMI01298,other_material_entities_v1,Продукт помола или дробления зерна (wheat_grain); технологическая форма подтверждена находками и хозяйственным контекстом.,1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,A,ingredient_based_reconstruction,Продукт помола или дробления зерна (wheat_grain); технологическая форма подтверждена находками и хозяйственным контекстом.,"[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]",stored_year_round,"[""common""]",fasting_allowed,common,low,"[""HOU0015"",""HOU0021"",""AGR0009""]","[""ARC0018"",""ARC0026""]",weeks to months if dry,reconstruction_estimate,"[""damp"",""moldy"",""pest_damaged""]",low,
ING0018,barley_flour,Ячменная мука,unknown,processed_product,OMI01297,other_material_entities_v1,Продукт помола или дробления зерна (barley_grain); технологическая форма подтверждена находками и хозяйственным контекстом.,1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,A,ingredient_based_reconstruction,Продукт помола или дробления зерна (barley_grain); технологическая форма подтверждена находками и хозяйственным контекстом.,"[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]",stored_year_round,"[""common""]",fasting_allowed,common,low,"[""HOU0015"",""HOU0021"",""AGR0009""]","[""ARC0018"",""ARC0026""]",weeks to months if dry,reconstruction_estimate,"[""damp"",""moldy"",""pest_damaged""]",low,
ING0019,oat_flour,Овсяная мука,unknown,processed_product,OMI01296,other_material_entities_v1,Продукт помола или дробления зерна (oat_grain); технологическая форма подтверждена находками и хозяйственным контекстом.,1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,A,ingredient_based_reconstruction,Продукт помола или дробления зерна (oat_grain); технологическая форма подтверждена находками и хозяйственным контекстом.,"[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]",stored_year_round,"[""common""]",fasting_allowed,common,low,"[""HOU0015"",""HOU0021"",""AGR0009""]","[""ARC0018"",""ARC0026""]",weeks to months if dry,reconstruction_estimate,"[""damp"",""moldy"",""pest_damaged""]",low,
ING0020,mixed_flour,Смешанная зерновая мука,unknown,processed_product,OMI01299,other_material_entities_v1,Продукт помола или дробления зерна (rye_grain); технологическая форма подтверждена находками и хозяйственным контекстом.,1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,B,ingredient_based_reconstruction,Продукт помола или дробления зерна (rye_grain); технологическая форма подтверждена находками и хозяйственным контекстом.,"[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]",stored_year_round,"[""common""]",fasting_allowed,common,low,"[""HOU0015"",""HOU0021"",""AGR0009""]","[""ARC0018"",""ARC0026""]",weeks to months if dry,reconstruction_estimate,"[""damp"",""moldy"",""pest_damaged""]",low,
ING0021,bran,Отруби,unknown,processed_product,OMI01300,other_material_entities_v1,Продукт помола или дробления зерна (rye_grain); технологическая форма подтверждена находками и хозяйственным контекстом.,1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,A,ingredient_based_reconstruction,Продукт помола или дробления зерна (rye_grain); технологическая форма подтверждена находками и хозяйственным контекстом.,"[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]",stored_year_round,"[""common""]",fasting_allowed,common,low,"[""HOU0015"",""HOU0021"",""AGR0009""]","[""ARC0018"",""ARC0026""]",weeks to months if dry,reconstruction_estimate,"[""damp"",""moldy"",""pest_damaged""]",low,
ING0022,rye_starter,Густая ржаная закваска,unknown,intermediate,OMI01308,other_material_entities_v1,"Технологический полуфабрикат; существование процесса правдоподобно и материально возможно, но точная домашняя рецептура не записана.",1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,B,comparative_reconstruction,"Технологический полуфабрикат; существование процесса правдоподобно и материально возможно, но точная домашняя рецептура не записана.","[""SRC008"",""SRC044"",""FSRC001""]",made_as_needed,"[""common""]",fasting_allowed,common,low,"[""HOU0019"",""POT0018"",""POT0021""]",[],hours to a few days depending on stage,reconstruction_estimate,"[""over_soured"",""moldy"",""putrid""]",low,
ING0023,old_sour_dough,Кусок старого кислого теста для закваски,unknown,intermediate,OMI01309,other_material_entities_v1,"Технологический полуфабрикат; существование процесса правдоподобно и материально возможно, но точная домашняя рецептура не записана.",1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,B,comparative_reconstruction,"Технологический полуфабрикат; существование процесса правдоподобно и материально возможно, но точная домашняя рецептура не записана.","[""SRC008"",""SRC044"",""FSRC001""]",made_as_needed,"[""common""]",fasting_allowed,common,low,"[""HOU0019"",""POT0018"",""POT0021""]",[],hours to a few days depending on stage,reconstruction_estimate,"[""over_soured"",""moldy"",""putrid""]",low,
ING0024,rye_dough,Ржаное тесто,unknown,intermediate,OMI01310,other_material_entities_v1,"Технологический полуфабрикат; существование процесса правдоподобно и материально возможно, но точная домашняя рецептура не записана.",1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,B,comparative_reconstruction,"Технологический полуфабрикат; существование процесса правдоподобно и материально возможно, но точная домашняя рецептура не записана.","[""SRC008"",""SRC044"",""FSRC001""]",made_as_needed,"[""common""]",fasting_allowed,common,low,"[""HOU0019"",""POT0018"",""POT0021""]",[],hours to a few days depending on stage,reconstruction_estimate,"[""over_soured"",""moldy"",""putrid""]",low,
ING0025,mixed_dough,Смешанное зерновое тесто,unknown,intermediate,OMI01311,other_material_entities_v1,"Технологический полуфабрикат; существование процесса правдоподобно и материально возможно, но точная домашняя рецептура не записана.",1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,B,comparative_reconstruction,"Технологический полуфабрикат; существование процесса правдоподобно и материально возможно, но точная домашняя рецептура не записана.","[""SRC008"",""SRC044"",""FSRC001""]",made_as_needed,"[""common""]",fasting_allowed,common,low,"[""HOU0019"",""POT0018"",""POT0021""]",[],hours to a few days depending on stage,reconstruction_estimate,"[""over_soured"",""moldy"",""putrid""]",low,
ING0026,wheat_dough,Пшеничное тесто,unknown,intermediate,OMI01312,other_material_entities_v1,"Технологический полуфабрикат; существование процесса правдоподобно и материально возможно, но точная домашняя рецептура не записана.",1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,B,comparative_reconstruction,"Технологический полуфабрикат; существование процесса правдоподобно и материально возможно, но точная домашняя рецептура не записана.","[""SRC008"",""SRC044"",""FSRC001""]",made_as_needed,"[""common""]",fasting_allowed,common,low,"[""HOU0019"",""POT0018"",""POT0021""]",[],hours to a few days depending on stage,reconstruction_estimate,"[""over_soured"",""moldy"",""putrid""]",low,
ING0027,thin_flour_mash,Жидкая мучная затирка,unknown,intermediate,OMI01313,other_material_entities_v1,"Технологический полуфабрикат; существование процесса правдоподобно и материально возможно, но точная домашняя рецептура не записана.",1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,B,comparative_reconstruction,"Технологический полуфабрикат; существование процесса правдоподобно и материально возможно, но точная домашняя рецептура не записана.","[""SRC008"",""SRC044"",""FSRC001""]",made_as_needed,"[""common""]",fasting_allowed,common,low,"[""HOU0019"",""POT0018"",""POT0021""]",[],hours to a few days depending on stage,reconstruction_estimate,"[""over_soured"",""moldy"",""putrid""]",low,
ING0028,sprouted_barley,Пророщенный ячмень для солода,unknown,intermediate,OMI01325,other_material_entities_v1,Промежуточная стадия зернового или медового брожения; параметры температуры и времени в базе являются современной реконструкцией.,1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,B,ingredient_based_reconstruction,Промежуточная стадия зернового или медового брожения; параметры температуры и времени в базе являются современной реконструкцией.,"[""FSRC001"",""FSRC005"",""FSRC006"",""SRC027""]",made_as_needed,"[""common""]",conditional,uncommon,medium,"[""HOU0036"",""POT0018"",""HOU0024""]",[],hours to days unless dried,reconstruction_estimate,"[""moldy"",""putrid"",""uncontrolled_souring""]",low,
ING0029,sprouted_rye,Пророщенная рожь для солода,unknown,intermediate,OMI01326,other_material_entities_v1,Промежуточная стадия зернового или медового брожения; параметры температуры и времени в базе являются современной реконструкцией.,1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,B,ingredient_based_reconstruction,Промежуточная стадия зернового или медового брожения; параметры температуры и времени в базе являются современной реконструкцией.,"[""FSRC001"",""FSRC005"",""FSRC006"",""SRC027""]",made_as_needed,"[""common""]",conditional,uncommon,medium,"[""HOU0036"",""POT0018"",""HOU0024""]",[],hours to days unless dried,reconstruction_estimate,"[""moldy"",""putrid"",""uncontrolled_souring""]",low,
ING0030,green_malt,Влажный зелёный солод,unknown,intermediate,OMI01327,other_material_entities_v1,Промежуточная стадия зернового или медового брожения; параметры температуры и времени в базе являются современной реконструкцией.,1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,B,ingredient_based_reconstruction,Промежуточная стадия зернового или медового брожения; параметры температуры и времени в базе являются современной реконструкцией.,"[""FSRC001"",""FSRC005"",""FSRC006"",""SRC027""]",made_as_needed,"[""common""]",conditional,common,medium,"[""HOU0036"",""POT0018"",""HOU0024""]",[],hours to days unless dried,reconstruction_estimate,"[""moldy"",""putrid"",""uncontrolled_souring""]",low,
ING0031,dried_malt,Высушенный солод,unknown,intermediate,OMI01328,other_material_entities_v1,Промежуточная стадия зернового или медового брожения; параметры температуры и времени в базе являются современной реконструкцией.,1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,B,ingredient_based_reconstruction,Промежуточная стадия зернового или медового брожения; параметры температуры и времени в базе являются современной реконструкцией.,"[""FSRC001"",""FSRC005"",""FSRC006"",""SRC027""]",made_as_needed,"[""common""]",conditional,common,medium,"[""HOU0036"",""POT0018"",""HOU0024""]",[],hours to days unless dried,reconstruction_estimate,"[""moldy"",""putrid"",""uncontrolled_souring""]",low,
ING0032,crushed_malt,Дроблёный солод,unknown,intermediate,OMI01329,other_material_entities_v1,Промежуточная стадия зернового или медового брожения; параметры температуры и времени в базе являются современной реконструкцией.,1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,B,ingredient_based_reconstruction,Промежуточная стадия зернового или медового брожения; параметры температуры и времени в базе являются современной реконструкцией.,"[""FSRC001"",""FSRC005"",""FSRC006"",""SRC027""]",made_as_needed,"[""common""]",conditional,common,medium,"[""HOU0036"",""POT0018"",""HOU0024""]",[],hours to days unless dried,reconstruction_estimate,"[""moldy"",""putrid"",""uncontrolled_souring""]",low,
ING0033,sweet_wort,Сладкое сусло,unknown,intermediate,OMI01331,other_material_entities_v1,Промежуточная стадия зернового или медового брожения; параметры температуры и времени в базе являются современной реконструкцией.,1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,B,ingredient_based_reconstruction,Промежуточная стадия зернового или медового брожения; параметры температуры и времени в базе являются современной реконструкцией.,"[""FSRC001"",""FSRC005"",""FSRC006"",""SRC027""]",made_as_needed,"[""common""]",conditional,common,medium,"[""HOU0036"",""POT0018"",""HOU0024""]",[],hours to days unless dried,reconstruction_estimate,"[""moldy"",""putrid"",""uncontrolled_souring""]",low,
ING0034,fermenting_wort,Бродящее сусло,unknown,intermediate,OMI01332,other_material_entities_v1,Промежуточная стадия зернового или медового брожения; параметры температуры и времени в базе являются современной реконструкцией.,1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,B,ingredient_based_reconstruction,Промежуточная стадия зернового или медового брожения; параметры температуры и времени в базе являются современной реконструкцией.,"[""FSRC001"",""FSRC005"",""FSRC006"",""SRC027""]",made_as_needed,"[""common""]",conditional,common,medium,"[""HOU0036"",""POT0018"",""HOU0024""]",[],hours to days unless dried,reconstruction_estimate,"[""moldy"",""putrid"",""uncontrolled_souring""]",low,
ING0035,brewing_yeast_sediment,Дрожжевой осадок,unknown,intermediate,OMI01334,other_material_entities_v1,Промежуточная стадия зернового или медового брожения; параметры температуры и времени в базе являются современной реконструкцией.,1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,B,ingredient_based_reconstruction,Промежуточная стадия зернового или медового брожения; параметры температуры и времени в базе являются современной реконструкцией.,"[""FSRC001"",""FSRC005"",""FSRC006"",""SRC027""]",made_as_needed,"[""common""]",conditional,uncommon,medium,"[""HOU0036"",""POT0018"",""HOU0024""]",[],hours to days unless dried,reconstruction_estimate,"[""moldy"",""putrid"",""uncontrolled_souring""]",low,
ING0036,spent_grain,Влажная дробина,unknown,intermediate,OMI01336,other_material_entities_v1,Промежуточная стадия зернового или медового брожения; параметры температуры и времени в базе являются современной реконструкцией.,1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,B,ingredient_based_reconstruction,Промежуточная стадия зернового или медового брожения; параметры температуры и времени в базе являются современной реконструкцией.,"[""FSRC001"",""FSRC005"",""FSRC006"",""SRC027""]",made_as_needed,"[""common""]",conditional,uncommon,medium,"[""HOU0036"",""POT0018"",""HOU0024""]",[],hours to days unless dried,reconstruction_estimate,"[""moldy"",""putrid"",""uncontrolled_souring""]",low,
ING0037,honey_wort,Медовое сусло,unknown,intermediate,OMI01341,other_material_entities_v1,Промежуточная стадия зернового или медового брожения; параметры температуры и времени в базе являются современной реконструкцией.,1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,B,ingredient_based_reconstruction,Промежуточная стадия зернового или медового брожения; параметры температуры и времени в базе являются современной реконструкцией.,"[""FSRC001"",""FSRC005"",""FSRC006"",""SRC027""]",made_as_needed,"[""common""]",conditional,common,medium,"[""HOU0036"",""POT0018"",""HOU0024""]",[],hours to days unless dried,reconstruction_estimate,"[""moldy"",""putrid"",""uncontrolled_souring""]",low,
ING0038,hops,Хмель,unknown,seasoning,FMA0004,food_related_material_additions,Хмель археоботанически отмечен и прямо фигурирует в новгородских деловых грамотах 1240–1260 годов; конкретная дозировка в пиве реконструируется.,1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,A,direct_text,Хмель археоботанически отмечен и прямо фигурирует в новгородских деловых грамотах 1240–1260 годов; конкретная дозировка в пиве реконструируется.,"[""FSRC001"",""FSRC005"",""FSRC006"",""SRC027""]",harvest_autumn_stored,"[""common""]",fasting_allowed,uncommon,medium,"[""HOU0015"",""HOU0021""]",[],months if dry,reconstruction_estimate,"[""damp"",""moldy"",""aroma_lost""]",low,
ING0039,turnip,Репа,unknown,raw_product,FOD0044,material_culture_v1,"Репа: присутствие или технологическая форма допустимы для пищевой модели, но конкретный способ употребления требует отдельной оценки.",1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,A,archaeological,"Репа: присутствие или технологическая форма допустимы для пищевой модели, но конкретный способ употребления требует отдельной оценки.","[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]",root_storage,"[""common""]",fasting_allowed,common,low,"[""HOU0016"",""HOU0021"",""HOU0022""]","[""ARC0018"",""ARC0026""]",season- and state-dependent,reconstruction_estimate,"[""soft"",""moldy"",""rotten"",""sprouted""]",low,
ING0040,cabbage,Капуста,unknown,raw_product,FOD0040,material_culture_v1,"Капуста: присутствие или технологическая форма допустимы для пищевой модели, но конкретный способ употребления требует отдельной оценки.",1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,B,ingredient_based_reconstruction,"Капуста: присутствие или технологическая форма допустимы для пищевой модели, но конкретный способ употребления требует отдельной оценки.","[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]",cabbage_storage,"[""common""]",fasting_allowed,common,low,"[""HOU0016"",""HOU0021"",""HOU0022""]","[""ARC0018"",""ARC0026""]",season- and state-dependent,reconstruction_estimate,"[""soft"",""moldy"",""rotten"",""sprouted""]",low,
ING0041,onion,Лук репчатый,unknown,raw_product,FOD0041,material_culture_v1,"Лук репчатый: присутствие или технологическая форма допустимы для пищевой модели, но конкретный способ употребления требует отдельной оценки.",1180,1260,true,Великий Новгород и Новгородская земля; центр модели — 1230 год,local,A,archaeological,"Лук репчатый: присутствие или технологическая форма допустимы для пищевой модели, но конкретный способ употребления требует отдельной оценки.","[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]",allium_storage,"[""common""]",fasting_allowed,common,low,"[""HOU0016"",""HOU0021"",""HOU0022""]","[""ARC0018"",""ARC0026""]",season- and state-dependent,reconstruction_estimate,"[""soft"",""moldy"",""rotten"",""sprouted""]",low,
