scene_id,name_ru,scene_type,period_scope,location_scope,description_ru,required_item_ids,allowed_item_ids,forbidden_item_ids,object_counts,layout_rules,condition_ru,season_variants,source_ids,image_refs,confidence,prompt_hint
SCN011,Кузница,workshop,около 1230 года; рабочий диапазон 1200–1240,ремесленный двор,"Исторически ограниченная композиция «Кузница». Обязательные объекты задают конструктивный каркас; допустимые используются выборочно, а не все одновременно.",CRF0121 | CRF0123 | CRF0079 | CRF0082 | CRF0001 | MSC0005 | MSC0001,CON0001 | CON0002 | HOU0031,AP001 | AP003 | AP052,1 горн; 1 мех; 1–2 наковальни; 4–12 ручных инструментов; шлак/уголь локально,"Горн, меха и наковальня образуют рабочий треугольник; горючие запасы отнесены от искр.","Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",SRC032 | SRC033 | SRC005 | SRC061 | SRC089 | SRC067 | SRC001 | SRC003 | SRC025 | SRC017,IMG_SHEET_TOOLS_01 | IMG_SHEET_HOUSEHOLD_01 | IMG_SHEET_CONSTRUCTION_01,B,"Historically grounded Кузница in Novgorod around 1230. Use required item IDs exactly; select only a few allowed objects. Горн, меха и наковальня образуют рабочий треугольник; горючие запасы отнесены от искр. No fantasy, no later Russian folk styling."
SCN012,Плотницкая площадка,workshop,около 1230 года; рабочий диапазон 1200–1240,двор или стройка,"Исторически ограниченная композиция «Плотницкая площадка». Обязательные объекты задают конструктивный каркас; допустимые используются выборочно, а не все одновременно.",CRF0020 | CRF0102 | CRF0098 | CRF0030 | CON0012 | CON0035 | MSC0035 | MSC0001,CRF0049 | CRF0001 | LTR0007,AP001 | AP003 | AP052,3–12 брёвен; 4–10 инструментов; 1 рубочная колода,Брёвна уложены на подкладках; зона рубки окружена щепой; инструменты не фабрично одинаковы.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",SRC032 | SRC033 | SRC005 | SRC061 | SRC089 | SRC001 | SRC003 | SRC017 | SRC078 | SRC025,IMG_SHEET_TOOLS_01 | IMG_SHEET_CONSTRUCTION_01 | IMG_SHEET_HOUSEHOLD_01 | IMG_SHEET_CARTS_01,B,"Historically grounded Плотницкая площадка in Novgorod around 1230. Use required item IDs exactly; select only a few allowed objects. Брёвна уложены на подкладках; зона рубки окружена щепой; инструменты не фабрично одинаковы. No fantasy, no later Russian folk styling."
SCN013,Гончарная мастерская,workshop,около 1230 года; рабочий диапазон 1200–1240,ремесленный двор,"Исторически ограниченная композиция «Гончарная мастерская». Обязательные объекты задают конструктивный каркас; допустимые используются выборочно, а не все одновременно.",CRF0096 | CRF0093 | POT0019 | POT0001 | POT0002 | MSC0007,CRF0001 | CRF0002 | CRF0003 | MSC0001,AP001 | AP003 | AP052,1 круг; 1 печь; 5–30 сосудов разных стадий; 1 запас глины,"Сырая глина, формовка, сушка и обжиг расположены последовательно; готовые сосуды не стоят в огне.","Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",SRC032 | SRC033 | SRC005 | SRC061 | SRC089 | SRC024 | SRC080 | SRC008 | SRC066 | SRC001,IMG_SHEET_TOOLS_01 | IMG_SHEET_POTTERY_01 | IMG_SHEET_HOUSEHOLD_01,B,"Historically grounded Гончарная мастерская in Novgorod around 1230. Use required item IDs exactly; select only a few allowed objects. Сырая глина, формовка, сушка и обжиг расположены последовательно; готовые сосуды не стоят в огне. No fantasy, no later Russian folk styling."
SCN014,Ювелирная мастерская,workshop,около 1230 года; рабочий диапазон 1200–1240,городская усадьба,"Исторически ограниченная композиция «Ювелирная мастерская». Обязательные объекты задают конструктивный каркас; допустимые используются выборочно, а не все одновременно.",CRF0152 | CRF0022 | CRF0153 | CRF0147,TRD0016 | TRD0001 | MSC0005,AP001 | AP003 | AP052,1 очаг; 3–10 малых инструментов; 1–4 тигля/формы,Малое рабочее место с контролируемым огнём; драгоценный металл количественно ограничен и не рассыпан.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",SRC032 | SRC033 | SRC005 | SRC061 | SRC089 | SRC024 | SRC062 | SRC053 | SRC009 | SRC027,IMG_SHEET_TOOLS_01 | IMG_SHEET_TRADE_01 | IMG_SHEET_HOUSEHOLD_01,A,"Historically grounded Ювелирная мастерская in Novgorod around 1230. Use required item IDs exactly; select only a few allowed objects. Малое рабочее место с контролируемым огнём; драгоценный металл количественно ограничен и не рассыпан. No fantasy, no later Russian folk styling."
SCN015,Ткацкое помещение,workshop,около 1230 года; рабочий диапазон 1200–1240,дом/мастерская,"Исторически ограниченная композиция «Ткацкое помещение». Обязательные объекты задают конструктивный каркас; допустимые используются выборочно, а не все одновременно.",CRF0132 | CRF0133 | CRF0127 | CRF0001,TRD0053 | TRD0001 | HOU0016,AP001 | AP003 | AP052,1 станок; 3–12 пряслиц/веретён; 1–4 запаса волокна,Станок занимает стену/часть помещения; пряжа хранится сухо; не добавлять механический ткацкий станок.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",SRC032 | SRC033 | SRC005 | SRC061 | SRC089 | SRC024 | SRC008 | SRC045 | SRC009 | SRC027,IMG_SHEET_TOOLS_01 | IMG_SHEET_TRADE_01 | IMG_SHEET_HOUSEHOLD_01,B,"Historically grounded Ткацкое помещение in Novgorod around 1230. Use required item IDs exactly; select only a few allowed objects. Станок занимает стену/часть помещения; пряжа хранится сухо; не добавлять механический ткацкий станок. No fantasy, no later Russian folk styling."
SCN016,Кожевенный двор,workshop,около 1230 года; рабочий диапазон 1200–1240,периферия двора/воды,"Исторически ограниченная композиция «Кожевенный двор». Обязательные объекты задают конструктивный каркас; допустимые используются выборочно, а не все одновременно.",CRF0112 | CRF0002 | CRF0001 | MSC0003 | MSC0001,POT0001 | POT0002 | HOU0031,AP001 | AP003 | AP052,1–4 чана/кадки; 2–6 инструментов; несколько шкур,Мокрая и пахучая зона отделена от жилья; чаны/шкуры следуют технологической последовательности.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",SRC032 | SRC033 | SRC005 | SRC061 | SRC089 | SRC001 | SRC003 | SRC025 | SRC067 | SRC024,IMG_SHEET_TOOLS_01 | IMG_SHEET_HOUSEHOLD_01 | IMG_SHEET_POTTERY_01,B,"Historically grounded Кожевенный двор in Novgorod around 1230. Use required item IDs exactly; select only a few allowed objects. Мокрая и пахучая зона отделена от жилья; чаны/шкуры следуют технологической последовательности. No fantasy, no later Russian folk styling."
SCN017,Косторезная мастерская,workshop,около 1230 года; рабочий диапазон 1200–1240,ремесленная усадьба,"Исторически ограниченная композиция «Косторезная мастерская». Обязательные объекты задают конструктивный каркас; допустимые используются выборочно, а не все одновременно.",CRF0114 | CRF0015 | CRF0030 | MSC0001,CRF0001 | CRF0002 | CRF0003 | FUR0001,AP001 | AP003 | AP052,1 рабочее место; 4–10 инструментов; 10–50 фрагментов сырья/отходов,Мелкие отходы сосредоточены у рабочего места; не делать стоматологически чистую кость.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",SRC032 | SRC033 | SRC005 | SRC061 | SRC089 | SRC001 | SRC003 | SRC025 | SRC067 | SRC008,IMG_SHEET_TOOLS_01 | IMG_SHEET_HOUSEHOLD_01 | IMG_SHEET_FURNITURE_01,B,"Historically grounded Косторезная мастерская in Novgorod around 1230. Use required item IDs exactly; select only a few allowed objects. Мелкие отходы сосредоточены у рабочего места; не делать стоматологически чистую кость. No fantasy, no later Russian folk styling."
SCN018,Пивоваренный двор,workshop_food,около 1230 года; рабочий диапазон 1200–1240,домохозяйство/производство,"Исторически ограниченная композиция «Пивоваренный двор». Обязательные объекты задают конструктивный каркас; допустимые используются выборочно, а не все одновременно.",CRF0017 | CRF0130 | CRF0001 | POT0001 | POT0002,FOD0025 | FOD0051 | MSC0046,AP001 | AP003 | AP052,1 котёл; 2–6 бочек/кадок; 1 запас топлива и зерна,"Нагрев, затор, охлаждение и хранение не смешиваются; масштаб домашний/малый производственный.","Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",SRC032 | SRC033 | SRC005 | SRC061 | SRC089 | SRC008 | SRC024 | SRC080 | SRC001 | SRC028,IMG_SHEET_TOOLS_01 | IMG_SHEET_POTTERY_01 | IMG_SHEET_FOOD_01 | IMG_SHEET_HOUSEHOLD_01,C,"Historically grounded Пивоваренный двор in Novgorod around 1230. Use required item IDs exactly; select only a few allowed objects. Нагрев, затор, охлаждение и хранение не смешиваются; масштаб домашний/малый производственный. No fantasy, no later Russian folk styling."
SCN019,Пекарня/хлебное производство,workshop_food,около 1230 года; рабочий диапазон 1200–1240,городской или монастырский двор,"Исторически ограниченная композиция «Пекарня/хлебное производство». Обязательные объекты задают конструктивный каркас; допустимые используются выборочно, а не все одновременно.",INT0007 | CRF0001 | CRF0002 | FOD0051 | FOD0050,POT0015 | POT0001 | MSC0046,AP001 | AP003 | AP052,1 печь; 1 корыто; 1–3 хлебных инструмента; несколько хлебов/заготовок,"Месильная зона отдельно от топлива и золы; хлеб небольших ручных форм, без современной витрины.","Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",SRC001 | SRC005 | SRC008 | SRC067 | SRC089 | SRC003 | SRC032 | SRC033 | SRC061 | SRC028,IMG_SHEET_INTERIORS_01 | IMG_SHEET_TOOLS_01 | IMG_SHEET_FOOD_01 | IMG_SHEET_POTTERY_01 | IMG_SHEET_HOUSEHOLD_01,B,"Historically grounded Пекарня/хлебное производство in Novgorod around 1230. Use required item IDs exactly; select only a few allowed objects. Месильная зона отдельно от топлива и золы; хлеб небольших ручных форм, без современной витрины. No fantasy, no later Russian folk styling."
SCN020,Мельничное хозяйство,workshop_food,около 1230 года; рабочий диапазон 1200–1240,сельская/речная зона,"Исторически ограниченная композиция «Мельничное хозяйство». Обязательные объекты задают конструктивный каркас; допустимые используются выборочно, а не все одновременно.",AGR0017 | AGR0001 | FOD0051 | FOD0050,CON0001 | CON0002 | LTR0017 | LTR0001,AP001 | AP003 | AP052,1–2 жерновных комплекта; 3–15 мешков/ёмкостей зерна,Ручная мельница безопаснее; водяная конструкция только C и с отдельным референсом.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",SRC044 | SRC045 | SRC046 | SRC005 | SRC008 | SRC040 | SRC028 | SRC041 | SRC075 | SRC001,IMG_SHEET_AGRICULTURE_01 | IMG_SHEET_FOOD_01 | IMG_SHEET_CONSTRUCTION_01 | IMG_SHEET_CARTS_01,B,"Historically grounded Мельничное хозяйство in Novgorod around 1230. Use required item IDs exactly; select only a few allowed objects. Ручная мельница безопаснее; водяная конструкция только C и с отдельным референсом. No fantasy, no later Russian folk styling."
SCN021,Торговая лавка,trade,около 1230 года; рабочий диапазон 1200–1240,Торг,"Исторически ограниченная композиция «Торговая лавка». Обязательные объекты задают конструктивный каркас; допустимые используются выборочно, а не все одновременно.",TRD0017 | TRD0037 | TRD0001 | POT0001 | POT0002,TRD0052 | TRD0028 | TRD0019 | FOD0061 | FOD0051 | FOD0025,AP001 | AP003 | AP052,1 прилавок; 1 весовой комплект; 3–20 единиц тары/товара,Товар сгруппирован по продавцу; весы доступны торговцу; дорогой товар контролируется.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",SRC009 | SRC027 | SRC028 | SRC049 | SRC053 | SRC089 | SRC087 | SRC024 | SRC005 | SRC008,IMG_SHEET_TRADE_01 | IMG_SHEET_POTTERY_01 | IMG_SHEET_FOOD_01,C,"Historically grounded Торговая лавка in Novgorod around 1230. Use required item IDs exactly; select only a few allowed objects. Товар сгруппирован по продавцу; весы доступны торговцу; дорогой товар контролируется. No fantasy, no later Russian folk styling."
SCN022,Новгородский Торг,trade_square,около 1230 года; рабочий диапазон 1200–1240,Ярославово дворище/Торг,"Исторически ограниченная композиция «Новгородский Торг». Обязательные объекты задают конструктивный каркас; допустимые используются выборочно, а не все одновременно.",TRD0017 | TRD0037 | TRD0047 | TRD0052 | STR0007 | STR0001,LTR0017 | LTR0028 | WTR0038 | FRN0042 | FRN0001,AP001 | AP003 | AP052,6–20 торговых точек в кадре; 1–4 транспортных средства; людской поток,Несколько раздельных продавцов и потоков; не единый крытый рынок нового времени; храмовые доминанты только по реальному месту.,"Ручная работа, неодинаковость, функциональный износ и локальный ремонт; состояние зависит от достатка и ухода.","лето/осень/зима/весна меняют грязь, снег, влажность, свет и транспорт, но не типологию предметов",SRC009 | SRC027 | SRC028 | SRC049 | SRC053 | SRC089 | SRC001 | SRC003 | SRC013 | SRC083,IMG_SHEET_TRADE_01 | IMG_SHEET_STREETS_01 | IMG_SHEET_CARTS_01 | IMG_SHEET_BOATS_01 | IMG_SHEET_FOREIGN_01,B,"Historically grounded Новгородский Торг in Novgorod around 1230. Use required item IDs exactly; select only a few allowed objects. Несколько раздельных продавцов и потоков; не единый крытый рынок нового времени; храмовые доминанты только по реальному месту. No fantasy, no later Russian folk styling."
