pb_id,item_category_ref,value_band,seasonal_modifier,war_modifier,road_modifier,famine_modifier,basis,source_refs,confidence
pb_fur_marten,gap:tsv_category.fur (item_category_ref pending materials_registry/category_parameters domain),high_value,seasonal_quality; fraud_risk,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)",secondary_rise_via_general_scarcity_and_debt_pressure (no category-specific sourced ratio; only staple grain/bread has a direct chronicle ratio -- see basis),"tsv base_value_band (draft, project rule, medium confidence); famine magnitude not sourced for this category -- direction only, no invented number",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_fur_marten,C
pb_linen_cloth,gap:tsv_category.cloth (item_category_ref pending materials_registry/category_parameters domain),ordinary_to_valuable,after_processing_season; quality_varies,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)",secondary_rise_via_general_scarcity_and_debt_pressure (no category-specific sourced ratio; only staple grain/bread has a direct chronicle ratio -- see basis),"tsv base_value_band (draft, project rule, medium confidence); famine magnitude not sourced for this category -- direction only, no invented number",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_linen_cloth,C
pb_wool_cloth,gap:tsv_category.cloth (item_category_ref pending materials_registry/category_parameters domain),valuable,import_or_long_route_can_raise_value,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)",secondary_rise_via_general_scarcity_and_debt_pressure (no category-specific sourced ratio; only staple grain/bread has a direct chronicle ratio -- see basis),"tsv base_value_band (draft, project rule, medium confidence); famine magnitude not sourced for this category -- direction only, no invented number",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_wool_cloth,C
pb_leather,gap:tsv_category.craft_material (item_category_ref pending materials_registry/category_parameters domain),ordinary_to_valuable,quality_and_smell_affect_price,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)",secondary_rise_via_general_scarcity_and_debt_pressure (no category-specific sourced ratio; only staple grain/bread has a direct chronicle ratio -- see basis),"tsv base_value_band (draft, project rule, medium confidence); famine magnitude not sourced for this category -- direction only, no invented number",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_leather,C
pb_iron_bar,gap:tsv_category.metal (item_category_ref pending materials_registry/category_parameters domain),valuable,route_and_supply_sensitive,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)",secondary_rise_via_general_scarcity_and_debt_pressure (no category-specific sourced ratio; only staple grain/bread has a direct chronicle ratio -- see basis),"tsv base_value_band (draft, project rule, medium confidence); famine magnitude not sourced for this category -- direction only, no invented number",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_iron_bar,C
pb_knife_simple,gap:tsv_category.tool_weapon (item_category_ref pending materials_registry/category_parameters domain),ordinary,less_seasonal; metal_shortage_raises,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)",secondary_rise_via_general_scarcity_and_debt_pressure (no category-specific sourced ratio; only staple grain/bread has a direct chronicle ratio -- see basis),"tsv base_value_band (draft, project rule, medium confidence); famine magnitude not sourced for this category -- direction only, no invented number",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_knife_simple,C
pb_axe_work,gap:tsv_category.tool (item_category_ref pending materials_registry/category_parameters domain),ordinary_to_valuable,repair_cheaper_than_new,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)",secondary_rise_via_general_scarcity_and_debt_pressure (no category-specific sourced ratio; only staple grain/bread has a direct chronicle ratio -- see basis),"tsv base_value_band (draft, project rule, medium confidence); famine magnitude not sourced for this category -- direction only, no invented number",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_axe_work,C
pb_rope,gap:tsv_category.tool_transport (item_category_ref pending materials_registry/category_parameters domain),low_to_ordinary,higher_near_navigation_and_hay_work,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)",secondary_rise_via_general_scarcity_and_debt_pressure (no category-specific sourced ratio; only staple grain/bread has a direct chronicle ratio -- see basis),"tsv base_value_band (draft, project rule, medium confidence); famine magnitude not sourced for this category -- direction only, no invented number",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_rope,C
pb_clay_pot,gap:tsv_category.utensil (item_category_ref pending materials_registry/category_parameters domain),low,breakage_common; local_supply,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)",secondary_rise_via_general_scarcity_and_debt_pressure (no category-specific sourced ratio; only staple grain/bread has a direct chronicle ratio -- see basis),"tsv base_value_band (draft, project rule, medium confidence); famine magnitude not sourced for this category -- direction only, no invented number",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_clay_pot,C
pb_wooden_bowl_spoon,gap:tsv_category.utensil (item_category_ref pending materials_registry/category_parameters domain),low,low_if_local_wood,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)",secondary_rise_via_general_scarcity_and_debt_pressure (no category-specific sourced ratio; only staple grain/bread has a direct chronicle ratio -- see basis),"tsv base_value_band (draft, project rule, medium confidence); famine magnitude not sourced for this category -- direction only, no invented number",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_wooden_bowl_spoon,C
pb_bucket_pail,gap:tsv_category.utensil (item_category_ref pending materials_registry/category_parameters domain),ordinary,repair_possible,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)",secondary_rise_via_general_scarcity_and_debt_pressure (no category-specific sourced ratio; only staple grain/bread has a direct chronicle ratio -- see basis),"tsv base_value_band (draft, project rule, medium confidence); famine magnitude not sourced for this category -- direction only, no invented number",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_bucket_pail,C
pb_basket,gap:tsv_category.container (item_category_ref pending materials_registry/category_parameters domain),low,seasonal_craft_work,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)",secondary_rise_via_general_scarcity_and_debt_pressure (no category-specific sourced ratio; only staple grain/bread has a direct chronicle ratio -- see basis),"tsv base_value_band (draft, project rule, medium confidence); famine magnitude not sourced for this category -- direction only, no invented number",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_basket,C
pb_box_korob,gap:tsv_category.container (item_category_ref pending materials_registry/category_parameters domain),ordinary,depends_on_size,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)",secondary_rise_via_general_scarcity_and_debt_pressure (no category-specific sourced ratio; only staple grain/bread has a direct chronicle ratio -- see basis),"tsv base_value_band (draft, project rule, medium confidence); famine magnitude not sourced for this category -- direction only, no invented number",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_box_korob,C
pb_sack,gap:tsv_category.container (item_category_ref pending materials_registry/category_parameters domain),low_to_ordinary,grain_and_trade_season,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)",secondary_rise_via_general_scarcity_and_debt_pressure (no category-specific sourced ratio; only staple grain/bread has a direct chronicle ratio -- see basis),"tsv base_value_band (draft, project rule, medium confidence); famine magnitude not sourced for this category -- direction only, no invented number",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_sack,C
pb_chest_storage,gap:tsv_category.container (item_category_ref pending materials_registry/category_parameters domain),valuable,not_common_for_poor_without_reason,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)",secondary_rise_via_general_scarcity_and_debt_pressure (no category-specific sourced ratio; only staple grain/bread has a direct chronicle ratio -- see basis),"tsv base_value_band (draft, project rule, medium confidence); famine magnitude not sourced for this category -- direction only, no invented number",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_chest_storage,C
pb_fodder_hay,gap:tsv_category.fodder (item_category_ref pending materials_registry/category_parameters domain),ordinary,winter_and_late_season_higher,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)","rises_sharply_in_famine, order of magnitude ~x7 for staple grain/food (see basis); category ""fodder"" follows the same direction","tsv base_value_band (draft, project rule, medium confidence) + derived multiplier (script-computed from compensation_reference.csv, not invented): ratio ×6.7 (rye/kad, 1228 non-famine vs 1230-1231 famine per НПЛ); cross-check ×2.5 (rye/kad, 1215 famine vs 1170 military blockade). Used only as an order-of-magnitude direction for famine_modifier, never as an item price. See compensation_reference.csv#cr_rye_kad_1228,cr_rye_kad_1230_famine,cr_rye_kad_1215_famine,cr_rye_kad_1170_blockade.","tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_fodder_hay; price_bands/compensation_reference.csv#cr_rye_kad_1228,cr_rye_kad_1230_famine,cr_rye_kad_1215_famine,cr_rye_kad_1170_blockade",C (band) / B (famine ratio basis)
pb_firewood,gap:tsv_category.fuel (item_category_ref pending materials_registry/category_parameters domain),low_to_ordinary,winter_higher; forest_rights,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)",secondary_rise_via_general_scarcity_and_debt_pressure (no category-specific sourced ratio; only staple grain/bread has a direct chronicle ratio -- see basis),"tsv base_value_band (draft, project rule, medium confidence); famine magnitude not sourced for this category -- direction only, no invented number",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_firewood,C
pb_charcoal,gap:tsv_category.fuel_craft (item_category_ref pending materials_registry/category_parameters domain),ordinary,craft_demand,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)",secondary_rise_via_general_scarcity_and_debt_pressure (no category-specific sourced ratio; only staple grain/bread has a direct chronicle ratio -- see basis),"tsv base_value_band (draft, project rule, medium confidence); famine magnitude not sourced for this category -- direction only, no invented number",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_charcoal,C
pb_tar_pitch,gap:tsv_category.craft_boat (item_category_ref pending materials_registry/category_parameters domain),ordinary_to_valuable,navigation_and_repair,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)",secondary_rise_via_general_scarcity_and_debt_pressure (no category-specific sourced ratio; only staple grain/bread has a direct chronicle ratio -- see basis),"tsv base_value_band (draft, project rule, medium confidence); famine magnitude not sourced for this category -- direction only, no invented number",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_tar_pitch,C
pb_simple_cloak,gap:tsv_category.clothing (item_category_ref pending materials_registry/category_parameters domain),ordinary_to_valuable,winter_higher,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)",secondary_rise_via_general_scarcity_and_debt_pressure (no category-specific sourced ratio; only staple grain/bread has a direct chronicle ratio -- see basis),"tsv base_value_band (draft, project rule, medium confidence); famine magnitude not sourced for this category -- direction only, no invented number",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_simple_cloak,C
pb_bast_or_simple_shoes,gap:tsv_category.clothing (item_category_ref pending materials_registry/category_parameters domain),low_to_ordinary,mud_and_travel_increase_need,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)",secondary_rise_via_general_scarcity_and_debt_pressure (no category-specific sourced ratio; only staple grain/bread has a direct chronicle ratio -- see basis),"tsv base_value_band (draft, project rule, medium confidence); famine magnitude not sourced for this category -- direction only, no invented number",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_bast_or_simple_shoes,C
pb_needle_thread,gap:tsv_category.tool_household (item_category_ref pending materials_registry/category_parameters domain),low_to_ordinary,small_but_valuable_if_needed,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)",secondary_rise_via_general_scarcity_and_debt_pressure (no category-specific sourced ratio; only staple grain/bread has a direct chronicle ratio -- see basis),"tsv base_value_band (draft, project rule, medium confidence); famine magnitude not sourced for this category -- direction only, no invented number",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_needle_thread,C
pb_candle_wax,gap:tsv_category.church_household (item_category_ref pending materials_registry/category_parameters domain),valuable,church_calendar_demand,"rises_with_war_or_fire (проектное правило, tsv#crisis_variation)","rises_when_route_closed_or_distant (проектное правило, tsv#crisis_variation)",secondary_rise_via_general_scarcity_and_debt_pressure (no category-specific sourced ratio; only staple grain/bread has a direct chronicle ratio -- see basis),"tsv base_value_band (draft, project rule, medium confidence); famine magnitude not sourced for this category -- direction only, no invented number",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_candle_wax,C
