tg_id,name_ru,item_category_ref,direction,origin_region,season,practice_notes,source_refs,confidence
tg_wool,Шерсть,gap:raw_material.textile,local;import,местное скотоводство и импорт,—,"ткань, войлок; качество различно","sqlite:novgorod_1230(1)(1).economy(шерсть,B)",B
tg_iron_local,Железо (кусковое/полоса),gap:raw_material.metal,local;import,болотные руды и обмен,—,дорогая квалифицированная обработка; route/supply-sensitive,"sqlite:novgorod_1230(1)(1).economy(железо,B); tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_iron_bar",B
tg_nonferrous_metal,Цветные металлы,gap:raw_material.metal,import,Балтика и Русь,—,"украшения, весы, детали; часто импортное сырьё","sqlite:novgorod_1230(1)(1).economy(цветные металлы,A)",A
tg_silver_import,"Серебро (слитки, лом, привозной металл)",gap:raw_material.precious_metal (item_template:CRF0068),import,международная торговля,—,«без единой регулярной монеты Новгорода 1230 г.»; ввоз немецких слитков-марок для переплавки,"sqlite:novgorod_1230(1)(1).economy(серебро,B); book:622242 §немецкие слитки-марки",B
tg_wool_cloth_import,Сукно,gap:raw_material.textile,import,Балтика и немецкие города,лучше доступно в навигационный сезон,"признак статуса, не повседневность большинства","sqlite:novgorod_1230(1)(1).economy(сукно,A); tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_wool_cloth",A
tg_wine_import,Вино виноградное,gap:luxury_import.beverage,import,Запад/юг,навигационный сезон,"литургия и элитное потребление; дорогое и ограниченное; контекст правил синода 1276 г. позже 1230, но привозной характер вина применим и к 1230 г.","sqlite:novgorod_1230(1)(1).economy(вино,B); book:841960 §вино виноградное",B
tg_weapons_blades,Оружие и клинки,cat_item_property_military_service_gear_v1,import;local_craft,"Русь, Балтика, городские кузницы",—,качество и происхождение различны,"sqlite:novgorod_1230(1)(1).economy(оружие,B)",B
tg_timber_wood,Дерево (строевой лес),gap:raw_material.wood,local,Приильменье,"заготовка сезонна, спрос круглый год","дома, мост, стены, настилы, топливо, тара; пожароопасность","sqlite:novgorod_1230(1)(1).economy(дерево,A)",A
tg_glassware_absent_guard,Западная стеклянная посуда — ОТСУТСТВУЕТ в 1230 г. (anachronism guard),gap:luxury_import.glassware,absent_in_1230,Запад,—,"«отсутствует в Новгороде в 1230 г.; появляется вскоре после монгольского нашествия, до 1280-х мало, в основном у бояр» — не размещать как товар на торгу в 1230 г.",book-evidence:economy-trade-measures#row110 (verified+fixed 2026-09-26),B
tg_spices_gap,Пряности — GAP (нет прямых свидетельств для Новгорода 1230 г.),gap:luxury_import.spices,unresolved,unresolved,—,"брифом отмечено «проверить»: ни sqlite economy, ни книжный корпус группы, ни MASTER не дают прямого свидетельства массовой торговли пряностями в Новгороде ~1230 г.; единичное церковно-аптечное использование теоретически возможно, но не подтверждено — оставлено как gap, а не как факт","gap; проверено против sqlite economy (20 строк), book-evidence economy-trade-measures (244 строки), master:economy_social",
