term_id,term_ru,gloss_en,category,source_refs,confidence,note
kt_sirota,сирота,"person without kin / orphan, low-status dependant",dependent_status,"book:499410 §521: сирота = человек без рода и племени, 'лишённый родных, близких' (period medieval_general — analogy, confidence capped at B/C)",B,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_otrok,отрокъ,adolescent / junior household dependant,dependent_status,standard Old East Slavic term; general historical-linguistic reference (gap: no per-row attestation),B,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_tyi_test,тьсть,father-in-law (wife's father),in_law,"book:641352 §1722/§1765 (зять/тесть address forms), c1230/medieval_general",A,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_tyoshcha,тьща,mother-in-law (wife's mother),in_law,standard Old East Slavic term paired with тьсть; no per-row attestation found in this group's evidence (gap),C,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_svekr,свекръ,father-in-law (husband's father),in_law,standard Old East Slavic term paired with свекры; no per-row attestation found (gap),C,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_svekrov,свекры,mother-in-law (husband's mother),in_law,book:499410 §92: *svekry -> свекровь 'мать мужа',B,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_stryi,стрый / строй,paternal uncle (father's brother),collateral_kin,"book:499410 §99: до конца XIV в. различали дядю по отцу — стрый, и по матери — уй; общего 'дядя' ещё не было ~1230",B,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_uy,уй / вуй,maternal uncle (mother's brother),collateral_kin,"book:499410 §99, same source as стрый",B,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_teta,тётка,aunt,collateral_kin,standard Old East Slavic term; no per-row attestation found (gap),C,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_plemyannik,племянникъ,nephew,collateral_kin,"book:641351 §2988: племянник живёт у дяди 'за сына' после смерти сестры, c1230",A,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_zolovka,золовка,husband's sister,in_law,book:499410 §92: *zъly -> золовка 'сестра мужа',B,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_yatrov,ятровь,brother's wife (sister-in-law),in_law,book:499410 §92: *jětry -> ятровь 'жена брата',B,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_shurin,шуринъ,wife's brother (brother-in-law),in_law,"book:499410 §98: шуринъ — тот, кто «пришит» к роду посредством брака своего родича",B,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_dever,деверь,husband's brother,in_law,standard affinal-kin term of the same system as золовка/ятровь/шурин; no per-row attestation found in this group's evidence (gap),C,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_snokha,сноха,son's wife (daughter-in-law),in_law,standard affinal-kin term; no per-row attestation found in this group's evidence (gap),C,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_zyat,зять,son-in-law / sister's husband,in_law,"book:641352 §1722/§1765 (зять к тестю: «Господин и отец»), c1230/medieval_general",A,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_pasynok,пасынокъ,stepson,step_kin,standard Old East Slavic term; general historical-linguistic reference (gap: no per-row attestation),B,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_machekha,мачеха,stepmother,step_kin,standard Old East Slavic term; general historical-linguistic reference (gap: no per-row attestation),B,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_pridanoe,приданое,dowry / bride's household goods (what her father and kin gave),marriage_property,"book:641351 §2974 (БЕРЕСТЯНЫЕ ГРАМОТЫ > ПЕРЕВОД): «приданое жены составляли дар отца и 'впридачу' от родичей», c1230",A,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
kt_veno,вѣно,bride-price / marriage payment,marriage_property,standard Old East Slavic legal-property term; no per-row attestation found in this group's evidence (gap),C,period-plausible Old East Slavic / Novgorod term for ~1230; see source_refs for this row's specific attestation or stated gap.
