id	slug	title	node_type	scale_level	parent_node_id	region_id	region_cell_code	g1_type	place_template_id	g4_location_type	default_edge_type_from_parent	base_time_minutes_from_parent	visibility_profile	access_profile	item_profile	npc_profile	evidence_status	game_use	limits	status	confidence	sources	audit_notes	scale_role	g5_materialization_hint	internal_connectivity_role
gn_nov_g1_00_00_g4_002_luzhitsy_dvor_07_garden_patch	luzhitsy_dvor_garden_patch	Лужицы: двор: огород и малый покос	location	G4	gn_nov_g1_00_00_g3_002_luzhitsy_dvor	region_novgorod_land	nov_g1_00_00	empty_wild	pt_isolated_farmstead	garden_patch	path	5	видимая игровая зона внутри «Лужицы: двор»; детали уточняются при входе в сцену	доступ зависит от статуса персонажа, времени суток, свидетелей и местного порядка	предметный профиль выводится из функции зоны: еда, сезонная работа	NPC возможны по функции зоны: еда, сезонная работа	historically_plausible_required_detail	G4-зона для сцены: еда, сезонная работа. Должна материализовать G5-точки по заявке игрока, а не заменять их.	Не создавать поштучно все дворы; G4 описывает функциональную зону и масштаб места. Конкретные NPC/предметы фиксируются только при сценической материализации.	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_project_architecture_g0_g5"", ""src_master_audit_2026_07_05_v6""]"	V6 rebuilt G4: функциональная зона 'еда, сезонная работа' вместо шаблонной заглушки; пригодно для G5-сцены.	еда, сезонная работа	При G5-материализации развернуть ближайшие точки: вход, укрытие/предметы, свидетели, проходы, границы доступа; функция зоны: еда, сезонная работа.	internal
gn_nov_g1_00_00_g4_002_luzhitsy_dvor_08_forest_exit	luzhitsy_dvor_forest_exit	Лужицы: двор: лесной или луговой выход	location	G4	gn_nov_g1_00_00_g3_002_luzhitsy_dvor	region_novgorod_land	nov_g1_00_00	empty_wild	pt_isolated_farmstead	forest_exit	forest_track	8	видимая игровая зона внутри «Лужицы: двор»; детали уточняются при входе в сцену	доступ зависит от статуса персонажа, времени суток, свидетелей и местного порядка	предметный профиль выводится из функции зоны: обход, промысел, скрытность	NPC возможны по функции зоны: обход, промысел, скрытность	historically_plausible_required_detail	G4-зона для сцены: обход, промысел, скрытность. Должна материализовать G5-точки по заявке игрока, а не заменять их.	Не создавать поштучно все дворы; G4 описывает функциональную зону и масштаб места. Конкретные NPC/предметы фиксируются только при сценической материализации.	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_project_architecture_g0_g5"", ""src_master_audit_2026_07_05_v6""]"	V6 rebuilt G4: функциональная зона 'обход, промысел, скрытность' вместо шаблонной заглушки; пригодно для G5-сцены.	обход, промысел, скрытность	При G5-материализации развернуть ближайшие точки: вход, укрытие/предметы, свидетели, проходы, границы доступа; функция зоны: обход, промысел, скрытность.	internal
gn_nov_g1_00_00_g4_003_selische_zimove_01_track_entry	verhnee_selische_zimove_track_entry	Верхнее Селище: зимовье: тропа к стану	location	G4	gn_nov_g1_00_00_g3_003_selische_zimove	region_novgorod_land	nov_g1_00_00	empty_wild	pt_wintering_hut	track_entry	forest_track	7	видимая игровая зона внутри «Верхнее Селище: зимовье»; детали уточняются при входе в сцену	доступ зависит от статуса персонажа, времени суток, свидетелей и местного порядка	предметный профиль выводится из функции зоны: вход из леса/болота	NPC возможны по функции зоны: вход из леса/болота	historically_plausible_required_detail	G4-зона для сцены: вход из леса/болота. Должна материализовать G5-точки по заявке игрока, а не заменять их.	Не создавать поштучно все дворы; G4 описывает функциональную зону и масштаб места. Конкретные NPC/предметы фиксируются только при сценической материализации.	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_project_architecture_g0_g5"", ""src_master_audit_2026_07_05_v6""]"	V6 rebuilt G4: функциональная зона 'вход из леса/болота' вместо шаблонной заглушки; пригодно для G5-сцены.	вход из леса/болота	При G5-материализации развернуть ближайшие точки: вход, укрытие/предметы, свидетели, проходы, границы доступа; функция зоны: вход из леса/болота.	entry
gn_nov_g1_00_00_g4_003_selische_zimove_02_camp_fire	verhnee_selische_zimove_camp_fire	Верхнее Селище: зимовье: кострище	location	G4	gn_nov_g1_00_00_g3_003_selische_zimove	region_novgorod_land	nov_g1_00_00	empty_wild	pt_wintering_hut	camp_fire	yard_passage	2	видимая игровая зона внутри «Верхнее Селище: зимовье»; детали уточняются при входе в сцену	доступ зависит от статуса персонажа, времени суток, свидетелей и местного порядка	предметный профиль выводится из функции зоны: ядро стоянки	NPC возможны по функции зоны: ядро стоянки	historically_plausible_required_detail	G4-зона для сцены: ядро стоянки. Должна материализовать G5-точки по заявке игрока, а не заменять их.	Не создавать поштучно все дворы; G4 описывает функциональную зону и масштаб места. Конкретные NPC/предметы фиксируются только при сценической материализации.	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_project_architecture_g0_g5"", ""src_master_audit_2026_07_05_v6""]"	V6 rebuilt G4: функциональная зона 'ядро стоянки' вместо шаблонной заглушки; пригодно для G5-сцены.	ядро стоянки	При G5-материализации развернуть ближайшие точки: вход, укрытие/предметы, свидетели, проходы, границы доступа; функция зоны: ядро стоянки.	internal
gn_nov_g1_00_00_g4_003_selische_zimove_03_hut_or_shelter	verhnee_selische_zimove_hut_or_shelter	Верхнее Селище: зимовье: изба, шалаш или навес	location	G4	gn_nov_g1_00_00_g3_003_selische_zimove	region_novgorod_land	nov_g1_00_00	empty_wild	pt_wintering_hut	hut_or_shelter	door	3	видимая игровая зона внутри «Верхнее Селище: зимовье»; детали уточняются при входе в сцену	доступ зависит от статуса персонажа, времени суток, свидетелей и местного порядка	предметный профиль выводится из функции зоны: укрытие и ночлег	NPC возможны по функции зоны: укрытие и ночлег	historically_plausible_required_detail	G4-зона для сцены: укрытие и ночлег. Должна материализовать G5-точки по заявке игрока, а не заменять их.	Не создавать поштучно все дворы; G4 описывает функциональную зону и масштаб места. Конкретные NPC/предметы фиксируются только при сценической материализации.	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_project_architecture_g0_g5"", ""src_master_audit_2026_07_05_v6""]"	V6 rebuilt G4: функциональная зона 'укрытие и ночлег' вместо шаблонной заглушки; пригодно для G5-сцены.	укрытие и ночлег	При G5-материализации развернуть ближайшие точки: вход, укрытие/предметы, свидетели, проходы, границы доступа; функция зоны: укрытие и ночлег.	internal
gn_nov_g1_00_00_g4_003_selische_zimove_04_wood_stack	verhnee_selische_zimove_wood_stack	Верхнее Селище: зимовье: дрова и сушняк	location	G4	gn_nov_g1_00_00_g3_003_selische_zimove	region_novgorod_land	nov_g1_00_00	empty_wild	pt_wintering_hut	wood_stack	yard_passage	3	видимая игровая зона внутри «Верхнее Селище: зимовье»; детали уточняются при входе в сцену	доступ зависит от статуса персонажа, времени суток, свидетелей и местного порядка	предметный профиль выводится из функции зоны: топливо и следы	NPC возможны по функции зоны: топливо и следы	historically_plausible_required_detail	G4-зона для сцены: топливо и следы. Должна материализовать G5-точки по заявке игрока, а не заменять их.	Не создавать поштучно все дворы; G4 описывает функциональную зону и масштаб места. Конкретные NPC/предметы фиксируются только при сценической материализации.	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_project_architecture_g0_g5"", ""src_master_audit_2026_07_05_v6""]"	V6 rebuilt G4: функциональная зона 'топливо и следы' вместо шаблонной заглушки; пригодно для G5-сцены.	топливо и следы	При G5-материализации развернуть ближайшие точки: вход, укрытие/предметы, свидетели, проходы, границы доступа; функция зоны: топливо и следы.	internal
gn_nov_g1_00_00_g4_003_selische_zimove_05_tool_storage	verhnee_selische_zimove_tool_storage	Верхнее Селище: зимовье: снасти, ловушки или инструмент	location	G4	gn_nov_g1_00_00_g3_003_selische_zimove	region_novgorod_land	nov_g1_00_00	empty_wild	pt_wintering_hut	tool_storage	door	3	видимая игровая зона внутри «Верхнее Селище: зимовье»; детали уточняются при входе в сцену	доступ зависит от статуса персонажа, времени суток, свидетелей и местного порядка	предметный профиль выводится из функции зоны: предметы промысла	NPC возможны по функции зоны: предметы промысла	historically_plausible_required_detail	G4-зона для сцены: предметы промысла. Должна материализовать G5-точки по заявке игрока, а не заменять их.	Не создавать поштучно все дворы; G4 описывает функциональную зону и масштаб места. Конкретные NPC/предметы фиксируются только при сценической материализации.	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_project_architecture_g0_g5"", ""src_master_audit_2026_07_05_v6""]"	V6 rebuilt G4: функциональная зона 'предметы промысла' вместо шаблонной заглушки; пригодно для G5-сцены.	предметы промысла	При G5-материализации развернуть ближайшие точки: вход, укрытие/предметы, свидетели, проходы, границы доступа; функция зоны: предметы промысла.	internal
gn_nov_g1_00_00_g4_003_selische_zimove_06_water_spot	verhnee_selische_zimove_water_spot	Верхнее Селище: зимовье: ручей или мокрое место	location	G4	gn_nov_g1_00_00_g3_003_selische_zimove	region_novgorod_land	nov_g1_00_00	empty_wild	pt_wintering_hut	water_spot	path	4	видимая игровая зона внутри «Верхнее Селище: зимовье»; детали уточняются при входе в сцену	доступ зависит от статуса персонажа, времени суток, свидетелей и местного порядка	предметный профиль выводится из функции зоны: вода, следы, опасность	NPC возможны по функции зоны: вода, следы, опасность	historically_plausible_required_detail	G4-зона для сцены: вода, следы, опасность. Должна материализовать G5-точки по заявке игрока, а не заменять их.	Не создавать поштучно все дворы; G4 описывает функциональную зону и масштаб места. Конкретные NPC/предметы фиксируются только при сценической материализации.	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_project_architecture_g0_g5"", ""src_master_audit_2026_07_05_v6""]"	V6 rebuilt G4: функциональная зона 'вода, следы, опасность' вместо шаблонной заглушки; пригодно для G5-сцены.	вода, следы, опасность	При G5-материализации развернуть ближайшие точки: вход, укрытие/предметы, свидетели, проходы, границы доступа; функция зоны: вода, следы, опасность.	internal
gn_nov_g1_00_00_g4_003_selische_zimove_07_resource_line	verhnee_selische_zimove_resource_line	Верхнее Селище: зимовье: тропа к ловушкам, делянке или бортям	location	G4	gn_nov_g1_00_00_g3_003_selische_zimove	region_novgorod_land	nov_g1_00_00	empty_wild	pt_wintering_hut	resource_line	forest_track	8	видимая игровая зона внутри «Верхнее Селище: зимовье»; детали уточняются при входе в сцену	доступ зависит от статуса персонажа, времени суток, свидетелей и местного порядка	предметный профиль выводится из функции зоны: связь с ресурсной средой	NPC возможны по функции зоны: связь с ресурсной средой	historically_plausible_required_detail	G4-зона для сцены: связь с ресурсной средой. Должна материализовать G5-точки по заявке игрока, а не заменять их.	Не создавать поштучно все дворы; G4 описывает функциональную зону и масштаб места. Конкретные NPC/предметы фиксируются только при сценической материализации.	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_project_architecture_g0_g5"", ""src_master_audit_2026_07_05_v6""]"	V6 rebuilt G4: функциональная зона 'связь с ресурсной средой' вместо шаблонной заглушки; пригодно для G5-сцены.	связь с ресурсной средой	При G5-материализации развернуть ближайшие точки: вход, укрытие/предметы, свидетели, проходы, границы доступа; функция зоны: связь с ресурсной средой.	internal
gn_nov_g1_00_01_g4_001_navolok_ohotnichiy_stan_01_track_entry	verhniy_navolok_ohotnichiy_stan_nov_g1_00_01_track_entry	Верхний Наволок: охотничий стан: тропа к стану	location	G4	gn_nov_g1_00_01_g3_001_navolok_ohotnichiy_stan	region_novgorod_land	nov_g1_00_01	empty_wild	pt_hunting_camp	track_entry	forest_track	7	видимая игровая зона внутри «Верхний Наволок: охотничий стан»; детали уточняются при входе в сцену	доступ зависит от статуса персонажа, времени суток, свидетелей и местного порядка	предметный профиль выводится из функции зоны: вход из леса/болота	NPC возможны по функции зоны: вход из леса/болота	historically_plausible_required_detail	G4-зона для сцены: вход из леса/болота. Должна материализовать G5-точки по заявке игрока, а не заменять их.	Не создавать поштучно все дворы; G4 описывает функциональную зону и масштаб места. Конкретные NPC/предметы фиксируются только при сценической материализации.	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_project_architecture_g0_g5"", ""src_master_audit_2026_07_05_v6""]"	V6 rebuilt G4: функциональная зона 'вход из леса/болота' вместо шаблонной заглушки; пригодно для G5-сцены.	вход из леса/болота	При G5-материализации развернуть ближайшие точки: вход, укрытие/предметы, свидетели, проходы, границы доступа; функция зоны: вход из леса/болота.	entry
