name	region_cell_code	place_template_id	name_status	evidence_status	rationale
Верхний Малый Бор: брод	nov_g1_00_02	pt_ford_place	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхние Луга: село	nov_g1_00_02	pt_village	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхнее Починье: пристань	nov_g1_00_02	pt_river_landing	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхнее Березье: село	nov_g1_00_02	pt_village	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхние Лужицы: пристань	nov_g1_00_02	pt_river_landing	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхнее Селище: брод	nov_g1_00_02	pt_ford_place	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхний Починок: село	nov_g1_00_02	pt_village	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Дуброво: село	nov_g1_00_02	pt_village	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Сосновец: пристань	nov_g1_00_02	pt_river_landing	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхнее Мховое: деревня	nov_g1_00_02	pt_hamlet	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Селище на Шелони: пристань	nov_g1_00_03	pt_river_landing	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Починок на Шелони: брод	nov_g1_00_03	pt_ford_place	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Дуброво у Шелони: село	nov_g1_00_03	pt_village	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Сосновец у Шелони: село	nov_g1_00_03	pt_village	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Мховое на Шелони: пристань	nov_g1_00_03	pt_river_landing	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Озерец у Шелони: деревня	nov_g1_00_03	pt_hamlet	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Плесо на Шелони: брод	nov_g1_00_03	pt_ford_place	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Залесье у Шелони: село	nov_g1_00_03	pt_village	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Борок на Шелони: пристань	nov_g1_00_03	pt_river_landing	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Наволок у Шелони: село	nov_g1_00_03	pt_village	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Глинка на Шелони: пристань	nov_g1_00_03	pt_river_landing	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Луки на Шелони: брод	nov_g1_00_03	pt_ford_place	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Погосток у Шелони: село	nov_g1_00_03	pt_village	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Рыбный Стан у Шелони: село	nov_g1_00_03	pt_village	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Волчий Бор на Шелони: пристань	nov_g1_00_03	pt_river_landing	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Кривой Ручей у Шелони: деревня	nov_g1_00_03	pt_hamlet	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхние Луки: село	nov_g1_00_04	pt_village	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхний Погосток: село	nov_g1_00_04	pt_village	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхний Рыбный Стан: брод	nov_g1_00_04	pt_ford_place	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхний Волчий Бор: брод	nov_g1_00_04	pt_ford_place	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Кривой Ручей: деревня	nov_g1_00_04	pt_hamlet	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Зимний Стан: село	nov_g1_00_04	pt_village	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхняя Сухая Грива: село	nov_g1_00_04	pt_village	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхний Чёрный Мох: брод	nov_g1_00_04	pt_ford_place	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхняя Каменка на Волхове: брод	nov_g1_00_05	pt_ford_place	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхнее Заречье на Волхове: брод	nov_g1_00_05	pt_ford_place	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Подборье у Волхова: деревня	nov_g1_00_05	pt_hamlet	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхние Ручьи у Волхова: деревня	nov_g1_00_05	pt_hamlet	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхний Малый Бор на Волхове: брод	nov_g1_00_05	pt_ford_place	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхние Луга: охотничий стан	nov_g1_00_05	pt_hunting_camp	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Нижний Починок на Волхове: брод	nov_g1_00_05	pt_ford_place	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхнее Березье у Волхова: деревня	nov_g1_00_05	pt_hamlet	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхние Лужицы на Волхове: брод	nov_g1_00_05	pt_ford_place	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхнее Селище у Волхова: деревня	nov_g1_00_05	pt_hamlet	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Починок на Волхове: брод	nov_g1_00_05	pt_ford_place	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхнее Дуброво на Волхове: брод	nov_g1_00_05	pt_ford_place	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Сосновец у Волхова: деревня	nov_g1_00_05	pt_hamlet	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхнее Мховое у Волхова: деревня	nov_g1_00_05	pt_hamlet	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Озерец на Волхове: брод	nov_g1_00_05	pt_ford_place	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхнее Плесо: охотничий стан	nov_g1_00_05	pt_hunting_camp	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Нижнее Дуброво на Волхове: брод	nov_g1_00_06	pt_ford_place	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Сосновец на Волхове: брод	nov_g1_00_06	pt_ford_place	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Нижнее Мховое у Волхова: деревня	nov_g1_00_06	pt_hamlet	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхний Озерец у Волхова: деревня	nov_g1_00_06	pt_hamlet	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Плесо на Волхове: брод	nov_g1_00_06	pt_ford_place	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхнее Залесье: охотничий стан	nov_g1_00_06	pt_hunting_camp	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Борок на Волхове: брод	nov_g1_00_06	pt_ford_place	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Наволок у Волхова: деревня	nov_g1_00_06	pt_hamlet	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхняя Глинка на Волхове: брод	nov_g1_00_06	pt_ford_place	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхние Луки у Волхова: деревня	nov_g1_00_06	pt_hamlet	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Погосток на Волхове: брод	nov_g1_00_06	pt_ford_place	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхний Рыбный Стан на Волхове: брод	nov_g1_00_06	pt_ford_place	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Волчий Бор у Волхова: деревня	nov_g1_00_06	pt_hamlet	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Кривой Ручей у Волхова: деревня	nov_g1_00_06	pt_hamlet	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхний Зимний Стан на Волхове: брод	nov_g1_00_06	pt_ford_place	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхняя Сухая Грива: охотничий стан	nov_g1_00_06	pt_hunting_camp	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхний Озерец на Ильмене: пристань	nov_g1_01_00	pt_river_landing	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Плесо на Ильмене: брод	nov_g1_01_00	pt_ford_place	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Залесье у Ильменя: деревня	nov_g1_01_00	pt_hamlet	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
Верхний Борок у Ильменя: деревня	nov_g1_01_00	pt_hamlet	fictional_historicized_name	historically_plausible_construct	Исторически правдоподобный локальный топоним/узел после итогового историко-игрового аудита; не выдавать вымышленные названия за источниковый факт. V6: G4 места пересобран как функциональная игровая структура; имя G3 сохранено.
