lc_id,species_ref,season_period,housing,fodder,water,care_tasks_daily,care_tasks_seasonal,products_in_season,risks,region_id,source_refs,confidence,status
lc_pig__autumn,fa_dom_pig,autumn,"выпас, затем хлев","падалица, жёлуди в дубравах (C)",река,откорм,"осенний забой, соление сала","мясо, сало, шкура",—,novgorod_land,src:master-food-ingredients;claim:livestock-swine-comparative-diet,C,candidate
lc_sheep__winter,fa_dom_sheep,winter,хлев,"сено, солома, мякина",поить,"кормить, подстилать",окот в конце зимы (C),—,мокрый холод и ветер опасны для овец,novgorod_land,src:kochin-1965-agriculture;claim:macro-b1819-wet-cold-wind-can-overwhelm-sheep-insulation-and-dry-shelter-reduces-exposure,B,candidate
lc_sheep__spring_rasputitsa,fa_dom_sheep,spring_rasputitsa,"хлев, затем выгон","остатки сена, первая трава",ручьи,присматривать за ягнятами,окот; стрижка (C),шерсть,ягнята в сырость,novgorod_land,claim:fauna-ewe-lambing-seclusion;claim:mb14-practical-ewe-lamb-postbirth-observation;claim:harvest-sheep-shearing-scissors,C,candidate
lc_sheep__summer,fa_dom_sheep,summer,стадом на выгоне,пастбище,река,пасти стадом,стрижка ножницами (C по сезону),"шерсть, молоко немного","волки, отбившиеся овцы",novgorod_land,claim:fauna-sheep-flocking;claim:harvest-sheep-shearing-scissors,C,candidate
lc_sheep__autumn,fa_dom_sheep,autumn,"выгон, затем хлев","отава, сено",река,пасти,осенняя стрижка (C); забой,"мясо, овчины, шерсть",—,novgorod_land,claim:clothing-wool;src:master-food-ingredients,C,candidate
lc_goat__summer,fa_dom_goat,summer,с овцами на выгоне,"ветки, кустарник, трава",река,"пасти, доить",—,молоко,объедает молодые деревья и огород (C),novgorod_land,claim:fauna-mammals-ruminant-grazing-selectivity;claim:fauna-goat-sociality;src:master-food-ingredients,C,candidate
lc_goat__winter,fa_dom_goat,winter,хлев,"сено, веники (C)",поить,"кормить, доить",окот (C),молоко (мало),—,novgorod_land,claim:fauna-mammals-ruminant-grazing-selectivity,C,candidate
lc_chicken__winter,fa_dom_chicken,winter,хлев или изба (C),"зерновые отходы, мякина",поить,"кормить, собирать яйца",—,яйца (мало),"холод, хорь и лиса (C)",novgorod_land,claim:macro-b1819-laying-hens-can-use-nest-sites-for-egg-laying;src:korotkova-byt,C,candidate
lc_chicken__summer,fa_dom_chicken,summer,"двор, огород","сами роются, зерно","лужи, корыто","собирать яйца, загонять на ночь",наседка выводит цыплят,"яйца, цыплята","ястреб, лиса, потрава огорода",novgorod_land,claim:fauna-chicken-foraging;claim:fauna-chicken-brooding;claim:fauna-chicken-dust-bathing,B,candidate
lc_goose__summer,fa_dom_goose,summer,"у воды днём, двор ночью","трава, водная растительность (C)","река, пруд","выгнать к воде, пригнать стаей",выведение гусят,"перо, яйца","лиса, отбившиеся птицы",novgorod_land,claim:place-domestic-geese-can-move-as-a-flock-when-herded;claim:place-poultry-approach-and-movement-can-affect-response-without-guaranteed-control,C,candidate
lc_goose__autumn,fa_dom_goose,autumn,двор,"стерня, зерно (C)",река,откорм,осенний забой (C),"мясо, жир, перо",—,novgorod_land,master:n1230:material_item:liv0012;src:master-food-ingredients,C,candidate
lc_dog__winter,fa_dom_dog,winter,"двор, под навесом, у ворот","объедки, кости",—,кормить,—,охрана,"драки, бешенство не выводить",novgorod_land,claim:fauna-mammals-domestic-dog-flexible-sociality;src:sablin-2007-rurikovo,C,candidate
lc_dog__spring_rasputitsa,fa_dom_dog,spring_rasputitsa,"двор, под навесом, у ворот","объедки, кости",—,кормить,—,охрана,"драки, бешенство не выводить",novgorod_land,claim:fauna-mammals-domestic-dog-flexible-sociality;src:sablin-2007-rurikovo,C,candidate
lc_dog__summer,fa_dom_dog,summer,"двор, под навесом, у ворот","объедки, кости",—,кормить,—,охрана,"драки, бешенство не выводить",novgorod_land,claim:fauna-mammals-domestic-dog-flexible-sociality;src:sablin-2007-rurikovo,C,candidate
lc_dog__autumn,fa_dom_dog,autumn,"двор, под навесом, у ворот","объедки, кости",—,кормить,—,охрана,"драки, бешенство не выводить",novgorod_land,claim:fauna-mammals-domestic-dog-flexible-sociality;src:sablin-2007-rurikovo,C,candidate
lc_cat__winter,fa_dom_cat,winter,"изба, клеть, амбар","мыши, объедки",—,—,—,ловля мышей,—,novgorod_land,master:n1230:material_item:liv0001;claim:place-cats-can-use-secluded-or-elevated-hiding-places,B,candidate
lc_cat__spring_rasputitsa,fa_dom_cat,spring_rasputitsa,"изба, клеть, амбар","мыши, объедки",—,—,—,ловля мышей,—,novgorod_land,master:n1230:material_item:liv0001;claim:place-cats-can-use-secluded-or-elevated-hiding-places,B,candidate
lc_cat__summer,fa_dom_cat,summer,"изба, клеть, амбар","мыши, объедки",—,—,—,ловля мышей,—,novgorod_land,master:n1230:material_item:liv0001;claim:place-cats-can-use-secluded-or-elevated-hiding-places,B,candidate
lc_cat__autumn,fa_dom_cat,autumn,"изба, клеть, амбар","мыши, объедки",—,—,—,ловля мышей,—,novgorod_land,master:n1230:material_item:liv0001;claim:place-cats-can-use-secluded-or-elevated-hiding-places,B,candidate
