item_id,name_ru,alt_names_ru,gender_scope,category,subcategory,description_ru,who_wore,social_scope,role_scope,season_scope,region_scope,period_scope,materials,colors,status_markers,historical_confidence,evidence_basis,source_ids,image_refs,do_not_confuse_with,notes_for_image_generation
GM011,Буро-красный шерстяной плащ,буро-красная мятель,male,garment_male,cloak_documented_color,"Конкретный документированный цветовой вариант плаща: тёплый буро-красный, а не ярко-алый синтетический.",покупатель/заказчик ткани и подобной одежды; вероятнее городской или торговый контекст,"средний или обеспеченный слой, но не исключительно знать",купец | зажиточный горожанин | путник,весна | осень | зима поверх одежды,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,окрашенная шерсть,буро-красный | кирпично-красный | мареновый тёплый,ровная насыщенная окраска могла повышать стоимость,A,"Прямое письменное упоминание в берестяной грамоте №765, близкой к 1230 г.",SRC015,IMG_SHEET_03 | IMG_SHEET_07,ярким карминовым сукном промышленной равномерности,Это безопасный цветовой акцент для одного персонажа; не превращать весь Новгород в красно-коричневую униформу.
GM012,Плотная дорожная накидка из шерсти,дорожный плащ | погодная накидка,male,garment_male,travel_cloak,"Плотная шерстяная накидка против ветра, мороси и дорожной грязи. Не водонепроницаема в современном смысле, но практична в северо-западном климате.","путники, купцы, гонцы, рыбаки, охотники",широкий диапазон,путник | купец | рыбак | охотник,весна | осень | дождь | ветер,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,плотная шерсть | иногда войлок как локальная деталь,тёмно-серый | бурый | серо-зелёный,,B,"Шерстяной текстиль, плащи и климатическая функция; специальная «дождевая одежда» отдельно не доказана.",SRC007 | SRC008 | SRC015,IMG_SHEET_03,"прорезиненным плащом, вощёной современной курткой или фэнтезийным капюшонным пончо","Показывать намокшую тяжёлую шерсть, простую застёжку и следы использования."
GM013,Капюшон или отдельный шерстяной куколь дорожного типа,капюшон | головной покров с плечевой пелериной,male,garment_male,hood,"Отдельный головной и плечевой покров, защищающий от ветра и дождя. Для Новгорода около 1230 конкретная форма реконструируется по североевропейской и иконографической аналогии.","путники, работники на открытом воздухе, рыбаки; возможно духовные лица в иной форме","практический, не статусный по умолчанию",путник | рыбак | охотник | лодочник,весна | осень | зима,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,шерсть,серый | бурый | тёмный натуральный,,C,"Функционально и сравнительно правдоподобно, но прямой новгородский цельный экземпляр первой половины XIII в. не подтверждён.",SRC025 | SRC027 | SRC034,IMG_SHEET_02 | IMG_SHEET_03,поздним монашеским куколем строго фиксированной формы или фэнтезийным длинным капюшоном,Использовать редко; не делать обязательной частью каждого плаща.
GM014,Тканевый рабочий передник,фартук | передник,male,garment_male,workwear,"Простой передник, защищающий одежду при ремесленной и хозяйственной работе. Сохраняется плохо и реконструируется по функции и аналогиям.","ремесленники, работники с пищей, кожевники, сапожники",рабочий элемент,ремесленник | сапожник | кожевник | кузнец — поверх более стойкого слоя,круглый год в работе,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,лён | конопля | грубая шерсть,небелёный | серый | коричневый | запятнанный рабочий,,C,"Ремесленный контекст достоверен, но органический передник редко идентифицируется непосредственно.",SRC001 | SRC002 | SRC018 | SRC031,IMG_SHEET_08,современным нагрудным фартуком с карманами и металлической фурнитурой,"Минимальная конструкция на завязках, без современного кроя."
GM015,Кожаный ремесленный передник,защитный кожаный фартук,male,garment_male,workwear_protective,"Защитный слой из кожи для отдельных горячих, режущих или грязных работ; не универсальная одежда ремесленника.","кузнецы, литейщики, некоторые кожевники/сапожники",профессиональная вещь,кузнец | литейщик | кожевник,во время работы,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,толстая кожа,коричневый | тёмный от копоти и жира,,C,Профессиональная функция и кожевенное производство; конкретный новгородский передник около 1230 не опубликован как цельный предмет.,SRC002 | SRC031,IMG_SHEET_08,фэнтезийной кожаной жилеткой или бронёй,"Рисовать только в рабочей сцене; не добавлять наплечники, заклёпочные пластины и декоративную «броню»."
GM016,Тонкая шерстяная статусная верхняя одежда,парадная верхняя туникообразная одежда,male,garment_male,status_garment,"Аккуратно скроенная длиннорукавная одежда из тонкой шерсти, возможно импортного сукна, с узкой отделкой по краю или горловине.","богатые купцы, бояре, княжеская среда, старшая дружина",верхний слой общества,купец | боярин | старший дружинник,круглый год как парадный/средний слой,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,тонкая шерсть | импортное сукно | льняная подкладка — возможно,"насыщенный, но природный красный | синий | зелёный | пурпурно-бурый","тонкость ткани, ровная окраска, чистая посадка, узкая кайма",B,"Импортный и качественный шерстяной текстиль, статусные усадьбы и иконография; точный крой реконструируется.",SRC008 | SRC010 | SRC029 | SRC043,IMG_SHEET_03 | IMG_SHEET_08,византийским императорским облачением или поздним русским боярским кафтаном,"Статус передавать качеством материала, а не массой золота и узоров."
GM017,Шёлковая или золото-тканая отделка на мужской одежде,шёлковая кайма | нашивная полоса,male,garment_male,trim,"Небольшая импортная полоса, кайма, тесьма или нашивная деталь на одежде элиты. Цельная шёлковая одежда гораздо менее вероятна, чем локальная отделка.","княжеская/боярская верхушка, очень богатые купцы, высшее духовенство",исключительно высокий статус,боярин | старший дружинник | высшее духовенство,торжественные случаи,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,шёлк | золотная нить — редко,красный | синий | зелёный | золотистый,редкость и импортность материала,B,Археологические импортные ткани и иконография; применение на конкретной вещи реконструируется.,SRC008 | SRC010 | SRC043,IMG_SHEET_07 | IMG_SHEET_08,сплошным парчовым кафтаном позднего времени,"Использовать локально: ворот, манжета, край, небольшая нашивка."
GM018,Дорожное покрывало/шерстяное одеяло как накидка,дорожное покрывало | спальный покров,unisex,garment_male,travel_bedding,"Прямоугольное шерстяное покрывало для сна, сидения и временной защиты от холода; могло накидываться поверх одежды в дороге.","путники, лодочники, охотники, военные в походе",широкий диапазон,путник | рыбак | охотник | воин в походе,ночёвка | холод | поход,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,шерсть | войлок — возможен,серый | бурый | полосатый/клетчатый только при обоснованной ткани и без современного рисунка,,B,"Текстиль, дорожная практика и общие средневековые аналогии; конкретный предмет редко идентифицируется как одежда.",SRC007 | SRC008 | SRC034,IMG_SHEET_03,современным пледом с фабричной шотландской клеткой,"Грубое цельное полотнище, видимые следы складок и дороги."
GF001,Длинная женская сорочица из льна,женская рубаха | нижнее платье,female,garment_female,base_layer,"Длинная рубаха до щиколоток или середины голени, с длинными рукавами; служила нижним и иногда домашним слоем. Полный крой реконструируется.",женщины всех слоёв,"все слои; различались белизна, тонкость и отделка",городская жительница | крестьянка | ремесленница | знатная женщина,круглый год,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,лён | реже конопля,небелёный серо-бежевый | выбеленный молочный,,B,Растительный текстиль и общедревнерусская реконструкция; письменный термин «сорочица» не всегда маркирует пол.,SRC006 | SRC008 | SRC019,IMG_SHEET_04,"косовороткой, современной блузой или «славянским» платьем со сплошной машинной вышивкой","Умеренно свободная, с функциональными клиньями; орнамент минимален и локален."
GF002,Грубая рабочая женская рубаха,рабочая сорочица,female,garment_female,base_layer_work,"Более плотная и грубая рубаха из небелёного растительного полотна для тяжёлой домашней, ремесленной или сельской работы.","бедные горожанки, крестьянки, ремесленницы",бедный и средний рабочий слой,ремесленница | торговка | крестьянка,круглый год как нижний/рабочий слой,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,лён | конопля,небелёный | серо-бежевый | серо-коричневый,,B,Растительные ткани и хозяйственная функция; конкретная выкройка реконструируется.,SRC008 | SRC034,IMG_SHEET_04,декоративным псевдофольклорным платьем,"Чистая логика труда: закатанные/подвязанные рукава возможны в сцене, но не современная манжета."
GF003,Длинная шерстяная верхняя одежда женщины,верхнее платье | шерстяное платье — описательный термин,female,garment_female,overdress,Длиннополая шерстяная одежда поверх сорочицы. Могла быть цельной или собранной из прямых полотнищ и клиньев; точный тип горловины и застёжки не фиксируется универсально.,городские и сельские женщины,все слои в разных качествах,городская жительница | замужняя женщина | девушка | крестьянка,весна | осень | зима как средний слой | прохладное лето,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,шерсть,серый | коричневый | бурый | приглушённый красный | синий/зелёный у обеспеченных,,B,Новгородские шерстяные ткани и иконографические силуэты; цельные женские комплекты не сохраняются.,SRC007 | SRC008 | SRC025 | SRC043,IMG_SHEET_04,сарафаном позднего времени как обязательной формой или платьем с корсетом,"Длинный вертикальный силуэт, естественные складки, без подчёркнутой современной талии."
GF004,Рабочая шерстяная верхняя одежда женщины,простое верхнее платье,female,garment_female,overdress_work,"Практичная версия длинной шерстяной одежды, возможно короче парадной и с минимумом отделки; защищала нижнюю сорочицу.","ремесленницы, торговки, крестьянки, работницы двора",бедный и средний слой,ремесленница | торговка | крестьянка,круглый год по погоде,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,грубая шерсть,серый | бурый | коричневый | неравномерно окрашенный,,B,Шерстяные ткани и функциональная реконструкция; точная длина/крой варьировали.,SRC007 | SRC008 | SRC034,IMG_SHEET_04 | IMG_SHEET_08,современной юбкой и блузой как отдельными стандартными деталями,Подол может быть изношен/подобран для работы; не превращать в карикатурные лохмотья.
GF005,Тонкая шерстяная одежда зажиточной женщины,парадное верхнее платье,female,garment_female,status_overdress,Длинная одежда из качественной шерсти с ровной окраской и ограниченной отделкой; статус выражается тканью и аккуратностью.,"зажиточные горожанки, купеческие и боярские семьи",богатый слой и элита,зажиточная горожанка | знатная женщина,парадный выход | круглый год по слоям,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,тонкая шерсть | импортное сукно — возможно | льняная подкладка — возможно,красный | синий | зелёный | пурпурно-бурый | сочетание с белой сорочицей,тонкая ровная ткань; насыщенная природная окраска; небольшая кайма; украшения,B,"Импортный и качественный текстиль, богатые усадьбы и иконография; конкретный крой реконструируется.",SRC008 | SRC010 | SRC016 | SRC032 | SRC043,IMG_SHEET_04 | IMG_SHEET_08,"поздним сарафаном, кокошником и широкой парчовой душегреей",Не перегружать вышивкой. Дорогие цвета распределять неравномерно между персонажами.
GF006,Женский плащ или мантия,плащ | накидка,female,garment_female,cloak,"Шерстяной плащ поверх длинной одежды, закреплённый у плеча или груди; мог использоваться в городе, дороге и церемониальном контексте.",женщины разных слоёв,от простого полотнища до дорогой мантии,городская жительница | путница | знатная женщина,весна | осень | зима поверх слоёв,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,шерсть | фибула/застёжка,серый | бурый | красно-коричневый | синий/зелёный для состоятельных,,B,"Документированные плащи, иконография и общая средневековая практика; женская форма не всегда отличима от мужской по археологии.",SRC015 | SRC025 | SRC043,IMG_SHEET_03 | IMG_SHEET_04,фэнтезийной накидкой с огромным капюшоном и декоративными наплечниками,"Драпировка правдоподобна, но силуэт должен оставаться функциональным."
GF007,Женская меховая шуба,кожух | меховая верхняя одежда,female,garment_female,outerwear_winter,Тёплая меховая одежда; две шубы прямо входят в приданое по грамоте №429. Качество меха и внешнее покрытие различались.,городские и сельские женщины; приданое обеспеченной женщины,"широкий диапазон, но несколько шуб — маркер достатка",замужняя горожанка | знатная женщина | крестьянка,зима,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,овчина | иной мех | тканевое покрытие — у дорогих вариантов,натуральный мех | бурый | серый | окрашенное покрытие у богатых,,B,Прямое упоминание двух шуб в женском приданом; конструкция реконструируется. Исходная детализация уверенности: A–B.,SRC016 | SRC020,IMG_SHEET_04,поздней боярской шубой XVII века или мехом наружу у всех,Для обычного комплекта мех преимущественно внутри; наружный ворот/опушка может быть виден ограниченно.
GF008,Овчинный женский кожух простого типа,простая зимняя шуба,female,garment_female,outerwear_winter_common,"Практичная зимняя одежда из овчины, без дорогого тканевого покрытия или сложной отделки.","бедные и средние городские женщины, крестьянки",обычный зимний слой,бедная горожанка | крестьянка | ремесленница,зима,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,овчина | кожа,бурый | серый | кремовый мех,,B,Письменные шубы и распространённость овчины; точная женская выкройка не сохранилась.,SRC016 | SRC034,IMG_SHEET_04,современной дублёнкой с молнией и декоративной машинной строчкой,"Простые швы, запах/завязка, минимум фурнитуры."
