id	title	land_use_kind	compatible_landscape_template_ids	compatible_water_body_template_ids	seasonal_pattern	labor_intensity	status	confidence
lu_fish_weir_trap_operation	Рыбный запор / стационарная ловушка	fish_weir	[]	["wb_brook", "wb_small_river", "wb_medium_river", "wb_delta_channel", "wb_tidal_creek", "wb_marsh_channel"]	часто сезон хода рыбы или приливный цикл	medium	draft	medium
lu_fuelwood_gathering	Сбор дров и хвороста	fuelwood	["lt_tropical_moist_broadleaf_forest", "lt_tropical_dry_broadleaf_forest", "lt_tropical_coniferous_forest", "lt_temperate_broadleaf_mixed_forest", "lt_temperate_coniferous_forest", "lt_boreal_taiga_coniferous_forest", "lt_boreal_mixed_forest", "lt_montane_forest", "lt_mediterranean_woodland_scrub", "lt_dry_open_woodland", "lt_dense_coniferous_forest", "lt_sparse_forest_woodland", "lt_wet_lowland_forest", "lt_wooded_floodplain", "lt_seasonally_flooded_forest", "lt_riparian_scrub_bank", "lt_scrub_meadow"]	[]	круглый год, чаще перед холодами	low	draft	medium
lu_fur_trapping_ground	Пушной лов / промысловые угодья	trapping_fur	["lt_temperate_broadleaf_mixed_forest", "lt_temperate_coniferous_forest", "lt_boreal_taiga_coniferous_forest", "lt_boreal_mixed_forest", "lt_dense_coniferous_forest", "lt_sparse_forest_woodland", "lt_freshwater_marsh", "lt_seasonal_sedge_marsh", "lt_reedbed_marsh", "lt_shrub_swamp", "lt_wooded_swamp", "lt_peat_swamp_forest", "lt_raised_bog", "lt_blanket_bog", "lt_fen", "lt_wet_lowland_forest", "lt_marsh_lake_margin", "lt_cold_desert"]	[]	часто осень/зима; зависит от меха и снега	medium	draft	medium
lu_hay_meadow_cutting	Сенокос	hay_meadow	["lt_dry_meadow", "lt_mesic_meadow", "lt_wet_meadow", "lt_floodplain_wet_grassland", "lt_alpine_meadow"]	[]	трава растёт весной/летом; покос в конце лета; затем выпас	medium	draft	medium
lu_hunting_ground	Охотничьи угодья	hunting	["lt_tropical_moist_broadleaf_forest", "lt_tropical_dry_broadleaf_forest", "lt_tropical_coniferous_forest", "lt_temperate_broadleaf_mixed_forest", "lt_temperate_coniferous_forest", "lt_boreal_taiga_coniferous_forest", "lt_boreal_mixed_forest", "lt_montane_forest", "lt_mediterranean_woodland_scrub", "lt_dry_open_woodland", "lt_dense_coniferous_forest", "lt_sparse_forest_woodland", "lt_wet_lowland_forest", "lt_wooded_floodplain", "lt_seasonally_flooded_forest", "lt_dry_meadow", "lt_mesic_meadow", "lt_wet_meadow", "lt_alpine_meadow", "lt_montane_grassland", "lt_temperate_grass_steppe", "lt_dry_steppe", "lt_shrub_steppe", "lt_forest_steppe", "lt_freshwater_marsh", "lt_seasonal_sedge_marsh", "lt_reedbed_marsh", "lt_shrub_swamp", "lt_wooded_swamp", "lt_peat_swamp_forest", "lt_raised_bog", "lt_blanket_bog", "lt_fen", "lt_wet_lowland_forest", "lt_marsh_lake_margin", "lt_foothills", "lt_montane_grassland"]	[]	сезон зависит от зверя, запретов и погоды	medium	draft	medium
lu_inland_capture_fishing	Речное / озёрное рыболовство	inland_fishing	[]	["wb_brook", "wb_small_river", "wb_medium_river", "wb_large_river", "wb_river_channel", "wb_delta_channel", "wb_freshwater_pond", "wb_small_fresh_lake", "wb_large_fresh_lake", "wb_floodplain_lake", "wb_oxbow_lake", "wb_reservoir_impoundment"]	сезоны нереста, льда, паводка и хода рыбы	medium	draft	medium
lu_irrigated_arable	Орошаемая пашня	irrigated_arable	["lt_dry_meadow", "lt_mesic_meadow", "lt_alluvial_floodplain", "lt_floodplain_wet_grassland", "lt_gentle_hills", "lt_dry_steppe", "lt_semi_desert_steppe", "lt_salt_flat_desert"]	["wb_irrigation_canal", "wb_qanat_falaj_channel", "wb_mill_leat", "wb_drainage_canal", "wb_small_river", "wb_medium_river", "wb_spring"]	работы зависят от водоподачи и очистки каналов	very_high	draft	medium
lu_kitchen_garden	Огород / кухонный сад	garden	[]	[]	весна–осень; зимой пустые гряды или хранение	medium	draft	medium
lu_managed_woodland_coppice	Порослевое лесопользование / coppice	managed_woodland	["lt_tropical_moist_broadleaf_forest", "lt_tropical_dry_broadleaf_forest", "lt_tropical_coniferous_forest", "lt_temperate_broadleaf_mixed_forest", "lt_temperate_coniferous_forest", "lt_boreal_taiga_coniferous_forest", "lt_boreal_mixed_forest", "lt_montane_forest", "lt_mediterranean_woodland_scrub", "lt_dry_open_woodland", "lt_dense_coniferous_forest", "lt_sparse_forest_woodland", "lt_wet_lowland_forest", "lt_wooded_floodplain", "lt_seasonally_flooded_forest"]	[]	многолетний цикл рубки и отрастания	medium	draft	medium
lu_mulberry_sericulture	Тутовые посадки для шелководства	specialty_tree_crop	["lt_dry_meadow", "lt_mesic_meadow", "lt_gentle_hills", "lt_temperate_broadleaf_mixed_forest"]	[]	уход за деревьями и шелкопрядом по местному циклу	high	draft	medium
lu_nomadic_pastoral_grazing	Кочевой / полукочевой выпас	nomadic_pastoralism	["lt_temperate_grass_steppe", "lt_dry_steppe", "lt_shrub_steppe", "lt_semi_desert_steppe", "lt_cold_desert", "lt_montane_grassland"]	[]	сезонные перекочёвки, зимние/летние пастбища	medium	draft	medium
lu_olive_grove	Оливковая роща	tree_crop_grove	["lt_mediterranean_woodland_scrub", "lt_dry_open_woodland", "lt_gentle_hills", "lt_dry_scrub_hills"]	[]	уход и сбор оливок по сезону	medium	draft	medium
lu_open_field_strip_cultivation	Полосная / открытая пахотная система	arable_field_system	["lt_dry_meadow", "lt_mesic_meadow", "lt_wet_meadow", "lt_floodplain_wet_grassland", "lt_alluvial_floodplain", "lt_gentle_hills", "lt_forest_steppe", "lt_temperate_grass_steppe"]	[]	сезонная пахота и жатва; пары/перелоги по местной системе	high	draft	medium
lu_orchard_fruit_grove	Плодовый сад	orchard	["lt_dry_meadow", "lt_mesic_meadow", "lt_gentle_hills", "lt_mediterranean_woodland_scrub", "lt_dry_open_woodland"]	[]	обрезка/цветение/сбор плодов по культуре	medium	draft	medium
lu_ore_mining	Рудная добыча	ore_mining	["lt_gentle_hills", "lt_steep_hills", "lt_rocky_mountain_slope", "lt_foothills", "lt_karst_hills_limestone", "lt_stony_desert_reg", "lt_rocky_desert_hamada"]	[]	зависит от климата и техники; постоянные/сезонные работы	very_high	draft	medium
lu_paddy_rice_cultivation	Заливное рисоводство	paddy	["lt_alluvial_floodplain", "lt_floodplain_wet_grassland", "lt_wet_meadow", "lt_gentle_hills", "lt_wooded_floodplain"]	["wb_irrigation_canal", "wb_small_river", "wb_medium_river", "wb_reservoir_impoundment", "wb_floodwater"]	сезон затопления, посадки, ухода и уборки	very_high	draft	medium
lu_peat_cutting	Добыча торфа	peat_extraction	["lt_raised_bog", "lt_blanket_bog", "lt_fen", "lt_peat_swamp_forest"]	["wb_bog_pool", "wb_marsh_pool"]	сухой сезон; сушка требует времени	high	draft	medium
lu_rainfed_arable	Богарное пахотное земледелие	arable	["lt_dry_meadow", "lt_mesic_meadow", "lt_wet_meadow", "lt_floodplain_wet_grassland", "lt_alluvial_floodplain", "lt_gentle_hills", "lt_forest_steppe", "lt_temperate_grass_steppe"]	[]	пахота/посев/жатва по местному календарю; часть года стерня или пар	high	draft	medium
lu_reed_sedge_harvest	Заготовка тростника / камыша / осоки	wetland_plant_harvest	["lt_reedbed_marsh", "lt_freshwater_marsh", "lt_seasonal_sedge_marsh", "lt_reed_lake_shore", "lt_marsh_lake_margin", "lt_tidal_mudflat"]	["wb_marsh_pool", "wb_bog_pool", "wb_marsh_channel", "wb_floodwater", "wb_seasonal_pool", "wb_small_fresh_lake"]	обычно сухой сезон/зима; зависит от воды и льда	medium	draft	medium
lu_resin_tar_pitch_production	Смолокурение / дегтярный промысел	resin_tar_production	["lt_temperate_coniferous_forest", "lt_boreal_taiga_coniferous_forest", "lt_boreal_mixed_forest", "lt_dense_coniferous_forest", "lt_forest_steppe"]	[]	сезонно; требует дерева и очага/ямы	high	draft	medium
lu_saltmaking_saltern	Солеварение / соляной промысел	salt_production	["lt_salt_marsh", "lt_sandy_coast_dune", "lt_shingle_pebble_coast", "lt_rocky_coast_cliff", "lt_tidal_mudflat", "lt_mangrove_coast", "lt_salt_flat_desert"]	["wb_salt_pan", "wb_brine_spring", "wb_salt_lake", "wb_coastal_lagoon", "wb_sea_bay"]	сухой/тёплый сезон для выпаривания; варка может быть круглогодичной	high	draft	medium
lu_sand_gravel_extraction	Добыча песка / гравия	sand_gravel_extraction	["lt_sandy_coast_dune", "lt_shingle_pebble_coast", "lt_sandy_lake_shore", "lt_low_alluvial_riverbank", "lt_tidal_mudflat"]	["wb_brook", "wb_small_river", "wb_medium_river", "wb_sea_bay", "wb_large_fresh_lake"]	обычно сухой сезон и низкая вода	medium	draft	medium
lu_seasonal_upland_pasture	Сезонное горное / верховое пастбище	seasonal_pasture	["lt_alpine_meadow", "lt_montane_grassland", "lt_foothills", "lt_montane_forest", "lt_gentle_hills"]	[]	обычно летний перегон и стоянки пастухов	medium	draft	medium
lu_shellfish_gathering	Сбор моллюсков / прибрежных беспозвоночных	shellfish_gathering	["lt_salt_marsh", "lt_sandy_coast_dune", "lt_shingle_pebble_coast", "lt_rocky_coast_cliff", "lt_tidal_mudflat", "lt_mangrove_coast", "lt_freshwater_marsh", "lt_seasonal_sedge_marsh", "lt_reedbed_marsh", "lt_shrub_swamp", "lt_wooded_swamp", "lt_peat_swamp_forest", "lt_raised_bog", "lt_blanket_bog", "lt_fen", "lt_wet_lowland_forest", "lt_marsh_lake_margin"]	["wb_coastal_lagoon", "wb_tidal_creek", "wb_sea_bay", "wb_marsh_channel", "wb_large_fresh_lake", "wb_medium_river"]	зависит от прилива, сезона и местной фауны	low	draft	medium
lu_slash_burn_cultivation	Подсечно-огневое земледелие	forest_clearance_arable	["lt_tropical_moist_broadleaf_forest", "lt_tropical_dry_broadleaf_forest", "lt_tropical_coniferous_forest", "lt_temperate_broadleaf_mixed_forest", "lt_temperate_coniferous_forest", "lt_boreal_taiga_coniferous_forest", "lt_boreal_mixed_forest", "lt_montane_forest", "lt_mediterranean_woodland_scrub", "lt_dry_open_woodland", "lt_dense_coniferous_forest", "lt_sparse_forest_woodland", "lt_wet_lowland_forest", "lt_wooded_floodplain", "lt_seasonally_flooded_forest"]	[]	рубка/пал/несколько лет посевов/зарастание	very_high	draft	medium
lu_stone_quarrying	Каменоломня / добыча строительного камня	stone_quarrying	["lt_gentle_hills", "lt_steep_hills", "lt_rocky_mountain_slope", "lt_foothills", "lt_karst_hills_limestone", "lt_stony_desert_reg", "lt_rocky_desert_hamada"]	[]	обычно тёплый сезон; зависит от работной силы	high	draft	medium
lu_terrace_cultivation	Террасное земледелие	terrace_agriculture	["lt_gentle_hills", "lt_steep_hills", "lt_wooded_hills", "lt_dry_scrub_hills", "lt_foothills", "lt_montane_forest", "lt_montane_grassland", "lt_rocky_mountain_slope"]	["wb_irrigation_canal", "wb_spring", "wb_small_river"]	сезонные работы как у культуры; постоянный ремонт террас	very_high	draft	medium
lu_timber_felling	Заготовка строевого леса	timber_harvest	["lt_tropical_moist_broadleaf_forest", "lt_tropical_dry_broadleaf_forest", "lt_tropical_coniferous_forest", "lt_temperate_broadleaf_mixed_forest", "lt_temperate_coniferous_forest", "lt_boreal_taiga_coniferous_forest", "lt_boreal_mixed_forest", "lt_montane_forest", "lt_mediterranean_woodland_scrub", "lt_dry_open_woodland", "lt_dense_coniferous_forest", "lt_sparse_forest_woodland", "lt_wet_lowland_forest", "lt_wooded_floodplain", "lt_seasonally_flooded_forest"]	[]	обычно сезонно; зимой проще вывоз	high	draft	medium
lu_tree_beekeeping_bortnichestvo	Бортничество / лесное пчеловодство	forest_beekeeping	["lt_temperate_broadleaf_mixed_forest", "lt_boreal_mixed_forest", "lt_sparse_forest_woodland", "lt_dry_open_woodland", "lt_wooded_floodplain"]	[]	сезонный уход и сбор мёда/воска	medium	draft	medium
lu_vineyard	Виноградник	vineyard	["lt_gentle_hills", "lt_steep_hills", "lt_dry_meadow", "lt_mediterranean_woodland_scrub", "lt_sandy_coast_dune"]	[]	обрезка, подвязка, сбор винограда	high	draft	medium
lu_watermill_water_management	Водяная мельничная водная система	mill_water_management	[]	["wb_mill_leat", "wb_small_river", "wb_medium_river", "wb_reservoir_impoundment", "wb_freshwater_pond"]	работает при достаточной воде; чистка и ремонт каналов	medium	draft	medium
lu_wild_food_gathering	Сбор дикоросов	wild_gathering	["lt_tropical_moist_broadleaf_forest", "lt_tropical_dry_broadleaf_forest", "lt_tropical_coniferous_forest", "lt_temperate_broadleaf_mixed_forest", "lt_temperate_coniferous_forest", "lt_boreal_taiga_coniferous_forest", "lt_boreal_mixed_forest", "lt_montane_forest", "lt_mediterranean_woodland_scrub", "lt_dry_open_woodland", "lt_dense_coniferous_forest", "lt_sparse_forest_woodland", "lt_wet_lowland_forest", "lt_wooded_floodplain", "lt_seasonally_flooded_forest", "lt_freshwater_marsh", "lt_seasonal_sedge_marsh", "lt_reedbed_marsh", "lt_shrub_swamp", "lt_wooded_swamp", "lt_peat_swamp_forest", "lt_raised_bog", "lt_blanket_bog", "lt_fen", "lt_wet_lowland_forest", "lt_marsh_lake_margin", "lt_dry_meadow", "lt_mesic_meadow", "lt_wet_meadow", "lt_alpine_meadow", "lt_montane_grassland", "lt_temperate_grass_steppe", "lt_dry_steppe", "lt_shrub_steppe", "lt_forest_steppe"]	[]	сильно сезонно: ягоды, грибы, орехи, травы	low	draft	medium
lu_wood_pasture_silvopasture	Лесной выпас / лесопастбище	wood_pasture	["lt_sparse_forest_woodland", "lt_dry_open_woodland", "lt_temperate_broadleaf_mixed_forest", "lt_mediterranean_woodland_scrub", "lt_forest_steppe"]	[]	сезонный выпас; желудёвка/подножный корм по сезону	low	draft	medium
(45 rows)
