step_id,recipe_id,step_number,action,input_item_ids,input_ingredient_ids,tool_ids,vessel_ids,duration,heat,result_state
RST000065,RCP0018,3,"Вмешать муку; соль допустима, но её наличие и количество не предполагаются автоматически.","[""OMI01299"",""FMA0001"",""OMI01308"",""FOD0037""]","[""ING0020"",""ING0001"",""ING0022"",""ING0003""]","[""POT0002""]","[""HOU0019""]",10–30 min,none,kneaded
RST000066,RCP0018,4,Оставить тесто бродить до подъёма и подкисления.,"[""OMI01311""]","[""ING0025""]",[],"[""HOU0019""]",3–12 h,warm_no_direct_heat,fermented
RST000067,RCP0019,1,Отмерить муку реконструктивно по нужному размеру выпечки.,"[""OMI01298""]","[""ING0017""]",[],"[""HOU0019""]",5 min,none,measured
RST000068,RCP0019,2,Развести закваску или старое тесто водой.,"[""OMI01309"",""FMA0001""]","[""ING0023"",""ING0001""]","[""POT0002""]","[""HOU0019""]",5–10 min,none,mixed
RST000069,RCP0019,3,"Вмешать муку; соль допустима, но её наличие и количество не предполагаются автоматически.","[""OMI01298"",""FMA0001"",""OMI01309"",""FOD0037""]","[""ING0017"",""ING0001"",""ING0023"",""ING0003""]","[""POT0002""]","[""HOU0019""]",10–30 min,none,kneaded
RST000070,RCP0019,4,Оставить тесто бродить до подъёма и подкисления.,"[""OMI01312""]","[""ING0026""]",[],"[""HOU0019""]",3–12 h,warm_no_direct_heat,fermented
RST000071,RCP0020,1,Сформовать хлебную заготовку мокрыми или обсыпанными мукой руками.,"[""OMI01310""]","[""ING0024""]","[""POT0002""]","[""POT0010""]",5–15 min,none,shaped
RST000072,RCP0020,2,Дать заготовке короткую окончательную расстойку.,"[""OMI01310""]","[""ING0024""]",[],"[""POT0010""]",30–120 min,warm_no_direct_heat,proofed
RST000073,RCP0020,3,Очистить горячий под печи и посадить хлеб деревянной лопатой.,"[""OMI01310""]","[""ING0024""]","[""INT0027"",""INT0030""]",[],1–5 min,hot_hearth,baking
RST000074,RCP0020,4,Выпекать в нагретой печи до схватывания корки и мякиша.,"[""OMI01310""]","[""ING0024""]",[],[],30–120 min,oven_heat,baked
RST000075,RCP0020,5,Вынуть и остудить на деревянной поверхности.,"[""OMI01310""]","[""ING0024""]","[""INT0027""]","[""POT0010""]",30–120 min,none,ready_to_eat
RST000076,RCP0021,1,Сформовать хлебную заготовку мокрыми или обсыпанными мукой руками.,"[""OMI01311""]","[""ING0025""]","[""POT0002""]","[""POT0010""]",5–15 min,none,shaped
RST000077,RCP0021,2,Дать заготовке короткую окончательную расстойку.,"[""OMI01311""]","[""ING0025""]",[],"[""POT0010""]",30–120 min,warm_no_direct_heat,proofed
RST000078,RCP0021,3,Очистить горячий под печи и посадить хлеб деревянной лопатой.,"[""OMI01311""]","[""ING0025""]","[""INT0027"",""INT0030""]",[],1–5 min,hot_hearth,baking
RST000079,RCP0021,4,Выпекать в нагретой печи до схватывания корки и мякиша.,"[""OMI01311""]","[""ING0025""]",[],[],30–120 min,oven_heat,baked
RST000080,RCP0021,5,Вынуть и остудить на деревянной поверхности.,"[""OMI01311""]","[""ING0025""]","[""INT0027""]","[""POT0010""]",30–120 min,none,ready_to_eat
RST000081,RCP0022,1,Сформовать хлебную заготовку мокрыми или обсыпанными мукой руками.,"[""OMI01312""]","[""ING0026""]","[""POT0002""]","[""POT0010""]",5–15 min,none,shaped
RST000082,RCP0022,2,Дать заготовке короткую окончательную расстойку.,"[""OMI01312""]","[""ING0026""]",[],"[""POT0010""]",30–120 min,warm_no_direct_heat,proofed
RST000083,RCP0022,3,Очистить горячий под печи и посадить хлеб деревянной лопатой.,"[""OMI01312""]","[""ING0026""]","[""INT0027"",""INT0030""]",[],1–5 min,hot_hearth,baking
RST000084,RCP0022,4,Выпекать в нагретой печи до схватывания корки и мякиша.,"[""OMI01312""]","[""ING0026""]",[],[],30–120 min,oven_heat,baked
RST000085,RCP0022,5,Вынуть и остудить на деревянной поверхности.,"[""OMI01312""]","[""ING0026""]","[""INT0027""]","[""POT0010""]",30–120 min,none,ready_to_eat
RST000086,RCP0023,1,Смешать муку с водой до плотного или мягкого теста; точная влажность реконструируется.,"[""OMI01294"",""FMA0001""]","[""ING0015"",""ING0001""]","[""POT0002""]","[""HOU0019""]",10–20 min,none,kneaded
RST000087,RCP0023,2,При использовании закваски дать тесту коротко подойти; пресный вариант печь сразу.,"[""OMI01294"",""OMI01308""]","[""ING0015"",""ING0022""]",[],"[""HOU0019""]",0–180 min,warm_no_direct_heat,rested
RST000088,RCP0023,3,Разделить и расплющить небольшие лепёшки.,"[""OMI01294""]","[""ING0015""]","[""POT0002""]","[""POT0010""]",5–15 min,none,shaped
RST000089,RCP0023,4,"Испечь на горячем поду или у жара, переворачивая только при необходимости технологии.","[""OMI01294""]","[""ING0015""]","[""INT0027""]",[],10–40 min,hot_hearth,baked
RST000090,RCP0023,5,Остудить и употребить свежими.,"[""OMI01294""]","[""ING0015""]",[],"[""POT0007""]",10–30 min,none,ready_to_eat
RST000091,RCP0024,1,Смешать муку с водой до плотного или мягкого теста; точная влажность реконструируется.,"[""OMI01297"",""FMA0001""]","[""ING0018"",""ING0001""]","[""POT0002""]","[""HOU0019""]",10–20 min,none,kneaded
RST000092,RCP0024,2,При использовании закваски дать тесту коротко подойти; пресный вариант печь сразу.,"[""OMI01297"",""OMI01308""]","[""ING0018"",""ING0022""]",[],"[""HOU0019""]",0–180 min,warm_no_direct_heat,rested
RST000093,RCP0024,3,Разделить и расплющить небольшие лепёшки.,"[""OMI01297""]","[""ING0018""]","[""POT0002""]","[""POT0010""]",5–15 min,none,shaped
RST000094,RCP0024,4,"Испечь на горячем поду или у жара, переворачивая только при необходимости технологии.","[""OMI01297""]","[""ING0018""]","[""INT0027""]",[],10–40 min,hot_hearth,baked
RST000095,RCP0024,5,Остудить и употребить свежими.,"[""OMI01297""]","[""ING0018""]",[],"[""POT0007""]",10–30 min,none,ready_to_eat
RST000096,RCP0025,1,Смешать муку с водой до плотного или мягкого теста; точная влажность реконструируется.,"[""OMI01296"",""FMA0001""]","[""ING0019"",""ING0001""]","[""POT0002""]","[""HOU0019""]",10–20 min,none,kneaded
RST000097,RCP0025,2,При использовании закваски дать тесту коротко подойти; пресный вариант печь сразу.,"[""OMI01296"",""OMI01308""]","[""ING0019"",""ING0022""]",[],"[""HOU0019""]",0–180 min,warm_no_direct_heat,rested
RST000098,RCP0025,3,Разделить и расплющить небольшие лепёшки.,"[""OMI01296""]","[""ING0019""]","[""POT0002""]","[""POT0010""]",5–15 min,none,shaped
RST000099,RCP0025,4,"Испечь на горячем поду или у жара, переворачивая только при необходимости технологии.","[""OMI01296""]","[""ING0019""]","[""INT0027""]",[],10–40 min,hot_hearth,baked
RST000100,RCP0025,5,Остудить и употребить свежими.,"[""OMI01296""]","[""ING0019""]",[],"[""POT0007""]",10–30 min,none,ready_to_eat
RST000101,RCP0026,1,Смешать муку с водой до плотного или мягкого теста; точная влажность реконструируется.,"[""OMI01298"",""FMA0001""]","[""ING0017"",""ING0001""]","[""POT0002""]","[""HOU0019""]",10–20 min,none,kneaded
RST000102,RCP0026,2,При использовании закваски дать тесту коротко подойти; пресный вариант печь сразу.,"[""OMI01298"",""OMI01308""]","[""ING0017"",""ING0022""]",[],"[""HOU0019""]",0–180 min,warm_no_direct_heat,rested
RST000103,RCP0026,3,Разделить и расплющить небольшие лепёшки.,"[""OMI01298""]","[""ING0017""]","[""POT0002""]","[""POT0010""]",5–15 min,none,shaped
RST000104,RCP0026,4,"Испечь на горячем поду или у жара, переворачивая только при необходимости технологии.","[""OMI01298""]","[""ING0017""]","[""INT0027""]",[],10–40 min,hot_hearth,baked
RST000105,RCP0026,5,Остудить и употребить свежими.,"[""OMI01298""]","[""ING0017""]",[],"[""POT0007""]",10–30 min,none,ready_to_eat
RST000106,RCP0027,1,Смешать муку с водой до плотного или мягкого теста; точная влажность реконструируется.,"[""OMI01299"",""FMA0001""]","[""ING0020"",""ING0001""]","[""POT0002""]","[""HOU0019""]",10–20 min,none,kneaded
RST000107,RCP0027,2,При использовании закваски дать тесту коротко подойти; пресный вариант печь сразу.,"[""OMI01299"",""OMI01308""]","[""ING0020"",""ING0022""]",[],"[""HOU0019""]",0–180 min,warm_no_direct_heat,rested
RST000108,RCP0027,3,Разделить и расплющить небольшие лепёшки.,"[""OMI01299""]","[""ING0020""]","[""POT0002""]","[""POT0010""]",5–15 min,none,shaped
RST000109,RCP0027,4,"Испечь на горячем поду или у жара, переворачивая только при необходимости технологии.","[""OMI01299""]","[""ING0020""]","[""INT0027""]",[],10–40 min,hot_hearth,baked
RST000110,RCP0027,5,Остудить и употребить свежими.,"[""OMI01299""]","[""ING0020""]",[],"[""POT0007""]",10–30 min,none,ready_to_eat
RST000111,RCP0028,1,Приготовить жидкую мучную затирку из доступной муки и воды.,"[""OMI01313""]","[""ING0027""]","[""POT0002""]","[""HOU0019""]",5–15 min,none,mixed
RST000112,RCP0028,2,Нагреть подтверждённую железную сковороду или иную подходящую поверхность; наличие такого сосуда не универсально.,[],[],[],"[""POT0011""]",10–30 min,direct_heat,hot
RST000113,RCP0028,3,Нанести небольшое количество теста и пропечь с обеих сторон.,"[""OMI01313""]","[""ING0027""]","[""POT0002""]","[""POT0011""]",5–15 min,direct_heat,fried
RST000114,RCP0028,4,Подать без современного гарнира и ресторанной стопки.,[],[],[],"[""POT0007""]",1–5 min,none,ready_to_eat
RST000115,RCP0029,1,Перебрать сырьё и удалить явные примеси.,"[""OMI01291""]","[""ING0011""]","[""POT0002""]","[""POT0021""]",5–15 min,none,cleaned
RST000116,RCP0029,2,"При необходимости быстро промыть, не предполагая современной санитарной процедуры.","[""OMI01291""]","[""ING0011""]",[],"[""POT0021""]",1–5 min,none,washed
RST000117,RCP0029,3,Залить водой в керамическом сосуде.,"[""OMI01291"",""FMA0001""]","[""ING0011"",""ING0001""]",[],"[""POT0021""]",1–3 min,none,soaked
RST000118,RCP0029,4,Нагреть у огня или в горячей части печи до уверенного кипения.,"[""OMI01291"",""FMA0001""]","[""ING0011"",""ING0001""]",[],"[""POT0021""]",10–30 min,strong_heat,boiled
RST000119,RCP0029,5,Переставить в менее горячую часть печи и варить или томить до мягкости.,"[""OMI01291"",""FMA0001""]","[""ING0011"",""ING0001""]","[""POT0009""]","[""POT0021""]",30–180 min,residual_or_gentle_heat,stewed
RST000120,RCP0029,6,Посолить по доступности и подать в деревянной или керамической миске.,"[""OMI01291""]","[""ING0011""]","[""POT0002""]","[""POT0021""]",1–5 min,none,ready_to_eat
RST000121,RCP0030,1,Перебрать сырьё и удалить явные примеси.,"[""OMI01291""]","[""ING0011""]","[""POT0002""]","[""POT0021""]",5–15 min,none,cleaned
RST000122,RCP0030,2,"При необходимости быстро промыть, не предполагая современной санитарной процедуры.","[""OMI01291""]","[""ING0011""]",[],"[""POT0021""]",1–5 min,none,washed
RST000123,RCP0030,3,Залить водой в керамическом сосуде.,"[""OMI01291"",""FMA0001""]","[""ING0011"",""ING0001""]",[],"[""POT0021""]",1–3 min,none,soaked
RST000124,RCP0030,4,Нагреть у огня или в горячей части печи до уверенного кипения.,"[""OMI01291"",""FMA0001""]","[""ING0011"",""ING0001""]",[],"[""POT0021""]",10–30 min,strong_heat,boiled
RST000125,RCP0030,5,Переставить в менее горячую часть печи и варить или томить до мягкости.,"[""OMI01291"",""FMA0001""]","[""ING0011"",""ING0001""]","[""POT0009""]","[""POT0021""]",30–180 min,residual_or_gentle_heat,stewed
RST000126,RCP0030,6,Посолить по доступности и подать в деревянной или керамической миске.,"[""OMI01291""]","[""ING0011""]","[""POT0002""]","[""POT0021""]",1–5 min,none,ready_to_eat
RST000127,RCP0031,1,Перебрать сырьё и удалить явные примеси.,"[""OMI01291""]","[""ING0011""]","[""POT0002""]","[""POT0021""]",5–15 min,none,cleaned
RST000128,RCP0031,2,"При необходимости быстро промыть, не предполагая современной санитарной процедуры.","[""OMI01291""]","[""ING0011""]",[],"[""POT0021""]",1–5 min,none,washed
RST000129,RCP0031,3,Залить водой в керамическом сосуде.,"[""OMI01291"",""FMA0001""]","[""ING0011"",""ING0001""]",[],"[""POT0021""]",1–3 min,none,soaked
RST000130,RCP0031,4,Нагреть у огня или в горячей части печи до уверенного кипения.,"[""OMI01291"",""FMA0001""]","[""ING0011"",""ING0001""]",[],"[""POT0021""]",10–30 min,strong_heat,boiled
RST000131,RCP0031,5,Переставить в менее горячую часть печи и варить или томить до мягкости.,"[""OMI01291"",""FMA0001""]","[""ING0011"",""ING0001""]","[""POT0009""]","[""POT0021""]",30–180 min,residual_or_gentle_heat,stewed
RST000132,RCP0031,6,Посолить по доступности и подать в деревянной или керамической миске.,"[""OMI01291""]","[""ING0011""]","[""POT0002""]","[""POT0021""]",1–5 min,none,ready_to_eat
RST000133,RCP0032,1,Перебрать сырьё и удалить явные примеси.,"[""OMI01292""]","[""ING0012""]","[""POT0002""]","[""POT0021""]",5–15 min,none,cleaned
RST000134,RCP0032,2,"При необходимости быстро промыть, не предполагая современной санитарной процедуры.","[""OMI01292""]","[""ING0012""]",[],"[""POT0021""]",1–5 min,none,washed
RST000135,RCP0032,3,Залить водой в керамическом сосуде.,"[""OMI01292"",""FMA0001""]","[""ING0012"",""ING0001""]",[],"[""POT0021""]",1–3 min,none,soaked
RST000136,RCP0032,4,Нагреть у огня или в горячей части печи до уверенного кипения.,"[""OMI01292"",""FMA0001""]","[""ING0012"",""ING0001""]",[],"[""POT0021""]",10–30 min,strong_heat,boiled
RST000137,RCP0032,5,Переставить в менее горячую часть печи и варить или томить до мягкости.,"[""OMI01292"",""FMA0001""]","[""ING0012"",""ING0001""]","[""POT0009""]","[""POT0021""]",30–180 min,residual_or_gentle_heat,stewed
RST000138,RCP0032,6,Посолить по доступности и подать в деревянной или керамической миске.,"[""OMI01292""]","[""ING0012""]","[""POT0002""]","[""POT0021""]",1–5 min,none,ready_to_eat
RST000139,RCP0033,1,Перебрать сырьё и удалить явные примеси.,"[""OMI01292""]","[""ING0012""]","[""POT0002""]","[""POT0021""]",5–15 min,none,cleaned
RST000140,RCP0033,2,"При необходимости быстро промыть, не предполагая современной санитарной процедуры.","[""OMI01292""]","[""ING0012""]",[],"[""POT0021""]",1–5 min,none,washed
RST000141,RCP0033,3,Залить водой в керамическом сосуде.,"[""OMI01292"",""FMA0001""]","[""ING0012"",""ING0001""]",[],"[""POT0021""]",1–3 min,none,soaked
RST000142,RCP0033,4,Нагреть у огня или в горячей части печи до уверенного кипения.,"[""OMI01292"",""FMA0001""]","[""ING0012"",""ING0001""]",[],"[""POT0021""]",10–30 min,strong_heat,boiled
RST000143,RCP0033,5,Переставить в менее горячую часть печи и варить или томить до мягкости.,"[""OMI01292"",""FMA0001""]","[""ING0012"",""ING0001""]","[""POT0009""]","[""POT0021""]",30–180 min,residual_or_gentle_heat,stewed
RST000144,RCP0033,6,Посолить по доступности и подать в деревянной или керамической миске.,"[""OMI01292""]","[""ING0012""]","[""POT0002""]","[""POT0021""]",1–5 min,none,ready_to_eat
RST000145,RCP0034,1,Перебрать сырьё и удалить явные примеси.,"[""OMI01292""]","[""ING0012""]","[""POT0002""]","[""POT0021""]",5–15 min,none,cleaned
RST000146,RCP0034,2,"При необходимости быстро промыть, не предполагая современной санитарной процедуры.","[""OMI01292""]","[""ING0012""]",[],"[""POT0021""]",1–5 min,none,washed
RST000147,RCP0034,3,Залить водой в керамическом сосуде.,"[""OMI01292"",""FMA0001""]","[""ING0012"",""ING0001""]",[],"[""POT0021""]",1–3 min,none,soaked
RST000148,RCP0034,4,Нагреть у огня или в горячей части печи до уверенного кипения.,"[""OMI01292"",""FMA0001""]","[""ING0012"",""ING0001""]",[],"[""POT0021""]",10–30 min,strong_heat,boiled
RST000149,RCP0034,5,Переставить в менее горячую часть печи и варить или томить до мягкости.,"[""OMI01292"",""FMA0001""]","[""ING0012"",""ING0001""]","[""POT0009""]","[""POT0021""]",30–180 min,residual_or_gentle_heat,stewed
RST000150,RCP0034,6,Посолить по доступности и подать в деревянной или керамической миске.,"[""OMI01292""]","[""ING0012""]","[""POT0002""]","[""POT0021""]",1–5 min,none,ready_to_eat
RST000151,RCP0035,1,Перебрать сырьё и удалить явные примеси.,"[""OMI01293""]","[""ING0013""]","[""POT0002""]","[""POT0021""]",5–15 min,none,cleaned
RST000152,RCP0035,2,"При необходимости быстро промыть, не предполагая современной санитарной процедуры.","[""OMI01293""]","[""ING0013""]",[],"[""POT0021""]",1–5 min,none,washed
