source_id,level,read_depth,title,url,use
SRC_ZIN_NEWS2025,B,full,53 Новости: «Зоолог рассказал историю заселения Новгорода птицами» (популярное изложение работы А.В. Зиновьева),https://53news.ru/novosti/uchyonyj-rasskazal-kakie-pticzy-pervymi-uzhilis-s-chelovekom-v-velikom-novgorode.html,Hooded crow and raven from X c.; rooks colonies from XI c.; pigeon X c.; magpie bones not found in Novgorod. States starling appeared in XIII c. — conflicts with the abstract (later-medieval); conflict kept in notes.
SRC_ZIN2012,A,full,Зиновьев А.В. 2012. Орлан-белохвост: история взаимодействия с человеком в Евразии (по археозоологическим материалам) // Труды VI Междунар. конф. по соколообразным и совам Северной Евразии: 26-30,https://raptors.org.ua/files/KrR2012/03zinovyev.pdf,"White-tailed eagle tarsometatarsus from Десятинный раскоп, Novgorod, late XI - early XII c.; eagles scavenge at refuse heaps at settlement edges; wing feathers used for arrow fletching; hunting with eagles extremely rare."
SRC_ZIN2011,A,bibliographic,Зиновьев А.В. 2011. Птицы средневекового Новгорода Великого (X–XIV вв.): фаунистический состав и хозяйственное значение // Новгород и Новгородская земля. История и археология. Т. 25: 277-287,https://raptors.org.ua/files/KrR2012/03zinovyev.pdf,Bibliographic only (cited in SRC_ZIN2012). Not read; the full Novgorod bird bone list is a GAP.
SRC_GOROBETS2017,B,abstract,"Gorobets L., Kovalchuk O. 2017. Birds in the medieval culture and economy of the East Slavs in the 10-13th centuries AD // Environmental Archaeology 22(2)",https://www.tandfonline.com/doi/abs/10.1080/14614103.2016.1141088,"Search abstract: primary game birds ducks, geese, swans, common crane, corvids, plus black grouse and capercaillie in forest zone; goshawk the most popular bird of prey (falconry); Novgorod region: 77 capercaillie and 10 black grouse bones; feathers used for arrows."
SRC_WK_BIRDRES,A,full,WK claims from Hamilton-Dyer 2002 «The Bird Resources of Medieval Novgorod» (Acta Zool. Cracov. 45: 99-107),https://www.researchgate.net/publication/242121278_The_Bird_Resources_of_Medieval_Novgorod_Russia,claim:environment-p1-bird-taxa (chicken and ducks most frequent identified bird remains; mallard not always separable from domestic duck); claim:environment-p1-wildfowl-season (wild bird take depended largely on seasonal arrivals).
SRC_MASTER_FOOD,B,full,MASTER_ARCHIVE_v1 food_system/ingredients.csv (дичь ING0113-ING0119),data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv,"Game meat categories with season profile hunting_autumn_winter: hare ING0114, elk ING0115, beaver ING0116, wild boar ING0117, capercaillie ING0118, wild waterfowl ING0119."
SRC_MASTER_HNT,B,full,MASTER_ARCHIVE_v1 canonical/material_items.csv (hnt0001-hnt0028 hunting gear),data/world-catalogs/novgorod/sources/master-archive-v1/data/canonical/material_items.csv,"Hunting gear ids referenced in hunting_method_refs; D-rated (hnt0022 steel trap, hnt0024 iron trap, hnt0028 snowshoes) are NOT used."
SRC_WK_FAUNA,B,full,"WK production-v1 fauna-mammals.json, fauna-ecology.json, static-animal-context-b06.json, static-weather-traces-b06.json, agriculture-fauna.json (approved)",data/world-catalogs/novgorod/world-knowledge/production-v1/,Approved qualitative species biology (universal); concept/claim ids given per row in wk_refs.
SRC_TEMPORAL_V4,B,full,temporal-v4 calendar_daylight_light_profiles.json season_rule,data/world-catalogs/novgorod/temporal-v4/datasets/calendar_daylight_light_profiles.json,"Season dictionary: winter 12-2, spring 3-5, summer 6-8, autumn 9-11 (Julian)."
SRC_PF,B,full,game-base-v1 places-binding/places/place_families.csv (from WK place-first-cartography.json),data/world-catalogs/novgorod/game-base-v1/places-binding/places/place_families.csv,pf_id dictionary used as habitat_presence scope.
SRC_FREQ_RULE,B,full,game-base-v1 places-binding/presence/frequency_rule.json,data/world-catalogs/novgorod/game-base-v1/places-binding/presence/frequency_rule.json,frequency_class -> weight 8/4/2/1 and ppm; seasons dictionary.
