fa_id,name_ru,name_ru_alt,name_lat,name_en,class,order,group,category_ref,scope,region_scope,base_frequency_class,base_frequency_basis,presence_1230_confidence,historical_evidence,activity_time,dormant_seasons,season_winter,season_spring,season_summer,season_autumn,rut_period,moult,winter_coat,signs_tracks,signs_droppings,signs_feeding,signs_dens_nests,signs_sounds,signs_smell,behaviour_to_humans,danger_level,products,hunting_methods,hunting_method_refs,wk_refs,habitats,source_refs,confidence,notes,status
fa_m_pine_marten,Лесная куница,"куна, куница",Martes martes,Pine marten,Mammalia,Carnivora,fur_small,fauna.mammal.fur_small.pine_marten,universal_taxon,novgorod_land,common,Main fur animal of the region (birch-bark: куница 7 letters); modern common (nbcrs),A,"Кости куницы в Новгороде (SRC_HDBM2017); куница названа в 7 берестяных грамотах (SRC_RYBINA2015); костяные томары для добычи куницы, соболя, горностая",nocturnal,,"широко бродит, охотится на белок и рябчиков; ценный зимний мех (ноябрь–февраль)",щенки в апреле–мае в дупле,держится у гнезда; ягоды,мех дозревает к ноябрю,июль–август,весна и осень,"зимой густой бурый мех с палевой примесью, светлое горловое пятно","парные отпечатки «двоечкой», переходы по деревьям",длинный скрученный помёт на валежине,"остатки белок, перья рябчика у дупла","дупло, беличье гнездо","редко; урчание, писк",,скрытна; иногда заходит в селения и кладовые,none,fur,"тупые стрелы-томары, давящие самоловы, с собакой",n1230:material_item:hnt0001;n1230:material_item:hnt0023;n1230:material_item:hnt0012;n1230:material_item:hnt0021,wk:material_culture:fur;claim:population-processes-fur-exchange,"conif:c,mixed:c,broad:m,edge:m",SRC_HDBM2017;SRC_RYBINA2015;SRC_VOLOGDA_MAMM,B,Куна — also a medieval money term; do not conflate,candidate
fa_m_sable,Соболь,соболь,Martes zibellina,Sable,Mammalia,Carnivora,fur_small,fauna.mammal.fur_small.sable,universal_taxon,novgorod_land,rare,Birch-bark: once; sable pelts mostly from the north-east; presence in Novgorod core in 1230 doubtful,C,Соболь назван один раз в берестяных грамотах; томары применялись для соболя (SRC_RYBINA2015),crepuscular,,охотится в темнохвойной тайге,щенки в апреле,,выходной мех,июнь–июль,весна и осень,тёмный шелковистый мех,как у куницы,,,в дуплах и под корнями,,,скрытен,none,fur,"томары, самоловы",n1230:material_item:hnt0001;n1230:material_item:hnt0023,wk:material_culture:fur,conif:c,SRC_RYBINA2015,B,"Rows only for remote conifer; mainly a TRADE fur (use items, not presence) — GAP: historical range",candidate
fa_m_stoat,Горностай,горностай,Mustela erminea,Stoat,Mammalia,Carnivora,fur_small,fauna.mammal.fur_small.stoat,universal_taxon,novgorod_land,common,Modern common (nbcrs); hunted with tomars (SRC_RYBINA2015),B,Томары для горностая (SRC_RYBINA2015); костей в прочитанных сводках нет,nocturnal,,белый мех с чёрным кончиком хвоста; охотится под снегом на полёвок; держится у стогов,линяет в бурый,"бурый верх, белое брюхо",линяет в белый,весна–лето,весна и осень,"зимой белый, кончик хвоста чёрный","мелкие парные отпечатки прыжками, ныряет в снег",тонкий скрученный помёт,задушенные полёвки,"в норах грызунов, под корнями, в стогах","стрекотание, шипение",резкий мускусный запах,"любопытен, людей не боится надолго",none,fur,"томары, давилки, силки",n1230:material_item:hnt0001;n1230:material_item:hnt0023,,"edge:c,flood:c,margin:c,stream:c,bank:m,mixed:m,hay:m,homestead:m,outb:m",SRC_VOLOGDA_MAMM;SRC_RYBINA2015,B,,candidate
fa_m_weasel,Ласка,ласка,Mustela nivalis,Least weasel,Mammalia,Carnivora,small_predator,fauna.mammal.small_predator.weasel,universal_taxon,novgorod_land,contextual,Modern often seen (Valday),B,,cathemeral,,"белая, охотится в ходах мышей под снегом, забегает в амбары",линяет,бурая,линяет в белое,весна,весна и осень,зимой чисто-белая,крошечные парные отпечатки,,задушенные мыши,в норе грызуна,"стрекот, писк",мускусный,безвредна; ловит мышей в постройках,none,,,,,"margin:c,field:c,hay:c,edge:m,homestead:m,outb:m,store:m",SRC_VOLOGDA_MAMM;SRC_VALDAY_NP,B,,candidate
fa_m_polecat,Лесной хорь,"хорь, дохорь",Mustela putorius,European polecat,Mammalia,Carnivora,fur_small,fauna.mammal.fur_small.polecat,universal_taxon,novgorod_land,contextual,Modern: near settlements (Valday),B,,nocturnal,,"скапливается у жилья, стогов, ометов соломы, где ловит мышей; таскает кур",детёныши в мае,у ручьёв ловит лягушек,выходной мех,февраль–март,весна и осень,тёмно-бурый с белой маской,парные прыжки,,задушенные куры с прокушенной головой,"под корнями, в поленницах, в подпольях","стрекот, шипение",сильный зловонный запах при испуге,вредит курятникам,none,fur,самоловы у построек,n1230:material_item:hnt0009,,"edge:c,margin:c,stream:m,homestead:m,outb:m,store:m,flood:m",SRC_VOLOGDA_MAMM;SRC_VALDAY_NP,B,,candidate
fa_m_european_mink,Европейская норка,норка,Mustela lutreola,European mink,Mammalia,Carnivora,fur_small,fauna.mammal.fur_small.european_mink,universal_taxon,novgorod_land,contextual,"Modern Red Book (displaced by American mink, XX c.); in 1230 the only mink -> contextual",B,,crepuscular,,держится у незамерзающих ручьёв и промоин,"гон в апреле, щенки в мае",ловит рыбу и лягушек,выходной мех,апрель,весна и осень,"блестящий тёмно-бурый, белые губы",парные следы у кромки воды,помёт с чешуёй на камнях у воды,остатки рыбы и лягушек,простая нора в берегу,,мускус,скрытна,none,fur,самоловы у воды,n1230:material_item:hnt0009,,"stream:c,bank:c,river:m,lake:m",SRC_VOLOGDA_MAMM;SRC_VALDAY_NP,B,American mink = anachronism (see checks),candidate
fa_m_otter,Выдра,выдра,Lutra lutra,Eurasian otter,Mammalia,Carnivora,fur_predator,fauna.mammal.fur_predator.otter,universal_taxon,novgorod_land,contextual,Modern common but sparse (nbcrs); otter bones + birch-bark,A,Кости выдры в Новгороде (SRC_HDBM2017); выдра в грамоте (SRC_RYBINA2015),nocturnal,,"держится у полыней и быстрин, катается с берега на брюхе, ходит подо льдом",широко перемещается по разливу,выводок,,непостоянно,постепенно,густой водостойкий мех,"перепончатые пятипалые следы, желоба-«покаты» на снегу берега",помёт с рыбьей чешуёй и костями на заметных камнях,объеденная рыба на льду у полыньи,нора с подводным входом,"свист, щебет",помёт пахнет рыбой,скрытна,low,fur,"самоловы на выходах, сети",n1230:material_item:hnt0009,wk:biology_physiology:fauna-european-otter;claim:fauna-mammals-european-otter-solitary-crepuscular;claim:fauna-mammals-european-otter-aquatic-prey-diet,"river:c,bank:c,stream:c,lake:c,wharf:m,ferry:m",SRC_HDBM2017;SRC_RYBINA2015;SRC_WK_FAUNA,B,,candidate
fa_m_beaver,Бобр,бобр,Castor fiber,Eurasian beaver,Mammalia,Rodentia,fur_rodent,fauna.mammal.fur_rodent.beaver,universal_taxon,novgorod_land,common,One of three most frequent wild mammals in Novgorod bones; birch-bark 5 letters; modern common,A,"Бобр среди трёх самых частых диких млекопитающих Новгорода; 106 особей в Троицких раскопах, лапы недопредставлены (шкуры), 35% с порезами (SRC_HDBM2017, SRC_MALTBY2020); бобровая шкура MASTER hnt0010; бобр в 5 грамотах (SRC_RYBINA2015)",nocturnal,,"живёт подо льдом, питается запасом веток, затопленным у хатки; хатка курится паром в мороз",в половодье покидает затопленные норы; бобрята в мае,ест травы и водные растения,"валит осины и ивы, заготавливает корм, подновляет плотины",январь–февраль,постепенно,густой бурый мех с подпушью,"крупные перепончатые задние лапы, волок от хвоста, вытоптанные тропы-«выходы» от воды","помёт из опилок коры, в воде","конические пни «карандашом», срезанные ветки, ошкуренные белые палки","хатка из ветвей и ила, норы в берегу; плотины из ветвей и ила на ручьях, подтопленные леса","громкий шлепок хвостом по воде при тревоге, всплеск ныряния",бобровая струя (мускус) на метках-холмиках из ила,"осторожен, при тревоге ныряет",none,fur;meat;castoreum,"сети и ловушки у выходов, раскопка нор",n1230:material_item:hnt0015;n1230:material_item:hnt0010,wk:biology_physiology:fauna-eurasian-beaver;claim:fauna-mammals-eurasian-beaver-dam-hydrology;claim:fauna-mammals-eurasian-beaver-tail-slap-alarm;claim:fauna-mammals-eurasian-beaver-seasonal-food-cache;claim:static-weather-b06-beaver-compatible-cut-can-show-conical-top-and-incisor-grooves,"stream:c,river:c,bank:c,lake:c,flood:m,bog:m",SRC_HDBM2017;SRC_MALTBY2020;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0116;SRC_VOLOGDA_MAMM,B,"v17 already has beaver traces (pr98 successor v2, 25 variants)",candidate
fa_m_red_squirrel,Белка,"векша, веверица (др.-рус.)",Sciurus vulgaris,Red squirrel,Mammalia,Rodentia,fur_rodent,fauna.mammal.fur_rodent.red_squirrel,universal_taxon,novgorod_land,common,Most frequently named fur in birch-bark (XII-XV c.); modern common,A,Белка чаще всех пушных упоминается в берестяных грамотах XII–XV вв. (SRC_RYBINA2015); кости белки в Новгороде (SRC_HDBM2017),diurnal,,"серая, в сильный мороз сидит в гнезде; шелушит шишки ели; зимний мех — промысловый",бельчата в апреле–мае,рыжая; грибы сушит на сучках,"делает запасы орехов и грибов, линяет в серое; в неурожай кочует",конец зимы–весна,весна и осень,"зимой серая с буроватым оттенком, летом рыжая",парные следы прыжками от дерева к дереву,мелкие орешки,"кучи шелухи и огрызков еловых шишек на пнях («столики»), грибы на сучках","шаровидное гнездо-«гайно» из веток и мха на ели, в дупле","цоканье, стрекотание, шорох шелухи",,"любопытна, цокает на человека",none,fur,"тупые стрелы-томары с собакой, силки на жёрдочках",n1230:material_item:hnt0001;n1230:material_item:hnt0008;n1230:material_item:hnt0021,wk:biology_physiology:fauna-red-squirrel;claim:fauna-mammals-red-squirrel-no-hibernation-weather-shelter;claim:fauna-mammals-red-squirrel-seed-cache,"conif:c,mixed:c,broad:m,edge:m",SRC_RYBINA2015;SRC_HDBM2017;SRC_WK_FAUNA;SRC_VOLOGDA_MAMM,B,,candidate
fa_m_flying_squirrel,Летяга,летяга,Pteromys volans,Siberian flying squirrel,Mammalia,Rodentia,small_mammal,fauna.mammal.small_mammal.flying_squirrel,universal_taxon,novgorod_land,rare,"Modern Red Book, rare (Valday)",B,,nocturnal,,"не впадает в спячку, в мороз сидит в дупле; ест серёжки ольхи и берёзы",детёныши,,,весна,весна и осень,серебристо-серый,следы приземления после планирования у стволов,жёлтые кучки помёта у дупла,объеденные серёжки,дупло дятла,тихое чириканье,,безвредна,none,fur,,,,"mixed:c,conif:m,stream:m",SRC_VOLOGDA_MAMM;SRC_VALDAY_NP,B,,candidate
fa_m_mountain_hare,Заяц-беляк,"заяц, беляк",Lepus timidus,Mountain hare,Mammalia,Lagomorpha,game_small,fauna.mammal.game_small.mountain_hare,universal_taxon,novgorod_land,common,"Most frequent wild mammal bones in Novgorod (with beaver, elk); modern common",A,Заяц — среди трёх самых частых диких млекопитающих в костях Новгорода (SRC_HDBM2017); заяц в грамоте (SRC_RYBINA2015); заячина ING0114,nocturnal,,"белый, кроме кончиков ушей; кормится корой осин и ивняка, путает след («сдвойки», «скидки»), ложится в снег","гон, первые зайчата-«настовики»","серо-бурый, держится в кустарниках и на вырубках",линяет в белое; иногда белеет раньше снега,март–апрель,весна и осень,зимой чисто-белый,"след «тройкой»: две широкие задние лапы впереди, передние позади; тропы в снегу",круглые сухие горошины,"обгрызенная кора осин и ив, срезанные наискось побеги",лёжка — ямка в снегу под кустом,крик пойманного зайца похож на детский плач,,пуглив,none,meat;fur,"петли на тропах, облава, собаки",n1230:material_item:hnt0007;n1230:material_item:hnt0008;n1230:material_item:hnt0012,wk:biology_physiology:fauna-mountain-hare;claim:fauna-mammals-mountain-hare-seasonal-pelage;claim:fauna-mammals-mountain-hare-sheltered-winter-movement,"edge:c,mixed:c,flood:c,margin:c,hay:c,conif:m,bog:m,field:m,pasture:m,garden:m",SRC_HDBM2017;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0114;SRC_VOLOGDA_MAMM,B,,candidate
fa_m_hedgehog,Ёж,ёж,Erinaceus europaeus,European hedgehog,Mammalia,Eulipotyphla,small_mammal,fauna.mammal.small_mammal.hedgehog,universal_taxon,novgorod_land,contextual,Modern: sparse; northern range edge in Vologda (SRC_VOLOGDA_MAMM),B,,nocturnal,winter,спит в гнезде из листьев (октябрь–апрель/май),просыпается в конце апреля – мае,ежата в гнезде в куче листьев,"жиреет, устраивает зимнее гнездо",весна,,,мелкие пятипалые следы,чёрный помёт с блестящими остатками жуков,,гнездо из листьев и мха под кустом,"пыхтение, фырканье, топот по ночам",,сворачивается клубком,none,,,,,"broad:c,edge:c,garden:c,margin:m,mixed:m,homestead:m",SRC_VOLOGDA_MAMM,B,,candidate
fa_m_mole,Крот,крот,Talpa europaea,European mole,Mammalia,Eulipotyphla,small_mammal,fauna.mammal.small_mammal.mole,universal_taxon,novgorod_land,common,Modern: mass species (Valday),B,,cathemeral,,"не спит, роет глубже промёрзшего слоя; под снегом выталкивает свежую землю",кротовины особенно видны по оттаявшим лугам,молодые расселяются,,весна,весна и осень,бархатистый чёрный мех,,,,"кротовины — кучки рыхлой земли рядами на лугу, валики ходов",,,безвреден; портит луга,none,fur,,,,"hay:c,pasture:c,flood:c,edge:c,garden:c,broad:m,mixed:m,margin:c",SRC_VOLOGDA_MAMM;SRC_VALDAY_NP,B,,candidate
fa_m_common_shrew,Обыкновенная бурозубка,землеройка,Sorex araneus,Common shrew,Mammalia,Eulipotyphla,small_mammal,fauna.mammal.small_mammal.common_shrew,universal_taxon,novgorod_land,ubiquitous,Modern mass species (Valday),B,,cathemeral,,"не спит, бегает под снегом; зимой гибнет много",,выводки,осенью часто находят мёртвых на тропах,весна–лето,весна и осень,,"цепочки крошечных следов на снегу, уходящие в снег",,,гнездо в подстилке,тонкий писк в лесной подстилке,мускусный запах,безвредна,none,,,,,"mixed:c,conif:c,broad:c,edge:c,flood:c,bog:m,hay:m,stream:c",SRC_VOLOGDA_MAMM;SRC_VALDAY_NP,B,,candidate
