role_id,register,literacy_expectation_ru,speech_notes_ru,derivation_rule,source_refs,confidence
nov_role_junior_druzhinnik,everyday_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_junior_druzhinnik,C
nov_role_bishop_man,formal_literate,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_bishop_man,C
nov_role_boyar_man,plain_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_boyar_man,C
nov_role_boyar,formal_literate,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_boyar,C
nov_role_boyar_house_mistress,formal_literate,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_boyar_house_mistress,C
nov_role_merchant_guest,formal_literate,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_merchant_guest,C
nov_role_local_merchant,everyday_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_local_merchant,C
nov_role_merchant_clerk,formal_literate,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_merchant_clerk,C
nov_role_trader,plain_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_trader,C
nov_role_foreign_guest,formal_literate,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_foreign_guest,C
nov_role_craftsman_master,everyday_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_craftsman_master,C
nov_role_journeyman,plain_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_journeyman,C
nov_role_apprentice,plain_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_apprentice,C
nov_role_householder,everyday_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_householder,C
nov_role_household_mistress,everyday_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_household_mistress,C
nov_role_servant,plain_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_servant,C
nov_role_hired_worker,plain_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_hired_worker,C
nov_role_port_worker,plain_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_port_worker,C
nov_role_smerd_householder,plain_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_smerd_householder,C
nov_role_dependent_peasant,plain_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_dependent_peasant,C
nov_role_ploughman,plain_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_ploughman,C
nov_role_pastoral_worker,plain_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_pastoral_worker,C
nov_role_fisher,plain_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_fisher,C
nov_role_hunter,plain_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_hunter,C
nov_role_bortnik,plain_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_bortnik,C
nov_role_forest_promyslovik,plain_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_forest_promyslovik,C
nov_role_senokos_worker,plain_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_senokos_worker,C
nov_role_miller,everyday_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_miller,C
nov_role_monastery_worker,formal_literate,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_monastery_worker,C
nov_role_widow_householder,plain_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_widow_householder,C
nov_role_youth_helper,plain_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_youth_helper,C
nov_role_old_household_member,plain_oral,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_old_household_member,C
nov_role_archbishop,formal_literate,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_archbishop,C
nov_role_igumen,formal_literate,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_igumen,C
nov_role_priest,formal_literate,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_priest,C
nov_role_deacon,formal_literate,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_deacon,C
nov_role_monk,formal_literate,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_monk,C
nov_role_novice,formal_literate,"низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных","новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации","register=formal_literate if social_rank in {elite,high}, or role_group=церковь, or role_title/historical_term names a literate occupation (писец/дьяк/приказчик/доверенный); plain_oral if social_rank in {low,dependent,outcast}; else everyday_oral. Matches the named exception groups (элита, церковь, писцы, купеческие доверенные) stated in literacy_expectation itself, rather than a generic substring search over that constant text.",novgorod_social_roles_v1_enriched.tsv#nov_role_novice,C
