lm_id,name_ru,category,source_category,location_ref,founded_or_built,material,status_1230,functions,roles_present,reconstruction_note,v6_name_match,source_refs,confidence,status
lm_b015,Княжие хоромы на Дворище,court,резиденция,Ярославово дворище,XII–XIII вв.,главным образом дерево,существует,,,Использование эпизодическое; основная княжеская резиденция на Городище.,,nov1230db:B015|nov1230db:S12,B,candidate
lm_b016,Храм Благовещения на Городище,church,храм,Городище,1103,камень,существует,,,Княжеский храм; не нынешняя поздняя постройка.,,nov1230db:B016|nov1230db:S12,A,candidate
lm_b017,Спас на Нередице,church,храм,к югу от города,1198,камень,существует,,,Одноглавый четырёхстолпный храм с почти сплошной фресковой росписью.,,nov1230db:B017|nov1230db:S12,A,candidate
lm_b018,Собор Юрьева монастыря,church,храм,Юрьев монастырь,1119–1130,"камень, плинфа",существует,,,Трёхглавый крупный монастырский собор.,,nov1230db:B018|nov1230db:S12,A,candidate
lm_b019,Собор Антониева монастыря,church,храм,севернее города,1117–1119,"камень, плинфа",существует,,,Трёхглавый собор и монастырский комплекс.,,nov1230db:B019|nov1230db:S12,A,candidate
lm_b020,Пётр и Павел на Синичьей горе,church,храм,юго-западная окраина,1185–1190,камень,существует,,,Компактный приходской/монастырский храм.,,nov1230db:B020|nov1230db:S12,A,candidate
lm_b021,Успение в Аркажах,church,храм,Аркажи,1188,камень,существует,,,Малый каменный храм западной округи.,,nov1230db:B021|nov1230db:S12,A,candidate
lm_b022,Церковь Рождества на Перыне,church,храм,Перинь,начало XIII в.,камень,вероятно существует,,,Очень небольшая одноглавая церковь; датировка колеблется.,,nov1230db:B022|nov1230db:S12,B,candidate
lm_b023,Спас на Ильине — деревянный предшественник,church,храм,Ильина улица,XII в.,дерево,существует,,,Каменный храм 1374 г. недопустим в реконструкции 1230 г.,,nov1230db:B023|nov1230db:S05,B,candidate
lm_b024,Церковь Святых Апостолов на Прусской,church,храм/кладбище,Прусская улица,до 1230,дерево (вероятно),существует,,,У неё архиепископ Спиридон распорядился устроить скудельницу для умерших от голода.,,nov1230db:B024|nov1230db:S01,A,candidate
lm_b025,Городские валы и деревянная стена,fortification,укрепление,окольный город,XII–XIII вв.,"земля, дерево",существует,,,Линия и ворота менялись; каменные башни XV в. исключаются.,,nov1230db:B025|nov1230db:S17,B,candidate
lm_b026,Уличные мостовые,infrastructure,инфраструктура,все концы,слоями каждые десятилетия,сосновые плахи и лаги,существует,,,Многократно наращиваемые настилы над влажным грунтом и мусором.,,nov1230db:B026|nov1230db:S09|nov1230db:S15,A,candidate
lm_b027,Усадебные частоколы,infrastructure,инфраструктура,посад,X–XIII вв.,дерево,существует,,,Определяют длинные узкие владения; ворота выводят на улицу.,,nov1230db:B027|nov1230db:S09|nov1230db:S11|nov1230db:S18,A,candidate
lm_b028,Жилые избы,building_type_ref,жильё,посад,XII–XIII вв.,"сруб, дрань/тёс, глина",существует,,,Чаще 20–70 м²; печь у входа; более редкие дома с центральным очагом ещё встречаются.,,nov1230db:B028|nov1230db:S12|nov1230db:S26,A,candidate
lm_b029,Трёхчастный дом,building_type_ref,жильё,богатые усадьбы,с середины XII в.,сруб,существует,,,"Изба + сени + клеть; один из типичных вариантов, не единственный.",,nov1230db:B029|nov1230db:S12,B,candidate
lm_b030,Боярские хоромы,building_type_ref,жильё/власть,крупные усадьбы,XII–XIII вв.,"несколько срубов, подклеты, галереи",существует,,,"Комплекс, а не один дворец; возможны башнеобразные объёмы и резьба.",,nov1230db:B030|nov1230db:S12|nov1230db:S18,B,candidate
lm_b031,Амбары и клети,building_type_ref,хозяйственные постройки,усадьбы/Торг,X–XIII вв.,дерево,существует,,,"Хранение зерна, мехов, воска, тканей и инвентаря; в голод 1230 г. объект грабежей.",,nov1230db:B031|nov1230db:S01|nov1230db:S09,A,candidate
lm_b032,Бани,building_type_ref,бытовая постройка,усадьбы,X–XIII вв.,"дерево, каменка",существует,,,Небольшие срубы; частота на каждой усадьбе неизвестна.,,nov1230db:B032|nov1230db:S16,B,candidate
lm_b033,Ремесленные мастерские,building_type_ref,производство,городские усадьбы,X–XIII вв.,"дерево, горны/печи",существует,,,"Кузнецы, ювелиры, косторезы, сапожники, гончары; часто встроены в усадебное хозяйство.",,nov1230db:B033|nov1230db:S15|nov1230db:S16,A,candidate
lm_b034,Редкое каменное гражданское здание,building,светская постройка,город,конец XII–начало XIII в.,камень,существует,,,"Исключение, подтверждающее преобладание дерева; функция обсуждается.",,nov1230db:B034|nov1230db:S25,B,candidate
lm_b035,Скудельница 1230 г.,burial,массовое захоронение,Прусская улица,1230,земля/деревянные приспособления,создаётся,,,"Летопись сообщает о яме с 3030 телами, собранными Станилой и помощниками.",,nov1230db:B035|nov1230db:S01,A,candidate
lm_e01,Неревский конец,end,конец,Софийская сторона; севернее Детинца,,,существует,Великая улица; выходы к северным землям,,Один из старейших и политически сильных концов.,Неревский конец,nov1230db:E01|nov1230db:S01|nov1230db:S09|nov1230db:S17,A,candidate
lm_e02,Людин конец,end,конец,Софийская сторона; юго-западнее Детинца,,,существует,Прусская улица; Троицкий раскоп,,"Боярские усадьбы, ремесло, церковные центры.",Людин конец,nov1230db:E02|nov1230db:S09|nov1230db:S18,A,candidate
lm_e03,Загородский конец,end,конец,Софийская сторона; западнее/юго-западнее Детинца,,,существует,Чудинцева улица и западные дороги,,К 1230 г. существует; точные линии поздних границ не переносим.,Загородский конец,nov1230db:E03|nov1230db:S17,B,candidate
lm_e04,Славенский конец,end,конец,Торговая сторона; южнее Торга,,,существует,"Славна, Ильина, Городище и южный Волхов",,Старый торгово-ремесленный район.,Славенский конец,nov1230db:E04|nov1230db:S01|nov1230db:S12,A,candidate
lm_e05,Плотницкий конец,end,конец,Торговая сторона; севернее Торга,,,существует,улицы и ручьи северной Торговой стороны,,Выделился из Славенского конца; ремесленные ассоциации не следует понимать буквально для каждого жителя.,Плотницкий конец,nov1230db:E05|nov1230db:S17,B,candidate
lm_u01,Великая улица,street,магистраль,Неревский; к северным воротам/Ладоге,,,существует,,,"деревянная мостовая, усадебные ограды",,nov1230db:U01|nov1230db:S05|nov1230db:S09,A,candidate
lm_u02,Прусская улица,street,магистраль,Людин; юго-западный выход,,,существует,,,место усадеб влиятельных семей; в 1230 г. у церкви Апостолов устроена скудельница,,nov1230db:U02|nov1230db:S01|nov1230db:S09,A,candidate
lm_u03,Чудинцева улица,street,магистраль,Загородский/Людин; западный выход,,,существует,,,"название связано с направлением/топонимией, не с однородным составом жителей",,nov1230db:U03|nov1230db:S17,B,candidate
lm_u04,Холопья улица,street,улица,Софийская; к Волхову и Детинцу,,,существует,,,точная трасса менялась,,nov1230db:U04|nov1230db:S05,B,candidate
lm_u05,Козмодемьянская улица,street,улица,Неревский; северная часть,,,существует,,,приходской ориентир,,nov1230db:U05|nov1230db:S09,B,candidate
lm_u06,Добрыня улица,street,улица,Софийская; усадебная сеть,,,существует,,,"атрибуция к 1230 г. вероятна, точная линия условна",,nov1230db:U06|nov1230db:S05|nov1230db:S17,C,candidate
lm_u07,Черницына улица,street,улица,Людин; запад/юго-запад,,,существует,,,название известно из средневековой топографии,,nov1230db:U07|nov1230db:S05|nov1230db:S18,C,candidate
lm_u08,Ильина улица,street,магистраль,Славенский; от Торга на восток,,,существует,,,в 1230 г. каменный храм XIV в. ещё не существовал; был деревянный предшественник XII в.,,nov1230db:U08|nov1230db:S05|nov1230db:S17,A,candidate
lm_u09,Большая Славна улица,street,магистраль,Славенский; южная Торговая сторона,,,существует,,,ведёт к Славне и Городищу,,nov1230db:U09|nov1230db:S12|nov1230db:S17,B,candidate
lm_u10,Лубяница улица,street,улица,Торговая; к Торгу,,,существует,,,ремесленно-торговая застройка,,nov1230db:U10|nov1230db:S05,B,candidate
lm_u11,Рогатица улица,street,улица,Торговая; восточная часть,,,существует,,,городская мостовая и усадьбы,,nov1230db:U11|nov1230db:S05,B,candidate
lm_u12,Нутная улица,street,улица,Славенский; юго-восток,,,существует,,,археологически исследованная зона; точный облик 1230 г. восстанавливается по слоям,,nov1230db:U12|nov1230db:S28,B,candidate
lm_u13,Михайлова улица,street,улица,Славенский; к приходскому храму,,,существует,,,ориентация условна,,nov1230db:U13|nov1230db:S05,C,candidate
lm_u14,Дубошина улица,street,улица,Плотницкий; северо-восток,,,существует,,,раннесредневековая городская трасса,,nov1230db:U14|nov1230db:S05|nov1230db:S17,B,candidate
lm_u15,Фёдоров ручей улица,street,улица/водоток,Плотницкий; к Волхову,,,существует,,,водоток и мостовые формировали кварталы,,nov1230db:U15|nov1230db:S17,B,candidate
lm_i01,Общегородское вече,institution,собрание/процедура,,,,существует,"Решения о князе, должностях, войне, мире и острых конфликтах; в 1230 г. также сцена насилия.",,Состав и способ голосования не известны как формальный регламент; возможны давление концов и элит.,,nov1230db:I01|nov1230db:S01|nov1230db:S21,A,candidate
lm_i02,Конец,institution,территориально-политическая община,,,,существует,"Собрание жителей, военная и фискальная мобилизация, патронат храмов.",,Не современный район и не цех.,,nov1230db:I02|nov1230db:S05|nov1230db:S21,B,candidate
lm_i03,Уличанское собрание,institution,локальное самоуправление,,,,существует,"Вопросы мостовой, земли, прихода, соседских конфликтов.",,Формальные полномочия реконструируются.,,nov1230db:I03|nov1230db:S05|nov1230db:S21,B,candidate
lm_i04,Посадник,institution,высшее городское должностное лицо,,,,существует,"Совместный с князем суд, дипломатия, управление и политическое лидерство.",,Не единоличный глава государства; опирается на род и коалицию.,,nov1230db:I04|nov1230db:S01,A,candidate
lm_i05,Тысяцкий,institution,должностное лицо,,,,существует,Торгово-судебные и военные функции; связь с городским ополчением.,,Точный набор полномочий менялся; поздние описания нельзя переносить без проверки.,,nov1230db:I05|nov1230db:S03|nov1230db:S22,B,candidate
lm_i06,Архиепископ/владыка,institution,церковная и посредническая власть,,,,существует,"Церковный суд, дипломатия, благотворительность, организация крупных общественных работ; в 1230 г. помощь при голоде.",,Роль городской казны и архива лучше засвидетельствована позднее.,,nov1230db:I06|nov1230db:S01|nov1230db:S13,A,candidate
lm_i07,Приглашённый князь,institution,военный и судебный партнёр,,,,существует,"Дружина, военное командование, доля суда и доходов; договор/крестное целование регулируют отношения.",,"В 1230 г. власть реальна, но политически обратима.",,nov1230db:I07|nov1230db:S01|nov1230db:S23,A,candidate
lm_i08,Княжеская дружина и тиуны,institution,исполнительная сеть князя,,,,существует,"Военная сила, суд и сбор оговорённых доходов.",,Не имеет права произвольно захватывать городские земли по позднейшим договорам; точная формула 1230 г. не сохранилась.,,nov1230db:I08|nov1230db:S01|nov1230db:S23,B,candidate
lm_i09,Купеческие братства,institution,корпоративная организация,,,,существует,"Торговый суд, меры, взаимная ответственность, религиозный патронат.",,Устав Ивана на Опоках имеет поздние наслоения.,,nov1230db:I09|nov1230db:S03,B,candidate
lm_i10,Церковные и монастырские суды,institution,юрисдикция,,,,существует,"Брачные, нравственные и часть имущественных дел духовенства и зависимых людей.",,Граница с княжеско-посадничьим судом могла оспариваться.,,nov1230db:I10|nov1230db:S04,B,candidate
lm_i11,Торговый суд,institution,специализированная юрисдикция,,,,существует,"Споры о весах, воске, долгах и купеческих сделках.",,"Практика могла сочетать тысяцкого, старост и княжеско-посадничий суд.",,nov1230db:I11|nov1230db:S02|nov1230db:S03|nov1230db:S05,B,candidate
lm_i12,Погост/волость,institution,территориально-фискальный узел,,,,существует,"Сбор дани/пошлин, церковный и местный центр, логистика.",,Полная сеть известна по поздним книгам; для 1230 г. восстанавливается фрагментарно.,,nov1230db:I12|nov1230db:S05|nov1230db:S07|nov1230db:S19,B,candidate
lm_x_khutyn_monastery,Хутынский Спасо-Преображенский монастырь,monastery,монастырь,"Хутынь, правый берег Волхова севернее города",1192,"деревянный, затем каменный храм Спаса (освящён 1192)",существует,монастырь,монахи|паломники,нынешний собор 1515 г. — не для 1230,Хутынская высадка на Волхове,ref:novgorodmuseum_khutyn,B,candidate
lm_x_yuriev_monastery,Юрьев монастырь,monastery,монастырь,у истока Волхова к югу от города,собор 1119–1130,"каменный собор, деревянные постройки",существует,монастырь,монахи|игумен,по собору B018,Юрьев монастырь,nov1230db:B018|matcult:ARC0003,A,candidate
lm_x_antoniev_monastery,Антониев монастырь,monastery,монастырь,севернее города,собор 1117–1119,"каменный собор, деревянные постройки",существует,монастырь,монахи,по собору B019,,nov1230db:B019,A,candidate
lm_x_gorodishche,Рюриково Городище,court,княжеская резиденция,к югу от города у истока Волхова,,дерево; каменный храм Благовещения 1103,существует,основная резиденция князя,князь|дружина|тиуны,не смешивать с Ярославовым дворищем,Рюриково городище,nov1230db:P002|nov1230db:B016|nov1230db:B015,A,candidate
lm_x_vymol_nemetsky,Немецкий вымол,wharf,вымол,Торговая сторона,Устав кон. XII – нач. XIII в. (список XIV в.),дерево,вероятно существует,речная пристань,лодейщики|грузчики|купцы,датировка Устава дискуссионна,Немецкий двор у Торга,wk:claim:river-landing-named-list,B,candidate
lm_x_vymol_ivan,Ивань вымол,wharf,вымол,Торговая сторона,Устав кон. XII – нач. XIII в. (список XIV в.),дерево,вероятно существует,речная пристань,лодейщики|грузчики|купцы,датировка Устава дискуссионна,,wk:claim:river-landing-named-list,B,candidate
lm_x_vymol_alferdov,Алфердов вымол,wharf,вымол,Торговая сторона,Устав кон. XII – нач. XIII в. (список XIV в.),дерево,вероятно существует,речная пристань,лодейщики|грузчики|купцы,датировка Устава дискуссионна,,wk:claim:river-landing-named-list,B,candidate
lm_x_vymol_budyatin,Будятин вымол,wharf,вымол,Торговая сторона,Устав кон. XII – нач. XIII в. (список XIV в.),дерево,вероятно существует,речная пристань,лодейщики|грузчики|купцы,датировка Устава дискуссионна,,wk:claim:river-landing-named-list,B,candidate
lm_x_vymol_matfeev,Матфеев вымол,wharf,вымол,Торговая сторона,Устав кон. XII – нач. XIII в. (список XIV в.),дерево,вероятно существует,речная пристань,лодейщики|грузчики|купцы,датировка Устава дискуссионна,,wk:claim:river-landing-named-list,B,candidate
