category_id,domain,facet,stable_code,parent_category_id,name_ru,name_en,preferred_label,title,definition,scope_note,inclusion_rules,exclusion_rules,region_id,universal,pf_ref,source_domain_file,source_refs,status
cat_place_family_kind_seasonal_overlay,place_family,place_family,place_family.kind.seasonal_overlay,cat_place_family,,seasonal overlay,seasonal overlay,seasonal overlay,Place families of kind seasonal_overlay.,Grouping level for presence rule inheritance by parent_category_id.,pf_kind = seasonal_overlay in places/place_families.csv,Families of another kind.,,true,,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_place_family_kind_settlement_space,place_family,place_family,place_family.kind.settlement_space,cat_place_family,,settlement space,settlement space,settlement space,Place families of kind settlement_space.,Grouping level for presence rule inheritance by parent_category_id.,pf_kind = settlement_space in places/place_families.csv,Families of another kind.,,true,,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_place_family_kind_structure,place_family,place_family,place_family.kind.structure,cat_place_family,,structure,structure,structure,Place families of kind structure.,Grouping level for presence rule inheritance by parent_category_id.,pf_kind = structure in places/place_families.csv,Families of another kind.,,true,,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_place_family_kind_use_overlay,place_family,place_family,place_family.kind.use_overlay,cat_place_family,,use overlay,use overlay,use overlay,Place families of kind use_overlay.,Grouping level for presence rule inheritance by parent_category_id.,pf_kind = use_overlay in places/place_families.csv,Families of another kind.,,true,,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_place_family_kind_water,place_family,place_family,place_family.kind.water,cat_place_family,,water,water,water,Place families of kind water.,Grouping level for presence rule inheritance by parent_category_id.,pf_kind = water in places/place_families.csv,Families of another kind.,,true,,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_place_family_kind_water_edge,place_family,place_family,place_family.kind.water_edge,cat_place_family,,water edge,water edge,water edge,Place families of kind water_edge.,Grouping level for presence rule inheritance by parent_category_id.,pf_kind = water_edge in places/place_families.csv,Families of another kind.,,true,,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_place_family_kind_work_site,place_family,place_family,place_family.kind.work_site,cat_place_family,,work site,work site,work site,Place families of kind work_site.,Grouping level for presence rule inheritance by parent_category_id.,pf_kind = work_site in places/place_families.csv,Families of another kind.,,true,,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_reality_batch_01_open_conditions,place_family,place_family,place_family.reality_batch_01_open_conditions,cat_place_family_kind_overlay,"Открытые условия (наложение): сырость, работа, животные, уход, грунт","Open conditions overlay (wetland, work, animals, care, ground)","Open conditions overlay (wetland, work, animals, care, ground)","Открытые условия (наложение): сырость, работа, животные, уход, грунт","Open composition for established wetland, work, animal, care and ground conditions.",Key of presence pools; composes with: pf_town_street,WK place-first family reality_batch_01_open_conditions,Not a concrete place; does not assert presence of anything.,,true,pf_reality_batch_01_open_conditions,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_reality_first_practical_conditions,place_family,place_family,place_family.reality_first_practical_conditions,cat_place_family_kind_overlay,"Практические условия места (наложение): работа, путь, уход, еда, животные",Practical conditions overlay,Practical conditions overlay,"Практические условия места (наложение): работа, путь, уход, еда, животные","Open composition of observed place, rural, work, travel, care and food/animal conditions.",Key of presence pools; composes with: pf_town_street;pf_market_square;pf_rural_yard,WK place-first family reality_first_practical_conditions,Not a concrete place; does not assert presence of anything.,,true,pf_reality_first_practical_conditions,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_rural_yard,place_family,place_family,place_family.rural_yard,cat_place_family_kind_settlement_space,Сельский двор,Rural yard,Rural yard,Сельский двор,Open rural yard context.,Key of presence pools; composes with: pf_town_street,WK place-first family rural_yard,Not a concrete place; does not assert presence of anything.,,true,pf_rural_yard,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_town_street,place_family,place_family,place_family.town_street,cat_place_family_kind_settlement_space,Городская улица (мостовая),Town street,Town street,Городская улица (мостовая),Street between dense urban plots and public movement.,Key of presence pools; composes with: pf_market_square;pf_town_courtyard;pf_town_wall_edge;pf_river_wharf,WK place-first family town_street,Not a concrete place; does not assert presence of anything.,,true,pf_town_street,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_market_square,place_family,place_family,place_family.market_square,cat_place_family_kind_settlement_space,"Торг, торговая площадь",Market square,Market square,"Торг, торговая площадь",Open trading and assembly ground with changing density.,Key of presence pools; composes with: pf_town_street;pf_river_wharf;pf_churchyard;pf_town_courtyard,WK place-first family market_square,Not a concrete place; does not assert presence of anything.,,true,pf_market_square,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_river_wharf,place_family,place_family,place_family.river_wharf,cat_place_family_kind_water_edge,Городская пристань,Urban river wharf,Urban river wharf,Городская пристань,"Urban water-edge for landing, loading and waiting.",Key of presence pools; composes with: pf_river_channel;pf_town_street;pf_ferry_landing;pf_riverbank,WK place-first family river_wharf,Not a concrete place; does not assert presence of anything.,,true,pf_river_wharf,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_town_courtyard,place_family,place_family,place_family.town_courtyard,cat_place_family_kind_settlement_space,"Городская усадьба, двор",Town courtyard,Town courtyard,"Городская усадьба, двор",Semi-private urban yard behind or between occupied plots.,Key of presence pools; composes with: pf_town_street;pf_outbuildings;pf_cellar_granary;pf_bathhouse;pf_smithy,WK place-first family town_courtyard,Not a concrete place; does not assert presence of anything.,,true,pf_town_courtyard,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_town_wall_edge,place_family,place_family,place_family.town_wall_edge,cat_place_family_kind_settlement_space,Край города у вала и ворот,Town wall edge,Town wall edge,Край города у вала и ворот,"Urban perimeter beside defensive earthworks, gates or open approaches.",Key of presence pools; composes with: pf_town_street;pf_road;pf_field_margin;pf_riverbank,WK place-first family town_wall_edge,Not a concrete place; does not assert presence of anything.,,true,pf_town_wall_edge,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_riverbank,place_family,place_family,place_family.riverbank,cat_place_family_kind_water_edge,Речной берег,Riverbank,Riverbank,Речной берег,Natural or lightly used bank away from fixed urban wharf.,Key of presence pools; composes with: pf_river_channel;pf_floodplain_meadow;pf_ferry_landing;pf_forest_edge,WK place-first family riverbank,Not a concrete place; does not assert presence of anything.,,true,pf_riverbank,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_river_channel,place_family,place_family,place_family.river_channel,cat_place_family_kind_water,"Речное русло, протока",River channel,River channel,"Речное русло, протока","Moving water as route, barrier and ecological process.",Key of presence pools; composes with: pf_riverbank;pf_river_wharf;pf_ferry_landing;pf_winter_ice_crossing,WK place-first family river_channel,Not a concrete place; does not assert presence of anything.,,true,pf_river_channel,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_floodplain_meadow,place_family,place_family,place_family.floodplain_meadow,cat_place_family_kind_natural_open,Пойменный луг,Floodplain meadow,Floodplain meadow,Пойменный луг,Low riverside grassland periodically shaped by water.,Key of presence pools; composes with: pf_riverbank;pf_hay_meadow;pf_marshy_stream;pf_field_margin,WK place-first family floodplain_meadow,Not a concrete place; does not assert presence of anything.,,true,pf_floodplain_meadow,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_lake_shore,place_family,place_family,place_family.lake_shore,cat_place_family_kind_water_edge,Озёрный берег,Lake shore,Lake shore,Озёрный берег,Still-water shore with shallow margins and local use.,Key of presence pools; composes with: pf_marshy_stream;pf_forest_edge;pf_fishing_camp;pf_winter_ice_crossing,WK place-first family lake_shore,Not a concrete place; does not assert presence of anything.,,true,pf_lake_shore,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_arable_field,place_family,place_family,place_family.arable_field,cat_place_family_kind_agrarian,"Пашня, нива",Arable field,Arable field,"Пашня, нива",Worked open ground whose condition follows agricultural cycle.,Key of presence pools; composes with: pf_field_margin;pf_village_lane;pf_hay_meadow;pf_peasant_homestead,WK place-first family arable_field,Not a concrete place; does not assert presence of anything.,,true,pf_arable_field,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_hay_meadow,place_family,place_family,place_family.hay_meadow,cat_place_family_kind_agrarian,Сенокосный луг,Hay meadow,Hay meadow,Сенокосный луг,"Managed grassland for cutting, drying and carrying fodder.",Key of presence pools; composes with: pf_floodplain_meadow;pf_village_lane;pf_peasant_homestead;pf_field_margin,WK place-first family hay_meadow,Not a concrete place; does not assert presence of anything.,,true,pf_hay_meadow,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_broadleaf_woodland,place_family,place_family,place_family.broadleaf_woodland,cat_place_family_kind_natural_forest,"Широколиственный лес (дубравный, липовый участок)",Broadleaf woodland,Broadleaf woodland,"Широколиственный лес (дубравный, липовый участок)","Deciduous woodland with layered ground, canopy and seasonal change.",Key of presence pools; composes with: pf_forest_edge;pf_mixed_woodland;pf_hunting_ground;pf_forest_track,WK place-first family broadleaf_woodland,Not a concrete place; does not assert presence of anything.,,true,pf_broadleaf_woodland,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_conifer_woodland,place_family,place_family,place_family.conifer_woodland,cat_place_family_kind_natural_forest,"Хвойный лес (бор, ельник)",Conifer woodland,Conifer woodland,"Хвойный лес (бор, ельник)",Needle-leaved woodland with resinous cover and year-round shade.,Key of presence pools; composes with: pf_mixed_woodland;pf_bog;pf_forest_track;pf_winter_ice_crossing,WK place-first family conifer_woodland,Not a concrete place; does not assert presence of anything.,,true,pf_conifer_woodland,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_mixed_woodland,place_family,place_family,place_family.mixed_woodland,cat_place_family_kind_natural_forest,Смешанный лес,Mixed woodland,Mixed woodland,Смешанный лес,Transition woodland where tree cover and ground conditions vary over short distances.,Key of presence pools; composes with: pf_broadleaf_woodland;pf_conifer_woodland;pf_forest_edge;pf_marshy_stream,WK place-first family mixed_woodland,Not a concrete place; does not assert presence of anything.,,true,pf_mixed_woodland,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_forest_edge,place_family,place_family,place_family.forest_edge,cat_place_family_kind_natural_edge,"Опушка, лесной край",Forest edge,Forest edge,"Опушка, лесной край",Boundary between woodland and open worked or watery land.,Key of presence pools; composes with: pf_arable_field;pf_hay_meadow;pf_riverbank;pf_forest_track;pf_village_lane,WK place-first family forest_edge,Not a concrete place; does not assert presence of anything.,,true,pf_forest_edge,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_bog,place_family,place_family,place_family.bog,cat_place_family_kind_natural_wetland,"Болото (мох, торф)",Bog,Bog,"Болото (мох, торф)",Peaty wetland with unstable footing and slow water.,Key of presence pools; composes with: pf_marshy_stream;pf_conifer_woodland;pf_lake_shore;pf_forest_track,WK place-first family bog,Not a concrete place; does not assert presence of anything.,,true,pf_bog,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_marshy_stream,place_family,place_family,place_family.marshy_stream,cat_place_family_kind_natural_wetland,"Заболоченный ручей, топкая низина у воды",Marshy stream,Marshy stream,"Заболоченный ручей, топкая низина у воды","Narrow wet drainage corridor joining woods, meadow or lake.",Key of presence pools; composes with: pf_bog;pf_floodplain_meadow;pf_lake_shore;pf_mixed_woodland,WK place-first family marshy_stream,Not a concrete place; does not assert presence of anything.,,true,pf_marshy_stream,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_village_lane,place_family,place_family,place_family.village_lane,cat_place_family_kind_settlement_space,"Деревенская улица, проулок",Village lane,Village lane,"Деревенская улица, проулок","Rural lane connecting yards, fields and road.",Key of presence pools; composes with: pf_peasant_homestead;pf_road;pf_arable_field;pf_bridge_crossing,WK place-first family village_lane,Not a concrete place; does not assert presence of anything.,,true,pf_village_lane,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_peasant_homestead,place_family,place_family,place_family.peasant_homestead,cat_place_family_kind_settlement_space,Крестьянская усадьба,Peasant homestead,Peasant homestead,Крестьянская усадьба,"Rural domestic plot as connected dwelling, work and animal space.",Key of presence pools; composes with: pf_village_lane;pf_outbuildings;pf_cellar_granary;pf_orchard_garden;pf_pasture,WK place-first family peasant_homestead,Not a concrete place; does not assert presence of anything.,,true,pf_peasant_homestead,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_outbuildings,place_family,place_family,place_family.outbuildings,cat_place_family_kind_structure,"Хозяйственные постройки (хлев, сарай, навес)",Outbuildings,Outbuildings,"Хозяйственные постройки (хлев, сарай, навес)",Working outbuildings around household or town yard.,Key of presence pools; composes with: pf_peasant_homestead;pf_town_courtyard;pf_cellar_granary;pf_threshing_barn;pf_bathhouse,WK place-first family outbuildings,Not a concrete place; does not assert presence of anything.,,true,pf_outbuildings,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_cellar_granary,place_family,place_family,place_family.cellar_granary,cat_place_family_kind_structure,"Погреб, клеть, амбар",Cellar / granary,Cellar / granary,"Погреб, клеть, амбар",Cool or dry storage enclosure with preservation constraints.,Key of presence pools; composes with: pf_peasant_homestead;pf_town_courtyard;pf_outbuildings;pf_market_square,WK place-first family cellar_granary,Not a concrete place; does not assert presence of anything.,,true,pf_cellar_granary,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_bathhouse,place_family,place_family,place_family.bathhouse,cat_place_family_kind_structure,Баня,Bathhouse,Bathhouse,Баня,"Heated washing space with fire, water and privacy constraints.",Key of presence pools; composes with: pf_peasant_homestead;pf_town_courtyard;pf_riverbank;pf_forest_edge,WK place-first family bathhouse,Not a concrete place; does not assert presence of anything.,,true,pf_bathhouse,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_smithy,place_family,place_family,place_family.smithy,cat_place_family_kind_structure,Кузница,Smithy,Smithy,Кузница,"Hot craft workspace where material, tools and fire constrain work.",Key of presence pools; composes with: pf_town_courtyard;pf_market_square;pf_road;pf_outbuildings,WK place-first family smithy,Not a concrete place; does not assert presence of anything.,,true,pf_smithy,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_mill,place_family,place_family,place_family.mill,cat_place_family_kind_structure,Мельница (водяная),Mill,Mill,Мельница (водяная),Water- or wind-driven grain-processing setting with moving machinery.,Key of presence pools; composes with: pf_river_channel;pf_marshy_stream;pf_village_lane;pf_arable_field,WK place-first family mill,Not a concrete place; does not assert presence of anything.,,true,pf_mill,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_threshing_barn,place_family,place_family,place_family.threshing_barn,cat_place_family_kind_structure,"Гумно, ток",Threshing barn,Threshing barn,"Гумно, ток",Seasonal grain-handling and drying work space.,Key of presence pools; composes with: pf_arable_field;pf_cellar_granary;pf_peasant_homestead;pf_village_lane,WK place-first family threshing_barn,Not a concrete place; does not assert presence of anything.,,true,pf_threshing_barn,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_churchyard,place_family,place_family,place_family.churchyard,cat_place_family_kind_religious_space,"Церковный двор, погост",Churchyard,Churchyard,"Церковный двор, погост","Religious precinct exterior with paths, gathering and quiet boundaries.",Key of presence pools; composes with: pf_town_street;pf_market_square;pf_monastery_yard;pf_village_lane,WK place-first family churchyard,Not a concrete place; does not assert presence of anything.,,true,pf_churchyard,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_monastery_yard,place_family,place_family,place_family.monastery_yard,cat_place_family_kind_religious_space,Монастырский двор,Monastery yard,Monastery yard,Монастырский двор,Working religious compound exterior with mixed domestic and communal rhythms.,Key of presence pools; composes with: pf_churchyard;pf_orchard_garden;pf_outbuildings;pf_road,WK place-first family monastery_yard,Not a concrete place; does not assert presence of anything.,,true,pf_monastery_yard,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_road,place_family,place_family,place_family.road,cat_place_family_kind_route,Дорога,Road,Road,Дорога,Long-distance or inter-settlement route with variable surface and services.,Key of presence pools; composes with: pf_village_lane;pf_bridge_crossing;pf_ferry_landing;pf_forest_track;pf_field_margin,WK place-first family road,Not a concrete place; does not assert presence of anything.,,true,pf_road,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_bridge_crossing,place_family,place_family,place_family.bridge_crossing,cat_place_family_kind_route,"Мост, мостовая переправа",Bridge crossing,Bridge crossing,"Мост, мостовая переправа","Built crossing concentrated around load, water and bottleneck movement.",Key of presence pools; composes with: pf_road;pf_village_lane;pf_riverbank;pf_marshy_stream,WK place-first family bridge_crossing,Not a concrete place; does not assert presence of anything.,,true,pf_bridge_crossing,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_ferry_landing,place_family,place_family,place_family.ferry_landing,cat_place_family_kind_water_edge,"Перевоз, причал, высадка",Ferry landing,Ferry landing,"Перевоз, причал, высадка",Informal or organized landing where crossing waits on water and means.,Key of presence pools; composes with: pf_river_channel;pf_riverbank;pf_road;pf_river_wharf,WK place-first family ferry_landing,Not a concrete place; does not assert presence of anything.,,true,pf_ferry_landing,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_forest_track,place_family,place_family,place_family.forest_track,cat_place_family_kind_route,"Лесная тропа, лесной ход",Forest track,Forest track,"Лесная тропа, лесной ход",Narrow maintained or improvised path through wooded ground.,Key of presence pools; composes with: pf_broadleaf_woodland;pf_conifer_woodland;pf_mixed_woodland;pf_road;pf_hunting_ground,WK place-first family forest_track,Not a concrete place; does not assert presence of anything.,,true,pf_forest_track,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_hunting_ground,place_family,place_family,place_family.hunting_ground,cat_place_family_kind_use_overlay,Охотничьи угодья,Hunting ground,Hunting ground,Охотничьи угодья,"Use-overlay for observing, pursuing and processing wild animals across terrain.",Key of presence pools; composes with: pf_broadleaf_woodland;pf_mixed_woodland;pf_forest_edge;pf_floodplain_meadow;pf_lake_shore,WK place-first family hunting_ground,Not a concrete place; does not assert presence of anything.,,true,pf_hunting_ground,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_orchard_garden,place_family,place_family,place_family.orchard_garden,cat_place_family_kind_agrarian,"Огород, сад",Orchard / kitchen garden,Orchard / kitchen garden,"Огород, сад",Cultivated small plot with seasonal plants and close tending.,Key of presence pools; composes with: pf_peasant_homestead;pf_monastery_yard;pf_town_courtyard;pf_field_margin,WK place-first family orchard_garden,Not a concrete place; does not assert presence of anything.,,true,pf_orchard_garden,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_pasture,place_family,place_family,place_family.pasture,cat_place_family_kind_agrarian,"Выгон, пастбище",Pasture,Pasture,"Выгон, пастбище","Grazing ground shaped by animals, herding and boundaries.",Key of presence pools; composes with: pf_hay_meadow;pf_floodplain_meadow;pf_forest_edge;pf_peasant_homestead,WK place-first family pasture,Not a concrete place; does not assert presence of anything.,,true,pf_pasture,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_winter_ice_crossing,place_family,place_family,place_family.winter_ice_crossing,cat_place_family_kind_seasonal_overlay,"Зимняя переправа по льду, зимник",Winter ice crossing,Winter ice crossing,"Зимняя переправа по льду, зимник",Seasonal overlay for frozen water and packed snow travel.,Key of presence pools; composes with: pf_river_channel;pf_lake_shore;pf_road;pf_conifer_woodland;pf_ferry_landing,WK place-first family winter_ice_crossing,Not a concrete place; does not assert presence of anything.,,true,pf_winter_ice_crossing,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_field_margin,place_family,place_family,place_family.field_margin,cat_place_family_kind_agrarian,"Межа, край поля",Field margin,Field margin,"Межа, край поля","Narrow boundary of fields, ditches, hedges and paths.",Key of presence pools; composes with: pf_arable_field;pf_hay_meadow;pf_road;pf_forest_edge;pf_floodplain_meadow,WK place-first family field_margin,Not a concrete place; does not assert presence of anything.,,true,pf_field_margin,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_fishing_camp,place_family,place_family,place_family.fishing_camp,cat_place_family_kind_work_site,"Рыбацкий стан, тоня",Fishing camp,Fishing camp,"Рыбацкий стан, тоня","Temporary or recurring working spot for catch, repair and shelter.",Key of presence pools; composes with: pf_lake_shore;pf_riverbank;pf_river_channel;pf_forest_edge,WK place-first family fishing_camp,Not a concrete place; does not assert presence of anything.,,true,pf_fishing_camp,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_dwelling_interior,place_family,place_family,place_family.dwelling_interior,cat_place_family_kind_interior,"Жилое помещение (изба, горница)",Dwelling interior,Dwelling interior,"Жилое помещение (изба, горница)","Inhabited interior that composes with town courtyard or homestead and varies by occupants, means, season, weather and upkeep.",Key of presence pools; composes with: pf_town_courtyard;pf_peasant_homestead;pf_cellar_granary;pf_bathhouse,WK place-first family dwelling_interior,Not a concrete place; does not assert presence of anything.,,true,pf_dwelling_interior,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
cat_pf_church_interior,place_family,place_family,place_family.church_interior,cat_place_family_kind_interior,Внутренность церкви,Church interior,Church interior,Внутренность церкви,Religious interior that composes with churchyard or monastery yard; it is not a universal institutional-room surrogate.,Key of presence pools; composes with: pf_churchyard;pf_monastery_yard;pf_town_street,WK place-first family church_interior,Not a concrete place; does not assert presence of anything.,,true,pf_church_interior,places-binding/places/place_families.csv,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json,candidate
