pff_id,pf_id,facet_id,facet_order,slots,coverage,claim_ref_count,needs,limits,residual_needs,claim_refs,source_refs,confidence,status
pff_market_square__noise_smell_visibility,pf_market_square,noise_smell_visibility,3,facet_senses_traces,supported,7,"Какие крики, звон, запахи пищи, шерсти, дыма и грязи меняют слышимость речи и обзор? | Что остаётся после закрытия рынка и что исчезает к следующему дню?",Текущий чувственный профиль и сохранность остатков принадлежат состоянию сцены; наблюдаемое не даёт знания о сделках вне восприятия.,,claim:work-waste-context;claim:place-outdoors-activity-sensory-pulses;claim:place-outdoors-market-activity-and-empty-intervals;claim:place-outdoors-cover-opening-and-work-visibility;claim:sound-background-noise-masks-speech;claim:smoke-particles-can-attenuate-light-and-reduce-visibility;claim:place-outdoors-clearing-and-trace-renewal,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=market_square].facets[facet=noise_smell_visibility],B,candidate
pff_market_square__commerce_and_hazards,pf_market_square,commerce_and_hazards,4,facet_risks_upkeep,supported,3,"Какие обычные действия: разгрузка, торг, поиск, укрытие, проход, кормление животных — требуют среды? | Какие риски дают давка, кража, спор, огонь, испорченная пища и непогода?",Не моделировать право торговли или цены без отдельного owner.,,claim:civic-public-market;claim:domestic-animal-context;claim:place-outdoors-market-activity-and-empty-intervals,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=market_square].facets[facet=commerce_and_hazards],B,candidate
pff_river_wharf__edge_and_mooring,pf_river_wharf,edge_and_mooring,1,facet_ground,supported,4,"Какие берега, сходни, сваи, настилы, канаты и глубины определяют посадку, разгрузку и падение в воду? | Как уровень воды, ледоход и ремонт меняют пригодность края?",Не утверждать судоходные характеристики конкретной точки.,,claim:river-landing-category;claim:river-landing-surfacing-allocation;claim:place-outdoors-shore-working-edge-composition;claim:place-outdoors-microterrain-patches,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=river_wharf].facets[facet=edge_and_mooring],B,candidate
pff_river_wharf__cargo_and_labor,pf_river_wharf,cargo_and_labor,2,facet_use_people,supported,4,"Какие виды тары, волочения, носилок, телег и ручного труда нужны для разных грузов? | Как различаются работа грузчика, лодочника, рыбака, покупателя и случайного прохожего?",Груз и владелец требуют существующего source.,,claim:river-landing-market-approaches;claim:population-river-work;claim:place-outdoors-shore-working-edge-composition;claim:place-outdoors-microterrain-patches,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=river_wharf].facets[facet=cargo_and_labor],B,candidate
pff_river_wharf__water_senses_and_marks,pf_river_wharf,water_senses_and_marks,3,facet_senses_traces,supported,5,"Какие плеск, скрип, запах тины, рыбы и смолы, туман и отражённый свет влияют на восприятие? | Какие мокрые следы, мусор, зарубки, потёртости и следы швартовки остаются?",След не доказывает конкретное судно или лицо.,,claim:research-flood-can-leave-high-water-mark-types;claim:place-outdoors-activity-sensory-pulses;claim:foundations-earth-27-fog-visibility;claim:place-outdoors-shore-working-edge-composition;claim:place-outdoors-clearing-and-trace-renewal,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=river_wharf].facets[facet=water_senses_and_marks],B,candidate
pff_river_wharf__waterfront_risks,pf_river_wharf,waterfront_risks,4,facet_risks_upkeep,supported,4,"Какие риски дают скользкие доски, течение, груз, ледяная вода, ночная темнота и толпа? | Какие сезонные режимы: паводок, мелководье, лёд, навигация — нужны вместо вечной статики?",Не добавлять постоянный режим работы без binding.,,claim:foundations-earth2-11-river-ice-jam-flow-obstruction;claim:candidate-v2-ice-or-snow-can-be-a-slip-hazard;claim:place-outdoors-shore-working-edge-composition;claim:place-outdoors-microterrain-patches,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=river_wharf].facets[facet=waterfront_risks],B,candidate
pff_town_courtyard__yard_surface_and_boundaries,pf_town_courtyard,yard_surface_and_boundaries,1,facet_ground,supported,6,"Какие земля, доски, мусор, дрова, заборы, ворота и проходы формируют доступ и работу? | Как снег, дождь и расчистка меняют двор?","Конкретные поверхность, ограды, проходы и их состояние принадлежат сцене; граница двора не заменяет ownership/access check.",,claim:static-ground-b05-wet-soil-can-reduce-trafficability-and-rut-under-load;claim:candidate-v2-ice-or-snow-can-be-a-slip-hazard;claim:place-outdoors-traffic-wet-ground-and-ruts;claim:foundations-earth2-06-precipitation-infiltration-runoff-limit;claim:place-outdoors-clearing-and-trace-renewal;claim:place-outdoors-season-work-space-reallocation,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=town_courtyard].facets[facet=yard_surface_and_boundaries],B,candidate
pff_town_courtyard__household_life,pf_town_courtyard,household_life,2,facet_use_people,supported,6,"Какие хозяйственные занятия, сушка, перенос воды, кормление, починка и хранение могут происходить? | Как различаются жильцы, гости, работники и животные в пределах одного двора?",Не выводить состав семьи или имущество автоматически.,,claim:ordinary-life-household-needs-heat-food-storage;claim:domestic-animal-context;claim:place-outdoors-means-upkeep-and-environment;claim:place-outdoors-season-work-space-reallocation;claim:reconstructed-place-upkeep-competes-with-weather-work-and-available-means;claim:place-community-family-marriage-preparation-can-coordinate-ordinary-household-goods-without-transferring-title,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=town_courtyard].facets[facet=household_life],B,candidate
pff_town_courtyard__odors_sounds_traces,pf_town_courtyard,odors_sounds_traces,3,facet_senses_traces,supported,5,"Какие дым, пища, навоз, зола, стук и разговоры говорят о текущей работе? | Какие следы выметания, рубки, пролива, ремонта или пребывания животных различимы?",Не превращать бытовой след в hidden evidence.,,claim:domestic-animal-context;claim:place-outdoors-activity-sensory-pulses;claim:place-outdoors-clearing-and-trace-renewal;claim:reconstructed-dwelling-moisture-and-routine-can-leave-changeable-traces;claim:ordinary-life-smith-leaves-scale-ash-offcuts,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=town_courtyard].facets[facet=odors_sounds_traces],B,candidate
pff_town_courtyard__domestic_safety,pf_town_courtyard,domestic_safety,4,facet_risks_upkeep,supported,6,"Какие опасности создают открытый огонь, ямы, скользкий лёд, агрессивные животные и теснота? | Какая upkeep: подсыпка, чистка, латание, вывоз — удерживает двор пригодным?","Maintenance — вопрос состояния, не готовое событие.",,claim:candidate-v2-ice-or-snow-can-be-a-slip-hazard;claim:ordinary-life-household-repairs-compete-with-new-goods;claim:population-material-wood-combustion;claim:reconstructed-place-work-hot-heavy-or-moving-work-benefits-from-clearance;claim:place-outdoors-traffic-wet-ground-and-ruts;claim:reconstructed-place-upkeep-competes-with-weather-work-and-available-means,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=town_courtyard].facets[facet=domestic_safety],B,candidate
pff_town_wall_edge__earthwork_and_approach,pf_town_wall_edge,earthwork_and_approach,1,facet_ground,supported,2,"Какие откосы, рвы, дорожки, древесина и размывы важны для прохода и обзора? | Как дождь, промерзание и ремонт меняют устойчивость и доступ?",Не заявлять фортификационные детали конкретного города.,,claim:civic-wood-earth-wall;claim:research-freeze-thaw-can-loosen-consolidated-sediment-for-erosion,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=town_wall_edge].facets[facet=earthwork_and_approach],B,candidate
pff_town_wall_edge__threshold_traffic,pf_town_wall_edge,threshold_traffic,2,facet_use_people,supported,1,"Какие потоки людей, животных, возов и дров пересекают край в разное время? | Как различаются местный житель, путник, стража и ремонтный работник?",Контроль входа остаётся policy-owned.,,claim:settlement-cart-transport,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=town_wall_edge].facets[facet=threshold_traffic],B,candidate
pff_town_wall_edge__open_edge_perception,pf_town_wall_edge,open_edge_perception,3,facet_senses_traces,supported,4,"Какие ветер, пыль, запахи полей, дальний звук и линии видимости отличают край от улицы? | Какие следы прохода, выпаса, ремонта и стока читаются на грунте?","Конкретные ветер, пыль, обзор и следы принадлежат состоянию сцены.",,claim:residual-traces-animal-trace-weather-decay;claim:place-outdoors-cover-opening-and-work-visibility;claim:place-outdoors-clearing-and-trace-renewal;claim:sound-wind-temperature-gradients-refract,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=town_wall_edge].facets[facet=open_edge_perception],B,candidate
pff_town_wall_edge__edge_risks_and_upkeep,pf_town_wall_edge,edge_risks_and_upkeep,4,facet_risks_upkeep,supported,1,"Какие риски: обрыв, размокший склон, ночная изоляция, пожар у дерева — нужно различать? | Какая сезонная upkeep нужна, чтобы край не считать неизменным?",Не создавать угрозу без causal trigger.,,claim:research-freeze-thaw-can-loosen-consolidated-sediment-for-erosion,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=town_wall_edge].facets[facet=edge_risks_and_upkeep],B,candidate
pff_riverbank__bank_material_and_water,pf_riverbank,bank_material_and_water,1,facet_ground,supported,2,"Какие песок, глина, камень, корни, уступы и глубина у кромки допускают подход и забор воды? | Как течение, паводок, размыв и ледостав меняют берег?",Не выводить качество воды без источника.,,claim:river-flow-affects-sediment-transport-deposition;claim:research-freeze-thaw-can-loosen-consolidated-sediment-for-erosion,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=riverbank].facets[facet=bank_material_and_water],B,candidate
pff_riverbank__riparian_life,pf_riverbank,riparian_life,2,facet_use_people,partial,3,"Какие прибрежные растения, насекомые, птицы, рыба и следы животных требуют вероятностной среды? | Какие различия дня, сезона и погоды меняют их заметность?",Конкретные растения и животные принадлежат состоянию/контексту; не превращать fauna в гарантированную добычу.,"Связь прибрежной растительности с проходимостью и укрытием, а света суток — с наблюдаемостью животных.",claim:common-reed-rhizome-produces-stems-in-wetland-habitat;claim:water-temperature-affects-aquatic-organism-range;claim:fauna-animal-partial-migration,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=riverbank].facets[facet=riparian_life],B,candidate
pff_riverbank__shore_use_and_marks,pf_riverbank,shore_use_and_marks,3,facet_senses_traces,supported,6,"Какие стирка, водопой, рыбная работа, ночёвка, сбор и проход могут оставлять следы? | Какие отпечатки, кострища, срезы, остатки наживки или вытаптывание требуют происхождения?",Следы не должны фабриковать людей или события.,,claim:population-river-work;claim:residual-traces-animal-trace-types;claim:residual-traces-animal-trace-weather-decay;claim:place-outdoors-shore-working-edge-composition;claim:place-outdoors-microterrain-patches;claim:reconstructed-place-work-vegetation-can-snag-flexible-lines-or-loads,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=riverbank].facets[facet=shore_use_and_marks],B,candidate
pff_riverbank__shore_hazards,pf_riverbank,shore_hazards,4,facet_risks_upkeep,supported,4,"Какие риски: обвал, трясина у кромки, холод, течение, пиявки, лёд — зависят от конкретных условий? | Какие средства: шест, лодка, обувь, помощь — меняют попытку без гарантии успеха?",Exact checks принадлежат mechanics owner.,,claim:research-freeze-thaw-can-loosen-consolidated-sediment-for-erosion;claim:candidate-v2-ice-or-snow-can-be-a-slip-hazard;claim:place-outdoors-shore-working-edge-composition;claim:place-outdoors-microterrain-patches,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=riverbank].facets[facet=shore_hazards],B,candidate
pff_river_channel__flow_depth_and_ice,pf_river_channel,flow_depth_and_ice,1,facet_ground,supported,2,"Какие течение, глубина, перекаты, заторы, береговые завихрения и лёд нужны для попыток пересечения? | Как сезон, ветер, дождь и таяние меняют воду в пределах суток?",Не давать точные гидрологические числа без authoritative data.,,claim:river-flow-affects-sediment-transport-deposition;claim:foundations-earth2-11-river-ice-jam-flow-obstruction,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=river_channel].facets[facet=flow_depth_and_ice],B,candidate
pff_river_channel__watercraft_and_use,pf_river_channel,watercraft_and_use,2,facet_use_people,supported,4,"Какие лодки, вёсла, шесты, сети, грузы и навыки уместны как means, а не обязательные объекты? | Как различаются переправа, лов, перевозка, разведка и спасение?",Наличие плавсредства должно быть materialized причинно.,,claim:population-river-work;claim:river-landing-category;claim:place-outdoors-shore-working-edge-composition;claim:place-outdoors-microterrain-patches,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=river_channel].facets[facet=watercraft_and_use],B,candidate
pff_river_channel__water_signals,pf_river_channel,water_signals,3,facet_senses_traces,supported,5,"Какие цвет воды, шум, дрейф, туман, птицы и мусор подсказывают условия наблюдателю? | Какие следы работы сохраняются или уносятся течением?",Наблюдение не заменяет проверку реального состояния.,,claim:river-flow-affects-sediment-transport-deposition;claim:research-flood-can-leave-high-water-mark-types;claim:place-outdoors-shore-working-edge-composition;claim:place-outdoors-activity-sensory-pulses;claim:place-outdoors-clearing-and-trace-renewal,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=river_channel].facets[facet=water_signals],B,candidate
pff_river_channel__channel_danger,pf_river_channel,channel_danger,4,facet_risks_upkeep,supported,2,"Какие опасности: переохлаждение, опрокидывание, льдины, гроза, потеря груза — нужны для реалистичного partial result? | Какая upkeep судна и сезонная осторожность меняют риск?",Не симулировать навигацию как фиксированный маршрут.,,claim:foundations-earth2-11-river-ice-jam-flow-obstruction;claim:residual-nature-ice-current-thin-areas,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=river_channel].facets[facet=channel_danger],B,candidate
pff_floodplain_meadow__wet_ground_and_growth,pf_floodplain_meadow,wet_ground_and_growth,1,facet_ground,supported,3,"Какие наносы, влажные ложбины, трава, кусты и кочки меняют путь и сбор? | Как половодье, сенокос, засуха и утренний иней меняют поверхность?",Не приписывать конкретные растения без контекста.,,claim:medieval-novgorod-landscape-attests-volkhov-ilmen-woodland-meadow-context;claim:research-flood-can-leave-high-water-mark-types;claim:place-outdoors-microterrain-patches,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=floodplain_meadow].facets[facet=wet_ground_and_growth],B,candidate
pff_floodplain_meadow__grazing_and_wildlife,pf_floodplain_meadow,grazing_and_wildlife,2,facet_use_people,supported,2,"Какие выпас, птицы, насекомые, мелкие звери и водные следы могут пересекаться? | Как человек с косой, пастух, ребёнок и путник пользуются разными частями луга?",Не создавать стадо или охотничью цель из вопросника.,,claim:domestic-animal-context;claim:household-scythe-cutting,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=floodplain_meadow].facets[facet=grazing_and_wildlife],B,candidate
pff_floodplain_meadow__sight_sound_and_traces,pf_floodplain_meadow,sight_sound_and_traces,3,facet_senses_traces,partial,3,"Как открытый горизонт, ветер в траве, комары, запах сырости и дальние звуки меняют восприятие? | Какие тропы, покос, помёт, волочение и следы воды остаются?",Следы требуют различимой давности и причины.,"Связь открытого луга с ветром, звуком, запахом сырости и сохранностью человеческих следов.",claim:research-flood-can-leave-high-water-mark-types;claim:residual-traces-animal-trace-weather-decay;claim:place-outdoors-clearing-and-trace-renewal,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=floodplain_meadow].facets[facet=sight_sound_and_traces],B,candidate
pff_floodplain_meadow__floodplain_risk,pf_floodplain_meadow,floodplain_risk,4,facet_risks_upkeep,supported,2,"Какие скрытые ямы, высокая вода, клещи, мокрая одежда и потеря ориентира актуальны? | Какие сезонные способы ухода: покос, выпас, прокладка тропы — меняют среду?",Не считать уход постоянным без actor/process.,,claim:research-flood-can-leave-high-water-mark-types;claim:household-scythe-cutting,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=floodplain_meadow].facets[facet=floodplain_risk],B,candidate
pff_lake_shore__shallows_and_bottom,pf_lake_shore,shallows_and_bottom,1,facet_ground,partial,2,"Какие тростник, ил, песок, камень и перепад глубины определяют вход в воду и лодочный подход? | Как ветер, сезонный уровень и лёд меняют кромку?","Конкретные тростник, дно, глубина, уровень и доступ принадлежат состоянию сцены; не считать каждое озеро одинаковым.",Связь волнения и сезонного уровня воды с пригодностью кромки для подхода.,claim:common-reed-rhizome-produces-stems-in-wetland-habitat;claim:candidate-v2-ice-strength-depends-on-physical-conditions,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=lake_shore].facets[facet=shallows_and_bottom],B,candidate
pff_lake_shore__shore_ecology,pf_lake_shore,shore_ecology,2,facet_use_people,partial,5,"Какие водоплавающие птицы, рыба, насекомые, растения и звериные водопои могут быть замечены? | Как рассвет, сумерки, холод и цветение меняют звук и доступность?",Конкретная ecology и доступность принадлежат состоянию сцены; не давать добычу без checks/source.,Связь рассвета и сумерек с наблюдаемостью и звуком прибрежной фауны.,claim:fauna-mallard-wetland-diet;claim:water-temperature-affects-aquatic-organism-range;claim:fauna-animal-partial-migration;claim:place-outdoors-shore-working-edge-composition;claim:place-outdoors-microterrain-patches,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=lake_shore].facets[facet=shore_ecology],B,candidate
pff_lake_shore__quiet_water_use,pf_lake_shore,quiet_water_use,3,facet_senses_traces,supported,5,"Какие лов, забор воды, стирка, стоянка, сбор камыша и обход берега требуют разных means? | Какие следы сетей, костра, причала или вытаптывания могут сохраняться?",Не создавать постоянную стоянку без causal basis.,,claim:population-river-work;claim:place-outdoors-shore-working-edge-composition;claim:place-outdoors-microterrain-patches;claim:reconstructed-place-work-vegetation-can-snag-flexible-lines-or-loads;claim:place-outdoors-clearing-and-trace-renewal,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=lake_shore].facets[facet=quiet_water_use],B,candidate
pff_lake_shore__lake_hazards,pf_lake_shore,lake_hazards,4,facet_risks_upkeep,supported,2,"Какие туман, холодная вода, тонкий лёд, глубина и вязкий ил опасны разным людям? | Какая сезонная maintenance лодок, троп и берега нужна?",Риск зависит от фактической погоды.,,claim:residual-nature-ice-current-thin-areas;claim:candidate-v2-ice-strength-depends-on-physical-conditions,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=lake_shore].facets[facet=lake_hazards],B,candidate
