pf_id,wk_family_ref,name_ru,name_en,pf_kind,description_en,composes_with,layers_applicable,layers_not_applicable,layers_note,facet_ground,facet_use_people,facet_senses_traces,facet_risks_upkeep,facet_count,wk_claim_ref_count,wk_coverage,landscape_template_refs,land_use_template_refs,place_template_refs,water_body_template_refs,route_template_refs,template_refs_not_in_novgorod_candidate,templates_not_applicable,v6_g4_location_types,spatial_v3_scene_template_refs,master_location_archetypes,region_id,universal,source_refs,confidence,status,notes
pf_floodplain_meadow,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=floodplain_meadow],Пойменный луг,Floodplain meadow,natural_open,Low riverside grassland periodically shaped by water.,pf_riverbank;pf_hay_meadow;pf_marshy_stream;pf_field_margin,surface;relief;water_body;shrub_layer;ground_cover;riparian_vegetation;natural_materials,bank_structure;tree_layer,,"wet_ground_and_growth[3,supported]","grazing_and_wildlife[2,supported]","sight_sound_and_traces[3,partial]","floodplain_risk[2,supported]",4,10,supported 3; partial 1,lt_alluvial_floodplain;lt_floodplain_wet_grassland;lt_wet_meadow,lu_hay_meadow_cutting;lu_common_pasture,,wb_floodwater;wb_floodplain_lake;wb_oxbow_lake;wb_seasonal_pool,rt_path;rt_offroad_crossing,,,,stfv3__g5_seasonal_route_hazard_v1@1;stfv3__g5_wetland_flood_v1@1,,,true,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=floodplain_meadow];infra/world-base/*_templates.seed.json;pr98:data/world-catalogs/novgorod/regional-environment/candidates/novgorod-1230-1250-v1/candidate.json;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/pf-authoring.json#families.floodplain_meadow,C,candidate,
pf_lake_shore,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=lake_shore],Озёрный берег,Lake shore,water_edge,Still-water shore with shallow margins and local use.,pf_marshy_stream;pf_forest_edge;pf_fishing_camp;pf_winter_ice_crossing,surface;relief;water_body;bank_structure;tree_layer;shrub_layer;ground_cover;riparian_vegetation;natural_materials,,,"shallows_and_bottom[2,partial]","shore_ecology[5,partial]","quiet_water_use[5,supported]","lake_hazards[2,supported]",4,14,supported 2; partial 2,lt_sandy_lake_shore;lt_rocky_lake_shore;lt_reed_lake_shore;lt_marsh_lake_margin,lu_inland_capture_fishing;lu_reed_sedge_harvest,pt_fishing_station;pt_boat_landing,wb_small_fresh_lake;wb_large_fresh_lake;wb_floodplain_lake,rt_lake_route;rt_path,,,shore_approach,,riverbank,,true,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=lake_shore];infra/world-base/*_templates.seed.json;pr98:data/world-catalogs/novgorod/regional-environment/candidates/novgorod-1230-1250-v1/candidate.json;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/pf-authoring.json#families.lake_shore,C,candidate,
pf_arable_field,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=arable_field],"Пашня, нива",Arable field,agrarian,Worked open ground whose condition follows agricultural cycle.,pf_field_margin;pf_village_lane;pf_hay_meadow;pf_peasant_homestead,surface;relief;ground_cover;natural_materials,water_body;bank_structure;tree_layer;shrub_layer;riparian_vegetation,,"soil_crop_and_tools[4,supported]","labor_and_animals[3,supported]","exposure_and_marks[2,partial]","seasonal_pressure[1,partial]",4,10,supported 2; partial 2,lt_dry_meadow;lt_mesic_meadow;lt_gentle_hills;lt_alluvial_floodplain,lu_rainfed_arable;lu_fallow_rotation;lu_slash_burn_cultivation;lu_fiber_crop_plot,,,rt_cart_track,,,field_edge;field_road,,field,,true,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=arable_field];infra/world-base/*_templates.seed.json;pr98:data/world-catalogs/novgorod/regional-environment/candidates/novgorod-1230-1250-v1/candidate.json;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/pf-authoring.json#families.arable_field,C,candidate,
pf_hay_meadow,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=hay_meadow],Сенокосный луг,Hay meadow,agrarian,"Managed grassland for cutting, drying and carrying fodder.",pf_floodplain_meadow;pf_village_lane;pf_peasant_homestead;pf_field_margin,surface;relief;shrub_layer;ground_cover;natural_materials,water_body;bank_structure;tree_layer;riparian_vegetation,,"grass_cut_and_drying[6,supported]","workers_means_and_carrying[3,supported]","meadow_signals[3,partial]","fodder_risk_and_storage_link[2,partial]",4,14,supported 2; partial 2,lt_mesic_meadow;lt_wet_meadow;lt_floodplain_wet_grassland;lt_dry_meadow;lt_scrub_meadow,lu_hay_meadow_cutting,,,rt_cart_track;rt_path,,,gardens_hay_edge,,,,true,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=hay_meadow];infra/world-base/*_templates.seed.json;pr98:data/world-catalogs/novgorod/regional-environment/candidates/novgorod-1230-1250-v1/candidate.json;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/pf-authoring.json#families.hay_meadow,C,candidate,
pf_broadleaf_woodland,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=broadleaf_woodland],"Широколиственный лес (дубравный, липовый участок)",Broadleaf woodland,natural_forest,"Deciduous woodland with layered ground, canopy and seasonal change.",pf_forest_edge;pf_mixed_woodland;pf_hunting_ground;pf_forest_track,surface;relief;tree_layer;shrub_layer;ground_cover;natural_materials,water_body;bank_structure;riparian_vegetation,,"trees_ground_and_passage[4,supported]","forest_life_and_material[3,supported]","woodland_perception[4,partial]","woodland_hazards_and_care[4,partial]",4,15,supported 2; partial 2,lt_temperate_broadleaf_mixed_forest,lu_timber_felling;lu_fuelwood_gathering;lu_wild_food_gathering;lu_bark_bast_collection;lu_tree_beekeeping_bortnichestvo;lu_hunting_ground;lu_wood_pasture_silvopasture,,,rt_forest_track,,,,,forest,,true,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=broadleaf_woodland];infra/world-base/*_templates.seed.json;pr98:data/world-catalogs/novgorod/regional-environment/candidates/novgorod-1230-1250-v1/candidate.json;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/pf-authoring.json#families.broadleaf_woodland,C,candidate,In the Novgorod land broadleaf stands are local patches inside mixed/southern-taiga forest; WK facets are partial.
pf_conifer_woodland,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=conifer_woodland],"Хвойный лес (бор, ельник)",Conifer woodland,natural_forest,Needle-leaved woodland with resinous cover and year-round shade.,pf_mixed_woodland;pf_bog;pf_forest_track;pf_winter_ice_crossing,surface;relief;tree_layer;shrub_layer;ground_cover;natural_materials,water_body;bank_structure;riparian_vegetation,,"needles_roots_and_snow[3,partial]","shelter_material_and_life[4,partial]","shade_sound_and_tracks[2,partial]","coniferous_risks[3,partial]",4,12,supported 0; partial 4,lt_temperate_coniferous_forest;lt_boreal_taiga_coniferous_forest;lt_dense_coniferous_forest,lu_timber_felling;lu_resin_tar_pitch_production;lu_charcoal_burning;lu_fuelwood_gathering;lu_hunting_ground;lu_fur_trapping_ground;lu_bark_bast_collection;lu_wild_food_gathering,pt_forest_work_camp;pt_hunting_camp;pt_wintering_hut,,rt_forest_track,,,,,forest,,true,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=conifer_woodland];infra/world-base/*_templates.seed.json;pr98:data/world-catalogs/novgorod/regional-environment/candidates/novgorod-1230-1250-v1/candidate.json;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/pf-authoring.json#families.conifer_woodland,C,candidate,
pf_mixed_woodland,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=mixed_woodland],Смешанный лес,Mixed woodland,natural_forest,Transition woodland where tree cover and ground conditions vary over short distances.,pf_broadleaf_woodland;pf_conifer_woodland;pf_forest_edge;pf_marshy_stream,surface;relief;water_body;tree_layer;shrub_layer;ground_cover;natural_materials,bank_structure;riparian_vegetation,,"patchwork_ground[7,supported]","foraging_and_movement[6,supported]","changing_signals[5,partial]","transition_hazards[4,partial]",4,22,supported 2; partial 2,lt_boreal_mixed_forest;lt_temperate_broadleaf_mixed_forest;lt_wet_lowland_forest,lu_timber_felling;lu_fuelwood_gathering;lu_wild_food_gathering;lu_bark_bast_collection;lu_tree_beekeeping_bortnichestvo;lu_hunting_ground;lu_slash_burn_cultivation,pt_forest_work_camp;pt_hunting_camp,wb_brook;wb_seep,rt_forest_track,,,,stfv3__g5_exploration_concealment_v1@1;stfv3__g5_resource_v1@1,forest,,true,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=mixed_woodland];infra/world-base/*_templates.seed.json;pr98:data/world-catalogs/novgorod/regional-environment/candidates/novgorod-1230-1250-v1/candidate.json;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/pf-authoring.json#families.mixed_woodland,C,candidate,
pf_forest_edge,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=forest_edge],"Опушка, лесной край",Forest edge,natural_edge,Boundary between woodland and open worked or watery land.,pf_arable_field;pf_hay_meadow;pf_riverbank;pf_forest_track;pf_village_lane,surface;relief;tree_layer;shrub_layer;ground_cover;natural_materials,water_body;bank_structure;riparian_vegetation,,"edge_structure[4,partial]","meeting_of_uses[5,partial]","visibility_and_sign[6,partial]","edge_risks[5,partial]",4,20,supported 0; partial 4,lt_sparse_forest_woodland;lt_scrub_meadow;lt_boreal_mixed_forest,lu_wild_food_gathering;lu_fuelwood_gathering;lu_wood_pasture_silvopasture;lu_hunting_ground,,,rt_path;rt_forest_track,lt_sparse_forest_woodland,,field_forest_exit;forest_exit;forest_or_river_exit,stfv3__g5_boundary_access_v1@1;stfv3__g5_exploration_concealment_v1@1;stfv3__g5_observation_orientation_v1@1;stfv3__g5_shelter_rest_v1@1,forest,,true,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=forest_edge];infra/world-base/*_templates.seed.json;pr98:data/world-catalogs/novgorod/regional-environment/candidates/novgorod-1230-1250-v1/candidate.json;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/pf-authoring.json#families.forest_edge,C,candidate,
pf_bog,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=bog],"Болото (мох, торф)",Bog,natural_wetland,Peaty wetland with unstable footing and slow water.,pf_marshy_stream;pf_conifer_woodland;pf_lake_shore;pf_forest_track,surface;relief;water_body;tree_layer;shrub_layer;ground_cover;natural_materials,bank_structure;riparian_vegetation,,"peat_water_and_footing[4,partial]","wetland_life_and_material[4,partial]","bog_perception[3,partial]","wetland_hazards_and_routes[3,partial]",4,14,supported 0; partial 4,lt_raised_bog;lt_fen;lt_peat_swamp_forest;lt_wooded_swamp;lt_shrub_swamp,lu_bog_iron_extraction;lu_wild_food_gathering;lu_hunting_ground;lu_peat_cutting,,wb_bog_pool;wb_marsh_pool,rt_wetland_causeway;rt_offroad_crossing,lu_peat_cutting,,,stfv3__g5_resource_hazard_v1@1;stfv3__g5_wetland_flood_v1@1,,,true,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=bog];infra/world-base/*_templates.seed.json;pr98:data/world-catalogs/novgorod/regional-environment/candidates/novgorod-1230-1250-v1/candidate.json;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/pf-authoring.json#families.bog,C,candidate,lu_peat_cutting is a universal seed row not promoted in the Novgorod regional-environment candidate; regional use in 1230 unconfirmed.
pf_marshy_stream,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=marshy_stream],"Заболоченный ручей, топкая низина у воды",Marshy stream,natural_wetland,"Narrow wet drainage corridor joining woods, meadow or lake.",pf_bog;pf_floodplain_meadow;pf_lake_shore;pf_mixed_woodland,surface;relief;water_body;bank_structure;tree_layer;shrub_layer;ground_cover;riparian_vegetation;natural_materials,,,"channel_and_margins[3,partial]","water_edge_use[5,partial]","small_corridor_signals[3,partial]","stream_risk_and_care[5,partial]",4,16,supported 0; partial 4,lt_freshwater_marsh;lt_seasonal_sedge_marsh;lt_reedbed_marsh;lt_wet_lowland_forest,lu_reed_sedge_harvest;lu_inland_capture_fishing,,wb_brook;wb_marsh_channel;wb_seep;wb_backwater,rt_path;rt_wetland_causeway,,,water_drain;water_place;water_spot;well_or_stream,stfv3__g5_exploration_concealment_v1@1;stfv3__g5_resource_hazard_v1@1,,,true,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=marshy_stream];infra/world-base/*_templates.seed.json;pr98:data/world-catalogs/novgorod/regional-environment/candidates/novgorod-1230-1250-v1/candidate.json;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/pf-authoring.json#families.marshy_stream,C,candidate,
pf_village_lane,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=village_lane],"Деревенская улица, проулок",Village lane,settlement_space,"Rural lane connecting yards, fields and road.",pf_peasant_homestead;pf_road;pf_arable_field;pf_bridge_crossing,surface;relief;ground_cover;natural_materials,water_body;bank_structure;tree_layer;shrub_layer;riparian_vegetation,,"rut_and_verge[5,partial]","daily_traffic[7,supported]","lane_senses_and_marks[6,partial]","lane_hazards_upkeep[5,partial]",4,23,supported 1; partial 3,,,pt_hamlet;pt_village;pt_nucleated_village;pt_rural_church_center;pt_pogost_center,,rt_local_road;rt_cart_track,,,approach_road;approach_track;back_path;entry_track;estate_approach;field_road;main_lane;village_passage;well_or_bank;well_or_stream,stfv3__g5_dry_route_v1@1,,,true,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=village_lane];infra/world-base/*_templates.seed.json;pr98:data/world-catalogs/novgorod/regional-environment/candidates/novgorod-1230-1250-v1/candidate.json;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/pf-authoring.json#families.village_lane,C,candidate,
pf_peasant_homestead,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=peasant_homestead],Крестьянская усадьба,Peasant homestead,settlement_space,"Rural domestic plot as connected dwelling, work and animal space.",pf_village_lane;pf_outbuildings;pf_cellar_granary;pf_orchard_garden;pf_pasture,surface;relief;shrub_layer;ground_cover;natural_materials,water_body;bank_structure;tree_layer;riparian_vegetation,,"plot_and_utility[7,supported]","household_cycles[8,supported]","domestic_signals[7,supported]","homestead_risk_and_care[6,partial]",4,28,supported 3; partial 1,lt_dry_meadow;lt_mesic_meadow;lt_gentle_hills,lu_kitchen_garden;lu_common_pasture,pt_isolated_farmstead;pt_hamlet;pt_village;pt_nucleated_village;pt_dispersed_settlement_cluster,,,,,cattle_corner;common_yards;dwelling_yard;edge_poor_yards;elder_yard;household_yards;poor_edge_yards;senior_yard;yard_gate,stfv3__g5_habitation_v1@1,construction_site;refuse_area;yard,,true,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=peasant_homestead];infra/world-base/*_templates.seed.json;pr98:data/world-catalogs/novgorod/regional-environment/candidates/novgorod-1230-1250-v1/candidate.json;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/pf-authoring.json#families.peasant_homestead,C,candidate,
