g4_location_type,title_ru_example,scale_role,v6_row_count,v6_status_counts,place_template_ids,pf_ids,mapping_status,note,source_refs,confidence,status
cattle_waiting,площадка для скота и возов,"скот, возы, затор",108,draft:108,pt_ford_place:108,pf_riverbank;pf_pasture,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=cattle_waiting,C,candidate
cattle_yard,скотные загоны и хлевы,"скот, запах, шум, хозяйственные работы",203,draft:200;usable_with_caution:3,pt_village:198;pt_monastery:5,pf_outbuildings;pf_pasture,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=cattle_yard,C,candidate
cells,кельи и жилая сторона,жилая зона братии,5,usable_with_caution:3;draft:2,pt_monastery:5,pf_monastery_yard;pf_dwelling_interior,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=cells,C,candidate
cemetery_edge,кладбищенская сторона,"память, запреты, скрытность ночью",31,draft:31,pt_pogost_center:21;pt_rural_church_center:10,pf_churchyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=cemetery_edge,C,candidate
chapel_or_cross,молельный или крестовый угол,"клятва, обряд, статус",6,usable_with_caution:4;draft:2,pt_administrative_court:6,pf_churchyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=chapel_or_cross,C,candidate
church,церковь,"культовое ядро, клятва, убежище",36,draft:33;usable_with_caution:3,pt_pogost_center:21;pt_rural_church_center:10;pt_monastery:5,pf_church_interior;pf_churchyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=church,C,candidate
church_courts,церковные дворы и приходские зоны,"культ, грамотность, убежище",1,usable_with_caution:1,pt_city_major_center:1,pf_churchyard;pf_town_courtyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=church_courts,C,candidate
church_gate,ворота церковного двора,граница культа и порядка,31,draft:31,pt_pogost_center:21;pt_rural_church_center:10,pf_churchyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=church_gate,C,candidate
church_yard,церковный двор и место схода,"культ, сход, слухи, локальная власть",200,draft:198;usable_with_caution:2,pt_village:198;pt_town:2,pf_churchyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=church_yard,C,candidate
churchyard,церковный двор,"сход, свидетели, слухи",36,draft:33;usable_with_caution:3,pt_pogost_center:21;pt_rural_church_center:10;pt_monastery:5,pf_churchyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=churchyard,C,candidate
city_gate_spine,городские въезды и мостовые подходы,каркас входов в город,1,usable_with_caution:1,pt_city_major_center:1,pf_town_street;pf_town_wall_edge,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=city_gate_spine,C,candidate
clerks_corner,писцовый/счётный угол,"память, записи, споры",6,usable_with_caution:4;draft:2,pt_administrative_court:6,pf_town_courtyard;pf_dwelling_interior,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=clerks_corner,C,candidate
common_yards,ряд обычных дворов,основная жилая зона с бытовыми NPC,198,draft:198,pt_village:198,pf_peasant_homestead;pf_rural_yard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=common_yards,C,candidate
craft_quarters,ремесленные улицы и слободы,"мастерские, шум, заказы",1,usable_with_caution:1,pt_city_major_center:1,pf_town_street;pf_ordinary_workshop,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=craft_quarters,C,candidate
craft_repair_corner,ремонтный угол,"оружие, телеги, инструмент",5,usable_with_caution:1;draft:4,pt_hillfort_gorodishche:5,pf_ordinary_workshop,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=craft_repair_corner,C,candidate
craft_street,ремесленная улица,"мастерские, шум, заказы",2,usable_with_caution:2,pt_town:2,pf_town_street;pf_ordinary_workshop,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=craft_street,C,candidate
craft_yards,ремесленные дворы,мастерские и заказы,18,usable_with_caution:10;draft:8,pt_posad_suburb:18,pf_town_courtyard;pf_ordinary_workshop,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=craft_yards,C,candidate
crossing_center,место развилки,точка выбора направления,21,usable_with_caution:1;draft:20,pt_crossroads:21,pf_road,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=crossing_center,C,candidate
crossing_line,бродовая полоса,сама переправа,108,draft:108,pt_ford_place:108,pf_river_channel;pf_riverbank,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=crossing_line,C,candidate
dense_posad_yards,плотные посадские дворы,основная масса городского жилья,1,usable_with_caution:1,pt_city_major_center:1,pf_town_courtyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=dense_posad_yards,C,candidate
dense_yards,плотные посадские дворы,жильё и свидетели,18,usable_with_caution:10;draft:8,pt_posad_suburb:18,pf_town_courtyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=dense_yards,C,candidate
detinets_bishop_core,детинец и владычное ядро,"власть, культ, охрана",1,usable_with_caution:1,pt_city_major_center:1,pf_churchyard;pf_town_courtyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=detinets_bishop_core,C,candidate
drying_racks,сушила и жерди,"рыба, запах, хранение",11,draft:11,pt_fishing_station:7;pt_fish_weir_site:4,pf_fishing_camp,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=drying_racks,C,candidate
dwelling_yard,жилой двор и сени,"жилая сцена, хозяева, доступ",18,draft:18,pt_isolated_farmstead:18,pf_peasant_homestead,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=dwelling_yard,C,candidate
east_west_road,поперечная дорога,вторая дорожная ось,21,usable_with_caution:1;draft:20,pt_crossroads:21,pf_road,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=east_west_road,C,candidate
edge_poor_yards,крайние и бедные дворы,"окраинная жилая зона, риск слухов и бедности",198,draft:198,pt_village:198,pf_peasant_homestead,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=edge_poor_yards,C,candidate
elder_yard,старший двор,"зажиточный/старший двор, переговоры и ответственность",198,draft:198,pt_village:198,pf_peasant_homestead,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=elder_yard,C,candidate
entry_street,входная посадская улица,вход и уличный транзит,18,usable_with_caution:10;draft:8,pt_posad_suburb:18,pf_town_street,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=entry_street,C,candidate
entry_track,въездная тропа деревни,вход/выход на дорогу или берег,144,draft:144,pt_hamlet:144,pf_village_lane,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=entry_track,C,candidate
estate_approach,подъезд к усадебному двору,вход и социальная граница,2,draft:2,pt_estate_center:2,pf_road;pf_village_lane,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=estate_approach,C,candidate
ferry_mooring,место причала перевозной лодки,посадка и выгрузка,17,draft:17,pt_ferry_place:17,pf_ferry_landing,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=ferry_mooring,C,candidate
ferryman_shed,сарай или изба перевозчика,"контроль доступа, плата",17,draft:17,pt_ferry_place:17,pf_ferry_landing;pf_outbuildings,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=ferryman_shed,C,candidate
field_edge,выход к пашне и сенокосу,"поля, сезонная работа, дальний обзор",198,draft:198,pt_village:198,pf_field_margin;pf_arable_field,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=field_edge,C,candidate
field_forest_exit,"выход к полю, покосу или лесу",выход и обходной маршрут,144,draft:144,pt_hamlet:144,pf_field_margin;pf_forest_edge,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=field_forest_exit,C,candidate
field_road,выезд к полям и покосам,хозяйственный транзит,2,draft:2,pt_estate_center:2,pf_village_lane;pf_arable_field,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=field_road,C,candidate
ford_slope,спуск к воде,"грязь, следы, риск падения",108,draft:108,pt_ford_place:108,pf_riverbank,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=ford_slope,C,candidate
forest_detour,лесной или луговой обход,скрытый/обходной путь,21,usable_with_caution:1;draft:20,pt_crossroads:21,pf_forest_track,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=forest_detour,C,candidate
forest_exit,лесной или луговой выход,"обход, промысел, скрытность",18,draft:18,pt_isolated_farmstead:18,pf_forest_edge;pf_forest_track,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=forest_exit,C,candidate
forest_or_river_exit,"выход к лесу, реке или просёлку","обходной выход, тропы, промыслы",198,draft:198,pt_village:198,pf_forest_edge;pf_riverbank,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=forest_or_river_exit,C,candidate
front_yard,передний двор,"ожидание, свидетели",6,usable_with_caution:4;draft:2,pt_administrative_court:6,pf_town_courtyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=front_yard,C,candidate
fuel_yard,дровяной двор,"топливо, труд, пожар",1,usable_with_caution:1,pt_saltworks:1,pf_outbuildings,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=fuel_yard,C,candidate
garden_backyards,огороды и задние дворы,"задний ход, пища",18,usable_with_caution:10;draft:8,pt_posad_suburb:18,pf_orchard_garden,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=garden_backyards,C,candidate
garden_orchard,сад и огороды,"пища, тихая зона",2,draft:2,pt_estate_center:2,pf_orchard_garden,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=garden_orchard,C,candidate
garden_patch,огород и малый покос,"еда, сезонная работа",18,draft:18,pt_isolated_farmstead:18,pf_orchard_garden,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=garden_patch,C,candidate
garden_strip,огородная полоса,"еда, скрытность, женская/детская работа",198,draft:198,pt_village:198,pf_orchard_garden,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=garden_strip,C,candidate
gardens,огороды и сад,"пища, тихая зона, скрытность",5,usable_with_caution:3;draft:2,pt_monastery:5,pf_orchard_garden;pf_monastery_yard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=gardens,C,candidate
gardens_and_hemp,огороды и конопляники,огородная хозяйственная зона,144,draft:144,pt_hamlet:144,pf_orchard_garden,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=gardens_and_hemp,C,candidate
gardens_hay_edge,"огороды, гумна и покосный край",пищевой пояс города,2,usable_with_caution:2,pt_town:2,pf_orchard_garden;pf_hay_meadow,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=gardens_hay_edge,C,candidate
gate_gap,проём ворот или проход,контроль входа,5,usable_with_caution:1;draft:4,pt_hillfort_gorodishche:5,pf_town_wall_edge,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=gate_gap,C,candidate
gate_yard,ворота и передний двор,"доступ, свидетели",2,draft:2,pt_estate_center:2,pf_town_courtyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=gate_yard,C,candidate
guard_place,сторожевое место,"стража, оружие, риск",6,usable_with_caution:4;draft:2,pt_administrative_court:6,pf_town_courtyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=guard_place,C,candidate
guest_waiting,место просителей и гостей,очередь и слухи,6,usable_with_caution:4;draft:2,pt_administrative_court:6,pf_town_courtyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=guest_waiting,C,candidate
guest_yard,гостевой двор приезжих,"ночлег, пришлые, слухи",71,draft:60;usable_with_caution:11,pt_market_place:33;pt_pogost_center:21;pt_rural_church_center:10;pt_monastery:5;pt_town:2,pf_town_courtyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=guest_yard,C,candidate
hidden_lane_network,малые переулки и задние проходы,"обходы, скрытность, преследование",1,usable_with_caution:1,pt_city_major_center:1,pf_town_street,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=hidden_lane_network,C,candidate
hidden_passage,задний проход между дворами,"обход, скрытность",18,usable_with_caution:10;draft:8,pt_posad_suburb:18,pf_town_street,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=hidden_passage,C,candidate
holy_gate,монастырские ворота,граница доступа и просьбы,5,usable_with_caution:3;draft:2,pt_monastery:5,pf_monastery_yard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=holy_gate,C,candidate
household_yards,обычные крестьянские дворы,жилая зона нескольких дворов,144,draft:144,pt_hamlet:144,pf_peasant_homestead,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=household_yards,C,candidate
