hl_id,kind,name_ru,facts_summary,period_care_practice_note,period,fact_count,source_refs,confidence,status
hlb_011,other,лечение ран,"technique: Раны омывали водой (плач Ярославны) | price: Русская Правда: за рану мечом не насмерть — 3 гривны продажи и гривна пострадавшему «за рану, оже лечебное» (плата лечцу)",,c1230,2,book:728823 §Медицина Древней Руси > Глава I. Медицина Древней Руси (X–XIII вв.) ¶154;book:728823 §Медицина Древней Руси > Глава I. Медицина Древней Руси (X–XIII вв.) ¶157,B,candidate
hlb_012,caregiver_role,резалник (хирург),"description: Инструменты резалников: «ножь врачевьский», «бричь» (бритва), «кроило», щипцы, иглы; кровопускательные «железьце кровопустьное» | use: Основная хирургия — малая: лечение ран и ожогов, удаление зубов, кровопускание; также ампутации, переломы, трепанации",,c1230,2,book:728823 §Медицина Древней Руси > Глава I. Медицина Древней Руси (X–XIII вв.) ¶160;book:728823 §Медицина Древней Руси > Глава I. Медицина Древней Руси (X–XIII вв.) ¶163,B,candidate
hlb_013,injury,трепанация черепа,event: Черепа X–XI вв. со следами прижизненной трепанации после рубленых ран (Белая Вежа),,medieval_general,1,book:728823 §Медицина Древней Руси > Глава I. Медицина Древней Руси (X–XIII вв.) ¶164,B,candidate
hlb_014,care_practice,уход за ранеными,"social_rule: «Маргарит» XII–XIII вв.: врач ищет раненых после боя, поит зелием, перевязывает, ведёт до «врачебьницы»",,c1230,1,book:728823 §Медицина Древней Руси > Глава I. Медицина Древней Руси (X–XIII вв.) ¶165,B,candidate
hlb_015,disease,огневица (лихорадка),description: Больной юноша Никола «лежаще месяць 6 огнем великим жгом»; врачи не помогли,,medieval_general,1,book:728823 §Медицина Древней Руси > Глава I. Медицина Древней Руси (X–XIII вв.) ¶144,B,candidate
hlb_016,other,болезнь как наказание,"taboo_or_custom: Болезнь считалась наказанием за грехи, выздоровление — «прощением»",,c1230,1,book:728823 §Медицина Древней Руси > Глава I. Медицина Древней Руси (X–XIII вв.) ¶103,B,candidate
hlb_017,disease,"проказа, кожные болезни","technique: Алимпий Печерский лечил проказу и струпья «вапой» (вероятно, известь с маслом)",,medieval_general,1,book:728823 §Медицина Древней Руси > Глава I. Медицина Древней Руси (X–XIII вв.) ¶139,B,candidate
hlb_018,care_practice,уход за больными (княжеская милостыня),social_rule: Андрей Боголюбский в 1175 г. велел ежедневно возить по городу еду и питьё больным,,c1230,1,book:728823 §Медицина Древней Руси > Глава I. Медицина Древней Руси (X–XIII вв.) ¶107,B,candidate
hlb_019,epidemic,мор (эпидемия),event: Мор в Новгороде 1187 г.; в XIII в. основная причина массовой смертности по летописям — голод от неурожаев,,c1230,1,book:886616 §Введение «Мор» и борьба с ним в средневековой Руси ¶15,B,candidate
hlb_020,other,мор 1230 г.,event: В 1230 г. в Смоленске после мора сооружены четыре скудельницы с тысячами погребённых в каждой,,c1230,1,book:886616 §Введение «Мор» и борьба с ним в средневековой Руси ¶15,B,candidate
hlb_021,other,мор 1237 г.,event: Мор в Пскове и Изборске в 1237 г.,,c1230,1,book:886616 §Введение «Мор» и борьба с ним в средневековой Руси ¶15,B,candidate
hlb_022,other,скудельница,"description: Скудельницы — чрезвычайные массовые захоронения при эпидемиях и голодном море; в Новгороде известны с XIII в. | taboo_or_custom: Скудельницы рыли ночью, в основном за пределами городской застройки; санитарные задачи брали верх над обрядом | social_rule: При обычной смертности хоронили по обряду; при эпидемии или голоде санитарные задачи брали верх",,c1230,3,book:886616 §Введение «Мор» и борьба с ним в средневековой Руси ¶22;book:886616 §Введение «Мор» и борьба с ним в средневековой Руси ¶23,B,candidate
hlb_023,birth_and_bathhouse,баня,"description: ПВЛ: в Словенской земле деревянные бани, парятся вениками и обливаются студёной водой | dating: До 1089 г. бани только деревянные; первая каменная — 1089 г. | taboo_or_custom: Нельзя мыться ночью и громко говорить в бане | description: Бани на Руси деревянные, топились, вероятно, по-чёрному; веник — особенность | description: ПВЛ: у словен бани деревянные, натопят сильно, обливаются мытелью, хлещутся вениками, обливаются студёной водой",,c1230;ethnographic_late,5,"book:681899 §Баня — мыльня — мовница ¶458;book:681899 §Баня — мыльня — мовница ¶462;book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «И сотвори ему въ немъ 70 недугов»: здоровье и болезни ¶348;book:641342 §ПОВЕСТЬ ВРЕМЕННЫХ ЛЕТ > ПЕРЕВОД ¶832",B,candidate
hlb_024,birth_and_bathhouse,банник,"taboo_or_custom: Баня — место «нечистое»; банник под полком может удушить угаром, ошпарить; ему приносили хлеб, соль, веник",,ethnographic_late,1,book:681899 §Баня — мыльня — мовница ¶461,B,candidate
hlb_025,birth_and_bathhouse,роды в бане,"technique: Роженицы шли рожать в баню; пол устилали соломой, повитуха; мать с ребёнком жили в бане 3–7 дней",,ethnographic_late,1,book:681899 §Баня — мыльня — мовница ¶464,B,candidate
hlb_026,birth_and_bathhouse,повитуха,"technique: После родов повитуха сбрызгивала мать и ребёнка проточной водой, мать мылась и парила ребёнка веником",,ethnographic_late,1,book:681899 §Баня — мыльня — мовница ¶464,B,candidate
hlb_027,injury,охотничьи травмы,"event: Мономах: дважды разбитая голова, переломы рук и ног — в основном от охоты, а не боя",,c1230,1,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «Руси есть веселие пить»: досуг, пиры, пьянство, шахматы, чтение, охота ¶287",B,candidate
hlb_028,famine_and_hunger,голод,"description: Голод — следствие засухи, сырого года, заморозка; причина болезней и волнений; спутник — цинга | description: Низкая урожайность: засуха, сырой год, заморозок вели к истощению запасов",,c1230,2,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «И сотвори ему въ немъ 70 недугов»: здоровье и болезни ¶307",B,candidate
hlb_029,famine_and_hunger,худоба,taboo_or_custom: Худоба воспринималась как признак болезни и бедности; «поправиться» = выздороветь и набрать вес,,c1230,1,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «И сотвори ему въ немъ 70 недугов»: здоровье и болезни ¶308",B,candidate
hlb_030,famine_and_hunger,голод и холопство,"social_rule: Альтернативой зависимости (закупничество, самопродажа в холопы) часто был голод и смерть",,c1230,1,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «И сотвори ему въ немъ 70 недугов»: здоровье и болезни ¶309",B,candidate
hlb_031,epidemic,эпидемии,"name_form: Распространённые инфекции: сибирская язва («прищь горючий», «возуглие»), тиф («огневица»), оспа, чума",,c1230,1,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «И сотвори ему въ немъ 70 недугов»: здоровье и болезни ¶311",B,candidate
hlb_032,other,мор в Полоцке 1092 г.,event: Мор 1092 г. в Полоцке: «навьи» уязвляли выходивших; люди не смели выходить из хором; продано 4000 гробов,,medieval_general,1,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «И сотвори ему въ немъ 70 недугов»: здоровье и болезни ¶312",B,candidate
hlb_033,other,защита от заразы,"technique: Против инфекции — огонь и холод: вещи из очагов сжигали, дома умерших выстуживали",,c1230,1,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «И сотвори ему въ немъ 70 недугов»: здоровье и болезни ¶312",B,candidate
hlb_034,lifecycle_demography,продолжительность жизни,quantity: Продолжительность жизни в Древней Руси значительно ниже современной; дожившие до 60–70 лет — нечастое явление,,c1230,1,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «И сотвори ему въ немъ 70 недугов»: здоровье и болезни ¶313",B,candidate
hlb_035,disease,огненная и зимняя болезнь,"name_form: По «Поучению Моисея»: от жёлтой кручины — «огненная болезнь» (горячка), от зелёной — «зимняя» (лихорадка), от чёрной — смерть",,c1230,1,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «И сотвори ему въ немъ 70 недугов»: здоровье и болезни ¶352",B,candidate
hlb_036,disease,лихорадки (трясовицы),"name_form: Лихорадки — 12 дочерей Ирода: Ломиха, Огниха, Трясовица, Желтяница, Горчиха, Бессониха",,ethnographic_late,1,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «И сотвори ему въ немъ 70 недугов»: здоровье и болезни ¶324",B,candidate
hlb_037,other,болезнь князя Владимира Васильковича,"description: Гниение нижней губы и челюсти: 4 года, перегнила челюсть, видна гортань; 7 недель без пищи, кроме воды",,medieval_general,1,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «И сотвори ему въ немъ 70 недугов»: здоровье и болезни ¶321",B,candidate
hlb_038,folk_healing_practice,наузы и чародейки,"social_rule: Кирилл Ростовский: при болезни ищут «бабъ чародеиць, наузовъ»; церковь велит звать попов на «молитвы врачевныя»","historical practice only, not medical advice",c1230,1,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «И сотвори ему въ немъ 70 недугов»: здоровье и болезни ¶322",B,candidate
hlb_039,caregiver_role,летец (лечец),social_rule: Краткая Правда: за кровь и синяки — 3 гривны за обиду и «летцю мзда» — плата лекарю,,c1230,1,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «И сотвори ему въ немъ 70 недугов»: здоровье и болезни ¶331",B,candidate
hlb_040,other,кто лечит,"social_rule: Больные искали помощи у волхвов, у светских (часто иноземных) врачей, у монахов | social_rule: Услуги врачей стоили дорого; лекарства из минералов и растений, часто привозных",,c1230,2,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «И сотвори ему въ немъ 70 недугов»: здоровье и болезни ¶335;book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «И сотвори ему въ немъ 70 недугов»: здоровье и болезни ¶333",B,candidate
hlb_041,folk_healing_practice,знахарки,social_rule: К волхвам и «бабам богомерзким» обращались прежде всего женщины — ради здоровья детей,"historical practice only, not medical advice",c1230,1,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «И сотвори ему въ немъ 70 недугов»: здоровье и болезни ¶337",B,candidate
hlb_042,other,Вопрошание Кирика: дети к «варяжскому попу»,event: По «Вопрошанию Кирика» (Новгород XII в.) женщины носили младенцев на молитву к «варяжскому попу» — 6 недель епитимьи,,c1230,1,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «И сотвори ему въ немъ 70 недугов»: здоровье и болезни ¶338",B,candidate
hlb_043,disease,утин (боль в пояснице),"technique: Лечение утина: больного кладут на порог, знахарь «рубит утин» топором над поясницей",,ethnographic_late,1,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «И сотвори ему въ немъ 70 недугов»: здоровье и болезни ¶343",B,candidate
hlb_044,folk_healing_practice,заговор от зубной боли,"technique: Заговор: «Как земляника засыхает и завядает, так чтобы… зубы замирали»","historical practice only, not medical advice",ethnographic_late,1,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «И сотвори ему въ немъ 70 недугов»: здоровье и болезни ¶345",B,candidate
hlb_045,other,диета по месяцам,"taboo_or_custom: Изборник 1073 г.: в марте сладко ешь и пей, в апреле репы не ешь, в мае поросят не ешь",,c1230,1,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «И сотвори ему въ немъ 70 недугов»: здоровье и болезни ¶353",B,candidate
hlb_046,lifecycle_demography,городское население (палеопатология),"description: У горожан Руси — ниже рождаемость, чаще черепные травмы, артрозы, инфекции, болезни обмена (Бужилова)",,c1230,1,book:653683 §[notes] > 352 ¶758,B,candidate
hlb_047,animal_disease,конский мор,"event: ПВЛ 1042: в походе на емь пали кони, с ещё живых сдирали кожу — «мор на коней»",,medieval_general,1,book:641342 §ПОВЕСТЬ ВРЕМЕННЫХ ЛЕТ > ПЕРЕВОД ¶1073,A,candidate
hlb_048,injury,рана мечом,"price: Пространная Правда ст. 30: удар мечом не насмерть — 3 гривны, пострадавшему гривна «за рану же лечебное»",,c1230,1,book:641351 §РУССКАЯ ПРАВДА (ПРОСТРАННАЯ РЕДАКЦИЯ) > ОРИГИНАЛ ¶2656,A,candidate
hlb_049,injury,"побои (кровь, синяк)",social_rule: Краткая Правда ст. 2: окровавленный или с синяком не ищет свидетеля; 3 гривны за обиду и «летцю мъзда»,,c1230,1,book:641351 §РУССКАЯ ПРАВДА (КРАТКАЯ РЕДАКЦИЯ) > ОРИГИНАЛ ¶2526,A,candidate
hlb_050,lifecycle_childhood,детство: постриг,taboo_or_custom: В княжеской среде в 2–3 года — постриг; мог совпадать с посажением на коня,,c1230,1,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «Суть ли чада, то наказай их, и преклони от уности выя ихъ»: дети, стадии взросления, воспитание ¶144",B,candidate
hlb_051,lifecycle_childhood,детство: посажение на коня,"taboo_or_custom: Постриг мог совпадать с посажением на коня (Юрий Всеволодович, 1192 г.)",,c1230,1,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «Суть ли чада, то наказай их, и преклони от уности выя ихъ»: дети, стадии взросления, воспитание ¶145",B,candidate
hlb_052,lifecycle_childhood,кормильцы и кормилицы,"social_rule: Воспитание — общественная функция: «дядьки», «кормильцы», «кормилицы»; по Русской Правде раба-кормилица защищена штрафом 12 гривен",,c1230,1,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «Суть ли чада, то наказай их, и преклони от уности выя ихъ»: дети, стадии взросления, воспитание ¶163",B,candidate
hlb_053,lifecycle_childhood,взросление,social_rule: Рубеж окончательного взросления — брак и собственное хозяйство | social_rule: Из-за малой продолжительности жизни и сиротства взрослели рано | quantity: В эпосе совершеннолетие — 15 лет,,c1230;medieval_general,3,"book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «Суть ли чада, то наказай их, и преклони от уности выя ихъ»: дети, стадии взросления, воспитание ¶167;book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «Суть ли чада, то наказай их, и преклони от уности выя ихъ»: дети, стадии взросления, воспитание ¶168;book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «Суть ли чада, то наказай их, и преклони от уности выя ихъ»: дети, стадии взросления, воспитание ¶140",B,candidate
hlb_054,care_practice,посещение больного,"social_rule: Мономах: больного навестите, покойника проводите",,c1230,1,book:641342 §ПОУЧЕНИЕ ВЛАДИМИРА МОНОМАХА > ПЕРЕВОД > ПОУЧЕНИЕ ¶1786,A,candidate
