bt_id,name_ru,name_en,bt_class,region_id,pf_ids,rooms,storeys,area_m2_min,area_m2_max,side_m_min,side_m_max,size_note,materials,condition_states,age_states,fire_risk,occupants_roles,light_smoke_smell,anachronism_guard,source_refs,confidence,status,notes
bt_riverside_warehouse,прибрежный складской сруб,riverside warehouse,storage,region_novgorod_land,river_wharf|cellar_granary,,1,,,,,,mat_log_conifer|mat_plank_hewn|mat_hardwood_bar|mat_iron_hasp|mat_roof_tes,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,medium,купец|приказчик|сторож|грузчики,"сыро от реки, пахнет смолой, дёгтем, воском, рыбой",,wk:claim:household-riverside-storage|matcult_scene:SCN023|matcult_scene:SCN007,B,candidate,"у Волхова исследованы крупные средневековые склады, содержимое неизвестно"
bt_cellar_log,срубный погреб/холодное хранилище,log-lined cellar,storage,,cellar_granary|town_courtyard|peasant_homestead,"подземная камера, вход сверху по лестнице",1,,,,,известны глубокие срубные погреба; глубина по плану (matcult ARC0026),mat_log_conifer|mat_plank_hewn|mat_earth,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,low,хозяйство дома,"темно, холодно, сыро, пахнет землёй и квашеным",,matcult:ARC0026|ref:arhitekto_2russ27|wk:claim:static-cool-storage-can-slow-respiration-of-harvested-produce,B,candidate,погреба-срубы бывали под сенями (ref:arhitekto_2russ27)
bt_light_shed,лёгкий хозяйственный сарай/навес,light post-built shed,utility,,outbuildings|town_courtyard|peasant_homestead|river_wharf,,1,,,,,,mat_pole|mat_plank_hewn|mat_wattle|mat_roof_tes|mat_shingle_conifer,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,medium,хозяйство двора,"светло сквозь щели, пахнет сеном, дровами, смолой",,matcult:ARC0017|rus13tpl:container:canopy_naves,B,candidate,
bt_khlev,хлев для крупного и мелкого скота,byre,animal,,outbuildings|peasant_homestead|town_courtyard|pasture,,1,,,,,,mat_log_conifer|mat_wattle|mat_plank_hewn|mat_straw|mat_pole,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,medium,скот|скотница/хозяйка|пастух,"полутьма, тёплый дух скота, навоз, прелая подстилка, мухи летом",,matcult:ARC0002|wk:claim:practical-livestock-care|wk:claim:residual-law-zakup-loss-context,B,candidate,
bt_konyushnya,конюшня,stable,animal,,outbuildings|town_courtyard,,1,,,,,,mat_log_conifer|mat_plank_hewn|mat_pole|mat_hay|mat_straw|mat_rope,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,medium,лошади|конюх|хозяин,"запах конского пота, навоза, сена, кожи упряжи; фырканье и переступание",,matcult:ARC0001|matcult_scene:SCN031,B,candidate,
bt_gumno_tok,гумно/ток для обмолота,threshing floor,agricultural,,threshing_barn|peasant_homestead|arable_field,,1,,,,,,mat_earth|mat_clay|mat_pole,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,medium,крестьянская семья|работники на молотьбе,"пыль, мякина в воздухе, стук цепов",,matcult:AGR0042|wk:claim:residual-law-arson-remedy-and-sanction|wk:claim:food-practices-processing-area-inference|wk:claim:reconstructed-place-work-grain-drying-and-threshing-are-different-work-contexts|matcult_scene:SCN035,B,candidate,гумно названо в ст.79 Пространной Правды (поджог гумна); конструкция тока — C
bt_ovin,овин (рига) для сушки снопов,sheaf-drying kiln barn,agricultural,,grain_drying_shed_ovin|threshing_barn|peasant_homestead,ямная топка|садило с колосниками,1,,,,,,mat_log_conifer|mat_clay|mat_boulder|mat_pole|mat_roof_tes,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,high,крестьянская семья|сушильщик,"дым и жар от ямы, запах сохнущего зерна и соломы",,wk:claim:place-thermal-ovin-can-relate-a-furnace-to-sheaves-held-on-grates|wk:claim:reconstructed-place-work-grain-drying-and-threshing-are-different-work-contexts,C,candidate,датировка для Новгородской земли 1230 г. археологически не проверена в собранных источниках — реконструкция по аналогии; ГЭП
bt_malt_dryer,сушильня/солодовня,malt/grain drying house,craft,,ordinary_workshop|outbuildings|monastery_yard,,1,,,,,,mat_log_conifer|mat_clay|mat_hearth_stone,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,high,пивовар|хозяйство двора|монастырская братия,"жар, сладковатый запах проросшего зерна, дым",,matcult:CRF0131|master:spawn:SPN018,C,candidate,
bt_watermill,водяная мельница (осторожная реконструкция),water mill (cautious reconstruction),agricultural,,mill|river_channel|marshy_stream,помещение жерновов|водяное колесо и лоток,1,,,,,,mat_log_conifer|mat_plank_hewn|mat_pile|mat_boulder,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,low,мельник|помольщики в очереди,"шум воды и скрип привода, мучная пыль",,matcult:AGR0019|matcult_scene:SCN020|wk:claim:reconstructed-place-work-mill-operation-depends-on-drive-moving-parts-and-servicing|wk:claim:macro-b19-watermill-work-depends-on-usable-flow-and-head-and-can-be-limited-by-the-water-path,C,candidate,основной помол 1230 г. — ручные жернова в доме; водяная мельница — локальная осторожная реконструкция
bt_workshop_yard,дворовая ремесленная мастерская,yard craft workshop,craft,,ordinary_workshop|town_courtyard,,1,,,,,,mat_log_conifer|mat_plank_hewn|mat_clay|mat_boulder|mat_roof_tes,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,high,мастер|подмастерье|ученик|члены семьи,"свет от двери и проёма к работе; стружка, кожа, дым горна по ремеслу",,matcult:ARC0031|nov1230db:B033|wk:claim:settlement-workshop-street|master:workshop:urban_yard_general,A,candidate,fire_risk high только для огневых ремёсел; для сапожника/косторезa без очага — medium
bt_smithy,кузница,smithy,craft,,smithy|ordinary_workshop|town_courtyard,горн с мехами|место наковальни|запас угля,1,,,,,,mat_log_conifer|mat_plank_hewn|mat_clay|mat_boulder|mat_charcoal,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,high,кузнец|молотобоец|подмастерье,"красный отсвет горна в полутьме, звон молота, запах угля, окалины и калёного железа",,matcult_scene:SCN011|master:workshop:forge|master:spawn:SPN008|wk:claim:ordinary-life-smith-fire-needs-managed-space,B,candidate,
bt_pottery_workshop,гончарная мастерская с печью,pottery workshop with kiln,craft,,ordinary_workshop|town_courtyard,,1,,,,,,mat_log_conifer|mat_clay|mat_boulder|mat_plank_hewn,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,high,гончар|помощник,"сырая глина, дым обжига, черепки под ногами",,matcult_scene:SCN013|master:workshop:potter_yard|master:spawn:SPN014|wk:claim:construction-construction-pottery-products,B,candidate,
bt_tannery_edge,кожевенное рабочее место у воды,tanning yard,craft,,ordinary_workshop|riverbank|town_courtyard,,1,,,,,,mat_pole|mat_plank_hewn|mat_log_conifer,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,low,кожевник|работники,"резкий запах мокрых шкур, коры и дубильных чанов",,matcult_scene:SCN016|master:workshop:tannery_edge|master:spawn:SPN011,B,candidate,
bt_market_stall,торговый ряд/лавка с прилавком на Торгу,market row stall,trade,,market_square,,1,,,,,,mat_plank_hewn|mat_pole|mat_roof_tes|mat_plank_split,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,medium,торговец|сиделец|покупатели,"гул голосов, запах рыбы, дёгтя, кожи, воска, хлеба по ряду",,matcult:STR0006|nov1230db:B012|matcult_scene:SCN021|matcult_scene:SCN022|wk:claim:civic-public-market,B,candidate,"плотная система рядов, настилов, весов и навесов, не пустая площадь (nov1230db B012)"
bt_bathhouse,"баня (мыльня, истопка)",bathhouse,utility,,bathhouse|town_courtyard|peasant_homestead|riverbank,парная с печью-каменкой|предбанник (у части бань),1,,,,,"небольшие срубы; частота на усадьбе неизвестна (nov1230db B032); варианты: однокамерная чёрная баня, баня с предбанником, двухкамерная-пятистенная (ref:wiki_banya по Троицкому раскопу, X–XI вв.)",mat_log_conifer|mat_moss|mat_plank_hewn|mat_hearth_stone|mat_clay|mat_roof_tes,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,high,домочадцы|гости,"копоть на стенах, жар от камней, пар, запах мокрого дерева, золы и веников",нет трубы у чёрной бани,nov1230db:B032|nov1230db:S16|matcult:INT0042|master:spawn:SPN021|wk:claim:bathing-wooden-bathhouse-wood|wk:claim:bathing-house-heating-before-washing|ref:wiki_banya,B,candidate,
bt_privy,усадебная уборная/отхожее место,privy,utility,,town_courtyard|peasant_homestead,,1,,,,,,mat_plank_hewn|mat_pole|mat_earth,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,low,домочадцы,"запах нечистот, мухи летом",,matcult:ARC0025|wk:claim:final-social-separating-waste-from-water-and-food-paths-can-limit-contact,C,candidate,
bt_well_log,срубный колодец,log-lined well,utility,,town_courtyard|peasant_homestead|monastery_yard,,1,,,,,,mat_log_conifer|mat_plank_hewn|mat_rope,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,low,домочадцы|соседи по договорённости,"холодок из шахты, скрип верёвки, плеск ведра",,matcult:ARC0027|matcult_scene:SCN063|wk:claim:final-social-household-water-use-depends-on-access-vessels-and-labour,A,candidate,
bt_charcoal_pit,угольная яма,charcoal pit,craft_site,,mixed_woodland|conifer_woodland|forest_edge,,1,,,,,,mat_earth|mat_turf|mat_clay,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,high,углежог,"едкий белёсый дым, тлеющий жар, запах гари",,wk:claim:fuel-charcoal-pit-sealing,B,candidate,
bt_fishing_camp_shelter,"рыбацкий стан: навес, вешала, разделочный стол",fishing camp shelter and racks,craft_site,,fishing_camp|riverbank|lake_shore,,1,,,,,,mat_pole|mat_plank_hewn|mat_rope|mat_birch_bark,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,low,рыбаки|лодейщики|сезонные работники,"рыба, мокрые сети, дым костра, чайки",,matcult:FSH0003|matcult:FSH0028|matcult_scene:SCN029|master:spawn:SPN025|wk:claim:population-drying-workspace|wk:claim:population-fishing-workspace,B,candidate,
bt_church_wooden,деревянная церковь (осторожная реконструкция),timber church,religious,,church_interior|churchyard|village_lane,алтарная часть|храмовая часть|притвор возможен,1,,,,,,mat_log_conifer|mat_plank_hewn|mat_roof_tes|mat_iron_metal,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,medium,священник|дьякон|пономарь|прихожане,"полумрак, свечи и лампада, запах воска и ладана",нет шатрового верха XVI–XVIII вв.|один небольшой верх возможен лишь по сравнительной реконструкции,matcult:ARC0009|nov1230db:B023|nov1230db:B024|wk:claim:reconstructed-church-interior-threshold-light-and-sound-shape-ordinary-perception,C,candidate,
bt_church_stone,каменный крестово-купольный храм,stone cross-in-square church,religious,,church_interior|churchyard|monastery_yard,наос|алтарь с апсидами|притвор/хоры по памятнику,1,,,,,,mat_limestone|mat_shell_rock|mat_plinfa|mat_lime_mortar|mat_lime_plaster|mat_pigment|mat_roof_tes,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,low,духовенство|прихожане|строители при ремонте,"прохлада камня, лучи из узких окон, фрески в полумраке, гул голосов под сводом, воск",форма только по обмерам конкретного памятника; нет позднего облика и позолоты,matcult:ARC0004|matcult:ARC0005|matcult:ARC0006|matcult:ARC0007|matcult:ARC0008|nov1230db:B001|nov1230db:B011|wk:claim:construction-compared-church-masonry,A,candidate,названные храмы — в landmarks/landmarks.csv
bt_wall_timber_earth,деревоземляная стена из срубных городен,timber-earth crib wall,fortification,,town_wall_edge,,1,,,,,,mat_log_oak|mat_log_conifer|mat_earth|mat_boulder,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,medium,сторожа|ополчение при угрозе|работники при ремонте,"сырой запах земли и дерева, ветер на гребне",нет кирпичного кремля XV в.|нет каменных башен,matcult:FOR0013|matcult:FOR0014|nov1230db:B002|nov1230db:B025|wk:claim:civic-wood-earth-wall,B,candidate,
bt_rampart,земляной вал,earth rampart,fortification,,town_wall_edge,,1,,,,,,mat_earth|mat_log_conifer,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,low,сторожа,"трава на склоне, тропы",большой глиняный вал рубежа XIII–XIV вв. не переносить в 1230 (matcult FOR0010),wk:claim:civic-earth-rampart|nov1230db:B025,B,candidate,
bt_gate_passage,деревянные ворота укрепления со срубным проездом,timber gate passage,fortification,,town_wall_edge|road,,1,,,,,,mat_log_oak|mat_log_conifer|mat_plank_split|mat_iron_clamp|mat_hardwood_bar,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,medium,воротник/сторож|проезжие,"тень проезда, стук копыт по настилу, скрип створок",,matcult:FOR0003|matcult:FOR0006|matcult:FOR0004|matcult:FOR0005|matcult_scene:SCN043,C,candidate,
bt_guard_shelter,караульный навес у ворот,gate guard shelter,fortification,,town_wall_edge,,1,,,,,,mat_pole|mat_log_conifer|mat_plank_hewn|mat_roof_tes,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,medium,сторож,"костерок или жаровня зимой, голоса стражи",,matcult:FOR0007,C,candidate,
bt_moat_crossing,ров с деревянным переходом,ditch with timber crossing,fortification,,town_wall_edge|bridge_crossing,,1,,,,,,mat_earth|mat_log_conifer|mat_plank_split,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,low,проезжие,"сырость, стоячая вода весной",,matcult:FOR0001|matcult:FOR0002,C,candidate,состояние рва Детинца к 1230 неопределённо
bt_wharf_vymol,вымол: речная пристань с мостками,river landing stage (vymol),water_transport,,river_wharf|ferry_landing|riverbank,,1,,,,,,mat_pile|mat_log_conifer|mat_plank_split|mat_rope,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,low,лодейщики|грузчики|купцы|перевозчик|сборщик пошлины,"плеск о сваи, мокрое дерево, смола, рыба, крики при разгрузке",нет каменной набережной,matcult:STR0011|matcult:STR0012|wk:claim:river-landing-category|wk:claim:river-landing-named-list|wk:claim:river-landing-market-approaches|matcult_scene:SCN025,B,candidate,
bt_river_steps,деревянный сход к воде,timber river steps,water_transport,,riverbank|river_wharf|ferry_landing,,1,,,,,,mat_log_conifer|mat_plank_split|mat_pole,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,low,водоносы|прачки|лодочники,"скользкие мокрые плахи, запах тины",,matcult:STR0010,B,candidate,
bt_bank_crib,береговая срубная подпорная конструкция,riverbank crib revetment,infrastructure,,riverbank|river_wharf,,1,,,,,,mat_log_conifer|mat_boulder|mat_earth|mat_plank_hewn,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,low,,,,matcult:FOR0011,B,candidate,
bt_bridge_great,Великий мост через Волхов,Great Bridge over the Volkhov,bridge,region_novgorod_land,bridge_crossing|river_channel,,1,,,,,многопролётный на речных опорах; пролёт ≥17 м относится к мосту X в. (matcult STR0001),mat_log_conifer|mat_log_oak|mat_boulder|mat_plank_split|mat_iron_clamp,under_construction|sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,medium,прохожие|торговцы|стража|участники столкновений,"гул шагов и колёс по настилу, ветер над водой",,matcult:STR0001|nov1230db:B005|wk:claim:construction-rjaz-bridge-support|wk:claim:construction-rjaz-stone-fill,B,candidate,"в 1229–1230 перестраивался (nov1230db B005, НПЛ): status_1230 = строится/эксплуатируется"
bt_bridge_small,малый деревянный мост/мостки через ручей,small timber bridge,bridge,,bridge_crossing|marshy_stream|village_lane|road,,1,,,,,,mat_log_conifer|mat_pile|mat_plank_split|mat_pole,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,low,путники,"гулкий стук шагов, журчание",,wk:claim:construction-rjaz-bridge-support|wk:claim:military-world-gate-and-passage-use-needs-actual-access,C,candidate,
bt_street_pavement,деревянная уличная мостовая,timber street pavement,infrastructure,,town_street,,1,,,3.5,8,"ширина центральных улиц 3,5–5 м, главные до 8 м (ref:arhitekto_2russ27); новый ярус поверх старого каждые десятилетия (nov1230db B026)",mat_log_conifer|mat_plank_split,under_construction|sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,medium,прохожие|возы|уличане (ремонт),"грязь между плахами после дождя, стук копыт",,matcult:STR0007|matcult:STR0008|matcult:STR0009|nov1230db:B026|wk:claim:settlement-wooden-paving|wk:claim:urban-pavements|ref:arhitekto_2russ27,A,candidate,side_m = ширина настила
bt_street_drain,уличный водоотвод/дренаж,street drain,infrastructure,,town_street|town_courtyard,,1,,,,,,mat_plank_hewn|mat_pole|mat_log_conifer,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,low,,"журчание в коробе после дождя, запах стоков",,matcult:STR0004|matcult:STR0003|ref:arhitekto_2russ27|wk:claim:localized-improvement-context,B,candidate,деревянные и каменные водостоки (ref:arhitekto_2russ27); не канализация
bt_yard_deck,дворовый деревянный настил,yard plank decking,infrastructure,,town_courtyard,,1,,,,,,mat_plank_split|mat_pole|mat_sill_log,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,low,,,,matcult:STR0013,A,candidate,
bt_lane,узкий усадебный переулок/проход,narrow lane between palisades,infrastructure,,town_street,,1,,,,,,mat_plank_split|mat_earth,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,low,соседи|прохожие,"тень частоколов, лай собак из-за оград",,matcult:STR0005|matcult_scene:SCN040,B,candidate,
bt_palisade_fence,частокол (тын) усадьбы,estate palisade,enclosure,,town_courtyard|town_street|peasant_homestead,,1,,,,,,mat_log_conifer|mat_pole,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,medium,,,,matcult:ARC0014|nov1230db:B027|wk:claim:settlement-post-fence-yard,A,candidate,"определяет длинные узкие владения, ворота выводят на улицу (nov1230db B027)"
bt_wattle_fence,плетень,wattle fence,enclosure,,peasant_homestead|orchard_garden|pasture|field_margin,,1,,,,,,mat_wattle|mat_pole,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,medium,,,,matcult:ARC0002|wk:claim:population-rod-input|wk:claim:population-rod-cord,C,candidate,плетень засвидетельствован как материал построек (ARC0002); как сельская ограда — реконструкция
bt_yard_gate,дворовые ворота в частоколе,yard gate,enclosure,,town_courtyard|town_street|peasant_homestead,,1,,,,,,mat_log_conifer|mat_plank_hewn|mat_hardwood_bar|mat_iron_hinge,sound|worn|needs_repair|damaged|burnt_ruin|abandoned,new|seasoned|old|decrepit,low,,"скрип створки, стук засова",,matcult:ARC0015|matcult:FOR0004,B,candidate,
bt_building_site_timber,площадка деревянного строительства,timber building site,construction,,town_courtyard|peasant_homestead|ordinary_workshop,,1,,,,,,mat_log_conifer|mat_moss|mat_wood_peg|mat_iron_nail,under_construction|abandoned,new|seasoned|old|decrepit,medium,плотники|подсобники|заказчик,"стук топоров, смолистый запах свежей щепы, кора под ногами",,matcult_scene:SCN012|master:workshop:construction_site|master:spawn:SPN029|matcult:CON0007|matcult:CON0008,B,candidate,
bt_building_site_stone,строительство каменного храма,stone church building site,construction,,churchyard|monastery_yard,,1,,,,,,mat_limestone|mat_plinfa|mat_lime_mortar|mat_pole|mat_rope,under_construction|abandoned,new|seasoned|old|decrepit,low,мастера-каменщики|подсобные работники|заказчик,"известковая пыль, стук тёсла, скрип блока на лесах",,matcult_scene:SCN053|master:spawn:SPN030|wk:claim:construction-auxiliary-construction-work|matcult:CON0043|matcult:CON0042,B,candidate,
