bp_id,name_ru,name_en,part_class,default_material,restriction,source_refs,confidence,status
bp_stall_counter,прилавок,counter,furniture_fixed,mat_plank_hewn,,matcult:STR0006|matcult_scene:SCN021,B,candidate
bp_awning,навес на столбах,awning on posts,roof,mat_roof_tes,,matcult:STR0006|matcult:ARC0017,B,candidate
bp_drying_rack,рама-вешало для вяления,drying rack,equipment,mat_pole,,matcult:FSH0003,B,candidate
bp_cutting_table,стол/доска разделки рыбы,gutting table,equipment,mat_plank_hewn,,matcult:FSH0028,B,candidate
bp_post_frame,столбовой каркас,post frame,wall,mat_pole,,matcult:ARC0017,B,candidate
bp_privy_pit,выгребная яма,privy pit,foundation,mat_earth,,matcult:ARC0025,C,candidate
bp_turf_seal,дерново-глиняное укрытие ямы,turf and clay seal,earthwork,mat_turf,,wk:claim:fuel-charcoal-pit-sealing,B,candidate
bp_grave_stone_setting,каменная обкладка грунтовой могилы (круг или прямоугольник валунов),stone grave setting,earthwork,mat_boulder,,ref:pravenc_zhalnik,B,candidate
bp_scaffold,деревянные строительные леса,timber scaffold,access,mat_pole,,matcult:CON0043,B,candidate
bp_hoist_block,подъёмный блок с канатом,hoist block,equipment,mat_rope,,matcult:CON0042,B,candidate
