mk_id,mark_kind,applicable_groups,applicable_materials,text_ru,distinctiveness,text_pool_id,attestation,source_refs,confidence,note,status
mk_orn_plait,ornament,HH_TABLEWARE;HH_TEXTILE_WORK;PS_MUSIC;HH_SMALL_STORAGE,wood,"Резная плетёнка на ручке ковша, прялке или корпусе",rare,,Плетёный орнамент в резном дереве Новгорода,src:SRC006,B,,candidate
mk_orn_zoomorphic_handle,ornament,HH_TABLEWARE,wood,Ручка ковша в виде головы коня или птицы,rare,,Зооморфные рукояти ковшей в резном дереве Новгорода,src:SRC006;master:n1230:material_item:pot0008,B,,candidate
mk_orn_pottery_lines,ornament,HH_COOKWARE;HH_TABLEWARE;HH_SMALL_STORAGE,clay,Линейный или волнистый орнамент по плечику сосуда,common,,Черепки с линейным и волнистым орнаментом,master:n1230:material_item:omi01078;master:n1230:material_item:omi01079,A,,candidate
mk_orn_pottery_stamps,ornament,HH_COOKWARE;HH_TABLEWARE,clay,Наколы или оттиски штампа поясом по плечику,common,,Черепок с наколами или штампом,master:n1230:material_item:omi01080,A,,candidate
mk_orn_leather_tooling,ornament,PS_CARRY;PS_KNIFE;PS_GROOMING;PS_TRADE_ADMIN,leather,"Тиснёный или процарапанный орнамент на коже (линии, плетёнка)",rare,,"Кожаные чехлы, футляры, сумки Новгорода",src:SRC105;src:SRC061,B,,candidate
mk_orn_cross_relief,ornament,PS_RELIGIOUS,nonferrous;stone,Рельефное изображение: {relief_subject},common,TXT_CROSS_FORMULA,"Энколпионы: Распятие на лицевой створке, Богоматерь или святые на оборотной",src:BIB_ENKOLPION;src:SRC062,B,relief_subject из закрытого списка пула.,candidate
mk_orn_enamel,ornament,PS_RELIGIOUS,nonferrous,Вставки перегородчатой или выемчатой эмали,rare,,Перегородчатые эмали Древней Руси,src:SRC063,B,Для дорогих вещей; у рядовых крестов не предполагать.,candidate
mk_orn_woven_border,ornament,HH_BEDDING_TEXTILE,textile,Тканая узорная кайма цветными нитями,rare,,Цветные шерстяные нити в узоре ткани Неревского раскопа (XII в.),wk:claim:clothing-nerev-coloured-wool,B,Вышитый «рушник» позднего образа не предполагать.,candidate
mk_orn_lock_plating,ornament,HH_LOCKS,iron;nonferrous,Медная обкладка или напайка на корпусе замка,rare,,Навесные замки XII–XIII вв.; медная пайка деталей,src:BIB_LOCKS;src:SRC032,B,,candidate
mk_orn_key_bow,ornament,HH_LOCKS,iron,Фигурное кольцо ключа крупного размера,rare,,Крупные орнаментированные ключи на заказ при стандартных мелких,src:BIB_LOCKS,B,,candidate
mk_orn_die_pips,ornament,PS_PLAY,bone,Глазки-кружки на гранях кости,common,,Кубическая игральная кость,master:n1230:material_item:mus0004;master:n1230:material_item:omi00940,A,,candidate
mk_orn_stylus_head,ornament,PS_WRITING,iron;bone;nonferrous,Фигурная лопаточка или навершие писала,rare,,Писала с лопаточкой в новгородских находках,master:n1230:material_item:wrt0027,B,,candidate
mk_orn_painted,ornament,HH_TEXTILE_WORK;PS_RELIGIOUS;PS_PLAY,wood,"Следы окраски (красная охра, чёрная краска)",rare,,Красная охра и углеродный чёрный как засвидетельствованные пигменты,wk:claim:pigment-red-ochre;wk:claim:pigment-carbon-black-pigment,C,Для бытового дерева — аналогия с пигментами росписи.,candidate
mk_rep_laced_crack,repair,HH_COOKWARE;HH_TABLEWARE;HH_SMALL_STORAGE,clay,Трещина стянута через парные просверленные отверстия,rare,,Черепок с отверстиями под ремонт; сосуд со скреплённой трещиной,master:n1230:material_item:omi01088;master:n1230:material_item:omi01089,C,Master = C.,candidate
mk_rep_iron_clamp,repair,HH_TABLEWARE;HH_VESSELS_WATER;HH_SMALL_STORAGE;PS_MUSIC,wood,Железная скобка поперёк трещины,rare,,Железные ремонтные скобы (для судов) и скобки в новгородском материале,wk:claim:household-boat-repair-clamp;master:n1230:material_item:hou0032,C,Для посуды — аналогия с ремонтом судов.,candidate
mk_rep_new_hoop,repair,HH_VESSELS_WATER;HH_TABLEWARE,wood;iron,"Один обруч новее прочих (светлее, другая вязка)",common,,"Снятые и разомкнутые обручи, обломки обручей",master:n1230:material_item:omi00678;master:n1230:material_item:omi00679,B,,candidate
mk_rep_leather_patch,repair,PS_CARRY;PS_KNIFE;PS_GROOMING;PS_TRADE_ADMIN;PS_PLAY,leather,Пришитая кожаная заплата {patch_shape},rare,,"Кожаные заплаты круглые, продолговатые, с отверстиями",master:n1230:material_item:omi00500;master:n1230:material_item:omi00501;master:n1230:material_item:omi00502;master:n1230:material_item:omi00503,A,"patch_shape: круглая, продолговатая.",candidate
mk_rep_cloth_patch,repair,HH_BEDDING_TEXTILE;HH_SMALL_STORAGE;PS_CARRY;HH_FOODPROC,textile,Заплата из ткани другого цвета или плотности,rare,,Куски ткани для заплат; старые заплаты,master:n1230:material_item:omi01872;master:n1230:material_item:omi01874;master:n1230:material_item:omi01875,B,,candidate
mk_rep_waxed_thread,repair,PS_CARRY;PS_KNIFE;PS_GROOMING,leather,Шов прошит заново вощёной нитью,common,,Вощёная нить для ремонта кожи,master:n1230:material_item:omi01871,A,,candidate
mk_rep_rewrapped_handle,repair,PS_KNIFE;HH_COOKWARE;HH_TOOLS_SMALL;HH_SEWING,leather;textile;bark;iron,Рукоять обмотана кожаной полосой или берестой поверх трещины,common,,Кожаная обмотка рукояти; полоса кожи для обмотки,master:n1230:material_item:omi00498;master:n1230:material_item:omi00499,B,,candidate
mk_rep_new_haft,repair,PS_KNIFE;HH_HEARTH_TOOLS;HH_COOKWARE;HH_SEWING;HH_TEXTILE_WORK,iron,"Старое железо на новой, ещё светлой рукояти",common,,Заготовки рукоятей ножей; ремонт рукоятей в описаниях master,master:n1230:material_item:omi00052;master:n1230:material_item:agr0001,C,Вывод из описаний износа master.,candidate
mk_rep_comb_rivet,repair,PS_GROOMING,bone;iron,Одна заклёпка гребня заменена железной или новой костяной,rare,,Костяные заклёпки и накладки составных гребней,master:n1230:material_item:omi00908;master:n1230:material_item:omi00907,C,Замена — вывод.,candidate
mk_rep_bark_binding,repair,HH_SMALL_STORAGE;HH_TABLEWARE;HH_VESSELS_WATER,bark;wood,Трещина стянута берестяной полосой,common,,Берестяные обвязки грузил и связки лыком в новгородском материале,wk:claim:population-weight-bark;wk:claim:construction-bast-vessel-fastening,C,Аналогия.,candidate
mk_rep_restrung,repair,PS_MUSIC,wood;textile,Струны разного вида: часть заменена,common,,Ремонт и потёртости гуслей в описаниях master,master:n1230:material_item:mus0014;master:n1230:material_item:mus0011,C,Master MUS0011 = C.,candidate
mk_wear_soot,wear,HH_COOKWARE;HH_FIRE_LIGHT;HH_HEARTH_TOOLS,clay;iron;wood,Копоть снаружи и нагар изнутри,common,,Закопчённый наружный черепок; черепок с нагаром изнутри,master:n1230:material_item:omi01081;master:n1230:material_item:omi01082,A,,candidate
mk_wear_polished_grip,wear,*,wood;bone;iron;nonferrous;leather,Залощённое от рук место хвата,common,,Потёртые рукояти в описаниях master,master:n1230:material_item:mus0014;master:n1230:material_item:hou0026,B,,candidate
mk_wear_bitten_edge,wear,HH_TABLEWARE,wood,"Сточенный, неровный край черпала ложки или миски",common,,Изношенное донце и края деревянной посуды,master:n1230:material_item:omi01802;master:n1230:material_item:pot0002,B,,candidate
mk_wear_whetted_blade,wear,PS_KNIFE;HH_COOKWARE;HH_SEWING;PS_GROOMING,iron,Лезвие сужено многими заточками,common,,Оселок для заточки затупившейся кромки,wk:claim:stone-whetstone-edge-maintenance,B,,candidate
mk_wear_worn_teeth,wear,PS_GROOMING;HH_TEXTILE_WORK,bone;wood,"Стёртые зубья, в зубьях застрявшие волосы или волокно",common,,Волосы и шерсть в зубьях гребня,master:n1230:material_item:omi01857,A,,candidate
mk_wear_whetstone_groove,wear,HH_TOOLS_SMALL,stone,Глубокая борозда от заточки игл и шил,common,,Точильный камень с глубокой бороздой,master:n1230:material_item:omi01120,A,,candidate
mk_wear_leather_crease,wear,PS_CARRY;PS_KNIFE;PS_GROOMING;PS_TRADE_ADMIN;PS_PLAY,leather,Заломы и лоск кожи на сгибах,common,,Кожа теряет гибкость и трескается при изгибе в сухости,wk:claim:population-material-leather-dry,B,,candidate
mk_wear_thin_textile,wear,HH_BEDDING_TEXTILE;HH_CLEANING;HH_FOODPROC;PS_CARRY,textile,Ткань протёрта до просвета на сгибах,common,,Износ тканей в описаниях master,master:n1230:material_item:int0021;master:n1230:material_item:omi01850,B,,candidate
mk_wear_scraped_wax,wear,PS_WRITING,wax;wood,"Воск на табличке неровный, с остатками стёртых строк",common,,"Кусок воска, снятый с таблички; новый слой воска",master:n1230:material_item:omi01662;master:n1230:material_item:omi01658,B,,candidate
mk_wear_blunt_tip,wear,PS_WRITING;HH_SEWING,iron;bone,Затупленное или загнутое остриё,common,,Сломанные и изношенные мелкие железные вещи,master:n1230:material_item:omi00663;master:n1230:material_item:wrt0027,C,,candidate
mk_wear_bark_edges,wear,PS_WRITING;HH_SMALL_STORAGE;PS_TRADE_ADMIN,bark,"Обтрёпанные, расслоившиеся края бересты",common,,Береста с обрезанными неровными краями; оборванный край грамоты,master:n1230:material_item:omi01641;master:n1230:material_item:omi01651,A,,candidate
mk_wear_key_bit,wear,HH_LOCKS,iron,"Стёртая, скруглённая бородка",common,,"Обломанная и изношенная бородка ключа, изношенная пружина замка",master:n1230:material_item:omi00662;master:n1230:material_item:omi00674,B,,candidate
mk_wear_drip,wear,HH_FIRE_LIGHT,wax;iron;clay,Наплывы застывшего воска или сала,common,,Капля застывшего сала; огарок,master:n1230:material_item:omi01828;master:n1230:material_item:omi01827,A,,candidate
mk_wear_rope_fray,wear,HH_TOOLS_SMALL,textile,"Размочаленный конец, узлы на месте разрывов",common,,"Верёвочный узел, обрывок каната",master:n1230:material_item:msc0015,A,,candidate
mk_wear_skate_polish,wear,PS_PLAY,bone,Скользящая сторона отполирована до блеска,common,,Костяные коньки XII–XIII вв.,wk:claim:candidate-v7-museum-bone-skates-xii-xiii;master:n1230:material_item:mus0022,B,,candidate
mk_dmg_chip,damage,*,clay;stone;nonferrous,Скол края,common,,Керамика хрупка: сколы и трещины,wk:claim:population-ceramic-fracture;master:n1230:material_item:omi01072,B,,candidate
mk_dmg_crack_along_grain,damage,*,wood;bark;bone,Трещина вдоль волокон,common,,Усушка и разбухание древесины,wk:claim:population-material-wood-shrinkage,B,,candidate
mk_dmg_charred,damage,HH_TABLEWARE;HH_COOKWARE;HH_FIRE_LIGHT;HH_HEARTH_TOOLS,wood;bark,Обугленный край,common,,Обугленный край деревянной ложки; обгоревшая шпажка,master:n1230:material_item:omi01799;master:n1230:material_item:omi01778,A,,candidate
mk_dmg_broken_handle,damage,HH_TABLEWARE;HH_COOKWARE;HH_VESSELS_WATER,wood;clay,Отломанная ручка или дужка,common,,Сломанная ручка ложки; обвалившаяся ручка сосуда; сломанная дужка ведра,master:n1230:material_item:omi01800;master:n1230:material_item:omi01099;master:n1230:material_item:omi00682,A,,candidate
mk_dmg_rust,damage,*,iron,"Ржавчина, местами слоящаяся",common,,Железо ржавеет от кислорода и влаги,wk:claim:population-material-iron-rust,B,,candidate
mk_dmg_bent,damage,HH_LOCKS;PS_WRITING;HH_SEWING;HH_TOOLS_SMALL;PS_TRADE_ADMIN;PS_RELIGIOUS,iron;nonferrous,Погнутость,common,,Согнутые и сломанные железные детали,master:n1230:material_item:omi00649;master:n1230:material_item:omi00648,B,,candidate
mk_dmg_broken_teeth,damage,PS_GROOMING;HH_TEXTILE_WORK,bone;wood,Выломано несколько зубьев подряд,common,,Отдельный сломанный зуб гребня; отдельные зубья гребня,master:n1230:material_item:omi00909;master:n1230:material_item:omi01858,A,,candidate
mk_dmg_torn_seam,damage,PS_CARRY;PS_KNIFE;PS_PLAY;HH_BEDDING_TEXTILE,leather;textile,Разошедшийся шов,common,,Кошель с прорванным швом,master:n1230:material_item:omi01883,B,,candidate
mk_dmg_mould,damage,PS_CARRY;HH_BEDDING_TEXTILE;PS_KNIFE;PS_WRITING,leather;textile,Пятна плесени и затхлый запах,common,,Сырая кожа может плесневеть,wk:claim:population-material-leather-mould,B,,candidate
mk_dmg_stave_gap,damage,HH_VESSELS_WATER,wood,Рассохшаяся клёпка: щель и течь,common,,Древесина усыхает при потере влаги; обломки обручей,wk:claim:population-material-wood-shrinkage;master:n1230:material_item:omi00679,B,,candidate
mk_dmg_broken_loop,damage,PS_RELIGIOUS;PS_MUSIC;HH_LOCKS,nonferrous;iron;stone,Обломанное ушко или петля,rare,,Реставрационные утраты нательных крестов в описаниях master,master:n1230:material_item:rel0008;master:n1230:material_item:omi00673,C,,candidate
mk_dmg_wax_soft,damage,HH_FIRE_LIGHT;PS_WRITING,wax,"Размягчённый, деформированный от тепла воск",common,,Воск размягчается при нагреве,wk:claim:population-joining-wax-soften,B,,candidate
mk_ins_cross_formula,inscription,PS_RELIGIOUS,nonferrous;stone,Надпись на створке или обороте: {formula},rare,TXT_CROSS_FORMULA,Молитвенные формулы на энколпионах и крестах,src:BIB_ENKOLPION,B,,candidate
mk_ins_icon_label,inscription,PS_RELIGIOUS,wood;stone;nonferrous,Подпись-имя изображённого святого: {saint_label},common,TXT_ICON_SAINT_LABEL,Именные подписи на иконах и каменных иконках,src:BIB_NIKOLAEVA1983;master:n1230:material_item:rel0001,B,,candidate
mk_ins_bark_text,inscription,PS_WRITING,bark,Процарапанный текст грамоты жанра {genre},unique,TXT_BIRCHBARK_GENRE,Берестяные грамоты 1200–1240 (выборка),src:SQL_BIRCHBARK;src:SRC027,A,,candidate
mk_ins_abecedarium,inscription,PS_PLAY;PS_WRITING,bark;wax,"Ученические буквы, азбучный ряд или слоги",common,TXT_ABECEDARIUM,Ученические записи и рисунки (грамоты Онфима),src:SRC073;master:n1230:material_item:omi01643,A,,candidate
mk_ins_bark_label,inscription,PS_TRADE_ADMIN,bark,Короткая запись на бирке-этикетке: {label_text},unique,TXT_BIRCHBARK_LABEL,"Берестяная товарная записка/бирка, привязанная к товару",master:n1230:material_item:trd0032;master:n1230:material_item:omi01656,B,,candidate
mk_ins_tally,inscription,PS_TRADE_ADMIN,wood,Группы зарубок: {notch_groups},unique,TXT_TALLY_NOTCH,"Счётные и долговые бирки, зарубки группами",src:BIB_BIRKI_NKJ;src:BIB_BIRKI_BRE,B,,candidate
mk_ins_weight_marks,inscription,PS_TRADE_ADMIN,nonferrous;iron,Метки номинала на гранях: {denomination_marks},common,TXT_WEIGHT_DENOMINATION,Гирьки кубооктаэдрические и бочонковидные,master:n1230:material_item:trd0040;master:n1230:material_item:trd0055,C,Вид и число меток номинала не извлечены из публикаций — C.,candidate
mk_ins_document,inscription,PS_WRITING,leather;bark,Текст документа или книги — только из существующей сущности {document_ref},unique,TXT_DOCUMENT_ENTITY_REF,Пергамент и рукописные книги,master:n1230:material_item:wrt0025;master:n1230:material_item:wrt0023,B,,candidate
mk_wear_surface,wear,*,clay;stone;bark;textile;wood;nonferrous;organic_soft;leather;bone,"Общая потёртость поверхности, стёртые выступы и края",common,,"Рабочая потёртость в описаниях износа master (посуда, утварь, гребни)",master:n1230:material_item:hou0026;master:n1230:material_item:pot0002;master:n1230:material_item:omi01085,B,Родовая примета износа для любой вещи с wear-слотом.,candidate
mk_dmg_tear_textile,damage,*,textile;bark;leather;organic_soft,Надрыв или дыра,common,,Изношенные и рваные ткани и берестяные вещи в описаниях master,master:n1230:material_item:omi01849;master:n1230:material_item:omi01651,B,,candidate
mk_dmg_chip_stone,damage,*,stone;clay,Скол или трещина камня/черепка,common,,Хрупкость керамики; сколы камня,wk:claim:population-ceramic-fracture;master:n1230:material_item:omi01121,B,,candidate
mk_mk_brazed_seams,maker_mark,HH_LOCKS,iron;nonferrous,Медная пайка швов корпуса замка,common,,"Навесные замки из многих деталей, соединённых медной пайкой",src:BIB_LOCKS;src:SRC032,B,,candidate
mk_rep_iron_reforged,repair,*,iron,"Кованая починка: новая заклёпка, наваренный или откованный заново участок",rare,,Ремонт железных вещей в кузнечном материале Колчина (вывод),src:SRC032;master:n1230:material_item:omi00673,C,Вывод; конкретные примеры починки не извлечены.,candidate
mk_rep_wood_insert,repair,*,wood;bark,"Деревянная вставка, клин или заплатка в трещине",rare,,Ремонт деревянных вещей (вывод из описаний износа master),master:n1230:material_item:hou0019;master:n1230:material_item:omi01802,C,,candidate
mk_rep_quern_redressed,repair,HH_FOODPROC,stone,Рабочая поверхность перенасечена заново,common,,Жерновой смёт и каменная крошка у жерновов,master:n1230:material_item:omi01135;master:n1230:material_item:omi01307,C,Перенасечка — вывод из следов обработки жерновов.,candidate
mk_orn_cast_band,ornament,HH_FIRE_LIGHT;HH_SEWING;PS_GROOMING;PS_TRADE_ADMIN,nonferrous,Литой рельефный поясок или валик,common,,Литые изделия из медных сплавов (Седова),src:SRC062;wk:claim:casting-casting-mould,C,,candidate
mk_orn_whorl_notches,ornament,HH_TEXTILE_WORK,clay;stone,Насечки или процарапанные знаки на боку пряслица,rare,,Пряслица с надписями и знаками,src:BIB_WHORL;master:n1230:material_item:crf0134,C,,candidate
mk_wear_grime,wear,*,*,"Потемневшая, засаленная от долгого употребления поверхность",common,,"Пятна, копоть и загрязнение в описаниях износа master",master:n1230:material_item:hou0026;master:n1230:material_item:hou0001,B,,candidate
mk_dmg_scratches,damage,*,iron;nonferrous;stone,Царапины и забоины на поверхности,common,,"Царапины, сгибы в описаниях износа master (писала, печати)",master:n1230:material_item:wrt0027;master:n1230:material_item:wrt0014,B,,candidate
mk_own_scratched_leather,owner_sign,PS_KNIFE;PS_CARRY;PS_GROOMING;PS_FIRE_KIT,leather,Процарапанный или выдавленный на коже владельческий знак: {sign_shape},unique,TXT_OWNER_SIGN,Орнаментированные кожаные чехлы и футляры; перенос практики владельческих знаков на кожу — вывод,src:SRC105;master:n1230:material_item:omi01613,C,Аналогия.,candidate
