price_entry_id	item_or_service	category	unit	price_model	base_value_band	common_exchange_forms	seasonal_variation	crisis_variation	where_available	who_sells	who_buys	status_restrictions	legal_or_social_limits	notes	status	confidence	sources	source_note	audit_notes
price_fur_marten	мех ценный	fur	skin	relative_value_band; exact_coin_price_not_fixed	high_value	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	seasonal_quality; fraud_risk	rises_with_hunger_war_fire_or_closure	торг; промысловые зоны; купеческий двор	охотник; купец	купец; боярский двор	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_linen_cloth	полотно льняное	cloth	length_piece	relative_value_band; exact_coin_price_not_fixed	ordinary_to_valuable	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	after_processing_season; quality_varies	rises_with_hunger_war_fire_or_closure	торг; двор; ремесленная зона	ткачиха/ткач; купец; хозяйство	домохозяйство; ремесленник; купец	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_wool_cloth	сукно или шерстяная ткань	cloth	length_piece	relative_value_band; exact_coin_price_not_fixed	valuable	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	import_or_long_route_can_raise_value	rises_with_hunger_war_fire_or_closure	торг; купеческий двор	купец; зажиточный двор	богатый двор; ремесленник	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_leather	кожа выделанная	craft_material	piece	relative_value_band; exact_coin_price_not_fixed	ordinary_to_valuable	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	quality_and_smell_affect_price	rises_with_hunger_war_fire_or_closure	торг; кожевенное место; мастерская	кожевник; купец	сапожник; ремесленник; военный человек	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_iron_bar	железо кусковое или полоса	metal	piece_or_weight	relative_value_band; exact_coin_price_not_fixed	valuable	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	route_and_supply_sensitive	rises_with_hunger_war_fire_or_closure	торг; кузня; склад	купец; кузнец	кузнец; хозяин; дружинник	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_knife_simple	нож простой	tool_weapon	piece	relative_value_band; exact_coin_price_not_fixed	ordinary	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	less_seasonal; metal_shortage_raises	rises_with_hunger_war_fire_or_closure	кузня; торг; двор	кузнец; торговец	почти любой свободный человек	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_axe_work	топор рабочий	tool	piece	relative_value_band; exact_coin_price_not_fixed	ordinary_to_valuable	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	repair_cheaper_than_new	rises_with_hunger_war_fire_or_closure	кузня; двор; торг	кузнец; хозяин; купец	крестьянин; плотник; промысловик	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_rope	верёвка	tool_transport	length	relative_value_band; exact_coin_price_not_fixed	low_to_ordinary	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	higher_near_navigation_and_hay_work	rises_with_hunger_war_fire_or_closure	торг; пристань; двор	ремесленник; купец; лодочник	лодочник; возчик; хозяин	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_clay_pot	горшок глиняный	utensil	piece	relative_value_band; exact_coin_price_not_fixed	low	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	breakage_common; local_supply	rises_with_hunger_war_fire_or_closure	гончарное место; торг; двор	гончар; торговец	домохозяйство; монастырь	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_wooden_bowl_spoon	миска или ложка деревянная	utensil	piece	relative_value_band; exact_coin_price_not_fixed	low	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	low_if_local_wood	rises_with_hunger_war_fire_or_closure	двор; торг; мастерская	плотник; домашний мастер	почти любой двор	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_bucket_pail	ведро или бадья	utensil	piece	relative_value_band; exact_coin_price_not_fixed	ordinary	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	repair_possible	rises_with_hunger_war_fire_or_closure	двор; плотницкая зона; торг	плотник; хозяин	домохозяйство; колодезный двор	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_basket	корзина	container	piece	relative_value_band; exact_coin_price_not_fixed	low	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	seasonal_craft_work	rises_with_hunger_war_fire_or_closure	двор; торг; деревня	домашний работник; торговец	домохозяйство; торговец	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_box_korob	короб или коробья	container	piece	relative_value_band; exact_coin_price_not_fixed	ordinary	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	depends_on_size	rises_with_hunger_war_fire_or_closure	торг; ремесленная зона; двор	ремесленник; торговец	путник; торговец; двор	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_sack	мешок	container	piece	relative_value_band; exact_coin_price_not_fixed	low_to_ordinary	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	grain_and_trade_season	rises_with_hunger_war_fire_or_closure	торг; амбар; двор	хозяин; торговец	купец; крестьянин; путник	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_chest_storage	сундук или ларь	container	piece	relative_value_band; exact_coin_price_not_fixed	valuable	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	not_common_for_poor_without_reason	rises_with_hunger_war_fire_or_closure	богатый двор; ремесленник; торг	плотник; зажиточный двор	богатый двор; купец; церковь	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_ferry_person	перевоз человека	transport_service	person_crossing	relative_value_band; exact_coin_price_not_fixed	low_to_ordinary	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	closed_in_flood_ice_or_storm	rises_with_hunger_war_fire_or_closure	перевоз; берег	перевозчик; лодочник	путник; купец; местный	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_ferry_cargo	перевоз груза	transport_service	load_crossing	relative_value_band; exact_coin_price_not_fixed	ordinary_to_valuable	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	depends_on_weight_and_risk	rises_with_hunger_war_fire_or_closure	перевоз; пристань	перевозчик; грузчики	купец; возчик	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_guide_local	проводник местный	service	route_day_or_segment	relative_value_band; exact_coin_price_not_fixed	ordinary	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	higher_in_bad_weather_or_for_stranger	rises_with_hunger_war_fire_or_closure	погост; постоялый двор; лесной стан	проводник; местный житель	путник; купец; дружинник	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_guide_dangerous	проводник опасной дорогой	service	route_segment	relative_value_band; exact_coin_price_not_fixed	valuable	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	may_refuse_without_trust	rises_with_hunger_war_fire_or_closure	лесной стан; зимник; погост	проводник; охотник; лодочник	купец; посол; чужой	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_lodging_floor	ночлег простой	service_lodging	night	relative_value_band; exact_coin_price_not_fixed	low_to_ordinary	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	winter_and_crisis_higher	rises_with_hunger_war_fire_or_closure	постоялый двор; гостевой двор; деревенский двор; монастырь	хозяин; монастырский двор; двор с разрешением	путник; работник	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_lodging_with_stable	ночлег с местом для коня или саней	service_lodging	night	relative_value_band; exact_coin_price_not_fixed	ordinary_to_valuable	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	fodder_shortage_raises	rises_with_hunger_war_fire_or_closure	постоялый двор; богатый двор; погост	хозяин двора; конюх	возчик; купец; дружинник	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_road_meal	еда в дороге	food_service	meal	relative_value_band; exact_coin_price_not_fixed	low_to_ordinary	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	scarcity_raises; church_fast_changes_food	rises_with_hunger_war_fire_or_closure	постоялый двор; двор; торг	хозяин; хозяйка; торговец	путник; работник	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_healing_care	уход за больным или раненым	service_care	visit_or_day	relative_value_band; exact_coin_price_not_fixed	variable	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	often_as_gift_debt_or_obligation	illness_can_isolate_household	двор; монастырь; церковный двор	знахарь/опытная женщина; монастырский человек; родственники	больной; хозяин	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_bandage_linen	повязка или льняная тряпка	medical	piece	relative_value_band; exact_coin_price_not_fixed	low_to_ordinary	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	quality_and_cleanliness_matter	rises_with_hunger_war_fire_or_closure	двор; торг; монастырь	хозяйка; торговец; монастырь	раненый; лекарь	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_shoe_repair	починка обуви	repair	pair	relative_value_band; exact_coin_price_not_fixed	low_to_ordinary	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	more_needed_in_mud_and_travel	rises_with_hunger_war_fire_or_closure	сапожная мастерская; двор; торг	сапожник; ремесленник	путник; горожанин	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_blacksmith_repair	кузнечная починка	repair	job	relative_value_band; exact_coin_price_not_fixed	ordinary_to_valuable	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	metal_supply_and_urgency	rises_with_hunger_war_fire_or_closure	кузня; торг	кузнец	хозяин; возчик; дружинник; ремесленник	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_carpenter_repair	плотницкая починка	repair	job	relative_value_band; exact_coin_price_not_fixed	ordinary	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	winter_shelter_and_navigation	rises_with_hunger_war_fire_or_closure	плотницкая зона; двор; пристань	плотник	хозяин; лодочник; возчик	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
price_boat_repair	починка лодки	repair_transport	job	relative_value_band; exact_coin_price_not_fixed	valuable	barter; silver_or_coin_if_available; debt; pledge; labor; witness_backed_promise	urgent_when_navigation_open	rises_with_hunger_war_fire_or_closure	лодочная зона; пристань; берег	плотник; лодейный мастер	лодочник; купец; перевозчик	низкий статус может требовать поручителя; зависимый человек не всегда распоряжается вещью свободно	чужой товар и залог требуют свидетеля; точная цена зависит от места и сезона	Не задаёт универсальную цену; LLM применяет сезон, статус, дефицит, качество, срочность и риск.	draft	medium	project_rules; regional_profile; economic_plausibility	Рабочая региональная модель на основе проектных правил, карты G1-G4, лимитов и историко-бытовой правдоподобности.	requires_human_historical_audit_for_exact_prices
