hz_id,risk_type,name_ru,pf_ids,route_or_edge_kinds,season_periods,event_triggers,visible_signs,avoidance_methods,consequence_refs,frequency_class,region_id,source_refs,confidence,note
hz_stored_hay_self_heating,fire,Самонагревание влажного сена и тлеющий пожар,"pf_threshing_barn;pf_outbuildings",building_interior,"autumn;winter",,"затхлый или карамельный запах;тёплая на ощупь масса;дым без открытого огня","не ворошить и не разбирать подозрительно тёплую/дымящую массу;увести людей и скот;позвать на помощь","item_consequences:stock_loss;health_body:burn_or_smoke_exposure","contextual (basis: trigger-conditioned, not ambient to place/season)",region_novgorod_land,"wk:claim:macro-b17-high-moisture-stored-hay-can-heat-and-become-a-smoulder-fire-risk;wk:claim:macro-b17-suspected-hot-or-smoking-hay-should-not-be-pulled-apart",B,
hz_smoky_house_fire,fire,"Курная изба: дым, копоть и огневой риск",pf_dwelling_interior,building_interior,winter,heating_season,"густой дым под потолком;копоть на стенах;слезящиеся глаза у входа","проветривать через дверь/волоковое окно;не оставлять открытый огонь без надзора","health_body:smoke_exposure;item_consequences:building_fire_risk","contextual (basis: trigger-conditioned, not ambient to place/season)",region_novgorod_land,"wk:claim:practical-dwelling-smoke-draft;wk:claim:macro-b1819-smoke-or-ash-can-irritate-eyes-and-supports-clean-air-and-rinsing-response;book:709382 §Новгородские постройки ¶258",B,"Исправлено 2026-09-26: прежняя ссылка (wk:claim:macro-b20-heated-pitch...) была про горячую смолу, не про курную избу, — заменена на wk:claim:practical-dwelling-smoke-draft и claim:macro-b1819-smoke-or-ash-can-irritate-eyes..., плюс book:709382 §Новгородские постройки ¶258 (Засурцев, «Новгород, открытый археологами»: дым во время топки выпускался через волоковое окно, при нужде открывали дверь; period c1230). Это даёт c1230-подтверждение и поднимает confidence C→B. Дополнительно (не как основа B, только как аналогия XIX в., period ethnographic_late — по правилу проекта не выше C): book:439294 §Глава 13 ¶588 (Беловинский, «Изба и хоромы», 2012 — лучина, топка по-чёрному, бани и овины как источники пожаров). Опечатка «Курная избы» исправлена на «Курная изба»."
hz_frostbite,cold,Обморожение при длительном холоде,"pf_road;pf_forest_track","road;footpath;water_crossing","winter;autumn;spring",,"потеря чувствительности в пальцах/лице;побледнение кожи;неспособность согреться движением","укрыться и согреться заранее;не растирать резко возможно обмороженный участок;избегать резкого грубого согревания",health_body:cold_injury,"common (basis: the hazard's own condition — night/closed gates, or winter-wide cold exposure — is in effect almost all year; not the water-crossing basis)",region_novgorod_land,wk:claim:r7-possibly-frozen-body-part-needs-protection-from-further-cold-and-rough-warming-avoidance,B,"Исправлено 2026-09-26: basis-строка частоты раньше была скопирована с водной группы (32 G4 речные плёсы); заменена на собственное основание — обморожение действует почти весь холодный сезон, привязки к речным граням нет."
hz_venomous_snakebite,wild_animals,Укус предположительно ядовитой змеи (гадюка),"pf_forest_track;pf_hay_meadow",footpath,"spring;summer;autumn",,"быстрая местная опухоль;укушенный видел змею","ограничить нагрузку укушенной части;не бежать и не напрягаться;искать помощь",health_body:venomous_bite,"rare (basis: no WK/MASTER encounter-rate source for Novgorod; editorial floor, see README gap)",region_novgorod_land,wk:claim:r7-suspected-venomous-snakebite-supports-limiting-exertion-and-seeking-help,C,"Исправлено 2026-09-26: confidence снижена B→C, и убран пункт «две точечные ранки от укуса» из visible_signs — цитируемый claim описывает только реакцию на предполагаемый укус, а не сами видимые признаки укуса. Видовая идентификация (гадюка обыкновенная как единственный ядовитый вид региона) — общеизвестный биогеографический факт, не отдельная WK-претензия."
hz_bear_encounter,wild_animals,Встреча с медведем,"pf_forest_track;pf_hunting_ground",footpath,"spring;summer;autumn",,"разрытые муравейники;след задней лапы, похожий на след человека с широкой стопой;треск в подросте","шуметь заранее на тропе;не подходить к детёнышам;уступить дорогу и отступить медленно",health_body:blunt_or_bite_trauma,"rare (basis: no WK/MASTER encounter-rate source for Novgorod; editorial floor, see README gap)",region_novgorod_land,"wk:claim:fauna-mammals-brown-bear-food-driven-movement;wk:claim:fauna-mammals-brown-bear-cover-rest;book:343305 §Бурый медведь ¶120;book:343305 §Бурый медведь ¶124;book:709382 §О чем говорят находки ¶535;book:185148 ¶247",C,"Исправлено 2026-09-26: заменён неподтверждённый признак «поваленный улей» на источниковый «разрытые муравейники» (book:343305 §Бурый медведь ¶124, Руковский, «Следы зверей») и след лапы (¶120); присутствие вида в регионе подтверждено book:709382 ¶535 (кости медведя на новгородских усадьбах) и book:185148 ¶247 (медведи в Новгородской земле обычны до XVII в.). Ставка встречи по-прежнему не найдена в WK/MASTER — оставлено rare как редакторский минимум, см. README пробел."
hz_wolf_encounter,wild_animals,Встреча с волком или волчьей стаей,"pf_forest_track;pf_hunting_ground","footpath;road","winter;autumn",,"вой стаи ночью;следы цепочкой на снегу, звери идут след в след;пропавший скот у края леса","не ходить одному ночью зимой у леса;держать при себе огонь/оружие;идти группой","health_body:bite_trauma;item_consequences:livestock_loss","rare (basis: no WK/MASTER encounter-rate source for Novgorod; editorial floor, see README gap)",region_novgorod_land,"wk:claim:fauna-mammals-wolf-pack-sociality;wk:claim:fauna-mammals-wolf-territorial-defense;book:343305 §Волк ¶1;book:343305 §Волк ¶4",C,"Исправлено 2026-09-26: добавлены источниковые признаки (book:343305 §Волк ¶1 — след; ¶4 — группа идёт след в след, Руковский, «Следы зверей») и WK claims о социальности/территориальности стаи. Ставка встречи по-прежнему не найдена — см. note hz_bear_encounter."
hz_road_thieves,theft,Лихие люди на дороге,"pf_road;pf_forest_track",road,"winter;spring;spring_rasputitsa;summer;autumn",,"безлюдный отрезок пути;слухи о разбое от встречных;следы засады у обочины","идти с попутчиками или обозом;избегать безлюдных отрезков к ночи;не показывать ценный груз","item_consequences:robbery;law_consequences:report_to_authority","contextual (basis: trigger-conditioned, not ambient to place/season)",region_novgorod_land,"world_base.region_risks#risk_type_enum:theft;book:641351 §РУССКАЯ ПРАВДА (ПРОСТРАННАЯ РЕДАКЦИЯ) ¶2758;tools:rus13-novgorod-regional-templates/novgorod_route_season_modifiers_v1.json#risk_escalate_alarm",C,"Исправлено 2026-09-26: убрана пометка «Denylist enum-based» как единственное основание (энум только называет категорию); добавлена статья Пространной Правды о потоке и разграблении разбойника (book:641351 ¶2758, confidence A в источнике, primary_source) как основание закона о последствиях разбоя, плюс правило escalate_alarm черновика. Ставка частоты разбоя на новгородских дорогах в WK/MASTER не найдена — остаётся пробелом, см. README."
hz_brawl_violence,violence,Драка на торгу или в питейном месте,"pf_market_square;pf_town_courtyard","building_interior;yard","winter;spring;spring_rasputitsa;summer;autumn",,"повышенные голоса и толчки;собравшаяся толпа;спор о долге или товаре","отойти от спорящих;не вмешиваться без причины;позвать старшего/стражу","health_body:blunt_trauma;law_consequences:witness_or_charge","contextual (basis: trigger-conditioned, not ambient to place/season)",region_novgorod_land,"world_base.region_risks#risk_type_enum:violence;book:641351 §РУССКАЯ ПРАВДА (ПРОСТРАННАЯ РЕДАКЦИЯ) ¶2780",C,"Исправлено 2026-09-26: добавлена статья Пространной Правды о побоях (book:641351 ¶2780 — окровавленному/избитому до синяков не нужны свидетели, зачинщик платит штраф; confidence A в источнике, primary_source) как основание последствий, помимо энума категории."
hz_road_closed_alarm,war,"Военная тревога: дороги закрыты, проводники отказывают","pf_road;pf_town_wall_edge",road,"winter;spring;spring_rasputitsa;summer;autumn",alarm,"усиленная стража у ворот;слухи о приближении рати;спешные приготовления в поселении","не пытаться пройти без разрешения стражи;переждать или искать обходной путь","traversal:route_blocked;law_consequences:checkpoint_stop","contextual (basis: trigger-conditioned, not ambient to place/season)",region_novgorod_land,tools:rus13-novgorod-regional-templates/novgorod_route_season_modifiers_v1.json#risk_escalate_alarm,C,
hz_night_gate_closed,law,Закрытые ворота и худшая видимость ночью,"pf_town_wall_edge;pf_town_street","road;street","winter;spring;spring_rasputitsa;summer;autumn",night,"запертые ворота;отсутствие фонарей/огня;редкие прохожие","искать ночлег до закрытия ворот;не пытаться пройти стражу силой","traversal:route_blocked;social_consequences:higher_suspicion","common (basis: the hazard's own condition — night/closed gates, or winter-wide cold exposure — is in effect almost all year; not the water-crossing basis)",region_novgorod_land,tools:rus13-novgorod-regional-templates/novgorod_route_season_modifiers_v1.json#risk_escalate_time,C,"Исправлено 2026-09-26: basis-строка частоты раньше была скопирована с водной группы; заменена — ворота запираются на ночь почти весь год, привязки к речным граням нет."
hz_misinformation_route,social,Неполный или ложный совет о пути,"pf_road;pf_ferry_landing","road;water_crossing","winter;spring;spring_rasputitsa;summer;autumn",,"противоречивые рассказы встречных;NPC уклоняется от подробностей;совет не совпадает с местной приметой","спрашивать нескольких человек;проверять совет по видимым признакам местности","traversal:wrong_route;social_consequences:distrust_recorded","contextual (basis: trigger-conditioned, not ambient to place/season)",region_novgorod_land,tools:rus13-novgorod-regional-templates/novgorod_route_knowledge_rules_v1.json#lost_rule_social_misinformation,C,
hz_getting_lost_bad_weather,weather,"Потеря ориентиров в тумане, метели или дождь","pf_road;pf_forest_track","road;footpath","winter;spring;spring_rasputitsa;summer;autumn",,"исчезающие ориентиры;скрытые следы;резко упавшая видимость","переждать непогоду на месте;идти по известному ориентиру, а не по памяти маршрута","traversal:wrong_route;health_body:exposure","contextual (basis: trigger-conditioned, not ambient to place/season)",region_novgorod_land,tools:rus13-novgorod-regional-templates/novgorod_route_knowledge_rules_v1.json#lost_rule_bad_weather,C,
hz_wrong_season_route,road,Маршрут известен только в другом сезоне,"pf_road;pf_winter_ice_crossing","road;water_crossing","winter;spring;spring_rasputitsa;summer;autumn",season_mismatch,"зимник не проходим летом;брод затоплен паводком",проверять сезонность знания маршрута перед выходом,traversal:wrong_route,"contextual (basis: trigger-conditioned, not ambient to place/season)",region_novgorod_land,tools:rus13-novgorod-regional-templates/novgorod_route_season_modifiers_v1.json#lost_wrong_season,C,
hz_reputation_refusal,economic,"Отказ в проводнике, перевозе или ночлеге из-за долга/репутации","pf_ferry_landing;pf_dwelling_interior","water_crossing;building_interior","winter;spring;spring_rasputitsa;summer;autumn",,"прямой отказ хозяина/перевозчика;упоминание прежнего долга или спора","рассчитаться с долгом;искать другого перевозчика/хозяина;взять поручителя","traversal:route_blocked;economic_consequences:no_service","contextual (basis: trigger-conditioned, not ambient to place/season)",region_novgorod_land,tools:rus13-novgorod-regional-templates/novgorod_route_season_modifiers_v1.json#risk_escalate_memory,C,
