gm_id,source_item_id,name_ru,alt_names_ru,name_en,garment_category,universal_category_layer,region_id,equipment_slot,usage_context,material,material_ids,material_class,dye_color,color_ids,dye_evidence_refs,decoration,sex,age,marital_status,status_band,status_basis,season,season_basis,wear_states,mark_slots,runtime_daily_eligible,existing_runtime_template,visual_fabric,visual_main_color,visual_new_values,do_not_confuse_with,source_refs,confidence,status,notes
gm_gm011,GM011,Буро-красный шерстяной плащ,буро-красная мятель,red-brown wool cloak,garment.kind.cloak,universal,region_novgorod_land,cloak,daily,окрашенная шерсть,MAT003,textile,буро-красный | кирпично-красный | мареновый тёплый,COL003|COL004,claim:textile-lac-dye-analysis|costume:SRC015|costume:SRC016|undyed(natural wool),ровная насыщенная окраска могла повышать стоимость,male,young_adult|adult|middle_aged|old,any,middle|high,range:средний и богатый|средний/богатый|средний/высокий|средний или обеспеченный,spring|spring_rasputitsa|autumn|winter,text:весн|весен;осен;зим,new|serviceable|worn|patched|dirty|torn|wet,edge|fastening_point,true,,wool,brown,,ярким карминовым сукном промышленной равномерности,costume:GM011|costume:SRC015,A,candidate,"Конкретный документированный цветовой вариант плаща: тёплый буро-красный, а не ярко-алый синтетический."
gm_gm012,GM012,Плотная дорожная накидка из шерсти,дорожный плащ | погодная накидка,heavy travel cloak,garment.kind.cloak,universal,region_novgorod_land,cloak,travel,плотная шерсть | иногда войлок как локальная деталь,MAT003|MAT005,textile,тёмно-серый | бурый | серо-зелёный,COL003|COL006|COL008,claim:textile-ellagic-acid-analysis|claim:textile-indigo-yellow-analysis|costume:SRC007|costume:SRC043|undyed(natural wool),нет/минимальная (ANTI003),male,young_adult|adult|middle_aged|old,any,low|middle|high|elite,range:все слои|широк|все группы|разн|все в разн,summer|spring|spring_rasputitsa|autumn|winter,text:весн|весен;осен;дожд|ветер; combo:CMB011|CMB034|CMB035,new|serviceable|worn|patched|dirty|torn|wet,edge|fastening_point,true,,wool,brown,,"прорезиненным плащом, вощёной современной курткой или фэнтезийным капюшонным пончо",costume:GM012|costume:SRC007|costume:SRC008|costume:SRC015,B,candidate,"Плотная шерстяная накидка против ветра, мороси и дорожной грязи. Не водонепроницаема в современном смысле, но практична в северо-западном климате."
gm_gm013,GM013,Капюшон или отдельный шерстяной куколь дорожного типа,капюшон | головной покров с плечевой пелериной,hood,garment.kind.hood,universal,region_novgorod_land,headwear,daily,шерсть,MAT003,textile,серый | бурый | тёмный натуральный,COL003|COL008,claim:textile-ellagic-acid-analysis|costume:SRC007|costume:SRC043|undyed(natural wool),нет/минимальная (ANTI003),male,young_adult|adult|middle_aged|old,any,low|middle|high|elite,unspecified(all),spring|spring_rasputitsa|autumn|winter,text:весн|весен;осен;зим,new|serviceable|worn|patched|dirty|torn|wet,band|crown,true,,wool,brown,,поздним монашеским куколем строго фиксированной формы или фэнтезийным длинным капюшоном,costume:GM013|costume:SRC025|costume:SRC027|costume:SRC034,C,candidate,"Отдельный головной и плечевой покров, защищающий от ветра и дождя. Для Новгорода около 1230 конкретная форма реконструируется по североевропейской и иконографической аналогии."
gm_gm014,GM014,Тканевый рабочий передник,фартук | передник,textile work apron,garment.kind.apron,universal,region_novgorod_land,apron,work,лён | конопля | грубая шерсть,MAT001|MAT002|MAT003,textile,небелёный | серый | коричневый | запятнанный рабочий,COL001|COL002|COL003,undyed|undyed(bleached)|undyed(natural wool),нет/минимальная (ANTI003),male,young_adult|adult|middle_aged|old,any,low|middle,kw:рабоч|подёнщ,summer|spring|spring_rasputitsa|autumn|winter,text:круглый год,new|serviceable|worn|patched|dirty|torn|wet,hem,true,,light_linen,undyed_linen,,современным нагрудным фартуком с карманами и металлической фурнитурой,costume:GM014|costume:SRC001|costume:SRC002|costume:SRC018|costume:SRC031,C,candidate,"Простой передник, защищающий одежду при ремесленной и хозяйственной работе. Сохраняется плохо и реконструируется по функции и аналогиям."
gm_gm015,GM015,Кожаный ремесленный передник,защитный кожаный фартук,leather craft apron,garment.kind.apron,universal,region_novgorod_land,apron,work,толстая кожа,MAT006,leather,коричневый | тёмный от копоти и жира,COL003|COL008,claim:textile-ellagic-acid-analysis|costume:SRC007|costume:SRC043|undyed(natural wool),нет/минимальная (ANTI003),male,young_adult|adult|middle_aged|old,any,low|middle|high|elite,unspecified(all),summer|spring|spring_rasputitsa|autumn|winter,context_only(all),new|serviceable|worn|patched|dirty|torn|wet,hem,true,,leather,brown,leather,фэнтезийной кожаной жилеткой или бронёй,costume:GM015|costume:SRC002|costume:SRC031,C,candidate,"Защитный слой из кожи для отдельных горячих, режущих или грязных работ; не универсальная одежда ремесленника."
gm_gm016,GM016,Тонкая шерстяная статусная верхняя одежда,парадная верхняя туникообразная одежда,fine wool status garment,garment.kind.wool_tunic,universal,region_novgorod_land,outer_garment,daily,тонкая шерсть | импортное сукно | льняная подкладка — возможно,MAT001|MAT004|MAT003,textile,"насыщенный, но природный красный | синий | зелёный | пурпурно-бурый",COL003|COL004|COL005|COL006,claim:textile-indigo-yellow-analysis|claim:textile-lac-dye-analysis|costume:SRC007|costume:SRC015|costume:SRC016|undyed(natural wool),"тонкость ткани, ровная окраска, чистая посадка, узкая кайма",male,young_adult|adult|middle_aged|old,any,high|elite,range:верхний слой общества,summer|spring|spring_rasputitsa|autumn|winter,text:круглый год,new|serviceable|worn|patched|dirty|torn|wet,collar|front_edge|cuffs|hem,true,,light_linen,brown,,византийским императорским облачением или поздним русским боярским кафтаном,costume:GM016|costume:SRC008|costume:SRC010|costume:SRC029|costume:SRC043|claim:clothing-rank-material-not-cut,B,candidate,"Аккуратно скроенная длиннорукавная одежда из тонкой шерсти, возможно импортного сукна, с узкой отделкой по краю или горловине."
gm_gm018,GM018,Дорожное покрывало/шерстяное одеяло как накидка,дорожное покрывало | спальный покров,wool blanket used as a wrap,garment.kind.blanket_wrap,universal,region_novgorod_land,cloak,travel,шерсть | войлок — возможен,MAT003|MAT005,textile,серый | бурый | полосатый/клетчатый только при обоснованной ткани и без современного рисунка,COL003,undyed(natural wool),нет/минимальная (ANTI003),male|female,young_adult|adult|middle_aged|old,any,low|middle|high|elite,range:все слои|широк|все группы|разн|все в разн,autumn|winter,text:холод,new|serviceable|worn|patched|dirty|torn|wet,edge|fastening_point,true,,wool,brown,,современным пледом с фабричной шотландской клеткой,costume:GM018|costume:SRC007|costume:SRC008|costume:SRC034,B,candidate,"Прямоугольное шерстяное покрывало для сна, сидения и временной защиты от холода; могло накидываться поверх одежды в дороге."
gm_gf001,GF001,Длинная женская сорочица из льна,женская рубаха | нижнее платье,linen shirt (sorochitsa),garment.kind.tunic_shirt,universal,region_novgorod_land,base_garment,daily,лён | реже конопля,MAT001|MAT002,textile,небелёный серо-бежевый | выбеленный молочный,COL001|COL002|COL003,undyed|undyed(bleached)|undyed(natural wool),нет/минимальная (ANTI003),female,young_adult|adult|middle_aged|old,any,low|middle|high|elite,range:все слои|широк|все группы|разн|все в разн,summer|spring|spring_rasputitsa|autumn|winter,text:круглый год,new|serviceable|worn|patched|dirty|torn|wet,collar|cuffs|hem,true,item_tpl_nov_linen_shirt_v1,light_linen,undyed_linen,,"косовороткой, современной блузой или «славянским» платьем со сплошной машинной вышивкой",costume:GF001|costume:SRC006|costume:SRC008|costume:SRC019|wk:material_culture:tunic-shirt|claim:clothing-linen-shirt,B,candidate,"Длинная рубаха до щиколоток или середины голени, с длинными рукавами; служила нижним и иногда домашним слоем. Полный крой реконструируется."
gm_gf002,GF002,Грубая рабочая женская рубаха,рабочая сорочица,coarse work shirt,garment.kind.tunic_shirt,universal,region_novgorod_land,base_garment,daily,лён | конопля,MAT001|MAT002,textile,небелёный | серо-бежевый | серо-коричневый,COL001|COL002|COL003,undyed|undyed(bleached)|undyed(natural wool),нет/минимальная (ANTI003),female,young_adult|adult|middle_aged|old,any,low|middle,kw:бедн|нижн;рабоч|подёнщ;средн,summer|spring|spring_rasputitsa|autumn|winter,text:круглый год,new|serviceable|worn|patched|dirty|torn|wet,collar|cuffs|hem,true,,light_linen,undyed_linen,,декоративным псевдофольклорным платьем,costume:GF002|costume:SRC008|costume:SRC034|wk:material_culture:tunic-shirt|claim:clothing-hemp,B,candidate,"Более плотная и грубая рубаха из небелёного растительного полотна для тяжёлой домашней, ремесленной или сельской работы."
gm_gf003,GF003,Длинная шерстяная верхняя одежда женщины,верхнее платье | шерстяное платье — описательный термин,long wool overgarment (female),garment.kind.long_wool_garment,universal,region_novgorod_land,outer_garment,daily,шерсть,MAT003,textile,серый | коричневый | бурый | приглушённый красный | синий/зелёный у обеспеченных,COL003|COL004|COL005|COL006,claim:textile-indigo-yellow-analysis|claim:textile-lac-dye-analysis|costume:SRC007|costume:SRC015|costume:SRC016|undyed(natural wool),нет/минимальная (ANTI003),female,young_adult|adult|middle_aged|old,any,low|middle|high|elite,range:все слои|широк|все группы|разн|все в разн,summer|spring|spring_rasputitsa|autumn|winter,text:лет;весн|весен;осен;зим,new|serviceable|worn|patched|dirty|torn|wet,collar|front_edge|cuffs|hem,true,,wool,brown,,сарафаном позднего времени как обязательной формой или платьем с корсетом,costume:GF003|costume:SRC007|costume:SRC008|costume:SRC025|costume:SRC043,B,candidate,Длиннополая шерстяная одежда поверх сорочицы. Могла быть цельной или собранной из прямых полотнищ и клиньев; точный тип горловины и застёжки не фиксируется универсально.
gm_gf004,GF004,Рабочая шерстяная верхняя одежда женщины,простое верхнее платье,work wool overgarment (female),garment.kind.long_wool_garment,universal,region_novgorod_land,outer_garment,daily,грубая шерсть,MAT003,textile,серый | бурый | коричневый | неравномерно окрашенный,COL003,undyed(natural wool),нет/минимальная (ANTI003),female,young_adult|adult|middle_aged|old,any,low|middle,kw:бедн|нижн;средн,summer|spring|spring_rasputitsa|autumn|winter,text:круглый год,new|serviceable|worn|patched|dirty|torn|wet,collar|front_edge|cuffs|hem,true,,wool,brown,,современной юбкой и блузой как отдельными стандартными деталями,costume:GF004|costume:SRC007|costume:SRC008|costume:SRC034,B,candidate,"Практичная версия длинной шерстяной одежды, возможно короче парадной и с минимумом отделки; защищала нижнюю сорочицу."
gm_gf005,GF005,Тонкая шерстяная одежда зажиточной женщины,парадное верхнее платье,fine wool garment (wealthy woman),garment.kind.long_wool_garment,universal,region_novgorod_land,outer_garment,daily,тонкая шерсть | импортное сукно — возможно | льняная подкладка — возможно,MAT001|MAT004|MAT003,textile,красный | синий | зелёный | пурпурно-бурый | сочетание с белой сорочицей,COL002|COL003|COL004|COL005|COL006,claim:textile-indigo-yellow-analysis|claim:textile-lac-dye-analysis|costume:SRC007|costume:SRC015|costume:SRC016|undyed(bleached)|undyed(natural wool),тонкая ровная ткань; насыщенная природная окраска; небольшая кайма; украшения,female,young_adult|adult|middle_aged|old,any,high|elite,kw:богат|зажиточ|обеспеч;элит|знат|высш|исключительн,summer|spring|spring_rasputitsa|autumn|winter,text:круглый год,new|serviceable|worn|patched|dirty|torn|wet,collar|front_edge|cuffs|hem,true,,light_linen,bleached_linen,bleached_linen,"поздним сарафаном, кокошником и широкой парчовой душегреей",costume:GF005|costume:SRC008|costume:SRC010|costume:SRC016|costume:SRC032|costume:SRC043|claim:clothing-rank-material-not-cut,B,candidate,Длинная одежда из качественной шерсти с ровной окраской и ограниченной отделкой; статус выражается тканью и аккуратностью.
gm_gf006,GF006,Женский плащ или мантия,плащ | накидка,cloak,garment.kind.cloak,universal,region_novgorod_land,cloak,daily,шерсть | фибула/застёжка,MAT003,textile,серый | бурый | красно-коричневый | синий/зелёный для состоятельных,COL003|COL004|COL005|COL006,claim:textile-indigo-yellow-analysis|claim:textile-lac-dye-analysis|costume:SRC007|costume:SRC015|costume:SRC016|undyed(natural wool),нет/минимальная (ANTI003),female,young_adult|adult|middle_aged|old,any,low|middle|high|elite,range:от прост\w* .*до|от доступн\w* .*до|от бронзов\w* до,spring|spring_rasputitsa|autumn|winter,text:весн|весен;осен;зим,new|serviceable|worn|patched|dirty|torn|wet,edge|fastening_point,true,,wool,brown,,фэнтезийной накидкой с огромным капюшоном и декоративными наплечниками,costume:GF006|costume:SRC015|costume:SRC025|costume:SRC043,B,candidate,"Шерстяной плащ поверх длинной одежды, закреплённый у плеча или груди; мог использоваться в городе, дороге и церемониальном контексте."
gm_gf007,GF007,Женская меховая шуба,кожух | меховая верхняя одежда,sheepskin coat (kozhukh),garment.kind.sheepskin_coat_kozhukh,universal,region_novgorod_land,over_garment_winter,daily,овчина | иной мех | тканевое покрытие — у дорогих вариантов,MAT007|fur_ordinary,fur,натуральный мех | бурый | серый | окрашенное покрытие у богатых,COL003,undyed(natural wool),нет/минимальная (ANTI003),female,young_adult|adult|middle_aged|old,any,low|middle|high|elite,range:все слои|широк|все группы|разн|все в разн,winter,text:зим,new|serviceable|worn|patched|dirty|torn|wet,collar|front_edge|hem,true,,sheepskin,brown,sheepskin,поздней боярской шубой XVII века или мехом наружу у всех,costume:GF007|costume:SRC016|costume:SRC020,B,candidate,Тёплая меховая одежда; две шубы прямо входят в приданое по грамоте №429. Качество меха и внешнее покрытие различались.
gm_gf008,GF008,Овчинный женский кожух простого типа,простая зимняя шуба,sheepskin coat (female),garment.kind.sheepskin_coat_kozhukh,universal,region_novgorod_land,over_garment_winter,daily,овчина | кожа,MAT006|MAT007,leather,бурый | серый | кремовый мех,COL003,undyed(natural wool),нет/минимальная (ANTI003),female,young_adult|adult|middle_aged|old,any,low|middle|high|elite,unspecified(all),winter,text:зим,new|serviceable|worn|patched|dirty|torn|wet,collar|front_edge|hem,true,,leather,brown,leather,современной дублёнкой с молнией и декоративной машинной строчкой,costume:GF008|costume:SRC016|costume:SRC034|wk:material_culture:kozhukh|claim:clothing-sheepskin-kozhukh,B,candidate,"Практичная зимняя одежда из овчины, без дорогого тканевого покрытия или сложной отделки."
gm_gf009,GF009,Тканевый женский передник,передник | рабочий фартук,textile work apron,garment.kind.apron,universal,region_novgorod_land,apron,work,лён | конопля | шерсть,MAT001|MAT002|MAT003,textile,небелёный | серый | коричневый,COL001|COL002|COL003,undyed|undyed(bleached)|undyed(natural wool),нет/минимальная (ANTI003),female,young_adult|adult|middle_aged|old,any,low|middle,kw:рабоч|подёнщ,summer|spring|spring_rasputitsa|autumn|winter,text:круглый год,new|serviceable|worn|patched|dirty|torn|wet,hem,true,,light_linen,undyed_linen,,нарядным вышитым «русским» фартуком XIX века,costume:GF009|costume:SRC003|costume:SRC006|costume:SRC034,C,candidate,"Простой защитный передник поверх длинной одежды при приготовлении пищи, торговле и ремесле; прямое новгородское свидетельство слабое."
gm_gf013,GF013,Поясная клетчатая/полосатая женская одежда типа понёвы — гипотеза,понёва — спорная реконструкция,poneva-type wrap skirt (hypothesis),garment.kind.wrap_skirt_poneva,universal,region_novgorod_land,waist_garment,hypothesis,шерсть,MAT003,textile,приглушённая клетка или полосы — только при конкретном обосновании,,,нет/минимальная (ANTI003),female,young_adult|adult|middle_aged|old,any,low|middle|high|elite,unspecified(all),summer|spring|spring_rasputitsa|autumn|winter,text:круглый год,new|serviceable|worn|patched|dirty|torn|wet,hem|panels,false,,wool,,,"этнографической понёвой XIX века, механически перенесённой в XIII век",costume:GF013|costume:SRC038|costume:SRC007|web:WEB05,C,candidate,Гипотетическая поясная одежда из шерстяного полотнища поверх рубахи; присутствие и форма в Новгороде около 1230 не доказаны.
gm_gf014,GF014,Дорожная женская накидка из плотной шерсти,дорожный плащ,heavy travel cloak,garment.kind.cloak,universal,region_novgorod_land,cloak,travel,плотная шерсть,MAT003,textile,бурый | серый | тёмный натуральный,COL003|COL008,claim:textile-ellagic-acid-analysis|costume:SRC007|costume:SRC043|undyed(natural wool),нет/минимальная (ANTI003),female,young_adult|adult|middle_aged|old,any,low|middle|high|elite,range:все слои|широк|все группы|разн|все в разн,spring|spring_rasputitsa|autumn|winter,text:весн|весен;осен;зим,new|serviceable|worn|patched|dirty|torn|wet,edge|fastening_point,true,,wool,brown,,фэнтезийным плащом-накидкой с меховой опушкой по всему краю,costume:GF014|costume:SRC007|costume:SRC008|costume:SRC015,B,candidate,"Функциональная шерстяная накидка для дороги, лодки и непогоды поверх длинной одежды и головного покрова."
gm_gc001,GC001,Детская длинная рубаха/сорочица,детская рубаха,linen shirt (sorochitsa),garment.kind.tunic_shirt,universal,region_novgorod_land,base_garment,daily,лён | конопля,MAT001|MAT002,textile,небелёный | молочно-белый,COL001|COL002,undyed|undyed(bleached),нет/минимальная (ANTI003),male|female,child,any,low|middle|high|elite,range:все слои|широк|все группы|разн|все в разн,summer|spring|spring_rasputitsa|autumn|winter,text:круглый год;лет,new|serviceable|worn|patched|dirty|torn|wet,collar|cuffs|hem,true,,light_linen,undyed_linen,,миниатюрным взрослым парадным костюмом или современной детской рубашкой,costume:GC001|costume:SRC003|costume:SRC008|costume:SRC013|wk:material_culture:tunic-shirt|claim:clothing-linen-shirt,B,candidate,Уменьшенная по размеру практичная рубаха; у маленьких детей могла быть основным видимым слоем в тёплую погоду.
