source_item_id,name_ru,subcategory,disposition,target,reason
AR014,Миндалевидный/каплевидный щит,shield_kite,reject,weapons_armor,"оружие, доспех или конское снаряжение — домен weapons_armor"
AR015,Укороченный треугольный/скруглённо-треугольный щит — переходный вариант,shield_transitional,reject,weapons_armor,"оружие, доспех или конское снаряжение — домен weapons_armor"
AR016,"Щитовое покрытие, окраска и ременная рукоять",shield_components,reject,weapons_armor,"оружие, доспех или конское снаряжение — домен weapons_armor"
AR017,Копьё,spear,reject,weapons_armor,"оружие, доспех или конское снаряжение — домен weapons_armor"
AR018,Конное копьё/ланцеобразное оружие,mounted_lance,reject,weapons_armor,"оружие, доспех или конское снаряжение — домен weapons_armor"
AR019,Сулица/лёгкое метательное копьё,javelin,reject,weapons_armor,"оружие, доспех или конское снаряжение — домен weapons_armor"
AR020,Меч,sword,reject,weapons_armor,"оружие, доспех или конское снаряжение — домен weapons_armor"
AR021,Ножны меча,sword_scabbard,reject,weapons_armor,"оружие, доспех или конское снаряжение — домен weapons_armor"
AR022,"Универсальный топор, пригодный в бою",axe_general,reject,weapons_armor,"оружие, доспех или конское снаряжение — домен weapons_armor"
AR023,Боевой топор,war_axe,reject,weapons_armor,"оружие, доспех или конское снаряжение — домен weapons_armor"
AR024,Булава,mace,reject,weapons_armor,"оружие, доспех или конское снаряжение — домен weapons_armor"
AR025,Кистень,flail,reject,weapons_armor,"оружие, доспех или конское снаряжение — домен weapons_armor"
AR026,Боевой/универсальный нож,combat_knife,reject,weapons_armor,"оружие, доспех или конское снаряжение — домен weapons_armor"
AR027,Простой лук,bow,reject,weapons_armor,"оружие, доспех или конское снаряжение — домен weapons_armor"
AR028,Стрелы с железными наконечниками,arrows,reject,weapons_armor,"оружие, доспех или конское снаряжение — домен weapons_armor"
AR029,Колчан,quiver,reject,weapons_armor,"оружие, доспех или конское снаряжение — домен weapons_armor"
AR030,Чехол для лука — осторожная реконструкция,bow_case,reject,weapons_armor,"оружие, доспех или конское снаряжение — домен weapons_armor"
AR031,Праща — возможное простое метательное средство,sling,reject,weapons_armor,"оружие, доспех или конское снаряжение — домен weapons_armor"
AR032,Деревянное седло с кожаным покрытием,horse_saddle,reject,weapons_armor,"оружие, доспех или конское снаряжение — домен weapons_armor"
AR033,Уздечка и железные удила,horse_bridle,reject,weapons_armor,"оружие, доспех или конское снаряжение — домен weapons_armor"
AR034,Железные стремена,stirrups,reject,weapons_armor,"оружие, доспех или конское снаряжение — домен weapons_armor"
AR035,Конский потник/попона простого типа,horse_cloth,reject,weapons_armor,"оружие, доспех или конское снаряжение — домен weapons_armor"
AR036,Воинский походный плащ,military_cloak,garment,garments/garments.csv,
AR037,Зимний воинский комплект слоёв,winter_military_layers,reject,duplicate,общие зимние слои воина дублируют GM003/GM008/GM005
AR038,Кожаные/шерстяные воинские рукавицы — без латных пластин,military_gloves,garment,garments/garments.csv,
AR039,Набор для ухода за кольчугой и оружием,maintenance_kit,reject,weapons_armor,"оружие, доспех или конское снаряжение — домен weapons_armor"
AR040,Сигнальный рог,signal_horn,reject,weapons_armor,"оружие, доспех или конское снаряжение — домен weapons_armor"
