kn_id,kind,role_refs,topic,event_ref,carrier_rule,distortion_rule,text_pool_ref,source_refs,confidence,status
kn_rumor_rumor_lithuanian_raid,rumor,путники|купцы|дружинники,Литовская опасность как дальняя тревога,generic_class:war,"who_spreads=путники;купцы;дружинники | where_heard=юго-западные дороги;торг;погост","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC","говорят, Литва опять шевелится / на юго-западных дорогах стали осторожнее / кто с товаром, тот ищет спутников",rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_lithuanian_raid],C,candidate
kn_rumor_rumor_strangers_seen,rumor,дети|пастухи|сторожа|деревенские,Чужие люди в округе,generic_class:strangers,"who_spreads=дети;пастухи;сторожа;деревенские | where_heard=деревня;дорога;брод","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC","видели людей не из наших мест / говор говорят иной / шли не к погосту, а в сторону леса",rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_strangers_seen],C,candidate
kn_rumor_rumor_robbers,rumor,возчики|нищие|проводники,Разбой или ночные люди,generic_class:robbery,"who_spreads=возчики;нищие;проводники | where_heard=постоялый двор;дорога;переправа","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",ночью на дороге кричали / возчик вернулся без части груза / лучше идти не одному,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_robbers],C,candidate
kn_rumor_rumor_wolves_near,rumor,пастухи|охотники|дети,Волки или зверьё у дороги,generic_class:beasts,"who_spreads=пастухи;охотники;дети | where_heard=лесной выход;покос;деревня","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",собаки ночью выли / скотину у края леса тронули / следы большие на снегу,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_wolves_near],C,candidate
kn_rumor_rumor_bear_forest,rumor,охотники|бортники|лесные промысловики,Медведь или крупный зверь у промысла,generic_class:beasts,"who_spreads=охотники;бортники;лесные промысловики | where_heard=лесной стан;бортная зона;погост","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",у бортей дерево содрано / мужики обходят тот лес / след у ручья видели,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_bear_forest],C,candidate
kn_rumor_rumor_fire_city,rumor,городские жители|сторожа|дети,Пожар или страх пожара,generic_class:fire,"who_spreads=городские жители;сторожа;дети | where_heard=городская улица;торг;двор","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",дым видели за посадом / кто-то крикнул о печи / ночью люди с вёдрами бегали,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_fire_city],C,candidate
kn_rumor_rumor_sickness,rumor,хозяйки|монастырские люди|поп,Болезнь в дворе или дороге,generic_class:disease,"who_spreads=хозяйки;монастырские люди;поп | where_heard=двор;монастырь;постоялый двор","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",у того двора кашель и жар / больного вынесли к печи / путник лёг и не встал,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_sickness],C,candidate
kn_rumor_rumor_debt_due,rumor,купцы|соседи|слуги,Долг стал срочным,generic_class:debt,"who_spreads=купцы;соседи;слуги | where_heard=торг;двор;погост","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",кредитор прислал человека / залог теперь требуют вернуть / без свидетеля спор не унять,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_debt_due],C,candidate
kn_rumor_rumor_theft,rumor,соседи|слуги|сторожа,Пропала вещь,generic_class:theft,"who_spreads=соседи;слуги;сторожа | where_heard=двор;клеть;торг","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC","у хозяина из клети пропало / ищут чужого / говорят, видели чужой узел",rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_theft],C,candidate
kn_rumor_rumor_monastery_gate,rumor,монастырские работники|паломники|возчики,Монастырь закрывает ворота,generic_class:monastery,"who_spreads=монастырские работники;паломники;возчики | where_heard=монастырские ворота;гостевой двор;дорога","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",после вечерни чужих не пустят / игумен велел беречь припасы / работных людей считают,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_monastery_gate],C,candidate
kn_rumor_rumor_market_measure,rumor,торговцы|покупатели|страж торга,На торге спор о мере,generic_class:market,"who_spreads=торговцы;покупатели;страж торга | where_heard=торг;склад;прилавок","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC","мерник у него неверный / мешок легче, чем говорит / свидетелей зовут",rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_market_measure],C,candidate
kn_rumor_rumor_death_road,rumor,путники|сторожа|поп,Смерть на дороге,generic_class:death,"who_spreads=путники;сторожа;поп | where_heard=дорога;погост;переправа","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC","нашли человека у поворота / не знают, замёрз или убит / тело пока не трогают",rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_death_road],C,candidate
kn_rumor_rumor_runaway,rumor,хозяева дворов|стража|слуги,Беглый или человек без поручителя,generic_class:runaway,"who_spreads=хозяева дворов;стража;слуги | where_heard=городская окраина;деревня;погост","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC","ищут беглого / без поручителя ночлег не дадут / говорят, прячется у родни",rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_runaway],C,candidate
kn_rumor_rumor_omen_belief,rumor,прихожане|паломники|нищие,Знамение как вера людей,generic_class:omen_belief,"who_spreads=прихожане;паломники;нищие | where_heard=церковь;кладбищенский край;торг","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=объективную сверхъестественную истину;магическое объяснение;гарантированный исход","люди говорят, будто знак был / старухи шепчут у церкви / поп велел не болтать лишнего",rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_omen_belief],C,candidate
kn_rumor_rumor_ice_thin,rumor,рыбаки|перевозчики|дети,Лёд опасен,generic_class:ice,"who_spreads=рыбаки;перевозчики;дети | where_heard=берег;переправа;зимник","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",лёд звенит нехорошо / у берега вода выступила / санный след оборвался,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_ice_thin],C,candidate
kn_rumor_rumor_flood_rising,rumor,рыбаки|лодочники|береговые жители,Вода прибывает,generic_class:flood,"who_spreads=рыбаки;лодочники;береговые жители | where_heard=берег;пристань;погост","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",колья в воде скрылись / берег съедает / лодки отвязали выше,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_flood_rising],C,candidate
kn_rumor_rumor_winter_road_open,rumor,возчики|проводники|крестьяне,Зимник открыт или сомнителен,generic_class:winter_road,"who_spreads=возчики;проводники;крестьяне | where_heard=зимник;погост;дорога","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",следы саней пошли через лес / по льду уже ходят местные / без проводника лучше рано,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_winter_road_open],C,candidate
kn_rumor_rumor_bad_guide,rumor,путники|местные|купцы,Проводник обманывает или боится,generic_class:guide,"who_spreads=путники;местные;купцы | where_heard=погост;постоялый двор;торг","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC","проводник берёт дорого / знает ли он путь, кто скажет / в прошлом году людей завёл не туда",rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_bad_guide],C,candidate
kn_rumor_rumor_tax_due,rumor,сборщики|торговцы|стража,Сбор или пошлина,generic_class:authority_dues,"who_spreads=сборщики;торговцы;стража | where_heard=переправа;торг;двор власти","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",на переправе снова берут / с товара требуют показать мешки / без старшего спорить опасно,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_tax_due],C,candidate
kn_rumor_rumor_fish_run,rumor,рыбаки|женщины на берегу|торговцы,Рыба пошла или ушла,generic_class:fish,"who_spreads=рыбаки;женщины на берегу;торговцы | where_heard=рыбацкий стан;берег;торг","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",рыба идёт не там / сети пустые / у того берега лучше ставят,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_fish_run],C,candidate
kn_rumor_rumor_livestock_missing,rumor,пастухи|дети|хозяйки,Скотина пропала,generic_class:livestock,"who_spreads=пастухи;дети;хозяйки | where_heard=деревня;покос;лесной выход","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",корову не нашли после выгону / след к лесу / соседей уже спрашивали,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_livestock_missing],C,candidate
kn_rumor_rumor_forest_rights,rumor,лесные люди|бортники|старосты,Спор о лесном пользовании,generic_class:forest,"who_spreads=лесные люди;бортники;старосты | where_heard=лесной стан;деревня;погост","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",не всякому туда рубить / у бортей чужие ходили / старшие велели спросить разрешения,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_forest_rights],C,candidate
kn_rumor_rumor_hidden_path,rumor,охотники|проводники|местные,Скрытая или местная тропа,generic_class:route,"who_spreads=охотники;проводники;местные | where_heard=лесной выход;погост;дорога","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=точное направление без проводника;объективную карту","есть ход короче, но не всякому показывают / тропа идёт за болотом / после дождя её не сыщешь",rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_hidden_path],C,candidate
kn_rumor_rumor_bridge_damaged,rumor,возчики|сторожа|местные,Мостки или переход повреждены,generic_class:road,"who_spreads=возчики;сторожа;местные | where_heard=мостки;дорога;пристань","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",доски унесло / возчик колесо сломал / сторож велел ждать,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_bridge_damaged],C,candidate
kn_rumor_rumor_merchant_caravan,rumor,купцы|грузчики|лодочники,Купеческий обоз или лодки идут,generic_class:trade,"who_spreads=купцы;грузчики;лодочники | where_heard=торг;пристань;постоялый двор","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",товарные люди подходят / на пристани будет шум / сторожа ищут место под груз,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_merchant_caravan],C,candidate
kn_rumor_rumor_pskov_news,rumor,купцы|послы|путники,Вести из Псковской земли,generic_class:neighbor_pskov,"who_spreads=купцы;послы;путники | where_heard=юго-западные дороги;торг;погост","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",с Пскова привезли тревожное / псковичи не всё говорят / дорога к Шелони неспокойна,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_pskov_news],C,candidate
kn_rumor_rumor_ladoga_news,rumor,лодочники|купцы|стража,Вести с Ладожско-Ижорской стороны,generic_class:neighbor_ladoga_izhora,"who_spreads=лодочники;купцы;стража | where_heard=Волхов;пристань;торг","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",с Ладоги пришли люди с товаром / по Волхову говорят о чужих кораблях / на северной дороге стали смотреть строже,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_ladoga_news],C,candidate
kn_rumor_rumor_karelian_news,rumor,охотники|проводники|купцы,Карельские вести,generic_class:neighbor_karelia,"who_spreads=охотники;проводники;купцы | where_heard=лесной стан;торг;погост","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",с Карельской стороны слухи о промысле и тревоге / лесные люди говорят неохотно / товар севера идёт с задержкой,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_karelian_news],C,candidate
kn_rumor_rumor_zavolochye_news,rumor,купцы|промысловики|проводники,Вести из Заволочья,generic_class:neighbor_zavolochye,"who_spreads=купцы;промысловики;проводники | where_heard=торг;лесной стан;погост","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",говорят о дальних промыслах / мех ждут поздно / люди оттуда знают долгие пути,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_zavolochye_news],C,candidate
kn_rumor_rumor_belozero_news,rumor,купцы|возчики|паломники,Вести с Белозерья,generic_class:neighbor_belozero,"who_spreads=купцы;возчики;паломники | where_heard=торг;дорога;погост","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",с Белоозера идут вести небыстрые / говорят о дороге через воды и лес / у товара задержка,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_belozero_news],C,candidate
kn_rumor_rumor_vladimir_suzdal_news,rumor,купцы|дружинники|послы,Вести из Владимиро-Суздальской земли,generic_class:neighbor_vladimir_suzdal,"who_spreads=купцы;дружинники;послы | where_heard=торг;дорога;двор власти","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",с Низа пришли люди / о княжеских делах говорят тихо / товар ждут по дороге через Торжок,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_vladimir_suzdal_news],C,candidate
kn_rumor_rumor_tatar_pressure_distant,rumor,купцы|послы|дружинники|беженцы,Дальняя татарская/ордынская тревога,generic_class:distant_steppe_pressure,"who_spreads=купцы;послы;дружинники;беженцы | where_heard=торг;двор власти;погост","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=точные планы хана;стратегическую правду;будущие даты","с Низа говорят о большой силе / князья осторожны / обычные люди знают больше страха, чем правды",rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_tatar_pressure_distant],C,candidate
kn_rumor_rumor_fast_or_feast,rumor,поп|прихожане|монахи,Пост или праздник меняет поведение,generic_class:church_calendar,"who_spreads=поп;прихожане;монахи | where_heard=церковь;монастырь;двор","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",к службе зовут раньше / мяса сегодня не ищи / после службы будут говорить о сборе,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_fast_or_feast],C,candidate
kn_rumor_rumor_witness_talks,rumor,соседи|дети|слуги,Свидетель пересказывает увиденное,generic_class:witness,"who_spreads=соседи;дети;слуги | where_heard=двор;колодец;улица","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC","он видел, кто входил / у колодца уже говорят / к вечеру узнают на соседнем дворе",rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_witness_talks],C,candidate
kn_rumor_rumor_bad_measure,rumor,покупатели|торговцы|сотские/стража торга,Плохая мера или вес,generic_class:market,"who_spreads=покупатели;торговцы;сотские/стража торга | where_heard=торг;склад","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",мерка у него лживая / весы подкладывают / старшего зовут,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_bad_measure],C,candidate
kn_rumor_rumor_grain_hidden,rumor,бедные люди|слуги|женщины у колодца,Зерно прячут,generic_class:famine,"who_spreads=бедные люди;слуги;женщины у колодца | where_heard=городская улица;деревня;торг","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC","клети закрыты / говорят, у богатых хлеб есть / бедным не продают без поручителя",rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_grain_hidden],C,candidate
kn_rumor_rumor_burned_yard,rumor,соседи|поп|погорельцы,Погорелый двор просит помощи,generic_class:fire,"who_spreads=соседи;поп;погорельцы | where_heard=деревня;городская окраина;церковный двор","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",двор сгорел / детей приняли родичи / просят хлеба и крова,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_burned_yard],C,candidate
kn_rumor_rumor_gates_close_early,rumor,сторожа|возчики|путники,Ворота закроют раньше,generic_class:access,"who_spreads=сторожа;возчики;путники | where_heard=городские ворота;монастырские ворота;двор","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",сторож сказал не ждать темноты / после заката чужих не пустят / приказ пришёл от старших,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_gates_close_early],C,candidate
kn_rumor_rumor_boat_broken,rumor,лодочники|плотники|грузчики,Лодка сломана или течёт,generic_class:water_route,"who_spreads=лодочники;плотники;грузчики | where_heard=пристань;лодочная зона;перевоз","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",лодка воду берёт / смолу ищут / груз придётся ждать,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_boat_broken],C,candidate
kn_rumor_rumor_horse_sick,rumor,возчики|конюхи|купеческие люди,Лошадь или тягло заболело,generic_class:transport,"who_spreads=возчики;конюхи;купеческие люди | where_heard=постоялый двор;конюшня;дорога","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",конь хромает / саням не идти без замены / возчик ругается с хозяином,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_horse_sick],C,candidate
kn_rumor_rumor_pilgrim_news,rumor,паломники|монастырские работники|поп,Богомольцы принесли вести,generic_class:pilgrimage,"who_spreads=паломники;монастырские работники;поп | where_heard=монастырь;церковь;погост","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",богомольцы ночевали у монастыря / они говорят о дороге и святых местах / не всё из их слов проверишь,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_pilgrim_news],C,candidate
kn_rumor_rumor_work_needed,rumor,старосты|купцы|лодочники,Нужны рабочие руки,generic_class:labor,"who_spreads=старосты;купцы;лодочники | where_heard=пристань;покос;волок;двор","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",на пристани ищут грузчиков / к сену зовут / лодку надо тянуть на волоке,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_work_needed],C,candidate
kn_rumor_rumor_court_summons,rumor,старосты|соседи|стража,Кого-то зовут на разбор,generic_class:law_custom,"who_spreads=старосты;соседи;стража | where_heard=погост;двор власти;торг","truth_variants=true;distorted;false;outdated;uncertain | must_not_reveal=истинность слуха;скрытые причины;точные будущие даты;объективную карту мира;скрытые мотивы NPC",старшие велели явиться / без свидетелей не примут / двор уже знает,rus13tpl novgorod_rumor_templates_v1.json (draft) [rumor_court_summons],C,candidate
kn_profile_group_local_commoners,knowledge_profile,group_local_commoners,"Местные жители | категории: knowledge_local_roads;knowledge_fords_ferries;knowledge_law_custom;knowledge_debts;knowledge_danger;knowledge_lodging;knowledge_weather_signs;knowledge_property_marks",,"how_they_know=личный опыт;работа;родня;повторяющиеся разговоры в месте","misunderstand=дальние политические причины;точные цены вне своей округи | hide=личные долги;семейный конфликт;то, что может навлечь наказание",,rus13tpl novgorod_common_knowledge_v1.json (draft) [group_local_commoners],C,candidate
kn_profile_group_townspeople,knowledge_profile,group_townspeople,"Горожане Новгорода | категории: knowledge_prices;knowledge_elites;knowledge_law_custom;knowledge_dues;knowledge_rumors;knowledge_social_address;knowledge_work_opportunities",,"how_they_know=личный опыт;работа;родня;повторяющиеся разговоры в месте","misunderstand=лесные тропы и отдалённые броды;промысловые тайны | hide=личные долги;семейный конфликт;то, что может навлечь наказание",,rus13tpl novgorod_common_knowledge_v1.json (draft) [group_townspeople],C,candidate
kn_profile_group_villagers,knowledge_profile,group_villagers,"Деревенские | категории: knowledge_local_roads;knowledge_fords_ferries;knowledge_law_custom;knowledge_weather_signs;knowledge_property_marks;knowledge_work_opportunities",,"how_they_know=личный опыт;работа;родня;повторяющиеся разговоры в месте","misunderstand=городскую политику;дальние торговые вести | hide=личные долги;семейный конфликт;то, что может навлечь наказание",,rus13tpl novgorod_common_knowledge_v1.json (draft) [group_villagers],C,candidate
