item_id,name_ru,category,subcategory,description_ru,who_used,social_scope,military_scope,period_from,period_to,materials,construction,dimensions,weight_if_known,wear_and_condition,historical_confidence,evidence_basis,source_ids,anachronism_risk,do_not_confuse_with,generation_policy
FOR0011,Береговая срубная подпорная конструкция,fortifications,shore_revetment,"Береговая срубная подпорная конструкция. Функция: укрепление локального участка берега, подхода или пристани. Конструктивно: деревянные срубы/ряды брёвен с грунтовой и каменной забутовкой; не равна непрерывной городской крепостной стене. Для генерации следует сохранять ручную технологию, неровность материала и регионально-историческую простоту формы.",городская община и гарнизон,общественная инфраструктура,инфраструктурное; оборонительная функция не гарантирована,1180,1260,"брёвна, камень, грунт, доски",деревянные срубы/ряды брёвен с грунтовой и каменной забутовкой; не равна непрерывной городской крепостной стене,локальный участок берега,точно не установлена; не нормировать без конкретной находки,"ремонтные заплаты, мокрый грунт, потёртые проходы",B,Хорошая реконструкция по новгородским данным и нескольким близким древнерусским аналогиям XII–XIII вв.,"[""SRC014"",""SRC015"",""SRC016"",""SRC071"",""SRC031"",""SRC003""]",средне-высокий: без референса генератор часто подменяет форму позднесредневековой или этнографической,каменной набережной имперского города,safe_with_constraints
FOR0012,Острожная стена из вертикального частокола,fortifications,timber_palisade,"Острожная стена из вертикального частокола. Функция: быстрая оборонительная ограда посадского или временного укрепления. Конструктивно: заострённые брёвна поставлены вплотную в траншею или закреплены в деревянной обвязке; точная схема зависит от участка и датировки. Для генерации следует сохранять ручную технологию, неровность материала и регионально-историческую простоту формы.",городская община и гарнизон,общественная инфраструктура,оборонительное,1180,1260,"брёвна, земля, деревянная обвязка",заострённые брёвна поставлены вплотную в траншею или закреплены в деревянной обвязке; точная схема зависит от участка и датировки,высота и толщина не нормируются без конкретного археологического профиля,точно не установлена; не нормировать без конкретной находки,"ремонтные заплаты, мокрый грунт, потёртые проходы",C,"Осторожная реконструкция: функция или наличие вероятны, но конкретная форма/конструкция для Новгорода около 1230 не закреплена полностью.","[""SRC014"",""SRC015"",""SRC016"",""SRC071"",""SRC031""]",высокий: нужен конкретный референс и явная маркировка реконструкции,частоколом «викингской деревни» IX века или ровной декоративной оградой парка,reference_required
FOR0013,Дубовая срубная стена раннего Детинца,fortifications,timber_wall,"Деревянная крепостная линия из дубовых срубов-городен, относимая к раннему этапу Детинца; к 1230 ее точное состояние и надстройка требуют осторожной реконструкции.",городская община и гарнизон,public military,fortification,1180,1260,"дубовые бревна, грунт/камень в заполнении отдельных конструкций",цепь срубных камер/городен с деревянной боевой надстройкой; конкретная высота неизвестна,по конкретной находке/плану; универсальный размер не задаётся,точно не установлена; не нормировать без конкретной находки,"ремонтные заплаты, мокрый грунт, потёртые проходы",B,археологически датированные дубовые городни первых десятилетий XII в.; состояние к 1230 реконструктивно,"[""SRC014"",""SRC015"",""SRC016"",""SRC071"",""SRC031""]",very_high,кирпичные стены и башни современного Кремля; частокол одного ряда как полная крепость,safe_with_constraints
FOR0014,Срубная клетчатая конструкция деревянной стены,fortifications,timber_wall_structure,"Срубная клетчатая конструкция деревянной стены. Функция: удержание земляного заполнения и создание устойчивого основания оборонительной стены. Конструктивно: соединённые срубные клетки из брёвен, местами с грунтовой или каменной забутовкой; поверхностный боевой ярус реконструируется осторожно. Для генерации следует сохранять ручную технологию, неровность материала и регионально-историческую простоту формы.",городская община и гарнизон,общественная инфраструктура,оборонительное,1180,1260,"дубовые/хвойные брёвна, земля, камень локально","соединённые срубные клетки из брёвен, местами с грунтовой или каменной забутовкой; поверхностный боевой ярус реконструируется осторожно",по археологическому разрезу; универсальная высота не задаётся,точно не установлена; не нормировать без конкретной находки,"ремонтные заплаты, мокрый грунт, потёртые проходы",B,Хорошая реконструкция по новгородским данным и нескольким близким древнерусским аналогиям XII–XIII вв.,"[""SRC014"",""SRC015"",""SRC016"",""SRC071"",""SRC031""]",средне-высокий: без референса генератор часто подменяет форму позднесредневековой или этнографической,каменной казематной стеной позднего Средневековья,safe_with_constraints
FOR0015,Внутренняя деревянная лестница на боевой ход,fortifications,wall_access,"Внутренняя деревянная лестница на боевой ход. Функция: подъём стражи на верхнюю площадку деревянного укрепления. Конструктивно: крутая лестница из тёсаных боковин и ступеней либо лестница-шегла; крепление к стене простое. Для генерации следует сохранять ручную технологию, неровность материала и регионально-историческую простоту формы.",городская община и гарнизон,общественная инфраструктура,оборонительное,1180,1260,"дерево, деревянные нагели, железо редко",крутая лестница из тёсаных боковин и ступеней либо лестница-шегла; крепление к стене простое,узкая и крутая; точный размер по реконструкции стены,точно не установлена; не нормировать без конкретной находки,"ремонтные заплаты, мокрый грунт, потёртые проходы",C,"Осторожная реконструкция: функция или наличие вероятны, но конкретная форма/конструкция для Новгорода около 1230 не закреплена полностью.","[""SRC014"",""SRC015"",""SRC016"",""SRC071"",""SRC031""]",высокий: нужен конкретный референс и явная маркировка реконструкции,каменной винтовой лестницей башни XV века,reference_required
FOR0016,Деревянная дозорная/боевая площадка на стене,fortifications,wall_superstructure,Деревянный настил для защитников за ограждением стены; форма и высота около 1230 г. реконструируются.,городская община и гарнизон,public military,fortification,1180,1260,"бревна, плахи, жерди","настил на верхней части срубной стены, простое защитное ограждение",по конкретной находке/плану; универсальный размер не задаётся,точно не установлена; не нормировать без конкретной находки,"ремонтные заплаты, мокрый грунт, потёртые проходы",C,"Осторожная реконструкция: функция или наличие вероятны, но конкретная форма/конструкция для Новгорода около 1230 не закреплена полностью.","[""SRC014"",""SRC015"",""SRC016"",""SRC071"",""SRC031""]",высокий: нужен конкретный референс и явная маркировка реконструкции,каменные машикули и поздние зубцы,reference_required
WPN0001,"Стрела с древком, оперением и наконечником",weapons,arrow,"Стрела с деревянным древком. Функция: поражение цели из лука. Конструктивно: выпрямленное древко, оперение, вырезанная пята, насаженный наконечник. Для генерации следует сохранять ручную технологию, неровность материала и регионально-историческую простоту формы.","дружина, служилые люди, охотники, ополчение",от простого оружия ополчения до дорогого меча,боевое,1180,1260,"прямослойное дерево, железо/кость, перо, клей, нить","выпрямленное древко, оперение, вырезанная пята, насаженный наконечник",обычно около 60–90 см; точность по комплекту,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",A,"Прямое новгородское археологическое, архитектурное или письменное подтверждение в подходящем диапазоне; форму всё равно сверять с конкретным опубликованным экземпляром.","[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC045""]","средний: опасность главным образом в позднем декоре, слишком новом состоянии и неверном масштабе",современной алюминиевой стрелой,safe_with_record_specific_reference
WPN0002,Костяной наконечник стрелы,weapons,arrowhead,"Костяной наконечник стрелы. Функция: охота на мелкую дичь/птицу или специальное применение. Конструктивно: заострённая и шлифованная деталь с насадкой на древко. Для генерации следует сохранять ручную технологию, неровность материала и регионально-историческую простоту формы.","дружина, служилые люди, охотники, ополчение",от простого оружия ополчения до дорогого меча,боевое,1180,1260,кость/рог,заострённая и шлифованная деталь с насадкой на древко,по находке,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",B,Хорошая реконструкция по новгородским данным и нескольким близким древнерусским аналогиям XII–XIII вв.,"[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC045""]",средне-высокий: без референса генератор часто подменяет форму позднесредневековой или этнографической,декоративной «первобытной» стрелой,safe_with_constraints
WPN0003,Наконечник стрелы втульчатый бронебойный,weapons,arrowhead,"Наконечник стрелы втульчатый бронебойный. Функция: пробивание плотной одежды и защиты. Конструктивно: узкое гранёное перо и втулка на древко. Для генерации следует сохранять ручную технологию, неровность материала и регионально-историческую простоту формы.","дружина, служилые люди, охотники, ополчение",от простого оружия ополчения до дорогого меча,боевое,1180,1260,железо/сталь,узкое гранёное перо и втулка на древко,обычно несколько сантиметров,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",A,"Прямое новгородское археологическое, архитектурное или письменное подтверждение в подходящем диапазоне; форму всё равно сверять с конкретным опубликованным экземпляром.","[""SRC034"",""SRC035"",""SRC037"",""SRC032""]","средний: опасность главным образом в позднем декоре, слишком новом состоянии и неверном масштабе",поздним арбалетным болтом,safe_with_record_specific_reference
WPN0004,Наконечник стрелы черешковый ромбический,weapons,arrowhead,"Наконечник стрелы черешковый ромбический. Функция: универсальное боевое поражение. Конструктивно: ромбическое/листовидное перо и длинный черешок в древко. Для генерации следует сохранять ручную технологию, неровность материала и регионально-историческую простоту формы.","дружина, служилые люди, охотники, ополчение",от простого оружия ополчения до дорогого меча,боевое,1180,1260,железо/сталь,ромбическое/листовидное перо и длинный черешок в древко,несколько сантиметров,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",A,"Прямое новгородское археологическое, архитектурное или письменное подтверждение в подходящем диапазоне; форму всё равно сверять с конкретным опубликованным экземпляром.","[""SRC034"",""SRC035"",""SRC037"",""SRC032""]","средний: опасность главным образом в позднем декоре, слишком новом состоянии и неверном масштабе",современным спортивным наконечником,safe_with_record_specific_reference
WPN0005,Наконечник стрелы широколезвийный охотничий,weapons,arrowhead,"Наконечник стрелы широколезвийный охотничий. Функция: нанесение широкой раны зверю. Конструктивно: плоское широкое перо с острыми краями, черешок или втулка. Для генерации следует сохранять ручную технологию, неровность материала и регионально-историческую простоту формы.","дружина, служилые люди, охотники, ополчение",от простого оружия ополчения до дорогого меча,боевое,1180,1260,железо/сталь,"плоское широкое перо с острыми краями, черешок или втулка",несколько сантиметров,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",A,"Прямое новгородское археологическое, архитектурное или письменное подтверждение в подходящем диапазоне; форму всё равно сверять с конкретным опубликованным экземпляром.","[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC045""]","средний: опасность главным образом в позднем декоре, слишком новом состоянии и неверном масштабе",фэнтезийной многолопастной стрелой,safe_with_record_specific_reference
WPN0006,Топор боевой бородовидный,weapons,battle_axe,"Топор боевой бородовидный. Функция: рубящее боевое оружие. Конструктивно: кованая проушная головка с оттянутой вниз бородой, узкий обух, сравнительно тонкое лезвие. Для генерации следует сохранять ручную технологию, неровность материала и регионально-историческую простоту формы.","дружина, служилые люди, охотники, ополчение",от простого оружия ополчения до дорогого меча,боевое,1180,1260,"железо/сталь, дерево","кованая проушная головка с оттянутой вниз бородой, узкий обух, сравнительно тонкое лезвие",головка обычно компактная; рукоять примерно 50–80 см,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",A,"Прямое новгородское археологическое, архитектурное или письменное подтверждение в подходящем диапазоне; форму всё равно сверять с конкретным опубликованным экземпляром.","[""SRC034"",""SRC035"",""SRC037"",""SRC032""]","средний: опасность главным образом в позднем декоре, слишком новом состоянии и неверном масштабе",двуручной датской секирой XI века или поздней бердышевидной формой,safe_with_record_specific_reference
WPN0007,Топор боевой с молоточковидным обухом,weapons,battle_axe,"Топор боевой с молоточковидным обухом. Функция: рубяще-ударное оружие. Конструктивно: небольшое лезвие и вытянутый/молоточковидный обух; проушная насадка. Для генерации следует сохранять ручную технологию, неровность материала и регионально-историческую простоту формы.","дружина, служилые люди, охотники, ополчение",от простого оружия ополчения до дорогого меча,боевое,1180,1260,"железо/сталь, дерево",небольшое лезвие и вытянутый/молоточковидный обух; проушная насадка,"компактная головка, одноручная рукоять",точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",B,Хорошая реконструкция по новгородским данным и нескольким близким древнерусским аналогиям XII–XIII вв.,"[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC036""]",средне-высокий: без референса генератор часто подменяет форму позднесредневековой или этнографической,чеканом XIV–XVII века,safe_with_constraints
WPN0008,Лук простой деревянный,weapons,bow,"Лук простой деревянный. Функция: стрельба на охоте и в бою. Конструктивно: цельная дуга из подобранной древесины с утончающимися плечами; роговые/костяные накладки только по аналогу. Для генерации следует сохранять ручную технологию, неровность материала и регионально-историческую простоту формы.","дружина, служилые люди, охотники, ополчение",от простого оружия ополчения до дорогого меча,боевое,1180,1260,"упругая древесина, тетива",цельная дуга из подобранной древесины с утончающимися плечами; роговые/костяные накладки только по аналогу,"размер вариативен, часто ростовой или несколько короче; не задавать без экземпляра",точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",B,Хорошая реконструкция по новгородским данным и нескольким близким древнерусским аналогиям XII–XIII вв.,"[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC045""]",средне-высокий: без референса генератор часто подменяет форму позднесредневековой или этнографической,современным спортивным лонгбоу,safe_with_constraints
WPN0009,Лук сложносоставной,weapons,bow,"Лук сложносоставной. Функция: конная и пешая стрельба. Конструктивно: композитная дуга с рефлексом и накладками; сложная многослойная конструкция. Для генерации следует сохранять ручную технологию, неровность материала и регионально-историческую простоту формы.","дружина, служилые люди, охотники, ополчение",от простого оружия ополчения до дорогого меча,боевое,1180,1260,"дерево, рог, сухожилия, клей, береста/кожа",композитная дуга с рефлексом и накладками; сложная многослойная конструкция,компактнее простого лука; точный профиль по находке/аналогии,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",C,"Осторожная реконструкция: функция или наличие вероятны, но конкретная форма/конструкция для Новгорода около 1230 не закреплена полностью.","[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC038""]",высокий: нужен конкретный референс и явная маркировка реконструкции,монгольским луком поздней стереотипной формы,reference_required
WPN0010,Дубина деревянная,weapons,club,"Дубина деревянная. Функция: простое ударное оружие и инструмент. Конструктивно: естественная или обтёсанная палка с утолщённым концом. Для генерации следует сохранять ручную технологию, неровность материала и регионально-историческую простоту формы.","дружина, служилые люди, охотники, ополчение",от простого оружия ополчения до дорогого меча,боевое,1180,1260,твёрдое дерево,естественная или обтёсанная палка с утолщённым концом,"примерно 50–100 см, вариативно",точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",B,Хорошая реконструкция по новгородским данным и нескольким близким древнерусским аналогиям XII–XIII вв.,"[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC008"",""SRC045""]",средне-высокий: без референса генератор часто подменяет форму позднесредневековой или этнографической,симметричной турнирной палицей,safe_with_constraints
