npt_id,g4_ref,g4_short,layer,season_period,condition,requires,channel,clear_text,partial_text,loudness,member_ref,layer_class,source_refs,confidence,status
npt_central_current_split__natural_materials__winter__snow,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,natural_materials,winter,snow,ground_state=snow,visual,"Из-под снега проступают смёрзшийся ил, сухие стебли травы и занесённые сучья.",Из-под снега что-то проступает.,,,alluvial_silt_mud+grass_sedge_litter+small_woody_debris,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/natural_materials|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npt_central_current_split__natural_materials__winter__no_snow,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,natural_materials,winter,no_snow,ground_state!=snow and season=winter,visual,"На мёрзлой голой земле видны смёрзшийся ил, сухие стебли травы и занесённые сучья.",На земле что-то лежит.,,,alluvial_silt_mud+grass_sedge_litter+small_woody_debris,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/natural_materials|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npt_central_current_split__seasonal_state__winter__snow,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,seasonal_state,winter,snow,ground_state=snow,visual,Зима: вода и берега под снегом и льдом.,Зимнее место.,,,water,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/seasonal_state|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|game-base-v1/nature-materials-weather/weather_climate/seasonal_phenomena.csv,C,candidate
npt_central_current_split__seasonal_state__winter__no_snow,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,seasonal_state,winter,no_snow,ground_state!=snow and season=winter,visual,"Предзимье: земля голая и мёрзлая, вода уже схватывается.",Холодно и голо.,,,water,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/seasonal_state|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|game-base-v1/nature-materials-weather/weather_climate/seasonal_phenomena.csv,C,candidate
npt_central_current_split__light__winter__snow__civil_dawn,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,light,winter,snow,light_phase=civil_dawn; ground_state=snow,visual,Долго светает; серый свет медленно проступает над снегом.,Сумеречно.,,,semi_open,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/light|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|main:data/world-catalogs/novgorod/temporal-v4/datasets/calendar_daylight_light_profiles.json|game-base-v1/nature-materials-weather/weather_climate/light_profile_by_month.csv,C,candidate
npt_central_current_split__light__winter__no_snow__civil_dawn,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,light,winter,no_snow,light_phase=civil_dawn; ground_state!=snow and season=winter,visual,Долго светает; серый свет медленно проступает над мёрзлой голой землёй.,Сумеречно.,,,semi_open,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/light|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|main:data/world-catalogs/novgorod/temporal-v4/datasets/calendar_daylight_light_profiles.json|game-base-v1/nature-materials-weather/weather_climate/light_profile_by_month.csv,C,candidate
npt_central_current_split__light__winter__default__daylight,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,light,winter,default,light_phase=daylight,visual,"Солнце стоит низко, свет косой и короткий; тени длинные даже в полдень. Свет пятнами пробивается между деревьями.",Светло.,,,semi_open,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/light|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|main:data/world-catalogs/novgorod/temporal-v4/datasets/calendar_daylight_light_profiles.json|game-base-v1/nature-materials-weather/weather_climate/light_profile_by_month.csv,C,candidate
npt_central_current_split__light__winter__snow__civil_dusk,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,light,winter,snow,light_phase=civil_dusk; ground_state=snow,visual,Рано смеркается; снег синеет и темнеет.,Сумеречно.,,,semi_open,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/light|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|main:data/world-catalogs/novgorod/temporal-v4/datasets/calendar_daylight_light_profiles.json|game-base-v1/nature-materials-weather/weather_climate/light_profile_by_month.csv,C,candidate
npt_central_current_split__light__winter__no_snow__civil_dusk,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,light,winter,no_snow,light_phase=civil_dusk; ground_state!=snow and season=winter,visual,Рано смеркается; голая земля быстро темнеет.,Сумеречно.,,,semi_open,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/light|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|main:data/world-catalogs/novgorod/temporal-v4/datasets/calendar_daylight_light_profiles.json|game-base-v1/nature-materials-weather/weather_climate/light_profile_by_month.csv,C,candidate
npt_central_current_split__light__winter__snow__night,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,light,winter,snow,light_phase=night; ground_state=snow,visual,Ночь длинная и тёмная; только снег чуть отсвечивает.,Темно.,,,semi_open,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/light|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|main:data/world-catalogs/novgorod/temporal-v4/datasets/calendar_daylight_light_profiles.json|game-base-v1/nature-materials-weather/weather_climate/light_profile_by_month.csv,C,candidate
npt_central_current_split__light__winter__no_snow__night,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,light,winter,no_snow,light_phase=night; ground_state!=snow and season=winter,visual,Ночь длинная и тёмная; мёрзлая земля почти не различима.,Темно.,,,semi_open,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/light|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|main:data/world-catalogs/novgorod/temporal-v4/datasets/calendar_daylight_light_profiles.json|game-base-v1/nature-materials-weather/weather_climate/light_profile_by_month.csv,C,candidate
npt_central_current_split__weather__winter__wx_clear__none,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,weather,winter,wx_clear,weather_state=wx_clear; precipitation_phase=none,visual,"Небо чистое, ветра почти нет.",Ясно.,,,water_ice,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/weather|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|game-base-v1/nature-materials-weather/weather_climate/realized_weather_matrix.csv#wxr_clear__none|game-base-v1/nature-materials-weather/weather_climate/local_landscape_modifiers.csv,C,candidate
npt_central_current_split__weather__winter__wx_partly_cloudy__none,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,weather,winter,wx_partly_cloudy,weather_state=wx_partly_cloudy; precipitation_phase=none,visual,"По небу идут облака, солнце то прячется, то выходит.",Облачно.,,,water_ice,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/weather|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|game-base-v1/nature-materials-weather/weather_climate/realized_weather_matrix.csv#wxr_partly_cloudy__none|game-base-v1/nature-materials-weather/weather_climate/local_landscape_modifiers.csv,C,candidate
npt_central_current_split__weather__winter__wx_overcast__none,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,weather,winter,wx_overcast,weather_state=wx_overcast; precipitation_phase=none,visual,"Небо затянуто ровной серой пеленой, но сухо.",Пасмурно.,,,water_ice,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/weather|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|game-base-v1/nature-materials-weather/weather_climate/realized_weather_matrix.csv#wxr_overcast__none|game-base-v1/nature-materials-weather/weather_climate/local_landscape_modifiers.csv,C,candidate
npt_central_current_split__weather__winter__wx_fog__none,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,weather,winter,wx_fog,weather_state=wx_fog; precipitation_phase=none,visual,Лёг туман; в нескольких шагах всё расплывается. Над льдом висит морозная дымка.,"Туман, почти ничего не видно.",,,water_ice,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/weather|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|game-base-v1/nature-materials-weather/weather_climate/realized_weather_matrix.csv#wxr_fog__none|game-base-v1/nature-materials-weather/weather_climate/local_landscape_modifiers.csv,C,candidate
npt_central_current_split__weather__winter__wx_precip_light__snow,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,weather,winter,wx_precip_light,weather_state=wx_precip_light; precipitation_phase=snow,visual,Сыплет мелкий редкий снег. Над замёрзшей водой всё тонет в белой мгле.,Идёт снег.,,,water_ice,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/weather|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|game-base-v1/nature-materials-weather/weather_climate/realized_weather_matrix.csv#wxr_precip_light__snow|game-base-v1/nature-materials-weather/weather_climate/local_landscape_modifiers.csv,C,candidate
npt_central_current_split__weather__winter__wx_precip_light__sleet,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,weather,winter,wx_precip_light,weather_state=wx_precip_light; precipitation_phase=sleet,visual,"Сеет мокрый снег пополам с дождём, всё блестит от сырости. Над замёрзшей водой всё тонет в белой мгле.",Мокро и мутно.,,,water_ice,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/weather|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|game-base-v1/nature-materials-weather/weather_climate/realized_weather_matrix.csv#wxr_precip_light__sleet|game-base-v1/nature-materials-weather/weather_climate/local_landscape_modifiers.csv,C,candidate
npt_central_current_split__weather__winter__wx_precip_steady__snow,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,weather,winter,wx_precip_steady,weather_state=wx_precip_steady; precipitation_phase=snow,visual,"Валит густой снег, дальнего берега не видно. Над замёрзшей водой всё тонет в белой мгле.",Снег застилает всё.,,,water_ice,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/weather|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|game-base-v1/nature-materials-weather/weather_climate/realized_weather_matrix.csv#wxr_precip_steady__snow|game-base-v1/nature-materials-weather/weather_climate/local_landscape_modifiers.csv,C,candidate
npt_central_current_split__weather__winter__wx_precip_steady__sleet,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,weather,winter,wx_precip_steady,weather_state=wx_precip_steady; precipitation_phase=sleet,visual,Льёт холодная мокрая каша из снега и дождя. Над замёрзшей водой всё тонет в белой мгле.,Льёт и метёт.,,,water_ice,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/weather|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|game-base-v1/nature-materials-weather/weather_climate/realized_weather_matrix.csv#wxr_precip_steady__sleet|game-base-v1/nature-materials-weather/weather_climate/local_landscape_modifiers.csv,C,candidate
npt_central_current_split__weather__winter__wx_windy_dry__none,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,weather,winter,wx_windy_dry,weather_state=wx_windy_dry; precipitation_phase=none,visual,"Дует сильный ветер, гнёт траву и рвёт одежду. По льду ветер несёт позёмку.",Сильный ветер.,,,water_ice,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/weather|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|game-base-v1/nature-materials-weather/weather_climate/realized_weather_matrix.csv#wxr_windy_dry__none|game-base-v1/nature-materials-weather/weather_climate/local_landscape_modifiers.csv,C,candidate
npt_central_current_split__weather__winter__wx_windy_precip__snow,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,weather,winter,wx_windy_precip,weather_state=wx_windy_precip; precipitation_phase=snow,visual,"Метёт метель: снег несёт сбоку, следы заметает на глазах. По льду ветер несёт позёмку.","Метель, ничего не видно.",,,water_ice,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/weather|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|game-base-v1/nature-materials-weather/weather_climate/realized_weather_matrix.csv#wxr_windy_precip__snow|game-base-v1/nature-materials-weather/weather_climate/local_landscape_modifiers.csv,C,candidate
npt_central_current_split__weather__winter__wx_windy_precip__sleet,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,weather,winter,wx_windy_precip,weather_state=wx_windy_precip; precipitation_phase=sleet,visual,Ветер швыряет мокрый снег с дождём прямо в лицо. По льду ветер несёт позёмку.,Мокрая буря.,,,water_ice,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/weather|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|game-base-v1/nature-materials-weather/weather_climate/realized_weather_matrix.csv#wxr_windy_precip__sleet|game-base-v1/nature-materials-weather/weather_climate/local_landscape_modifiers.csv,C,candidate
npt_central_current_split__audible_context__winter__ice,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,audible_context,winter,ice,water_condition=ice,acoustic,"Тихо; изредка потрескивает лёд, ветер шуршит сухой травой.",Доносится редкий треск.,1,,water_movement_wind_and_cover,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/audible_context|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|pr98:data/world-catalogs/novgorod/m2c-acoustic/approved/spatial_v3_g6_acoustic_baselines.json|pr98:data/world-catalogs/novgorod/m2c-natural-presentation/candidate.json,C,candidate
npt_central_current_split__surface__spring__flood,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,surface,spring,flood,phenomenon wxp_spring_flood active,visual,Илистая кромка ушла под мутную весеннюю воду; у края стоит жидкая грязь.,Под ногами вода и грязь.,,,alluvial_silt_mud,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/surface|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|game-base-v1/nature-materials-weather/weather_climate/seasonal_phenomena.csv,C,candidate
npt_central_current_split__surface__spring__thawed,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,surface,spring,thawed,no flood,visual,"Оттаявший ил раскис, нога вязнет по щиколотку, в следах тут же выступает вода.",Под ногами вязкая грязь.,,,alluvial_silt_mud,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/surface|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|game-base-v1/nature-materials-weather/weather_climate/seasonal_phenomena.csv,C,candidate
npt_central_current_split__relief__spring__default,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,relief,spring,default,,visual,"Берег низкий, почти вровень с водой.",Берег низкий.,,,bank_low,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/relief|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npt_central_current_split__water_body__spring__ice_breaking,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,water_body,spring,ice_breaking,water_condition=ice_breaking,visual,"По протоке идёт лёд: серые льдины трутся, ломаются и поворачиваются в тёмной воде.",Слышен и виден идущий лёд.,,,channel,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/water_body|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|game-base-v1/nature-materials-weather/weather_climate/seasonal_phenomena.csv,C,candidate
npt_central_current_split__water_body__spring__high_water,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,water_body,spring,high_water,water_condition=high_water,visual,"Протока вздулась, мутная вода несёт ветки и сор, берега не видно.",Различима высокая мутная вода.,,,channel,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/water_body|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|game-base-v1/nature-materials-weather/weather_climate/seasonal_phenomena.csv,C,candidate
npt_central_current_split__bank_structure__spring__default,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,bank_structure,spring,default,,visual,"Кромку берега подмыло, вода подступает прямо к траве.",Различима кромка берега.,,,alluvial_silt_mud,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/bank_structure|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npt_central_current_split__tree_layer__spring__default,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,tree_layer,spring,default,,visual,Редкие деревья стоят ещё голые или в первой светлой зелени; среди них ивы.,Различимы очертания деревьев.,,,scattered_tree_cover,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split/tree_layer|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial)|wk:claim:macro-b19-dried-willow-rods-can-be-moistened-for-flexible-basket-work|pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json,C,candidate
