ct_id,name_ru,name_en,container_class,matcult,v5_category,rus13_ref,capacity_slots,capacity_band,capacity_basis,closure,lock,portability,compatible,forbidden_content,source_refs,confidence,status,notes
ct_milk_pail,подойник,milking pail,bucket,AGR0001,,,6,medium,v5:container_tpl_nov_bucket_v1,open,none,hand,content_liquid|content_water,content_hot,matcult:AGR0001,B,candidate,
ct_trough_dugout,корыто долблёное,dugout trough,trough,HOU0019,,,12,medium,"0,6–2 м (matcult HOU0019); как лохань",open,none,two_person,content_flour|content_water|content_fodder|content_wet_bulk|content_textiles,content_hot,matcult:HOU0019,A,candidate,
ct_basket_woven,плетёная корзина,woven basket,basket,HOU0016,cat_container_form_carrying_basket_v1,basket_korzina,12,medium,v5:container_tpl_nov_carrying_basket_v1,open_or_lid_variant,none,hand,content_food_dry|content_fish|content_vegetables|content_household_goods|content_fibre_yarn|content_fuel|content_leather|content_waste,content_hot|content_liquid|content_water|content_flour,matcult:HOU0016|v5:container_templates:container_tpl_nov_carrying_basket_v1,B,candidate,
ct_basket_cargo,плетёная грузовая корзина,cargo basket,basket,TRD0026,,,12,medium,v5:container_tpl_nov_carrying_basket_v1,open,none,hand,content_trade_goods|content_fish|content_vegetables|content_food_dry|content_fuel,content_hot|content_liquid|content_water|content_flour,matcult:TRD0026,A,candidate,
ct_basket_fish,плетёная корзина для рыбы,fish basket,basket,FSH0024,,,12,medium,v5:container_tpl_nov_carrying_basket_v1,open,none,hand,content_fish|content_fishing_gear,content_hot|content_flour,matcult:FSH0024,A,candidate,
ct_basket_grain,корзина зерновая,grain basket,basket,AGR0010,,,12,medium,v5:container_tpl_nov_carrying_basket_v1,open,none,hand,content_grain|content_food_dry,content_hot|content_liquid|content_water,matcult:AGR0010,B,candidate,
ct_lukoshko,посевное лукошко,seed basket,basket,AGR0037,,,4,small,10–20 л (matcult AGR0037) ≈ v5 birch_bark_box,open,none,worn,content_grain|content_food_dry,content_hot|content_liquid,matcult:AGR0037,B,candidate,
ct_sack_cloth,мешок тканевый,cloth sack,sack,HOU0015,cat_container_form_sack_v1,bag_meshok,12,medium,v5:container_tpl_nov_sack_v1,tie,none,hand,content_grain|content_flour|content_food_dry|content_salt|content_dry_bulk|content_textiles|content_fur|content_trade_goods|content_fuel,content_hot|content_liquid|content_water|content_wet_bulk,matcult:HOU0015|v5:container_templates:container_tpl_nov_sack_v1,A,candidate,
ct_sack_grain,мешок зерновой,grain sack,sack,AGR0011,,,12,medium,v5:container_tpl_nov_sack_v1,tie,none,hand,content_grain|content_flour,content_hot|content_liquid|content_water|content_wet_bulk,matcult:AGR0011|matcult:TRD0009|matcult:TRD0025|matcult:FOD0052,A,candidate,
ct_pouch_small,мешочек для мелочей,small pouch,pouch,HOU0041,cat_container_form_drawstring_pouch_v1,purse_koshel,4,small,v5:container_tpl_nov_drawstring_pouch_v1,drawstring,none,worn,content_personal_small_items|content_coins|content_small_dry_goods|content_needles|content_weights,content_hot|content_liquid|content_water|content_wet_bulk,matcult:HOU0041|v5:container_templates:container_tpl_nov_drawstring_pouch_v1,A,candidate,
ct_belt_pouch,поясная сумка,belt pouch,pouch,MIL0021,cat_container_form_flap_belt_pouch_v1,,4,small,v5:container_tpl_nov_flap_belt_pouch_v1,flap,none,worn,content_personal_small_items|content_coins|content_small_tools|content_folded_documents,content_hot|content_liquid|content_water|content_wet_bulk,matcult:MIL0021|v5:container_templates:container_tpl_nov_flap_belt_pouch_v1,A,candidate,
ct_travel_bag,дорожный мешок,travel bag,sack,MIL0025,cat_container_form_small_soft_bag_v1,bundle_uzel,4,small,v5:container_tpl_nov_small_soft_bag_v1,tie_or_fold,none,worn,content_food_dry|content_textiles|content_personal_small_items|content_small_tools,content_hot|content_liquid|content_water,matcult:MIL0025|v5:container_templates:container_tpl_nov_small_soft_bag_v1,A,candidate,
ct_bale_wrapped,товарный тюк в холстине,wrapped bale,bale,HOU0048,,merchant_bale,12,medium,v5:container_tpl_nov_sack_v1 (аналог),tied_wrap,lead_seal_possible,two_person,content_textiles|content_fur|content_leather|content_trade_goods,content_hot|content_liquid|content_water|content_wet_bulk,matcult:HOU0048|matcult:TRD0027|matcult:TRD0053|matcult:TRD0052|matcult:TRD0028,B,candidate,
ct_pot_storage_large,керамический горшок крупный,large storage pot,pot,POT0018,cat_container_form_storage_pot_v1,,24,large,v5:container_tpl_nov_storage_pot_v1,lid_or_stop_variant,none,hand,content_grain|content_flour|content_honey|content_liquid|content_fermented_liquid|content_salt|content_food_dry|content_wet_bulk,,matcult:POT0018|v5:container_templates:container_tpl_nov_storage_pot_v1|wk:claim:household-tar-pot|wk:claim:maslo-birchbark-718-account,A,candidate,
ct_pot_cooking,керамический кухонный горшок,cooking pot,pot,POT0021,,,6,medium,v5:container_tpl_nov_jug_v1 (аналог по объёму),lid_variant,none,hand,content_hot|content_food_dry|content_liquid|content_water|content_grain|content_meat|content_fish|content_vegetables,,matcult:POT0021|matcult:POT0014|matcult:FOD0049,A,candidate,
ct_pot_small,керамический горшок малый,small pot,pot,POT0019,,,4,small,v5:container_tpl_nov_birch_bark_box_v1 (аналог по объёму),lid_variant,none,hand,content_salt|content_honey|content_liquid|content_small_dry_goods|content_food_dry,,matcult:POT0019,A,candidate,
ct_pot_fat,керамический сосуд для жира/масла,fat/oil pot,pot,POT0023,,,4,small,как малый горшок,lid_variant,none,hand,content_liquid,content_grain|content_flour,matcult:POT0023|wk:claim:maslo-birchbark-718-account,B,candidate,
ct_tar_pot,горшок со смолой/дёгтем,tar pot,pot,WTR0019,,,4,small,как малый горшок,lid_variant,none,hand,content_liquid,content_food_dry|content_grain|content_flour|content_honey,matcult:WTR0019|wk:claim:household-tar-pot,A,candidate,
ct_jug_ceramic,керамический кувшин,ceramic jug,jug,POT0020,cat_container_form_jug_v1,,6,medium,v5:container_tpl_nov_jug_v1,stopper_variant,none,hand,content_liquid|content_water|content_fermented_liquid,content_grain|content_flour,matcult:POT0020|v5:container_templates:container_tpl_nov_jug_v1,C,candidate,
ct_korchaga,корчага/амфора (крупный привозной сосуд),amphora-type storage jar,jar,FOD0056,,,24,large,как крупный горшок,stopper,none,two_person,content_liquid|content_fermented_liquid,content_grain|content_flour,matcult:FOD0056,C,candidate,вино в амфоре — редкий товар церкви/элиты (matcult FOD0056 C); форма «корчага» в собранных данных отдельно не описана — ГЭП
ct_flask_wooden,деревянная походная фляга,wooden flask,flask,MIL0016,,,2,tiny,портативный (matcult MIL0016),stopper,none,worn,content_water|content_liquid|content_fermented_liquid,content_grain|content_flour,matcult:MIL0016,B,candidate,
ct_knife_sheath,кожаные ножны ножа,knife sheath,sheath,WPN0015,cat_container_form_knife_sheath_v1,,2,tiny,v5:container_tpl_nov_knife_sheath_v1,friction_fit,none,worn,content_knife_fitted,content_hot|content_liquid,matcult:WPN0015|matcult:HOU0037|v5:container_templates:container_tpl_nov_knife_sheath_v1,A,candidate,
ct_needle_case,костяная игольница,bone needle case,case,HOU0038,cat_container_form_needle_case_v1,,2,tiny,v5:container_tpl_nov_needle_case_v1,cap_or_plug,none,worn,content_needles,content_hot|content_liquid,matcult:HOU0038|v5:container_templates:container_tpl_nov_needle_case_v1,B,candidate,
ct_quiver,колчан для стрел,quiver,case,MIL0027,cat_container_form_quiver_v1,,2,tiny,v5:container_tpl_nov_quiver_v1,open_or_flap,none,worn,content_arrows,content_hot|content_liquid,matcult:MIL0027|v5:container_templates:container_tpl_nov_quiver_v1,B,candidate,
ct_sword_scabbard,ножны меча,sword scabbard,sheath,WPN0055,cat_container_form_sword_scabbard_v1,,6,medium,v5:container_tpl_nov_sword_scabbard_v1,friction_fit,none,worn,content_sword_fitted,content_hot|content_liquid,matcult:WPN0055|v5:container_templates:container_tpl_nov_sword_scabbard_v1,B,candidate,
ct_cellar_pit,погреб/яма хранения,storage cellar/pit,fixed_storage,ARC0026,,pit_or_cellar,96,bulk,помещение; условная граница 4× v5 chest,hatch_cover,none,fixed,content_vegetables|content_fermented_liquid|content_wet_bulk|content_fish|content_meat|content_liquid|content_food_dry|content_honey,content_hot,matcult:ARC0026|rus13tpl:container:pit_or_cellar|wk:claim:static-cool-storage-can-slow-respiration-of-harvested-produce,B,candidate,
ct_shelf_storage,полка как место хранения,storage shelf,surface,INT0048,,shelf_polka,12,medium,"длина 0,5–2 м (matcult INT0048)",open,none,fixed,content_household_goods|content_small_tools|content_small_dry_goods|content_ritual_objects|content_personal_small_items,content_hot,matcult:INT0048|matcult:TRD0036,B,candidate,
ct_woodpile,поленница/дровница,woodpile,stack,HOU0044,,woodpile,96,bulk,по запасу двора,open,none,fixed,content_fuel,,matcult:HOU0044|matcult:MSC0024|matcult:MSC0046,A,candidate,
ct_feed_manger,ясли/кормушка,manger,trough,AGR0026,,animal_feed_bin,12,medium,по стойлу (matcult AGR0026),open,none,fixed,content_fodder,,matcult:AGR0026|matcult:AGR0002,A,candidate,
ct_boat_hold,груз в лодке/ладье,boat cargo space,vehicle_hold,,,boat_cargo,48,bulk,по судну; условная граница для лодки,open_or_covered,human_guard,vehicle,content_trade_goods|content_fish|content_salt|content_fur|content_wax|content_grain|content_fishing_gear|content_rope_cordage|content_leather,content_hot,wk:claim:transport-boat-cargo-dispatch|matcult_scene:SCN027|master:spawn:SPN023|rus13tpl:container:boat_cargo,B,candidate,"ладья с кожами, коробьей и кругом воска — грамота №1054, вторая половина XIII в. (WK)"
ct_cart_body,кузов телеги/саней,cart/sledge body,vehicle_hold,LTR0002,,cart,48,bulk,по телеге,open,human_guard,vehicle,content_grain|content_fuel|content_trade_goods|content_fodder|content_household_goods|content_fish,content_hot,matcult:LTR0002|matcult:LTR0030|wk:claim:settlement-cart-transport,B,candidate,
