ms_id,unit_or_post_kind,name_ru,summary_ru,region_id,pf_ids,roles,occupations,equipment_profile_ref,duty_schedule_ref,event_refs,source_refs,confidence,priority,status,note
ms_post_market,post,стража и порядок на Торгу,"Порядок на торгу, весы и меры, споры — у торгового суда, тысяцкого и старост; стражник торга держит порядок, оружие на торгу повышает риск.",region_novgorod_land,market_square,nov_role_guard | nov_role_toll_collector | nov_role_tysyatsky,nov_occ_market_guard | nov_occ_measurer_weigher,eq_market_guard,tsv:occ:nov_occ_market_guard#daily_schedule_market_day | tsv:occ:nov_occ_market_guard#daily_schedule_normal,nov_hist_1232_001,tsv:occ:nov_occ_market_guard#weapon_access | sqlite:institutions:I11 | sqlite:institutions:I05 | sqlite:city_features:B012 | statusrules:status_weapon,C,M3,candidate,
ms_post_great_bridge,post,Великий мост через Волхов,"Мост — место торговли, движения, столкновений и расправ; в 1229–1230 перестраивался; в 1230 г. с моста сбрасывали в Волхов.",region_novgorod_land,bridge_crossing,nov_role_guard | nov_role_city_elder | nov_role_householder,nov_occ_tysyatsky_public_order,eq_militia,,nov_hist_1230_002,sqlite:city_features:B005 | sqlite:persons_1230:R10,A,M3,candidate,Место конфликта подтверждено (A); постоянная стража на мосту — не подтверждена.
ms_post_ferry_crossing,post,"сторож перевоза, брода и зимней переправы","У перевоза сторож и перевозчик следят за лодками, очередью и чужими; в набег и тревогу переправу закрывают.",region_novgorod_land,ferry_landing | bridge_crossing | winter_ice_crossing | river_wharf,nov_role_guard | nov_role_ferryman | nov_role_guide,nov_occ_crossing_guard | nov_occ_ferryman,eq_crossing_guard,tsv:occ:nov_occ_crossing_guard#daily_schedule_normal | tsv:occ:nov_occ_crossing_guard#daily_schedule_spring_rasputitsa | tsv:occ:nov_occ_crossing_guard#daily_schedule_winter,nov_hist_1234_002,tsv:occ:nov_occ_crossing_guard#weapon_access | wk:claim:military-world-crossing-needs-staged-load-handling,C,M2c,candidate,"Стартовая территория v17 — плёсы, протоки и пристани; этот пост нужен раньше M3."
ms_post_toll,post,"сбор пошлины на переправе, дороге и у ворот",Сборщик пошлины с охраной или без; оружие зависит от должности.,region_novgorod_land,ferry_landing | road | town_wall_edge,nov_role_toll_collector | nov_role_princely_man | nov_role_bishop_man,nov_occ_toll_dues_collector,eq_market_guard,tsv:occ:nov_occ_toll_dues_collector#daily_schedule_normal,,tsv:occ:nov_occ_toll_dues_collector#weapon_access | sqlite:institutions:I12,C,M3,candidate,
ms_post_yard_gate,post,ворота и частокол усадьбы,"Узкие усадьбы огорожены частоколом, ворота выходят на улицу; чужой двор, ночь, оружие и отсутствие поручителя ведут к отказу, ожиданию у ворот или проводу к старшему.",region_novgorod_land,town_courtyard | rural_yard | peasant_homestead,nov_role_householder | nov_role_servant | nov_role_kholop | nov_role_boyar_man,nov_occ_household_servant | nov_occ_boyar_yard_manager,,tsv:occ:nov_occ_household_servant#night_behavior,nov_hist_1230_004,sqlite:city_features:B027 | statusrules:conflict:yard_access | master:mc:FOR0004,B,M2c,candidate,
ms_post_storehouse,post,сторож амбаров и складов,"Амбары и клети хранят зерно, меха, воск и ткани; в голод 1230 г. они — объект грабежа.",region_novgorod_land,cellar_granary | outbuildings | river_wharf,nov_role_guard | nov_role_servant | nov_role_merchant_clerk,nov_occ_storehouse_keeper,eq_storehouse_keeper,tsv:occ:nov_occ_storehouse_keeper#daily_schedule_normal | tsv:occ:nov_occ_storehouse_keeper#night_behavior,nov_hist_1230_003,sqlite:city_features:B031 | tsv:occ:nov_occ_storehouse_keeper#weapon_access,B,M2c,candidate,
ms_post_church_watch,post,церковный сторож,Сторож при храме и погосте; насилие у церкви крайне рискованно.,region_novgorod_land,churchyard | church_interior | monastery_yard,nov_role_church_guard | nov_role_ponomar,nov_occ_church_guard,eq_church_guard,tsv:occ:nov_occ_church_guard#daily_schedule_church_day | tsv:occ:nov_occ_church_guard#night_behavior,,tsv:occ:nov_occ_church_guard#weapon_access,C,M2c,candidate,
ms_post_princely_court,post,"охрана княжьего двора (Городище, Ярославово дворище)",Двор князя охраняют дружинники и княжьи люди; на Дворище — вече и связь с Торгом.,region_novgorod_land,town_courtyard,nov_role_princely_druzhinnik | nov_role_junior_druzhinnik | nov_role_princely_man,nov_occ_druzhina_warrior | nov_occ_princely_service_agent,eq_druzhinnik_town,tsv:occ:nov_occ_princely_service_agent#daily_schedule_normal,nov_hist_1230_004 | nov_hist_1236_001,sqlite:city_features:B006 | sqlite:city_features:B015 | sqlite:city_features:B016,C,M3,candidate,
ms_post_road_watch,post,дозор (сторожа) на дороге и у рубежа в тревогу,В военную тревогу выставляют сторожу на дорогах и переправах; смена и путь тревоги уже организованного караула.,region_novgorod_land,road | forest_track | winter_ice_crossing,nov_role_guard | nov_role_junior_druzhinnik | nov_role_guide | nov_role_hunter,nov_occ_route_guide | nov_occ_junior_retainer,eq_junior_druzhinnik | eq_hunter,tsv:occ:nov_occ_junior_retainer#daily_schedule_crisis,nov_hist_1238_002 | nov_hist_1240_002,wk:claim:military-world-watch-relief-keeps-attention-bounded | wk:claim:military-world-observation-is-bounded-by-conditions | timeline:nov_hist_1238_002,C,M3,candidate,
ms_fort_detinets,fortification,Детинец (дерево-земляная крепость),"В 1230 г. основа укреплений — земля и дерево (дубовые срубные стены, ров, деревянные ворота); не кирпичный кремль XV в.",region_novgorod_land,town_wall_edge,nov_role_guard | nov_role_archbishop,nov_occ_gate_guard,eq_gate_guard,,,sqlite:city_features:B002 | master:mc:FOR0013 | master:mc:FOR0014 | master:mc:FOR0003 | master:mc:FOR0001 | master:mc:FOR0006,A,M3,candidate,
ms_fort_okolny_gorod,fortification,валы и деревянная стена окольного города,Линия и ворота менялись; каменные башни XV в. исключаются.,region_novgorod_land,town_wall_edge,nov_role_guard,nov_occ_gate_guard,eq_gate_guard,,,sqlite:city_features:B025 | master:mc:FOR0012,B,M3,candidate,
ms_fort_ditch_crossing,fortification,ров и деревянный переход через него,Состояние рва Детинца к 1230 г. неопределённо; переход через ров — реконструкция.,region_novgorod_land,town_wall_edge | bridge_crossing,nov_role_guard,,,,,master:mc:FOR0001 | master:mc:FOR0002,C,M3,candidate,
ms_fort_gate_hardware,fortification,"ворота: створка, засов, опорный столб и пятник","Деревянный засов, створки и узлы крепостных и усадебных ворот.",region_novgorod_land,town_wall_edge | town_courtyard,nov_role_guard | nov_role_householder,nov_occ_gate_guard,,,,master:mc:FOR0004 | master:mc:FOR0005 | master:mc:FOR0006,B,M3,candidate,
ms_fort_wall_walk,fortification,"боевой ход, лестница на стену и дозорная площадка",Узкая крутая лестница и деревянная площадка на стене — реконструкция.,region_novgorod_land,town_wall_edge,nov_role_guard,nov_occ_gate_guard,eq_gate_guard,,,master:mc:FOR0015 | master:mc:FOR0016 | wk:claim:military-world-defensive-structure-needs-local-inspection,C,M3,candidate,
ms_fort_guard_shelter,fortification,караульный навес у ворот,Малое помещение или навес для стражи — реконструкция.,region_novgorod_land,town_wall_edge,nov_role_guard,nov_occ_gate_guard,eq_gate_guard,tsv:occ:nov_occ_gate_guard#night_behavior,,master:mc:FOR0007,C,M3,candidate,
ms_fort_shore_revetment,fortification,береговая срубная подпорная стенка,Инфраструктурная конструкция; оборонная функция не гарантирована.,region_novgorod_land,riverbank | river_wharf,nov_role_port_worker,nov_occ_landing_worker,,,,master:mc:FOR0011,B,M2c,candidate,
ms_fort_shelon_towns,fortification,городки по Шелони (1239),Александр ставит укрепления (городцы) по Шелони против западной угрозы.,region_novgorod_land,riverbank | town_wall_edge,nov_role_prince | nov_role_princely_druzhinnik,,,,nov_hist_1239_001,timeline:nov_hist_1239_001 | lit:npl_nasonov_1950,B,M3,candidate,
ms_cons_captives,consequence,полон: уведённые пленные,Походы приводят пленных (1223 — пленники и золото из похода к Колывани); в набеге враг уводит людей и скот; пленник — зависимый статус.,region_novgorod_land,road | village_lane | river_wharf,nov_role_captive,,,,nov_hist_1241_001 | nov_hist_1242_001 | nov_hist_1234_002,wk:claim:candidate-v7-npl-1223-colyvan-captives-and-gold | wk:claim:military-world-custody-needs-attention-and-basic-needs | tsv:role:nov_role_captive#weapon_rights,A,M3,candidate,
ms_cons_hostages_peace,consequence,мир с обменом заложниками и пленными,Война заканчивается миром «на всей правде» (1234) и обменом заложниками и пленными (1242).,region_novgorod_land,town_courtyard,nov_role_prince | nov_role_posadnik | nov_role_captive | nov_role_foreign_guest,,,,nov_hist_1234_001 | nov_hist_1242_001,wk:claim:residual-government-law-v1-1234-records-campaign-and-peace-with-germans | timeline:nov_hist_1242_001,B,M3,candidate,
ms_cons_ransom,consequence,выкуп пленного,"Выкуп возможен как частная или договорная сделка, но размер, порядок и посредники для Новгорода 1230-х не засвидетельствованы; условия залога и выкупа следуют уже установленным условиям.",region_novgorod_land,market_square | town_courtyard,nov_role_captive | nov_role_merchant_guest | nov_role_householder,,,,,wk:claim:macro-gap-collateral-follows-established-security-terms | wk:claim:candidate-gramota8-wife-cow-redemption-letter,C,later,candidate,"Пробел: нужны источники о выкупе полона (договоры 1260-х, церковный выкуп)."
ms_cons_yard_plunder,consequence,разгром и разграбление дворов,"В смуту 1230 г. дворы противников громят, жгут и грабят; жену убитого захватывают; самосуд не тождествен суду.",region_novgorod_land,town_courtyard | town_street,nov_role_boyar | nov_role_householder | nov_role_household_mistress,,,,nov_hist_1230_002 | nov_hist_1230_004,sqlite:law:L20 | sqlite:events:1230-12-09 | sqlite:persons_1230:R12 | sqlite:persons_1230:R13,A,M3,candidate,
ms_cons_weapon_strike_fine,consequence,продажа (штраф) за удар оружием,Удар невынутым мечом или рукоятью — 12 гривен продажи (Русская Правда); удар оружием по договору с немцами 1191–1192 — 6 гривен.,region_novgorod_land,market_square | town_street,nov_role_householder | nov_role_foreign_guest | nov_role_princely_druzhinnik,,,,,lit:russkaya_pravda_pp23 | sqlite:law:L07 | sqlite:law:L01,A,M3,candidate,
ms_cons_wounded_and_dead,consequence,раненые и убитые,"После стычки — перенос раненых, укрытие, помощь без обещания лечения; летопись называет поимённо павших новгородцев.",region_novgorod_land,road | town_street | riverbank,nov_role_sick_disabled,nov_occ_healer_herbal_helper,,,nov_hist_1234_002 | nov_hist_1240_001,wk:claim:military-world-established-casualty-needs-hazard-aware-help | wk:claim:military-world-carrying-an-injured-person-is-conditional,B,M3,candidate,
ms_cons_refugees_trade_stop,consequence,"беглецы, закрытые пути и остановка купцов","Военная угроза гонит беженцев, закрывает дороги, останавливает купцов (1232, 1240–1241).",region_novgorod_land,road | river_wharf | market_square,nov_role_runaway | nov_role_merchant_guest | nov_role_local_merchant,,,,nov_hist_1232_001 | nov_hist_1238_002 | nov_hist_1240_002,timeline:nov_hist_1232_001 | timeline:nov_hist_1240_002 | wk:claim:military-world-armed-disruption-affects-civilian-work,B,M3,candidate,
