step_id,ds_id,step_no,action_ru,input_fd_ids,tool_ids,vessel_ids,duration,heat,result_state,source_refs,confidence,status
st_rst000020,ds_grind_wheat_grain_to_flour,2,Молоть зерно ручными жерновами; для водяной мельницы использовать отдельный контекст.,"[""fd_wheat_grain""]","[""AGR0017""]",[],30–240 min,none,ground,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000020""]",A,candidate
st_rst000021,ds_grind_wheat_grain_to_flour,3,Просеять муку в зависимости от требуемой грубости.,"[""fd_wheat_flour""]","[""POT0030"", ""POT0031""]","[""HOU0019""]",10–45 min,none,flour,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000021""]",A,candidate
st_rst000022,ds_grind_wheat_grain_to_flour,4,Ссыпать муку и отдельно сохранить или удалить отруби.,"[""fd_wheat_flour""]",[],"[""HOU0015""]",5–15 min,none,stored,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000022""]",A,candidate
st_rst000023,ds_clean_barley_grain,1,"Разложить зерно небольшим слоем и выбрать камни, сор и испорченные зёрна.","[""fd_barley_grain""]","[""POT0002""]","[""HOU0019""]",10–60 min,none,cleaned,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000023""]",A,candidate
st_rst000024,ds_clean_barley_grain,2,"Провеять зерно на ветру или пересыпанием, отделяя лёгкую мякину.","[""fd_barley_grain""]","[""POT0030""]","[""HOU0019""]",10–60 min,none,cleaned,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000024""]",A,candidate
st_rst000025,ds_clean_barley_grain,3,Собрать очищенное зерно в сухую тару.,"[""fd_barley_grain""]",[],"[""HOU0015""]",5–15 min,none,stored,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000025""]",A,candidate
st_rst000026,ds_crush_barley_grain_to_groats,1,"Проверить, что зерно сухое и очищенное.","[""fd_barley_grain""]",[],"[""HOU0019""]",5–10 min,none,cleaned,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000026""]",A,candidate
st_rst000027,ds_crush_barley_grain_to_groats,2,"Дробить зерно жерновами или в ступе, не доводя всё до тонкой муки.","[""fd_barley_grain""]","[""AGR0017"", ""POT0032"", ""POT0029""]",[],20–120 min,none,crushed,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000027""]",A,candidate
st_rst000028,ds_crush_barley_grain_to_groats,3,Просеять и отделить слишком крупные части и мучную пыль.,"[""fd_barley_grain""]","[""POT0030""]","[""HOU0019""]",10–30 min,none,groats,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000028""]",A,candidate
st_rst000029,ds_crush_barley_grain_to_groats,4,Ссыпать крупу в сухую тару.,"[""fd_barley_groats""]",[],"[""HOU0015""]",5 min,none,stored,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000029""]",A,candidate
st_rst000030,ds_grind_barley_grain_to_flour,1,Подготовить очищенное сухое зерно.,"[""fd_barley_grain""]",[],"[""HOU0019""]",5–15 min,none,cleaned,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000030""]",A,candidate
st_rst000031,ds_grind_barley_grain_to_flour,2,Молоть зерно ручными жерновами; для водяной мельницы использовать отдельный контекст.,"[""fd_barley_grain""]","[""AGR0017""]",[],30–240 min,none,ground,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000031""]",A,candidate
st_rst000032,ds_grind_barley_grain_to_flour,3,Просеять муку в зависимости от требуемой грубости.,"[""fd_barley_flour""]","[""POT0030"", ""POT0031""]","[""HOU0019""]",10–45 min,none,flour,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000032""]",A,candidate
st_rst000033,ds_grind_barley_grain_to_flour,4,Ссыпать муку и отдельно сохранить или удалить отруби.,"[""fd_barley_flour""]",[],"[""HOU0015""]",5–15 min,none,stored,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000033""]",A,candidate
st_rst000034,ds_clean_oat_grain,1,"Разложить зерно небольшим слоем и выбрать камни, сор и испорченные зёрна.","[""fd_oat_grain""]","[""POT0002""]","[""HOU0019""]",10–60 min,none,cleaned,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000034""]",A,candidate
st_rst000035,ds_clean_oat_grain,2,"Провеять зерно на ветру или пересыпанием, отделяя лёгкую мякину.","[""fd_oat_grain""]","[""POT0030""]","[""HOU0019""]",10–60 min,none,cleaned,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000035""]",A,candidate
st_rst000036,ds_clean_oat_grain,3,Собрать очищенное зерно в сухую тару.,"[""fd_oat_grain""]",[],"[""HOU0015""]",5–15 min,none,stored,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000036""]",A,candidate
st_rst000037,ds_crush_oat_grain_to_groats,1,"Проверить, что зерно сухое и очищенное.","[""fd_oat_grain""]",[],"[""HOU0019""]",5–10 min,none,cleaned,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000037""]",A,candidate
st_rst000038,ds_crush_oat_grain_to_groats,2,"Дробить зерно жерновами или в ступе, не доводя всё до тонкой муки.","[""fd_oat_grain""]","[""AGR0017"", ""POT0032"", ""POT0029""]",[],20–120 min,none,crushed,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000038""]",A,candidate
st_rst000039,ds_crush_oat_grain_to_groats,3,Просеять и отделить слишком крупные части и мучную пыль.,"[""fd_oat_grain""]","[""POT0030""]","[""HOU0019""]",10–30 min,none,groats,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000039""]",A,candidate
st_rst000040,ds_crush_oat_grain_to_groats,4,Ссыпать крупу в сухую тару.,"[""fd_oat_groats""]",[],"[""HOU0015""]",5 min,none,stored,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000040""]",A,candidate
st_rst000041,ds_grind_oat_grain_to_flour,1,Подготовить очищенное сухое зерно.,"[""fd_oat_grain""]",[],"[""HOU0019""]",5–15 min,none,cleaned,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000041""]",A,candidate
st_rst000042,ds_grind_oat_grain_to_flour,2,Молоть зерно ручными жерновами; для водяной мельницы использовать отдельный контекст.,"[""fd_oat_grain""]","[""AGR0017""]",[],30–240 min,none,ground,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000042""]",A,candidate
st_rst000043,ds_grind_oat_grain_to_flour,3,Просеять муку в зависимости от требуемой грубости.,"[""fd_oat_flour""]","[""POT0030"", ""POT0031""]","[""HOU0019""]",10–45 min,none,flour,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000043""]",A,candidate
st_rst000044,ds_grind_oat_grain_to_flour,4,Ссыпать муку и отдельно сохранить или удалить отруби.,"[""fd_oat_flour""]",[],"[""HOU0015""]",5–15 min,none,stored,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000044""]",A,candidate
st_rst000045,ds_clean_millet_grain,1,"Разложить зерно небольшим слоем и выбрать камни, сор и испорченные зёрна.","[""fd_millet_grain""]","[""POT0002""]","[""HOU0019""]",10–60 min,none,cleaned,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000045""]",A,candidate
st_rst000046,ds_clean_millet_grain,2,"Провеять зерно на ветру или пересыпанием, отделяя лёгкую мякину.","[""fd_millet_grain""]","[""POT0030""]","[""HOU0019""]",10–60 min,none,cleaned,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000046""]",A,candidate
st_rst000047,ds_clean_millet_grain,3,Собрать очищенное зерно в сухую тару.,"[""fd_millet_grain""]",[],"[""HOU0015""]",5–15 min,none,stored,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000047""]",A,candidate
st_rst000048,ds_crush_millet_grain_to_groats,1,"Проверить, что зерно сухое и очищенное.","[""fd_millet_grain""]",[],"[""HOU0019""]",5–10 min,none,cleaned,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000048""]",A,candidate
st_rst000049,ds_crush_millet_grain_to_groats,2,"Дробить зерно жерновами или в ступе, не доводя всё до тонкой муки.","[""fd_millet_grain""]","[""AGR0017"", ""POT0032"", ""POT0029""]",[],20–120 min,none,crushed,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000049""]",A,candidate
st_rst000050,ds_crush_millet_grain_to_groats,3,Просеять и отделить слишком крупные части и мучную пыль.,"[""fd_millet_grain""]","[""POT0030""]","[""HOU0019""]",10–30 min,none,groats,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000050""]",A,candidate
st_rst000051,ds_crush_millet_grain_to_groats,4,Ссыпать крупу в сухую тару.,"[""fd_millet_groats""]",[],"[""HOU0015""]",5 min,none,stored,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000051""]",A,candidate
st_rst000052,ds_maintain_rye_starter,1,Оставить часть зрелой кислой массы как основу.,"[""fd_rye_starter""]",[],"[""HOU0019""]",1–5 min,none,fermented,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000052""]",C,candidate
st_rst000053,ds_maintain_rye_starter,2,Добавить ржаную муку и воду до густой массы.,"[""fd_rye_starter"", ""fd_rye_flour_coarse"", ""fd_water_well""]","[""POT0002""]","[""HOU0019""]",5–15 min,none,mixed,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000053""]",C,candidate
st_rst000054,ds_maintain_rye_starter,3,Оставить в умеренно тёплом месте до заметного подкисления и пузырьков.,"[""fd_rye_starter""]",[],"[""HOU0019""]",8–24 h,warm_no_direct_heat,fermented,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000054""]",C,candidate
st_rst000055,ds_maintain_rye_starter,4,"Использовать часть, а остаток сохранить недолго для следующего замеса.","[""fd_rye_starter""]",[],"[""HOU0021""]",0–48 h,none,stored,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000055""]",C,candidate
st_rst000056,ds_old_dough_starter,1,Отделить чистый кусок кислого теста до выпечки.,"[""fd_rye_dough""]","[""POT0002""]","[""HOU0019""]",1–5 min,none,separated,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000056""]",C,candidate
st_rst000057,ds_old_dough_starter,2,Слегка обсыпать мукой или держать в закрытой малой таре.,"[""fd_rye_dough"", ""fd_rye_flour_coarse""]",[],"[""HOU0021""]",1–5 min,none,stored,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000057""]",C,candidate
st_rst000058,ds_old_dough_starter,3,Использовать в следующем замесе до явной порчи.,"[""fd_old_sour_dough""]",[],"[""HOU0019""]",within days,none,starter_ready,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000058""]",C,candidate
st_rst000059,ds_mix_rye_dough,1,Отмерить муку реконструктивно по нужному размеру выпечки.,"[""fd_rye_flour_coarse""]",[],"[""HOU0019""]",5 min,none,measured,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000059""]",C,candidate
st_rst000060,ds_mix_rye_dough,2,Развести закваску или старое тесто водой.,"[""fd_rye_starter"", ""fd_water_well""]","[""POT0002""]","[""HOU0019""]",5–10 min,none,mixed,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000060""]",C,candidate
st_rst000061,ds_mix_rye_dough,3,"Вмешать муку; соль допустима, но её наличие и количество не предполагаются автоматически.","[""fd_rye_flour_coarse"", ""fd_water_well"", ""fd_rye_starter"", ""fd_salt_coarse""]","[""POT0002""]","[""HOU0019""]",10–30 min,none,kneaded,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000061""]",C,candidate
st_rst000062,ds_mix_rye_dough,4,Оставить тесто бродить до подъёма и подкисления.,"[""fd_rye_dough""]",[],"[""HOU0019""]",3–12 h,warm_no_direct_heat,fermented,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000062""]",C,candidate
st_rst000063,ds_mix_mixed_dough,1,Отмерить муку реконструктивно по нужному размеру выпечки.,"[""fd_mixed_flour""]",[],"[""HOU0019""]",5 min,none,measured,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000063""]",C,candidate
st_rst000064,ds_mix_mixed_dough,2,Развести закваску или старое тесто водой.,"[""fd_rye_starter"", ""fd_water_well""]","[""POT0002""]","[""HOU0019""]",5–10 min,none,mixed,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000064""]",C,candidate
st_rst000065,ds_mix_mixed_dough,3,"Вмешать муку; соль допустима, но её наличие и количество не предполагаются автоматически.","[""fd_mixed_flour"", ""fd_water_well"", ""fd_rye_starter"", ""fd_salt_coarse""]","[""POT0002""]","[""HOU0019""]",10–30 min,none,kneaded,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000065""]",C,candidate
st_rst000066,ds_mix_mixed_dough,4,Оставить тесто бродить до подъёма и подкисления.,"[""fd_mixed_dough""]",[],"[""HOU0019""]",3–12 h,warm_no_direct_heat,fermented,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000066""]",C,candidate
st_rst000067,ds_mix_wheat_dough,1,Отмерить муку реконструктивно по нужному размеру выпечки.,"[""fd_wheat_flour""]",[],"[""HOU0019""]",5 min,none,measured,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000067""]",C,candidate
st_rst000068,ds_mix_wheat_dough,2,Развести закваску или старое тесто водой.,"[""fd_old_sour_dough"", ""fd_water_well""]","[""POT0002""]","[""HOU0019""]",5–10 min,none,mixed,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000068""]",C,candidate
st_rst000069,ds_mix_wheat_dough,3,"Вмешать муку; соль допустима, но её наличие и количество не предполагаются автоматически.","[""fd_wheat_flour"", ""fd_water_well"", ""fd_old_sour_dough"", ""fd_salt_coarse""]","[""POT0002""]","[""HOU0019""]",10–30 min,none,kneaded,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000069""]",C,candidate
st_rst000070,ds_mix_wheat_dough,4,Оставить тесто бродить до подъёма и подкисления.,"[""fd_wheat_dough""]",[],"[""HOU0019""]",3–12 h,warm_no_direct_heat,fermented,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000070""]",C,candidate
st_rst000071,ds_bread_rye_sourdough,1,Сформовать хлебную заготовку мокрыми или обсыпанными мукой руками.,"[""fd_rye_dough""]","[""POT0002""]","[""POT0010""]",5–15 min,none,shaped,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000071""]",C,candidate
st_rst000072,ds_bread_rye_sourdough,2,Дать заготовке короткую окончательную расстойку.,"[""fd_rye_dough""]",[],"[""POT0010""]",30–120 min,warm_no_direct_heat,proofed,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000072""]",C,candidate
st_rst000073,ds_bread_rye_sourdough,3,Очистить горячий под печи и посадить хлеб деревянной лопатой.,"[""fd_rye_dough""]","[""INT0027"", ""INT0030""]",[],1–5 min,hot_hearth,baking,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000073""]",C,candidate
st_rst000074,ds_bread_rye_sourdough,4,Выпекать в нагретой печи до схватывания корки и мякиша.,"[""fd_rye_dough""]",[],[],30–120 min,oven_heat,baked,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000074""]",C,candidate
st_rst000075,ds_bread_rye_sourdough,5,Вынуть и остудить на деревянной поверхности.,"[""fd_rye_dough""]","[""INT0027""]","[""POT0010""]",30–120 min,none,ready_to_eat,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000075""]",C,candidate
st_rst000076,ds_bread_mixed_sourdough,1,Сформовать хлебную заготовку мокрыми или обсыпанными мукой руками.,"[""fd_mixed_dough""]","[""POT0002""]","[""POT0010""]",5–15 min,none,shaped,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000076""]",C,candidate
st_rst000077,ds_bread_mixed_sourdough,2,Дать заготовке короткую окончательную расстойку.,"[""fd_mixed_dough""]",[],"[""POT0010""]",30–120 min,warm_no_direct_heat,proofed,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000077""]",C,candidate
st_rst000078,ds_bread_mixed_sourdough,3,Очистить горячий под печи и посадить хлеб деревянной лопатой.,"[""fd_mixed_dough""]","[""INT0027"", ""INT0030""]",[],1–5 min,hot_hearth,baking,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000078""]",C,candidate
st_rst000079,ds_bread_mixed_sourdough,4,Выпекать в нагретой печи до схватывания корки и мякиша.,"[""fd_mixed_dough""]",[],[],30–120 min,oven_heat,baked,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000079""]",C,candidate
st_rst000080,ds_bread_mixed_sourdough,5,Вынуть и остудить на деревянной поверхности.,"[""fd_mixed_dough""]","[""INT0027""]","[""POT0010""]",30–120 min,none,ready_to_eat,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000080""]",C,candidate
st_rst000081,ds_bread_wheat_sourdough_elite,1,Сформовать хлебную заготовку мокрыми или обсыпанными мукой руками.,"[""fd_wheat_dough""]","[""POT0002""]","[""POT0010""]",5–15 min,none,shaped,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000081""]",C,candidate
st_rst000082,ds_bread_wheat_sourdough_elite,2,Дать заготовке короткую окончательную расстойку.,"[""fd_wheat_dough""]",[],"[""POT0010""]",30–120 min,warm_no_direct_heat,proofed,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000082""]",C,candidate
st_rst000083,ds_bread_wheat_sourdough_elite,3,Очистить горячий под печи и посадить хлеб деревянной лопатой.,"[""fd_wheat_dough""]","[""INT0027"", ""INT0030""]",[],1–5 min,hot_hearth,baking,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000083""]",C,candidate
st_rst000084,ds_bread_wheat_sourdough_elite,4,Выпекать в нагретой печи до схватывания корки и мякиша.,"[""fd_wheat_dough""]",[],[],30–120 min,oven_heat,baked,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000084""]",C,candidate
st_rst000085,ds_bread_wheat_sourdough_elite,5,Вынуть и остудить на деревянной поверхности.,"[""fd_wheat_dough""]","[""INT0027""]","[""POT0010""]",30–120 min,none,ready_to_eat,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000085""]",C,candidate
st_rst000086,ds_flatbread_rye_flour_coarse,1,Смешать муку с водой до плотного или мягкого теста; точная влажность реконструируется.,"[""fd_rye_flour_coarse"", ""fd_water_well""]","[""POT0002""]","[""HOU0019""]",10–20 min,none,kneaded,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000086""]",C,candidate
st_rst000087,ds_flatbread_rye_flour_coarse,2,При использовании закваски дать тесту коротко подойти; пресный вариант печь сразу.,"[""fd_rye_flour_coarse"", ""fd_rye_starter""]",[],"[""HOU0019""]",0–180 min,warm_no_direct_heat,rested,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000087""]",C,candidate
st_rst000088,ds_flatbread_rye_flour_coarse,3,Разделить и расплющить небольшие лепёшки.,"[""fd_rye_flour_coarse""]","[""POT0002""]","[""POT0010""]",5–15 min,none,shaped,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000088""]",C,candidate
st_rst000089,ds_flatbread_rye_flour_coarse,4,"Испечь на горячем поду или у жара, переворачивая только при необходимости технологии.","[""fd_rye_flour_coarse""]","[""INT0027""]",[],10–40 min,hot_hearth,baked,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000089""]",C,candidate
st_rst000090,ds_flatbread_rye_flour_coarse,5,Остудить и употребить свежими.,"[""fd_rye_flour_coarse""]",[],"[""POT0007""]",10–30 min,none,ready_to_eat,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000090""]",C,candidate
st_rst000091,ds_flatbread_barley_flour,1,Смешать муку с водой до плотного или мягкого теста; точная влажность реконструируется.,"[""fd_barley_flour"", ""fd_water_well""]","[""POT0002""]","[""HOU0019""]",10–20 min,none,kneaded,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000091""]",C,candidate
st_rst000092,ds_flatbread_barley_flour,2,При использовании закваски дать тесту коротко подойти; пресный вариант печь сразу.,"[""fd_barley_flour"", ""fd_rye_starter""]",[],"[""HOU0019""]",0–180 min,warm_no_direct_heat,rested,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000092""]",C,candidate
st_rst000093,ds_flatbread_barley_flour,3,Разделить и расплющить небольшие лепёшки.,"[""fd_barley_flour""]","[""POT0002""]","[""POT0010""]",5–15 min,none,shaped,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000093""]",C,candidate
st_rst000094,ds_flatbread_barley_flour,4,"Испечь на горячем поду или у жара, переворачивая только при необходимости технологии.","[""fd_barley_flour""]","[""INT0027""]",[],10–40 min,hot_hearth,baked,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000094""]",C,candidate
st_rst000095,ds_flatbread_barley_flour,5,Остудить и употребить свежими.,"[""fd_barley_flour""]",[],"[""POT0007""]",10–30 min,none,ready_to_eat,"[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000095""]",C,candidate
