# Authored mark pool (candidate). text_ru = description the CODE attaches; LLM only paraphrases it, never invents identifying text (D9/D14).
# mark_kind: owner_sign|maker_mark|ornament|repair|wear|damage|inscription. distinctiveness: unique|rare|common.
# applicable_groups: item_group list or * ; applicable_materials: material family list (see condition_vocab.csv) or *.
mk_id|mark_kind|applicable_groups|applicable_materials|text_ru|distinctiveness|text_pool_id|attestation|source_refs|confidence|note
mk_mk_casting_seam|maker_mark|PS_RELIGIOUS;PS_TRADE_ADMIN;HH_FIRE_LIGHT;HH_SEWING;PS_GROOMING;PS_MUSIC|nonferrous|Следы литейного шва и облоя по краю отливки|common||Литейные формы и литейный брак в Новгороде XII в.|wk:claim:casting-casting-mould;src:SRC062|B|
mk_mk_plomb_impression|inscription|PS_TRADE_ADMIN|nonferrous|Оттиск на пломбе: {plomb_image}|rare|TXT_PLOMB_SIGN|Торговые пломбы: святые, кресты, буквы, знаки Рюриковичей; >3100 находок в Новгороде|src:BIB_PLOMBY_IARAN;src:BIB_SHM_PLOMBA;src:SRC053|A|
mk_mk_bulla_impression|inscription|PS_TRADE_ADMIN|nonferrous|Оттиск вислой печати по матрице известного эмитента: {issuer_ref}|unique|TXT_BULLA_ENTITY_REF|Вислые свинцовые печати в Новгороде|src:SRC087;src:SRC053|A|Эмитент — только существующая сущность; иначе печать без чтения.
mk_orn_circle_dot|ornament|PS_GROOMING;HH_SEWING;PS_PLAY;PS_WRITING;PS_KNIFE|bone|Циркульный орнамент: кружки с точкой в центре|common||Мотив костерезного дела Руси; на гребнях и накладках|src:SRC005;master:HOU0026|C|Конкретная публикация мотива не извлечена — C.
mk_orn_incised_lines|ornament|HH_TABLEWARE;HH_TEXTILE_WORK;PS_GROOMING;PS_PLAY;PS_MUSIC;HH_SMALL_STORAGE;PS_CARRY;PS_WRITING|wood;bone;bark|Резные линии, ёлочка или сетка на ручке или по краю|common||Резное дерево Новгорода|src:SRC006;src:SRC005|B|
mk_orn_plait|ornament|HH_TABLEWARE;HH_TEXTILE_WORK;PS_MUSIC;HH_SMALL_STORAGE|wood|Резная плетёнка на ручке ковша, прялке или корпусе|rare||Плетёный орнамент в резном дереве Новгорода|src:SRC006|B|
mk_orn_zoomorphic_handle|ornament|HH_TABLEWARE|wood|Ручка ковша в виде головы коня или птицы|rare||Зооморфные рукояти ковшей в резном дереве Новгорода|src:SRC006;master:POT0008|B|
mk_orn_pottery_lines|ornament|HH_COOKWARE;HH_TABLEWARE;HH_SMALL_STORAGE|clay|Линейный или волнистый орнамент по плечику сосуда|common||Черепки с линейным и волнистым орнаментом|master:OMI01078;master:OMI01079|A|
mk_orn_pottery_stamps|ornament|HH_COOKWARE;HH_TABLEWARE|clay|Наколы или оттиски штампа поясом по плечику|common||Черепок с наколами или штампом|master:OMI01080|A|
mk_orn_leather_tooling|ornament|PS_CARRY;PS_KNIFE;PS_GROOMING;PS_TRADE_ADMIN|leather|Тиснёный или процарапанный орнамент на коже (линии, плетёнка)|rare||Кожаные чехлы, футляры, сумки Новгорода|src:SRC105;src:SRC061|B|
mk_orn_cross_relief|ornament|PS_RELIGIOUS|nonferrous;stone|Рельефное изображение: {relief_subject}|common|TXT_CROSS_FORMULA|Энколпионы: Распятие на лицевой створке, Богоматерь или святые на оборотной|src:BIB_ENKOLPION;src:SRC062|B|relief_subject из закрытого списка пула.
mk_orn_enamel|ornament|PS_RELIGIOUS|nonferrous|Вставки перегородчатой или выемчатой эмали|rare||Перегородчатые эмали Древней Руси|src:SRC063|B|Для дорогих вещей; у рядовых крестов не предполагать.
mk_orn_woven_border|ornament|HH_BEDDING_TEXTILE|textile|Тканая узорная кайма цветными нитями|rare||Цветные шерстяные нити в узоре ткани Неревского раскопа (XII в.)|wk:claim:clothing-nerev-coloured-wool|B|Вышитый «рушник» позднего образа не предполагать.
mk_orn_lock_plating|ornament|HH_LOCKS|iron;nonferrous|Медная обкладка или напайка на корпусе замка|rare||Навесные замки XII–XIII вв.; медная пайка деталей|src:BIB_LOCKS;src:SRC032|B|
mk_orn_key_bow|ornament|HH_LOCKS|iron|Фигурное кольцо ключа крупного размера|rare||Крупные орнаментированные ключи на заказ при стандартных мелких|src:BIB_LOCKS|B|
mk_orn_die_pips|ornament|PS_PLAY|bone|Глазки-кружки на гранях кости|common||Кубическая игральная кость|master:MUS0004;master:OMI00940|A|
mk_orn_stylus_head|ornament|PS_WRITING|iron;bone;nonferrous|Фигурная лопаточка или навершие писала|rare||Писала с лопаточкой в новгородских находках|master:WRT0027|B|
mk_orn_painted|ornament|HH_TEXTILE_WORK;PS_RELIGIOUS;PS_PLAY|wood|Следы окраски (красная охра, чёрная краска)|rare||Красная охра и углеродный чёрный как засвидетельствованные пигменты|wk:claim:pigment-red-ochre;wk:claim:pigment-carbon-black-pigment|C|Для бытового дерева — аналогия с пигментами росписи.
mk_rep_laced_crack|repair|HH_COOKWARE;HH_TABLEWARE;HH_SMALL_STORAGE|clay|Трещина стянута через парные просверленные отверстия|rare||Черепок с отверстиями под ремонт; сосуд со скреплённой трещиной|master:OMI01088;master:OMI01089|C|Master = C.
mk_rep_iron_clamp|repair|HH_TABLEWARE;HH_VESSELS_WATER;HH_SMALL_STORAGE;PS_MUSIC|wood|Железная скобка поперёк трещины|rare||Железные ремонтные скобы (для судов) и скобки в новгородском материале|wk:claim:household-boat-repair-clamp;master:HOU0032|C|Для посуды — аналогия с ремонтом судов.
mk_rep_new_hoop|repair|HH_VESSELS_WATER;HH_TABLEWARE|wood;iron|Один обруч новее прочих (светлее, другая вязка)|common||Снятые и разомкнутые обручи, обломки обручей|master:OMI00678;master:OMI00679|B|
mk_rep_leather_patch|repair|PS_CARRY;PS_KNIFE;PS_GROOMING;PS_TRADE_ADMIN;PS_PLAY|leather|Пришитая кожаная заплата {patch_shape}|rare||Кожаные заплаты круглые, продолговатые, с отверстиями|master:OMI00500;master:OMI00501;master:OMI00502;master:OMI00503|A|patch_shape: круглая, продолговатая.
mk_rep_cloth_patch|repair|HH_BEDDING_TEXTILE;HH_SMALL_STORAGE;PS_CARRY;HH_FOODPROC|textile|Заплата из ткани другого цвета или плотности|rare||Куски ткани для заплат; старые заплаты|master:OMI01872;master:OMI01874;master:OMI01875|B|
mk_rep_waxed_thread|repair|PS_CARRY;PS_KNIFE;PS_GROOMING|leather|Шов прошит заново вощёной нитью|common||Вощёная нить для ремонта кожи|master:OMI01871|A|
mk_rep_rewrapped_handle|repair|PS_KNIFE;HH_COOKWARE;HH_TOOLS_SMALL;HH_SEWING|leather;textile;bark;iron|Рукоять обмотана кожаной полосой или берестой поверх трещины|common||Кожаная обмотка рукояти; полоса кожи для обмотки|master:OMI00498;master:OMI00499|B|
mk_rep_new_haft|repair|PS_KNIFE;HH_HEARTH_TOOLS;HH_COOKWARE;HH_SEWING;HH_TEXTILE_WORK|iron|Старое железо на новой, ещё светлой рукояти|common||Заготовки рукоятей ножей; ремонт рукоятей в описаниях master|master:OMI00052;master:AGR0001|C|Вывод из описаний износа master.
mk_rep_comb_rivet|repair|PS_GROOMING|bone;iron|Одна заклёпка гребня заменена железной или новой костяной|rare||Костяные заклёпки и накладки составных гребней|master:OMI00908;master:OMI00907|C|Замена — вывод.
mk_rep_bark_binding|repair|HH_SMALL_STORAGE;HH_TABLEWARE;HH_VESSELS_WATER|bark;wood|Трещина стянута берестяной полосой|common||Берестяные обвязки грузил и связки лыком в новгородском материале|wk:claim:population-weight-bark;wk:claim:construction-bast-vessel-fastening|C|Аналогия.
mk_rep_restrung|repair|PS_MUSIC|wood;textile|Струны разного вида: часть заменена|common||Ремонт и потёртости гуслей в описаниях master|master:MUS0014;master:MUS0011|C|Master MUS0011 = C.
mk_wear_soot|wear|HH_COOKWARE;HH_FIRE_LIGHT;HH_HEARTH_TOOLS|clay;iron;wood|Копоть снаружи и нагар изнутри|common||Закопчённый наружный черепок; черепок с нагаром изнутри|master:OMI01081;master:OMI01082|A|
mk_wear_polished_grip|wear|*|wood;bone;iron;nonferrous;leather|Залощённое от рук место хвата|common||Потёртые рукояти в описаниях master|master:MUS0014;master:HOU0026|B|
mk_wear_bitten_edge|wear|HH_TABLEWARE|wood|Сточенный, неровный край черпала ложки или миски|common||Изношенное донце и края деревянной посуды|master:OMI01802;master:POT0002|B|
mk_wear_whetted_blade|wear|PS_KNIFE;HH_COOKWARE;HH_SEWING;PS_GROOMING|iron|Лезвие сужено многими заточками|common||Оселок для заточки затупившейся кромки|wk:claim:stone-whetstone-edge-maintenance|B|
mk_wear_worn_teeth|wear|PS_GROOMING;HH_TEXTILE_WORK|bone;wood|Стёртые зубья, в зубьях застрявшие волосы или волокно|common||Волосы и шерсть в зубьях гребня|master:OMI01857|A|
mk_wear_whetstone_groove|wear|HH_TOOLS_SMALL|stone|Глубокая борозда от заточки игл и шил|common||Точильный камень с глубокой бороздой|master:OMI01120|A|
mk_wear_leather_crease|wear|PS_CARRY;PS_KNIFE;PS_GROOMING;PS_TRADE_ADMIN;PS_PLAY|leather|Заломы и лоск кожи на сгибах|common||Кожа теряет гибкость и трескается при изгибе в сухости|wk:claim:population-material-leather-dry|B|
mk_wear_thin_textile|wear|HH_BEDDING_TEXTILE;HH_CLEANING;HH_FOODPROC;PS_CARRY|textile|Ткань протёрта до просвета на сгибах|common||Износ тканей в описаниях master|master:INT0021;master:OMI01850|B|
mk_wear_scraped_wax|wear|PS_WRITING|wax;wood|Воск на табличке неровный, с остатками стёртых строк|common||Кусок воска, снятый с таблички; новый слой воска|master:OMI01662;master:OMI01658|B|
mk_wear_blunt_tip|wear|PS_WRITING;HH_SEWING|iron;bone|Затупленное или загнутое остриё|common||Сломанные и изношенные мелкие железные вещи|master:OMI00663;master:WRT0027|C|
mk_wear_bark_edges|wear|PS_WRITING;HH_SMALL_STORAGE;PS_TRADE_ADMIN|bark|Обтрёпанные, расслоившиеся края бересты|common||Береста с обрезанными неровными краями; оборванный край грамоты|master:OMI01641;master:OMI01651|A|
mk_wear_key_bit|wear|HH_LOCKS|iron|Стёртая, скруглённая бородка|common||Обломанная и изношенная бородка ключа, изношенная пружина замка|master:OMI00662;master:OMI00674|B|
mk_wear_drip|wear|HH_FIRE_LIGHT|wax;iron;clay|Наплывы застывшего воска или сала|common||Капля застывшего сала; огарок|master:OMI01828;master:OMI01827|A|
mk_wear_rope_fray|wear|HH_TOOLS_SMALL|textile|Размочаленный конец, узлы на месте разрывов|common||Верёвочный узел, обрывок каната|master:MSC0015|A|
mk_wear_skate_polish|wear|PS_PLAY|bone|Скользящая сторона отполирована до блеска|common||Костяные коньки XII–XIII вв.|wk:claim:candidate-v7-museum-bone-skates-xii-xiii;master:MUS0022|B|
mk_dmg_chip|damage|*|clay;stone;nonferrous|Скол края|common||Керамика хрупка: сколы и трещины|wk:claim:population-ceramic-fracture;master:OMI01072|B|
mk_dmg_crack_along_grain|damage|*|wood;bark;bone|Трещина вдоль волокон|common||Усушка и разбухание древесины|wk:claim:population-material-wood-shrinkage|B|
mk_dmg_charred|damage|HH_TABLEWARE;HH_COOKWARE;HH_FIRE_LIGHT;HH_HEARTH_TOOLS|wood;bark|Обугленный край|common||Обугленный край деревянной ложки; обгоревшая шпажка|master:OMI01799;master:OMI01778|A|
mk_dmg_broken_handle|damage|HH_TABLEWARE;HH_COOKWARE;HH_VESSELS_WATER|wood;clay|Отломанная ручка или дужка|common||Сломанная ручка ложки; обвалившаяся ручка сосуда; сломанная дужка ведра|master:OMI01800;master:OMI01099;master:OMI00682|A|
mk_dmg_rust|damage|*|iron|Ржавчина, местами слоящаяся|common||Железо ржавеет от кислорода и влаги|wk:claim:population-material-iron-rust|B|
mk_dmg_bent|damage|HH_LOCKS;PS_WRITING;HH_SEWING;HH_TOOLS_SMALL;PS_TRADE_ADMIN;PS_RELIGIOUS|iron;nonferrous|Погнутость|common||Согнутые и сломанные железные детали|master:OMI00649;master:OMI00648|B|
mk_dmg_broken_teeth|damage|PS_GROOMING;HH_TEXTILE_WORK|bone;wood|Выломано несколько зубьев подряд|common||Отдельный сломанный зуб гребня; отдельные зубья гребня|master:OMI00909;master:OMI01858|A|
mk_dmg_torn_seam|damage|PS_CARRY;PS_KNIFE;PS_PLAY;HH_BEDDING_TEXTILE|leather;textile|Разошедшийся шов|common||Кошель с прорванным швом|master:OMI01883|B|
mk_dmg_mould|damage|PS_CARRY;HH_BEDDING_TEXTILE;PS_KNIFE;PS_WRITING|leather;textile|Пятна плесени и затхлый запах|common||Сырая кожа может плесневеть|wk:claim:population-material-leather-mould|B|
mk_dmg_stave_gap|damage|HH_VESSELS_WATER|wood|Рассохшаяся клёпка: щель и течь|common||Древесина усыхает при потере влаги; обломки обручей|wk:claim:population-material-wood-shrinkage;master:OMI00679|B|
mk_dmg_broken_loop|damage|PS_RELIGIOUS;PS_MUSIC;HH_LOCKS|nonferrous;iron;stone|Обломанное ушко или петля|rare||Реставрационные утраты нательных крестов в описаниях master|master:REL0008;master:OMI00673|C|
mk_dmg_wax_soft|damage|HH_FIRE_LIGHT;PS_WRITING|wax|Размягчённый, деформированный от тепла воск|common||Воск размягчается при нагреве|wk:claim:population-joining-wax-soften|B|
mk_ins_cross_formula|inscription|PS_RELIGIOUS|nonferrous;stone|Надпись на створке или обороте: {formula}|rare|TXT_CROSS_FORMULA|Молитвенные формулы на энколпионах и крестах|src:BIB_ENKOLPION|B|
mk_ins_icon_label|inscription|PS_RELIGIOUS|wood;stone;nonferrous|Подпись-имя изображённого святого: {saint_label}|common|TXT_ICON_SAINT_LABEL|Именные подписи на иконах и каменных иконках|src:BIB_NIKOLAEVA1983;master:REL0001|B|
mk_ins_bark_text|inscription|PS_WRITING|bark|Процарапанный текст грамоты жанра {genre}|unique|TXT_BIRCHBARK_GENRE|Берестяные грамоты 1200–1240 (выборка)|src:SQL_BIRCHBARK;src:SRC027|A|
mk_ins_abecedarium|inscription|PS_PLAY;PS_WRITING|bark;wax|Ученические буквы, азбучный ряд или слоги|common|TXT_ABECEDARIUM|Ученические записи и рисунки (грамоты Онфима)|src:SRC073;master:OMI01643|A|
mk_ins_bark_label|inscription|PS_TRADE_ADMIN|bark|Короткая запись на бирке-этикетке: {label_text}|unique|TXT_BIRCHBARK_LABEL|Берестяная товарная записка/бирка, привязанная к товару|master:TRD0032;master:OMI01656|B|
mk_ins_tally|inscription|PS_TRADE_ADMIN|wood|Группы зарубок: {notch_groups}|unique|TXT_TALLY_NOTCH|Счётные и долговые бирки, зарубки группами|src:BIB_BIRKI_NKJ;src:BIB_BIRKI_BRE|B|
mk_ins_weight_marks|inscription|PS_TRADE_ADMIN|nonferrous;iron|Метки номинала на гранях: {denomination_marks}|common|TXT_WEIGHT_DENOMINATION|Гирьки кубооктаэдрические и бочонковидные|master:TRD0040;master:TRD0055|C|Вид и число меток номинала не извлечены из публикаций — C.
mk_ins_document|inscription|PS_WRITING|leather;bark|Текст документа или книги — только из существующей сущности {document_ref}|unique|TXT_DOCUMENT_ENTITY_REF|Пергамент и рукописные книги|master:WRT0025;master:WRT0023|B|
mk_wear_surface|wear|*|clay;stone;bark;textile;wood;nonferrous;organic_soft;leather;bone|Общая потёртость поверхности, стёртые выступы и края|common||Рабочая потёртость в описаниях износа master (посуда, утварь, гребни)|master:HOU0026;master:POT0002;master:OMI01085|B|Родовая примета износа для любой вещи с wear-слотом.
mk_dmg_tear_textile|damage|*|textile;bark;leather;organic_soft|Надрыв или дыра|common||Изношенные и рваные ткани и берестяные вещи в описаниях master|master:OMI01849;master:OMI01651|B|
mk_dmg_chip_stone|damage|*|stone;clay|Скол или трещина камня/черепка|common||Хрупкость керамики; сколы камня|wk:claim:population-ceramic-fracture;master:OMI01121|B|
mk_mk_brazed_seams|maker_mark|HH_LOCKS|iron;nonferrous|Медная пайка швов корпуса замка|common||Навесные замки из многих деталей, соединённых медной пайкой|src:BIB_LOCKS;src:SRC032|B|
mk_rep_iron_reforged|repair|*|iron|Кованая починка: новая заклёпка, наваренный или откованный заново участок|rare||Ремонт железных вещей в кузнечном материале Колчина (вывод)|src:SRC032;master:OMI00673|C|Вывод; конкретные примеры починки не извлечены.
mk_rep_wood_insert|repair|*|wood;bark|Деревянная вставка, клин или заплатка в трещине|rare||Ремонт деревянных вещей (вывод из описаний износа master)|master:HOU0019;master:OMI01802|C|
mk_rep_quern_redressed|repair|HH_FOODPROC|stone|Рабочая поверхность перенасечена заново|common||Жерновой смёт и каменная крошка у жерновов|master:OMI01135;master:OMI01307|C|Перенасечка — вывод из следов обработки жерновов.
mk_orn_cast_band|ornament|HH_FIRE_LIGHT;HH_SEWING;PS_GROOMING;PS_TRADE_ADMIN|nonferrous|Литой рельефный поясок или валик|common||Литые изделия из медных сплавов (Седова)|src:SRC062;wk:claim:casting-casting-mould|C|
mk_orn_whorl_notches|ornament|HH_TEXTILE_WORK|clay;stone|Насечки или процарапанные знаки на боку пряслица|rare||Пряслица с надписями и знаками|src:BIB_WHORL;master:CRF0134|C|
mk_wear_grime|wear|*|*|Потемневшая, засаленная от долгого употребления поверхность|common||Пятна, копоть и загрязнение в описаниях износа master|master:HOU0026;master:HOU0001|B|
mk_dmg_scratches|damage|*|iron;nonferrous;stone|Царапины и забоины на поверхности|common||Царапины, сгибы в описаниях износа master (писала, печати)|master:WRT0027;master:WRT0014|B|
mk_own_scratched_leather|owner_sign|PS_KNIFE;PS_CARRY;PS_GROOMING;PS_FIRE_KIT|leather|Процарапанный или выдавленный на коже владельческий знак: {sign_shape}|unique|TXT_OWNER_SIGN|Орнаментированные кожаные чехлы и футляры; перенос практики владельческих знаков на кожу — вывод|src:SRC105;master:OMI01613|C|Аналогия.
